,ABT
2000-01-03,24366558840
2000-01-04,23669929140
2000-01-05,23623487160
2000-01-06,24443962140
2000-01-07,24707133360
2000-01-10,24536846100
2000-01-11,24180790920
2000-01-12,23700890460
2000-01-13,23484161220
2000-01-14,24010503660
2000-01-18,23484161220
2000-01-19,23004260760
2000-01-20,22183785780
2000-01-21,21703885320
2000-01-24,20883410340
2000-01-25,20620239120
2000-01-26,20666681100
2000-01-27,21440714100
2000-01-28,22183785780
2000-01-31,22663686240
2000-02-01,22880415480
2000-02-02,23004260760
2000-02-03,23143586700
2000-02-04,23964061680
2000-02-07,23530603200
2000-02-08,23747332440
2000-02-09,25094149860
2000-02-10,24443962140
2000-02-11,23669929140
2000-02-14,24397520160
2000-02-15,24443962140
2000-02-16,24149829600
2000-02-17,23840216400
2000-02-18,22710128220
2000-02-22,23236470660
2000-02-23,22354073040
2000-02-24,22090901820
2000-02-25,22323111720
2000-02-28,23050702740
2000-02-29,22973299440
2000-03-01,23530603200
2000-03-02,23313873960
2000-03-03,22570802280
2000-03-06,21750327300
2000-03-07,20620239120
2000-03-08,21874172580
2000-03-09,21750327300
2000-03-10,21533598060
2000-03-13,21270426840
2000-03-14,21657443340
2000-03-15,22617244260
2000-03-16,24010503660
2000-03-17,23313873960
2000-03-20,23577045180
2000-03-21,23453199900
2000-03-22,23886658380
2000-03-23,23530603200
2000-03-24,23360315940
2000-03-27,23143586700
2000-03-28,23577045180
2000-03-29,24273674880
2000-03-30,24707133360
2000-03-31,24518848480
2000-04-03,25960222000
2000-04-04,27479088720
2000-04-05,28563993520
2000-04-06,26347688000
2000-04-07,25526260080
2000-04-10,25650249200
2000-04-11,26394183920
2000-04-12,27618576480
2000-04-13,27308603680
2000-04-14,25650249200
2000-04-17,26254696160
2000-04-18,26921137680
2000-04-19,26735154000
2000-04-20,27355099599
2000-04-24,27913050640
2000-04-25,27696069680
2000-04-26,27169115920
2000-04-27,27169115920
2000-04-28,26781649920
2000-05-01,26518173040
2000-05-02,26611164880
2000-05-03,26223698880
2000-05-04,25960222000
2000-05-05,26440679839
2000-05-08,27045126800
2000-05-09,27169115920
2000-05-10,26874641760
2000-05-11,26347688000
2000-05-12,25789736960
2000-05-15,27138118640
2000-05-16,26921137680
2000-05-17,26874641760
2000-05-18,28269519359
2000-05-19,28966958160
2000-05-22,29788386080
2000-05-23,29788386080
2000-05-24,30284342560
2000-05-25,29788386080
2000-05-26,29044451359
2000-05-30,28656985359
2000-05-31,28347012560
2000-06-01,28486500320
2000-06-02,27262107760
2000-06-05,27696069680
2000-06-06,28006042480
2000-06-07,28006042480
2000-06-08,28316015280
2000-06-09,28440004400
2000-06-12,28083535680
2000-06-13,28610489440
2000-06-14,29261432320
2000-06-15,29881377920
2000-06-16,29571405119
2000-06-19,29834882000
2000-06-20,29137443200
2000-06-21,29183939119
2000-06-22,28440004400
2000-06-23,28176527520
2000-06-26,28610489440
2000-06-27,28966958160
2000-06-28,29617901040
2000-06-29,29183939119
2000-06-30,31026348840
2000-07-03,30840562320
2000-07-05,31026348840
2000-07-06,30499953700
2000-07-07,30143862870
2000-07-10,29927111929
2000-07-11,29927111929
2000-07-12,30840562320
2000-07-13,30360613810
2000-07-14,29230412480
2000-07-17,29447163420
2000-07-18,29276859110
2000-07-19,28626606289
2000-07-20,28626606289
2000-07-21,27837013580
2000-07-24,28285997670
2000-07-25,27806049160
2000-07-26,27759602530
2000-07-27,27837013580
2000-07-28,28843357230
2000-07-31,28967214910
2000-08-01,29493610050
2000-08-02,29663914360
2000-08-03,29880665300
2000-08-04,29106554800
2000-08-07,27976353470
2000-08-08,27976353470
2000-08-09,27542851590
2000-08-10,28239551039
2000-08-11,28316962090
2000-08-14,27806049160
2000-08-15,27976353470
2000-08-16,28316962090
2000-08-17,28502748610
2000-08-18,28022800100
2000-08-21,29106554800
2000-08-22,29199448060
2000-08-23,28967214910
2000-08-24,28502748610
2000-08-25,29153001429
2000-08-28,30112898450
2000-08-29,29632949940
2000-08-30,30143862870
2000-08-31,30453507070
2000-09-01,30236756130
2000-09-05,29756807620
2000-09-06,29493610050
2000-09-07,30066451820
2000-09-08,30763151270
2000-09-11,31274064200
2000-09-12,31243099780
2000-09-13,30794115690
2000-09-14,30623811380
2000-09-15,30190309500
2000-09-18,30794115690
2000-09-19,30283202759
2000-09-20,30577364750
2000-09-21,32017210280
2000-09-22,33766700009
2000-09-25,33410609179
2000-09-26,32233961220
2000-09-27,32543605420
2000-09-28,32373301110
2000-09-29,33100964980
2000-10-02,33324876900
2000-10-03,33541372620
2000-10-04,32938277400
2000-10-05,33108381180
2000-10-06,33324876900
2000-10-09,33154773120
2000-10-10,34113539879
2000-10-11,34809418980
2000-10-12,34592923260
2000-10-13,34933130820
2000-10-16,35072306640
2000-10-17,35799113700
2000-10-18,35458906140
2000-10-19,33897044160
2000-10-20,33943436100
2000-10-23,34283643660
2000-10-24,34237251720
2000-10-25,35768185740
2000-10-26,35505298080
2000-10-27,35938289520
2000-10-30,37546543440
2000-10-31,36711488520
2000-11-01,36757880460
2000-11-02,37190871900
2000-11-03,36680560560
2000-11-06,36587776680
2000-11-07,36371280960
2000-11-08,36494992800
2000-11-09,36417672900
2000-11-10,36541384740
2000-11-13,35629009920
2000-11-14,35366122260
2000-11-15,37020768120
2000-11-16,36757880460
2000-11-17,36247569120
2000-11-20,36634168620
2000-11-21,37453759560
2000-11-22,37237263840
2000-11-24,36897056280
2000-11-27,36850664340
2000-11-28,38072318760
2000-11-29,38768197860
2000-11-30,38288814480
2000-12-01,36757880460
2000-12-04,37592935380
2000-12-05,37376439660
2000-12-06,35582617980
2000-12-07,35505298080
2000-12-08,34546531320
2000-12-11,34809418980
2000-12-12,34886738880
2000-12-13,36015609420
2000-12-14,33464052720
2000-12-15,32551677900
2000-12-18,34453747440
2000-12-19,34979522760
2000-12-20,33943436100
2000-12-21,33464052720
2000-12-22,32938277400
2000-12-26,33510444660
2000-12-27,33757868339
2000-12-28,33726940379
2000-12-29,33680548440
2001-01-02,33478638080
2001-01-03,32736043520
2001-01-04,29734723840
2001-01-05,29904901759
2001-01-08,29610958080
2001-01-09,30260728319
2001-01-10,29610958080
2001-01-11,29255131520
2001-01-12,30307140480
2001-01-16,31297266560
2001-01-17,30771262080
2001-01-18,31343678720
2001-01-19,30647496319
2001-01-22,30740320640
2001-01-23,30601084160
2001-01-24,30090550400
2001-01-25,31730446720
2001-01-26,32132685440
2001-01-29,31606680960
2001-01-30,31328208000
2001-01-31,31204442240
2001-02-01,31993448960
2001-02-02,31653093120
2001-02-05,32225509759
2001-02-06,32813397120
2001-02-07,33076399360
2001-02-08,33586933120
2001-02-09,33664286720
2001-02-12,34437822720
2001-02-13,33153752960
2001-02-14,32983575040
2001-02-15,33354872319
2001-02-16,33741640319
2001-02-20,33849935360
2001-02-21,34778178560
2001-02-22,34747237120
2001-02-23,34020113279
2001-02-26,34221232640
2001-02-27,33818993920
2001-02-28,34081996160
2001-03-01,34654412800
2001-03-02,34561588480
2001-03-05,34066525440
2001-03-06,33401284480
2001-03-07,32782455680
2001-03-08,33741640319
2001-03-09,33215635840
2001-03-12,32828867840
2001-03-13,33308460160
2001-03-14,32194568319
2001-03-15,32194568319
2001-03-16,31297266560
2001-03-19,31127088640
2001-03-20,30121491840
2001-03-21,30601084160
2001-03-22,30245257600
2001-03-23,30245257600
2001-03-26,30771262080
2001-03-27,31142559360
2001-03-28,31668563840
2001-03-29,32349275520
2001-03-30,32828867840
2001-04-02,32323550420
2001-04-03,31300849400
2001-04-04,31657245210
2001-04-05,32819405460
2001-04-06,32943369220
2001-04-09,33733638190
2001-04-10,33594178960
2001-04-11,32741928110
2001-04-12,31812199910
2001-04-16,32416523240
2001-04-17,32819405460
2001-04-18,32664450759
2001-04-19,31858686319
2001-04-20,31409317690
2001-04-23,31037426410
2001-04-24,30959949060
2001-04-25,31703731620
2001-04-26,31254362990
2001-04-27,32029136490
2001-04-30,32308054950
2001-05-01,31905172730
2001-05-02,31610758799
2001-05-03,31920668200
2001-05-04,32463009650
2001-05-07,32741928110
2001-05-08,33237783150
2001-05-09,33687151779
2001-05-10,33516701610
2001-05-11,34322466049
2001-05-14,34725348270
2001-05-15,35872013050
2001-05-16,37483541930
2001-05-17,37406064580
2001-05-18,36941200480
2001-05-21,37111650650
2001-05-22,36894714070
2001-05-23,36848227660
2001-05-24,36181922450
2001-05-25,35810031170
2001-05-29,35779040230
2001-05-30,35872013050
2001-05-31,36212913390
2001-06-01,35964985870
2001-06-04,36119940570
2001-06-05,36817236720
2001-06-06,36011472280
2001-06-07,35980481340
2001-06-08,35887508520
2001-06-11,35112735020
2001-06-12,35329671600
2001-06-13,35376158010
2001-06-14,35174716900
2001-06-15,35221203310
2001-06-18,35593094590
2001-06-19,35732553820
2001-06-20,36398859030
2001-06-21,36925705010
2001-06-22,36243904330
2001-06-25,36135436040
2001-06-26,35856517580
2001-06-27,34833816560
2001-06-28,35252194250
2001-06-29,33439224259
2001-07-02,34447229400
2001-07-03,34369645550
2001-07-05,34136894000
2001-07-06,33004169790
2001-07-09,33423122580
2001-07-10,33764491520
2001-07-11,35005833120
2001-07-12,34183444310
2001-07-13,34602397100
2001-07-16,34711014490
2001-07-17,34990316350
2001-07-18,35967872860
2001-07-19,35998906400
2001-07-20,36479926270
2001-07-23,35859255470
2001-07-24,35781671620
2001-07-25,35921322550
2001-07-26,36169590870
2001-07-27,35952356090
2001-07-30,36479926270
2001-07-31,37379898930
2001-08-01,37038529990
2001-08-02,36278208260
2001-08-03,36464409500
2001-08-06,36076490250
2001-08-07,36681644280
2001-08-08,36185107640
2001-08-09,35983389630
2001-08-10,36479926270
2001-08-13,36666127510
2001-08-14,36479926270
2001-08-15,37085080300
2001-08-16,36960946140
2001-08-17,36479926270
2001-08-20,36960946140
2001-08-21,36790261670
2001-08-22,36945429370
2001-08-23,36479926270
2001-08-24,36619577200
2001-08-27,36324758570
2001-08-28,35859255470
2001-08-29,35579953610
2001-08-30,35098933740
2001-08-31,34679980950
2001-09-04,35300651750
2001-09-05,36014423170
