,ACGL
2000-01-03,178757717
2000-01-04,177361173
2000-01-05,194119709
2000-01-06,192723164
2000-01-07,202498977
2000-01-10,209481700
2000-01-11,210878245
2000-01-12,210878245
2000-01-13,220654057
2000-01-14,230429870
2000-01-18,240205683
2000-01-19,245791861
2000-01-20,240205683
2000-01-21,242998772
2000-01-24,240205683
2000-01-25,240205683
2000-01-26,234619504
2000-01-27,237412593
2000-01-28,234619504
2000-01-31,227636781
2000-02-01,219257513
2000-02-02,217860968
2000-02-03,213671334
2000-02-04,217860968
2000-02-07,224843691
2000-02-08,229033325
2000-02-09,224843691
2000-02-10,224843691
2000-02-11,220654057
2000-02-14,219257513
2000-02-15,222050602
2000-02-16,226240236
2000-02-17,230429870
2000-02-18,220654057
2000-02-22,217860968
2000-02-23,220654057
2000-02-24,231826415
2000-02-25,217860968
2000-02-28,224843691
2000-02-29,236016049
2000-03-01,230429870
2000-03-02,233222959
2000-03-03,233222959
2000-03-06,230429870
2000-03-07,231826415
2000-03-08,231826415
2000-03-09,233222959
2000-03-10,231826415
2000-03-13,230429870
2000-03-14,230429870
2000-03-15,231826415
2000-03-16,231826415
2000-03-17,230429870
2000-03-20,231826415
2000-03-21,233222959
2000-03-22,233222959
2000-03-23,233222959
2000-03-24,240205683
2000-03-27,240205683
2000-03-28,242998772
2000-03-29,245791861
2000-03-30,248584951
2000-03-31,202774096
2000-04-03,198317523
2000-04-04,205002383
2000-04-05,198317523
2000-04-06,198317523
2000-04-07,203888240
2000-04-10,197203380
2000-04-11,193860949
2000-04-12,191632663
2000-04-13,193860949
2000-04-14,192746806
2000-04-17,196089236
2000-04-18,201659953
2000-04-19,191632663
2000-04-20,190518519
2000-04-24,187176089
2000-04-25,190518519
2000-04-26,192746806
2000-04-27,196089236
2000-04-28,190518519
2000-05-01,191632663
2000-05-02,189404376
2000-05-03,191632663
2000-05-04,198317523
2000-05-05,198317523
2000-05-08,193860949
2000-05-09,188290232
2000-05-10,193860949
2000-05-11,186061946
2000-05-12,190518519
2000-05-15,190518519
2000-05-16,191632663
2000-05-17,187176089
2000-05-18,187176089
2000-05-19,188290232
2000-05-22,187176089
2000-05-23,190518519
2000-05-24,189404376
2000-05-25,186061946
2000-05-26,188290232
2000-05-30,183833659
2000-05-31,186061946
2000-06-01,187176089
2000-06-02,190518519
2000-06-05,186061946
2000-06-06,186061946
2000-06-07,187176089
2000-06-08,189404376
2000-06-09,186061946
2000-06-12,186061946
2000-06-13,186061946
2000-06-14,186061946
2000-06-15,183833659
2000-06-16,180491229
2000-06-19,186061946
2000-06-20,186061946
2000-06-21,196089236
2000-06-22,193860949
2000-06-23,193860949
2000-06-26,192746806
2000-06-27,192746806
2000-06-28,192746806
2000-06-29,192746806
2000-06-30,185296233
2000-07-03,185296233
2000-07-05,188644960
2000-07-06,194226172
2000-07-07,196458657
2000-07-10,194226172
2000-07-11,196458657
2000-07-12,196458657
2000-07-13,195342414
2000-07-14,196458657
2000-07-17,194226172
2000-07-18,196458657
2000-07-19,195342414
2000-07-20,194226172
2000-07-21,194226172
2000-07-24,194226172
2000-07-25,194226172
2000-07-26,187528718
2000-07-27,188644960
2000-07-28,190877445
2000-07-31,191993687
2000-08-01,196458657
2000-08-02,196458657
2000-08-03,191993687
2000-08-04,191993687
2000-08-07,195342414
2000-08-08,191993687
2000-08-09,186412475
2000-08-10,184179991
2000-08-11,184179991
2000-08-14,188644960
2000-08-15,186412475
2000-08-16,184179991
2000-08-17,186412475
2000-08-18,186412475
2000-08-21,186412475
2000-08-22,187528718
2000-08-23,188644960
2000-08-24,186412475
2000-08-25,188644960
2000-08-28,196458657
2000-08-29,191993687
2000-08-30,188644960
2000-08-31,188644960
