,ADBE
2000-01-03,7777548250
2000-01-04,7125094250
2000-01-05,7265965000
2000-01-06,7325279000
2000-01-07,7681163000
2000-01-10,7977733000
2000-01-11,7429078500
2000-01-12,7392007250
2000-01-13,7784962500
2000-01-14,7866519250
2000-01-18,7592192000
2000-01-19,7488392500
2000-01-20,7569949250
2000-01-21,7458735500
2000-01-24,7184408250
2000-01-25,7473564000
2000-01-26,7258550750
2000-01-27,7436492750
2000-01-28,6828524250
2000-01-31,6531954250
2000-02-01,6628339500
2000-02-02,7273379250
2000-02-03,8192746250
2000-02-04,8778472000
2000-02-07,9141770250
2000-02-08,9935095000
2000-02-09,10387364250
2000-02-10,10824805000
2000-02-11,10728419750
2000-02-14,10632034500
2000-02-15,10543063500
2000-02-16,11647786750
2000-02-17,12048156250
2000-02-18,11655201000
2000-02-22,11658908362
2000-02-23,11818314500
2000-02-24,12619053500
2000-02-25,11684858000
2000-02-28,11603301250
2000-02-29,12100056000
2000-03-01,11907285500
2000-03-02,9564382500
2000-03-03,10762443750
2000-03-06,10190920875
2000-03-07,9641665125
2000-03-08,9389304375
2000-03-09,9277968750
2000-03-10,9886603500
2000-03-13,9753000750
2000-03-14,9671354625
2000-03-15,9923715375
2000-03-16,11215208625
2000-03-17,10413592125
2000-03-20,10383902625
2000-03-21,10888624125
2000-03-22,12113316000
2000-03-23,12655149375
2000-03-24,12848131125
2000-03-27,13493877750
2000-03-28,13196982750
2000-03-29,13226672250
2000-03-30,12729373125
2000-03-31,13219249875
2000-04-03,12536391375
2000-04-04,12083626500
2000-04-05,12729373125
2000-04-06,13612635750
2000-04-07,14844750000
2000-04-10,13916953125
2000-04-11,14191581000
2000-04-12,13308318375
2000-04-13,13486455375
2000-04-14,11616016875
2000-04-17,13456765875
2000-04-18,13894686000
2000-04-19,13375119750
2000-04-20,13375119750
2000-04-24,12439900500
2000-04-25,14250960000
2000-04-26,13642325250
2000-04-27,14659190625
2000-04-28,14362295625
2000-05-01,15520186125
2000-05-02,13716549000
2000-05-03,13389964500
2000-05-04,13530989625
2000-05-05,14213848125
