,AIG
2000-01-03,142262400000
2000-01-04,134990360000
2000-01-05,135300080000
2000-01-06,139438960000
2000-01-07,149875480000
2000-01-10,147223720000
2000-01-11,144828320000
2000-01-12,149191080000
2000-01-13,153297480000
2000-01-14,156119760000
2000-01-18,148335000000
2000-01-19,145426880000
2000-01-20,142775120000
2000-01-21,142262400000
2000-01-24,139010920000
2000-01-25,140893600000
2000-01-26,144400280000
2000-01-27,144058080000
2000-01-28,139609480000
2000-01-31,142860960000
2000-02-01,140123360000
2000-02-02,140037520000
2000-02-03,138668720000
2000-02-04,137898480000
2000-02-07,133621560000
2000-02-08,131312000000
2000-02-09,133193520000
2000-02-10,129088279999
2000-02-11,129772680000
2000-02-14,128232200000
2000-02-15,131996400000
2000-02-16,128660240000
2000-02-17,126778720000
2000-02-18,122414800000
2000-02-22,118736440000
2000-02-23,117025440000
2000-02-24,113775120000
2000-02-25,114459520000
2000-02-28,119336160000
2000-02-29,121047160000
2000-03-01,122586480000
2000-03-02,119078640000
2000-03-03,119592520000
2000-03-06,116000000000
2000-03-07,111465560000
2000-03-08,113604600000
2000-03-09,113518760000
2000-03-10,113604600000
2000-03-13,118052040000
2000-03-14,117367640000
2000-03-15,125152400000
2000-03-16,136787200000
2000-03-17,133279360000
2000-03-20,135504240000
2000-03-21,137556280000
2000-03-22,136188640000
2000-03-23,142775120000
2000-03-24,147309560000
2000-03-27,142518760000
2000-03-28,142689280000
2000-03-29,145683240000
2000-03-30,148763040000
2000-03-31,149423269500
2000-04-03,160510635000
2000-04-04,156757792500
2000-04-05,149934442500
2000-04-06,151725861000
2000-04-07,148399767000
2000-04-10,154369620000
2000-04-11,158208043500
2000-04-12,157781295000
2000-04-13,154710787500
2000-04-14,141320830500
2000-04-17,138677071500
2000-04-18,143537841000
2000-04-19,143282254500
2000-04-20,147887437500
2000-04-24,152663782500
2000-04-25,156928954500
2000-04-26,155564284500
2000-04-27,150873520500
2000-04-28,149678856000
2000-05-01,150191185500
2000-05-02,152834944500
2000-05-03,149508850500
2000-05-04,150105604500
2000-05-05,152238190500
2000-05-08,157695714000
2000-05-09,155564284500
2000-05-10,155989876500
2000-05-11,157525708500
2000-05-12,156790174500
2000-05-15,164347902000
2000-05-16,167418409500
2000-05-17,161192970000
2000-05-18,162302053500
2000-05-19,158804797500
2000-05-22,163239975000
2000-05-23,154966374000
2000-05-24,156928954500
2000-05-25,156416625000
2000-05-26,154966374000
2000-05-30,156075457500
2000-05-31,153601704000
2000-06-01,159998305500
2000-06-02,161875305000
2000-06-05,157952457000
2000-06-06,159145965000
2000-06-07,163068813000
2000-06-08,163239975000
2000-06-09,160425054000
2000-06-12,163154394000
2000-06-13,166907236500
2000-06-14,165798153000
2000-06-15,168954241500
2000-06-16,161021808000
2000-06-19,160510635000
2000-06-20,157013379000
2000-06-21,158036881500
2000-06-22,157354546500
2000-06-23,160339473000
2000-06-26,160510635000
2000-06-27,162898807500
2000-06-28,164433483000
2000-06-29,166992817500
2000-06-30,180650526000
2000-07-03,182188066000
2000-07-05,185455990000
2000-07-06,184013569000
2000-07-07,187185071000
2000-07-10,186897108000
2000-07-11,186704264000
2000-07-12,186609145000
2000-07-13,184878761000
2000-07-14,184302835000
2000-07-17,183534065000
2000-07-18,183246102000
2000-07-19,183341221000
2000-07-20,187377915000
2000-07-21,181612140000
2000-07-24,183341221000
2000-07-25,190260151000
2000-07-26,191989232000
2000-07-27,199292547000
2000-07-28,197274200000
2000-07-31,202222994000
2000-08-01,202943553000
2000-08-02,197753704000
2000-08-03,199484088000
2000-08-04,204384671000
2000-08-07,205249863000
2000-08-08,204240038000
2000-08-09,202366324000
2000-08-10,199051492000
2000-08-11,199772051000
2000-08-14,202222994000
2000-08-15,199916684000
2000-08-16,198763529000
2000-08-17,200780573000
2000-08-18,200060014000
2000-08-21,202798920000
2000-08-22,201501132000
2000-08-23,198763529000
2000-08-24,195448697000
2000-08-25,195016101000
2000-08-28,199627418000
2000-08-29,198763529000
2000-08-30,201790398000
2000-08-31,205537826000
2000-09-01,204096708000
2000-09-05,204384671000
2000-09-06,202366324000
2000-09-07,200204647000
2000-09-08,204817267000
2000-09-11,211158968000
2000-09-12,213897874000
2000-09-13,211734894000
2000-09-14,211446931000
2000-09-15,208132099000
2000-09-18,203807442000
2000-09-19,207844136000
2000-09-20,204240038000
2000-09-21,204528001000
2000-09-22,211446931000
2000-09-25,213177315000
2000-09-26,212744719000
2000-09-27,214761763000
2000-09-28,218509191000
2000-09-29,220672171000
2000-10-02,199446135000
2000-10-03,198413340000
2000-10-04,197767989000
2000-10-05,198284970000
2000-10-06,193378902000
2000-10-09,192733551000
2000-10-10,191830293000
2000-10-11,194411697000
2000-10-12,186150504000
2000-10-13,191442849000
2000-10-16,191055405000
2000-10-17,189506796000
2000-10-18,192217737000
2000-10-19,195444492000
2000-10-20,196348917000
2000-10-23,197122638000
2000-10-24,201383355000
2000-10-25,205255461000
2000-10-26,192733551000
2000-10-27,195574029000
2000-10-30,204481740000
2000-10-31,202416150000
2000-11-01,200478930000
2000-11-02,198800784000
2000-11-03,196089843000
2000-11-06,202028706000
2000-11-07,205255461000
2000-11-08,204222666000
2000-11-09,207578958000
2000-11-10,206933607000
2000-11-13,201899169000
2000-11-14,203577315000
2000-11-15,202416150000
2000-11-16,202674057000
2000-11-17,200995911000
2000-11-20,200091486000
2000-11-21,197122638000
2000-11-22,191055405000
2000-11-24,191830293000
2000-11-27,191442849000
2000-11-28,193508439000
2000-11-29,198284970000
2000-11-30,200221023000
2000-12-01,201253818000
2000-12-04,203706852000
2000-12-05,206675700000
2000-12-06,209128734000
2000-12-07,210289899000
2000-12-08,214163172000
2000-12-11,206675700000
2000-12-12,205513368000
2000-12-13,201899169000
2000-12-14,199446135000
