,ALGN
2001-01-30,566561250
2001-01-31,453249000
2001-02-01,476331125
2001-02-02,474232750
2001-02-05,474232750
2001-02-06,470036000
2001-02-07,438560375
2001-02-08,438560375
2001-02-09,402888000
2001-02-12,371412375
2001-02-13,384002625
2001-02-14,390297750
2001-02-15,430166875
2001-02-16,438560375
2001-02-20,428068500
2001-02-21,413379875
2001-02-22,406560156
2001-02-23,371412375
2001-02-26,302166000
2001-02-27,253903375
2001-02-28,251805000
2001-03-01,253903375
2001-03-02,251805000
2001-03-05,224526125
2001-03-06,251805000
2001-03-07,262296875
2001-03-08,284329812
2001-03-09,272788750
2001-03-12,285379000
2001-03-13,318953000
2001-03-14,344133500
2001-03-15,316854625
2001-03-16,276985500
2001-03-19,297969250
2001-03-20,274887125
2001-03-21,274887125
2001-03-22,260198500
2001-03-23,262296875
2001-03-26,251805000
2001-03-27,248657437
2001-03-28,253903375
2001-03-29,243411500
2001-03-30,243411500
2001-04-02,322755500
2001-04-03,297714125
2001-04-04,292149375
2001-04-05,292149375
2001-04-06,294931750
2001-04-09,291592900
2001-04-10,318303700
2001-04-11,293818800
2001-04-12,267108000
2001-04-16,242623100
2001-04-17,258204400
2001-04-18,324091040
2001-04-19,318303700
2001-04-20,273785700
2001-04-23,296044700
2001-04-24,370834940
2001-04-25,356144000
2001-04-26,391758400
2001-04-27,389532500
2001-04-30,389532500
2001-05-01,378403000
2001-05-02,389532500
2001-05-03,387306599
2001-05-04,382854800
2001-05-07,391758400
2001-05-08,422921000
2001-05-09,407339700
2001-05-10,395765020
2001-05-11,391758400
2001-05-14,409565599
2001-05-15,436276400
2001-05-16,450967340
2001-05-17,487917280
2001-05-18,491923900
2001-05-21,531990099
2001-05-22,537332260
2001-05-23,534661180
2001-05-24,514628080
2001-05-25,451857700
2001-05-29,442954099
2001-05-30,411791500
2001-05-31,445180000
2001-06-01,447405900
2001-06-04,451857700
2001-06-05,456309500
2001-06-06,440728200
2001-06-07,425146900
2001-06-08,414017400
2001-06-11,412236680
2001-06-12,395319840
2001-06-13,400662000
2001-06-14,400216820
2001-06-15,396210200
2001-06-18,401552360
2001-06-19,379738540
2001-06-20,375286740
2001-06-21,367718680
2001-06-22,348130760
2001-06-25,342788600
2001-06-26,377957820
2001-06-27,354363280
2001-06-28,356144000
2001-06-29,349021120
2001-07-02,360280000
2001-07-03,359829650
2001-07-05,358028250
2001-07-06,355326150
2001-07-09,350372300
2001-07-10,355776500
2001-07-11,351273000
2001-07-12,343166700
2001-07-13,337762500
2001-07-16,342266000
2001-07-17,345418450
2001-07-18,344517750
2001-07-19,341815650
2001-07-20,332358300
2001-07-23,333259000
2001-07-24,332808650
2001-07-25,316145700
2001-07-26,323801650
2001-07-27,342266000
2001-07-30,330556900
2001-07-31,335961100
2001-08-01,337762500
2001-08-02,335510750
2001-08-03,337762500
2001-08-06,346319150
2001-08-07,351273000
2001-08-08,335510750
2001-08-09,340464600
2001-08-10,340014250
2001-08-13,344517750
2001-08-14,355326150
2001-08-15,346769500
2001-08-16,337762500
2001-08-17,331907950
2001-08-20,317496750
2001-08-21,312993250
2001-08-22,319748500
2001-08-23,311191850
2001-08-24,313443600
2001-08-27,315245000
2001-08-28,306688350
2001-08-29,300833800
2001-08-30,297231000
2001-08-31,297231000
2001-09-04,309390450
2001-09-05,315245000
2001-09-06,298582050
2001-09-07,299482750
2001-09-10,292727500
2001-09-17,249944250
2001-09-18,227426750
2001-09-19,201756800
2001-09-20,173384750
2001-09-21,166629500
2001-09-24,153119000
2001-09-25,138257450
2001-09-26,121594500
2001-09-27,113938549
2001-09-28,98176300
2001-10-01,131141780
2001-10-02,153074900
2001-10-03,154902660
2001-10-04,146220800
2001-10-05,137538940
2001-10-08,138452820
2001-10-09,136625060
2001-10-10,146220800
2001-10-11,176835780
2001-10-12,185060700
2001-10-15,180491300
2001-10-16,191000920
2001-10-17,181405180
2001-10-18,179577420
2001-10-19,207907700
2001-10-22,255429460
2001-10-23,221615899
2001-10-24,212477100
2001-10-25,185517639
2001-10-26,194199500
2001-10-29,192371740
2001-10-30,191000920
2001-10-31,199225840
2001-11-01,209735460
2001-11-02,228013060
2001-11-05,243549020
2001-11-06,251317000
2001-11-07,224357540
2001-11-08,230754700
2001-11-09,226185300
2001-11-12,217046500
2001-11-13,177749660
2001-11-14,140280580
2001-11-15,183232940
2001-11-16,212477100
2001-11-19,209278520
2001-11-20,207907700
2001-11-21,199682780
2001-11-23,194199500
2001-11-26,182776000
2001-11-27,190543980
2001-11-28,197855020
2001-11-29,194199500
2001-11-30,182776000
2001-12-03,178663540
2001-12-04,181405180
2001-12-05,198768899
2001-12-06,191000920
2001-12-07,185060700
2001-12-10,180034360
2001-12-11,180491300
2001-12-12,178206600
2001-12-13,177749660
2001-12-14,176378840
2001-12-17,185060700
2001-12-18,185060700
2001-12-19,175921900
2001-12-20,205623000
2001-12-21,228470000
2001-12-24,217046500
2001-12-26,219331200
2001-12-27,215675680
2001-12-28,210192399
2001-12-31,207684000
2002-01-02,198453600
2002-01-03,206760960
2002-01-04,207684000
2002-01-07,231221520
2002-01-08,242298000
2002-01-09,275988960
2002-01-10,225221760
2002-01-11,243682560
2002-01-14,254759039
2002-01-15,253836000
2002-01-16,271373760
2002-01-17,263066400
2002-01-18,244605600
2002-01-22,225683280
2002-01-23,203991840
2002-01-24,198453600
2002-01-25,205376400
2002-01-28,198453600
2002-01-29,191530800
2002-01-30,209991600
2002-01-31,225221760
2002-02-01,228452400
2002-02-04,234452160
2002-02-05,226144800
2002-02-06,224760240
2002-02-07,215991360
2002-02-08,201222720
2002-02-11,210914640
2002-02-12,226144800
2002-02-13,220606560
2002-02-14,208145520
2002-02-15,221529600
2002-02-19,213683760
2002-02-20,205376400
2002-02-21,200761199
2002-02-22,203068800
2002-02-25,196146000
2002-02-26,192453840
2002-02-27,199838160
2002-02-28,196146000
2002-03-01,200299680
2002-03-04,203068800
2002-03-05,191530800
2002-03-06,186915600
2002-03-07,188761680
2002-03-08,207684000
2002-03-11,220606560
2002-03-12,213222240
2002-03-13,214145280
2002-03-14,219222000
2002-03-15,216914400
2002-03-18,228452400
2002-03-19,207684000
2002-03-20,208145520
2002-03-21,197069039
2002-03-22,203068800
2002-03-25,223837199
2002-03-26,232144560
2002-03-27,228452400
2002-03-28,244605600
2002-04-01,255236480
2002-04-02,242195200
2002-04-03,232880000
2002-04-04,232880000
2002-04-05,222633280
2002-04-08,209592000
2002-04-09,212852320
2002-04-10,211455040
2002-04-11,209126240
2002-04-12,202605599
2002-04-15,204934400
2002-04-16,206331680
2002-04-17,199811040
2002-04-18,205865920
2002-04-19,209592000
2002-04-22,210057760
2002-04-23,206331680
2002-04-24,207728960
2002-04-25,194221920
2002-04-26,158358400
2002-04-29,172331200
2002-04-30,179317600
2002-05-01,181180640
2002-05-02,186304000
2002-05-03,185838240
2002-05-06,187235519
2002-05-07,184440960
2002-05-08,186769760
2002-05-09,186304000
2002-05-10,188632800
2002-05-13,178386080
2002-05-14,182112160
2002-05-15,186304000
2002-05-16,188167040
2002-05-17,188632800
2002-05-20,185372480
2002-05-21,186304000
2002-05-22,175591520
2002-05-23,182112160
2002-05-24,175591520
2002-05-28,182577920
2002-05-29,186304000
2002-05-30,186304000
2002-05-31,179317600
2002-06-03,186304000
2002-06-04,188632800
2002-06-05,185372480
2002-06-06,186304000
2002-06-07,186304000
2002-06-10,188632800
2002-06-11,154632320
2002-06-12,179317600
2002-06-13,183043680
2002-06-14,166742080
2002-06-17,186304000
2002-06-18,186304000
2002-06-19,176988800
2002-06-20,181646400
2002-06-21,176057280
2002-06-24,184906720
2002-06-25,158358400
2002-06-26,167673600
2002-06-27,175591520
2002-06-28,182577920
2002-07-01,164269000
2002-07-02,159575600
2002-07-03,145495400
2002-07-05,143148700
2002-07-08,136108600
2002-07-09,132353879
2002-07-10,81665160
2002-07-11,79787800
2002-07-12,94806680
2002-07-15,101377440
2002-07-16,103254800
2002-07-17,107009519
2002-07-18,114988300
2002-07-19,106540180
2002-07-22,116865660
2002-07-23,109356220
2002-07-24,100908100
2002-07-25,93398660
2002-07-26,95745360
2002-07-29,107948199
2002-07-30,117335000
2002-07-31,110294900
2002-08-01,116865660
2002-08-02,102316120
2002-08-05,110294900
2002-08-06,110294900
2002-08-07,118273680
2002-08-08,114518960
2002-08-09,110294900
2002-08-12,114988300
2002-08-13,111233580
2002-08-14,114049620
2002-08-15,110294900
2002-08-16,114518960
2002-08-19,111702920
2002-08-20,109825560
2002-08-21,111702920
2002-08-22,114988300
2002-08-23,113110940
2002-08-26,119681699
2002-08-27,133292560
2002-08-28,131884540
2002-08-29,156759560
2002-08-30,140802000
2002-09-03,147842100
2002-09-04,155820880
2002-09-05,148780780
2002-09-06,152535500
2002-09-09,153474180
2002-09-10,153004840
2002-09-11,146434080
2002-09-12,141271340
2002-09-13,152535500
2002-09-16,146434080
2002-09-17,146903420
2002-09-18,150658140
2002-09-19,144556720
2002-09-20,149250120
2002-09-23,136108600
2002-09-24,127660480
2002-09-25,136108600
2002-09-26,138455300
2002-09-27,122028400
2002-09-30,157269750
2002-10-01,168707550
2002-10-02,166419990
2002-10-03,164132430
2002-10-04,142972500
2002-10-07,138969270
2002-10-08,137253600
2002-10-09,114949889
2002-10-10,118381229
2002-10-11,128675250
2002-10-14,115521780
2002-10-15,120668790
2002-10-16,114949889
2002-10-17,122956350
2002-10-18,120668790
2002-10-21,140113050
2002-10-22,128675250
2002-10-23,141256830
2002-10-24,113806110
2002-10-25,113806110
2002-10-28,108087210
2002-10-29,97793190
2002-10-30,98936970
2002-10-31,101224530
2002-11-01,104083980
2002-11-04,97793190
2002-11-05,97221300
2002-11-06,98365080
2002-11-07,92074290
2002-11-08,89786730
