,ALK
2000-01-03,924910000
2000-01-04,913348625
2000-01-05,918303500
2000-01-06,919129365
2000-01-07,952987625
2000-01-10,936471375
2000-01-11,936471375
2000-01-12,910045375
2000-01-13,908393750
2000-01-14,903438875
2000-01-18,901787250
2000-01-19,880316125
2000-01-20,858845000
2000-01-21,840677125
2000-01-24,796083250
2000-01-25,805993000
2000-01-26,852238500
2000-01-27,842328750
2000-01-28,862148250
2000-01-31,842328750
2000-02-01,839025500
2000-02-02,840677125
2000-02-03,822509250
2000-02-04,810947875
2000-02-07,802689750
2000-02-08,794431625
2000-02-09,781218625
2000-02-10,787825125
2000-02-11,771308875
2000-02-14,721760125
2000-02-15,731669875
2000-02-16,734973125
2000-02-17,749837750
2000-02-18,743231250
2000-02-22,725063375
2000-02-23,716805250
2000-02-24,720108500
2000-02-25,703592250
2000-02-28,715153625
2000-02-29,700289000
2000-03-01,705243875
2000-03-02,690379250
2000-03-03,718456875
2000-03-06,688727625
2000-03-07,673863000
2000-03-08,706895500
2000-03-09,687076000
2000-03-10,710198750
2000-03-13,715153625
2000-03-14,685424375
2000-03-15,794431625
2000-03-16,858845000
2000-03-17,810947875
2000-03-20,792780000
2000-03-21,835722250
2000-03-22,764702375
2000-03-23,802689750
2000-03-24,768005625
2000-03-27,764702375
2000-03-28,786173500
2000-03-29,772960500
2000-03-30,761399125
2000-03-31,794912625
2000-04-03,766818000
2000-04-04,766818000
2000-04-05,819702000
2000-04-06,816396750
2000-04-07,791607375
2000-04-10,803175750
2000-04-11,829617750
2000-04-12,829617750
2000-04-13,824659875
2000-04-14,783344250
2000-04-17,765165375
2000-04-18,786649500
2000-04-19,804828375
2000-04-20,786649500
2000-04-24,751944375
2000-04-25,786649500
2000-04-26,765165375
2000-04-27,760207500
2000-04-28,760207500
2000-05-01,789954750
2000-05-02,773428500
2000-05-03,763512750
2000-05-04,784996875
2000-05-05,796565250
2000-05-08,819702000
2000-05-09,799870500
2000-05-10,780039000
2000-05-11,788302125
2000-05-12,760207500
2000-05-15,771775875
2000-05-16,788302125
2000-05-17,796565250
2000-05-18,768470625
2000-05-19,756902250
2000-05-22,738723375
2000-05-23,755249625
2000-05-24,793260000
2000-05-25,804828375
