,AM
2017-05-03,6286960900
2017-05-04,4095740000
2017-05-05,4147867600
2017-05-08,4101325100
2017-05-09,4095740000
2017-05-10,4010101800
2017-05-11,3956112500
2017-05-12,4002655000
2017-05-15,3963559300
2017-05-16,3974729500
2017-05-17,3909570000
2017-05-18,3911431700
2017-05-19,3909570000
2017-05-22,4078984700
2017-05-23,4101325100
2017-05-24,4036165600
2017-05-25,4106910200
2017-05-26,4090154900
2017-05-30,4116218700
2017-05-31,4110633599
2017-06-01,4201856900
2017-06-02,4147867600
2017-06-05,4151591000
2017-06-06,4198133500
2017-06-07,4140420799
2017-06-08,4097601700
2017-06-09,4092016600
2017-06-12,4026857100
2017-06-13,4108771900
2017-06-14,4103186800
2017-06-15,3905846600
2017-06-16,3980314600
2017-06-19,3961697600
2017-06-20,3825793500
2017-06-21,3807176500
2017-06-22,3838825400
2017-06-23,3887229600
2017-06-26,3969144400
2017-06-27,3997069900
2017-06-28,4099463400
2017-06-29,4030580499
2017-06-30,4092082540
2017-07-03,4079050430
2017-07-05,3931973760
2017-07-06,3969208360
2017-07-07,3943144140
2017-07-10,3918941650
2017-07-11,3974793550
2017-07-12,4000857769
2017-07-13,4039954100
2017-07-14,4004581230
2017-07-17,4051124480
2017-07-18,4015751610
2017-07-19,3980378740
2017-07-20,3965484900
2017-07-21,3931973760
2017-07-24,3913356460
2017-07-25,3911494730
2017-07-26,3911494730
2017-07-27,3913356460
2017-07-28,3926388570
2017-07-31,3952452790
2017-08-01,4008304690
2017-08-02,3902186080
2017-08-03,3777450170
2017-08-04,3784897089
2017-08-07,3725321730
2017-08-08,3630373500
2017-08-09,3606171010
2017-08-10,3526116620
2017-08-11,3531701810
2017-08-14,3550319110
2017-08-15,3483296830
2017-08-16,3468402990
2017-08-17,3440477040
2017-08-18,3419998010
2017-08-21,3377178220
2017-08-22,3380901680
2017-08-23,3431168390
2017-08-24,3440477040
2017-08-25,3421859740
2017-08-28,3364146110
2017-08-29,3339943620
2017-08-30,3434891850
2017-08-31,3548457380
2017-09-01,3593138900
2017-09-05,3648990800
2017-09-06,3695534050
2017-09-07,3684363670
2017-09-08,3580106790
2017-09-11,3567074680
2017-09-12,3600585820
2017-09-13,3617341390
2017-09-14,3615479660
2017-09-15,3630373500
2017-09-18,3622926580
2017-09-19,3609894470
2017-09-20,3652714260
2017-09-21,3637820420
2017-09-22,3647129070
2017-09-25,3740215570
2017-09-26,3788620550
2017-09-27,3742077300
2017-09-28,3749524220
2017-09-29,3810961310
2017-10-02,3796230590
2017-10-03,3766441630
2017-10-04,3727343620
2017-10-05,3758994390
2017-10-06,3736652670
2017-10-09,3745961720
2017-10-10,3809263260
2017-10-11,3809263260
2017-10-12,3773888870
2017-10-13,3740376290
2017-10-16,3677074750
2017-10-17,3662180270
2017-10-18,3604464160
2017-10-19,3541162620
2017-10-20,3556057100
2017-10-23,3427592210
2017-10-24,3427592210
2017-10-25,3423868590
2017-10-26,3427592210
2017-10-27,3407112300
2017-10-30,3412697729
2017-10-31,3483446510
2017-11-01,3565366149
2017-11-02,3384770580
2017-11-03,3410835920
2017-11-06,3394079630
2017-11-07,3364290670
2017-11-08,3332639899
2017-11-09,3321469040
2017-11-10,3295403700
2017-11-13,3219069490
2017-11-14,3142735280
2017-11-15,3207898630
2017-11-16,3165077000
2017-11-17,3209760439
2017-11-20,3172524240
2017-11-21,3124117180
2017-11-22,3152044330
2017-11-24,3243273020
2017-11-27,3222793110
2017-11-28,3235825780
2017-11-29,3241411210
2017-11-30,3304712750
2017-12-01,3353119810
2017-12-04,3341948950
2017-12-05,3328916280
2017-12-06,3338225330
2017-12-07,3427592210
2017-12-08,3462966600
2017-12-11,3503926420
2017-12-12,3529991760
2017-12-13,3516959090
2017-12-14,3537439000
2017-12-15,3597016920
