,AMGN
2000-01-03,64393914000
2000-01-04,59472803000
2000-01-05,61519003000
2000-01-06,62542103000
2000-01-07,69570800000
2000-01-10,73796203000
2000-01-11,67974764000
2000-01-12,65028236000
2000-01-13,68353311000
2000-01-14,69887961000
2000-01-18,70655286000
2000-01-19,73663200000
2000-01-20,73468811000
2000-01-21,76415339000
2000-01-24,70849675000
2000-01-25,70982678000
2000-01-26,65611402999
2000-01-27,62797878000
2000-01-28,61068839000
2000-01-31,65161239000
2000-02-01,66818661000
2000-02-02,65161239000
2000-02-03,65478400000
2000-02-04,66122952999
2000-02-07,70788289000
2000-02-08,72128550000
2000-02-09,68353311000
2000-02-10,66695889000
2000-02-11,64076753000
2000-02-14,66562886000
2000-02-15,66562886000
2000-02-16,71494228000
2000-02-17,74430525000
2000-02-18,72957261000
2000-02-22,69059250000
2000-02-23,73090264000
2000-02-24,74236136000
2000-02-25,75259236000
2000-02-28,70020964000
2000-02-29,69765189000
2000-03-01,66562886000
2000-03-02,66818661000
2000-03-03,67841761000
2000-03-06,66051336000
2000-03-07,62409100000
2000-03-08,62797878000
2000-03-09,60362900000
2000-03-10,60935836000
2000-03-13,59339800000
2000-03-14,53456975000
2000-03-15,59851350000
2000-03-16,66245725000
2000-03-17,64588303000
2000-03-20,59339800000
2000-03-21,62542103000
2000-03-22,63176425000
2000-03-23,59022639000
2000-03-24,55820336000
2000-03-27,61774778000
2000-03-28,64260911000
2000-03-29,63687975000
2000-03-30,61641775000
2000-03-31,63067950000
2000-04-03,61012950000
2000-04-04,57992100000
2000-04-05,61269825000
2000-04-06,64023525000
2000-04-07,62615850000
2000-04-10,60499200000
2000-04-11,60756075000
2000-04-12,59995725000
2000-04-13,59399775000
2000-04-14,54200625000
2000-04-17,54847950000
2000-04-18,59985450000
2000-04-19,57540000000
2000-04-20,55485000000
2000-04-24,52721025000
2000-04-25,55803525000
2000-04-26,58824375000
2000-04-27,55618575000
2000-04-28,57540000000
2000-05-01,57416700000
2000-05-02,57673575000
2000-05-03,55228125000
2000-05-04,58115400000
2000-05-05,61197900000
2000-05-08,63581700000
2000-05-09,61588350000
2000-05-10,61454775000
2000-05-11,63324825000
2000-05-12,64095450000
2000-05-15,65955225000
2000-05-16,66468975000
2000-05-17,64650300000
2000-05-18,62872725000
2000-05-19,61526700000
2000-05-22,58762725000
2000-05-23,57087900000
2000-05-24,61269825000
2000-05-25,59533350000
2000-05-26,60622500000
2000-05-30,65122950000
2000-05-31,65379825000
2000-06-01,66592275000
2000-06-02,68842500000
2000-06-05,68904150000
2000-06-06,69356250000
2000-06-07,69870000000
2000-06-08,67496475000
2000-06-09,64352325000
2000-06-12,62677500000
2000-06-13,67496475000
2000-06-14,66078525000
2000-06-15,68267100000
2000-06-16,69870000000
2000-06-19,72315450000
2000-06-20,71925000000
2000-06-21,72243525000
2000-06-22,68523975000
2000-06-23,68462324999
2000-06-26,71863350000
2000-06-27,69232950000
2000-06-28,71031075000
2000-06-29,70126875000
2000-06-30,72505025000
2000-07-03,70698850000
2000-07-05,76179301000
2000-07-06,75601325000
2000-07-07,76313474000
2000-07-10,75477473000
2000-07-11,75539399000
2000-07-12,75735498000
2000-07-13,71669024000
2000-07-14,73021075000
2000-07-17,74703398000
2000-07-18,77263006000
2000-07-19,75797424000
2000-07-20,76437326000
2000-07-21,80503800000
2000-07-24,77149475000
2000-07-25,75993523000
2000-07-26,71607098000
2000-07-27,70698850000
2000-07-28,68510797999
2000-07-31,67024574000
2000-08-01,71214900000
2000-08-02,72566951000
2000-08-03,72443099000
2000-08-04,71349073000
2000-08-07,74445373000
2000-08-08,71730950000
2000-08-09,71152974000
2000-08-10,70120874000
2000-08-11,71927049000
2000-08-14,71669024000
2000-08-15,69924775000
2000-08-16,69862849000
2000-08-17,69986701000
2000-08-18,67994747999
2000-08-21,69408725000
2000-08-22,71276826000
2000-08-23,72824976000
2000-08-24,74961423000
2000-08-25,77025623000
2000-08-28,76117375000
2000-08-29,74445373000
2000-08-30,75405226000
2000-08-31,78243501000
2000-09-01,78893724000
2000-09-05,74827250000
2000-09-06,70244726000
2000-09-07,74311200000
2000-09-08,77345574000
2000-09-11,74569225000
2000-09-12,75085275000
2000-09-13,74249274000
2000-09-14,69604824000
2000-09-15,69800923000
2000-09-18,67282599000
2000-09-19,67798649000
2000-09-20,71349073000
2000-09-21,70636924000
2000-09-22,74373126000
2000-09-25,71927049000
2000-09-26,73857076000
2000-09-27,73671298000
2000-09-28,72505025000
2000-09-29,72071543000
2000-10-02,68452325000
