,AN
2000-01-03,3328656250
2000-01-04,3190918750
2000-01-05,3167962500
2000-01-06,3167962500
2000-01-07,3282743750
2000-01-10,3259787500
2000-01-11,3145006250
2000-01-12,3167962500
2000-01-13,3167962500
2000-01-14,3167962500
2000-01-18,3190918750
2000-01-19,3259787500
2000-01-20,3259787500
2000-01-21,3213875000
2000-01-24,3167962500
2000-01-25,3030225000
2000-01-26,2915443750
2000-01-27,2846575000
2000-01-28,2892487500
2000-01-31,2777706250
2000-02-01,2594056250
2000-02-02,2410406250
2000-02-03,2295625000
2000-02-04,2525187500
2000-02-07,2410406250
2000-02-08,2433362500
2000-02-09,2410406250
2000-02-10,2433362500
2000-02-11,2892487500
2000-02-14,2846575000
2000-02-15,2754750000
2000-02-16,2961356250
2000-02-17,3030225000
2000-02-18,2869531250
2000-02-22,2846575000
2000-02-23,2800662500
2000-02-24,2800662500
2000-02-25,3030225000
2000-02-28,2892487500
2000-02-29,2777706250
2000-03-01,2662925000
2000-03-02,2685881250
2000-03-03,2594056250
2000-03-06,2594056250
2000-03-07,2594056250
2000-03-08,2594056250
2000-03-09,2708837500
2000-03-10,2708837500
2000-03-13,2685881250
2000-03-14,2594056250
2000-03-15,2892487500
2000-03-16,3007268750
2000-03-17,2984312500
2000-03-20,2984312500
2000-03-21,2938400000
2000-03-22,2984312500
2000-03-23,2961356250
2000-03-24,2846575000
2000-03-27,2869531250
2000-03-28,2892487500
2000-03-29,2869531250
2000-03-30,2892487500
2000-03-31,2866231250
2000-04-03,3204762500
2000-04-04,3046781250
2000-04-05,2979075000
2000-04-06,3024212500
2000-04-07,2956506250
2000-04-10,2956506250
2000-04-11,3091918750
2000-04-12,3001643750
2000-04-13,2979075000
2000-04-14,2798525000
2000-04-17,2821093750
2000-04-18,2956506250
2000-04-19,2866231250
2000-04-20,2911368750
2000-04-24,2956506250
2000-04-25,3204762500
2000-04-26,3024212500
2000-04-27,3114487500
2000-04-28,3295037500
2000-05-01,3430450000
2000-05-02,3430450000
2000-05-03,3317606250
2000-05-04,3385312500
2000-05-05,3362743750
