,ANSS
2000-01-03,179798812
2000-01-04,174719750
2000-01-05,175735562
2000-01-06,175735562
2000-01-07,175735562
2000-01-10,176751375
2000-01-11,172688125
2000-01-12,168624875
2000-01-13,162530000
2000-01-14,161514187
2000-01-18,161514187
2000-01-19,160498375
2000-01-20,167609062
2000-01-21,171672312
2000-01-24,176751375
2000-01-25,181830437
2000-01-26,178783000
2000-01-27,174719750
2000-01-28,166593250
2000-01-31,166593250
2000-02-01,172688125
2000-02-02,174719750
2000-02-03,167609062
2000-02-04,168624875
2000-02-07,166593250
2000-02-08,180814625
2000-02-09,204178312
2000-02-10,219415500
2000-02-11,204178312
2000-02-14,204178312
2000-02-15,200115062
2000-02-16,202146687
2000-02-17,216368062
2000-02-18,213320625
2000-02-22,209257375
2000-02-23,219415500
2000-02-24,195036000
2000-02-25,195036000
2000-02-28,201130875
2000-02-29,209257375
2000-03-01,213320625
2000-03-02,209257375
2000-03-03,219415500
2000-03-06,223478750
2000-03-07,232621062
2000-03-08,227542000
2000-03-09,211289000
2000-03-10,199099250
2000-03-13,202146687
2000-03-14,211289000
2000-03-15,208241562
2000-03-16,206209937
2000-03-17,203162500
2000-03-20,200115062
2000-03-21,181830437
2000-03-22,160498375
2000-03-23,170656500
2000-03-24,165577437
2000-03-27,165577437
2000-03-28,178783000
2000-03-29,178783000
2000-03-30,170656500
2000-03-31,170011250
2000-04-03,161115312
2000-04-04,157161562
2000-04-05,170999687
2000-04-06,173965000
2000-04-07,173965000
2000-04-10,171988125
2000-04-11,158150000
2000-04-12,158150000
2000-04-13,156173125
2000-04-14,137392812
2000-04-17,139369687
2000-04-18,142335000
2000-04-19,149254062
2000-04-20,171988125
2000-04-24,168034375
2000-04-25,168034375
2000-04-26,172976562
2000-04-27,170999687
2000-04-28,170999687
2000-05-01,168034375
2000-05-02,163092187
2000-05-03,160126875
2000-05-04,166057500
2000-05-05,162103750
2000-05-08,162103750
2000-05-09,158150000
2000-05-10,158150000
2000-05-11,158150000
2000-05-12,166057500
2000-05-15,167045937
2000-05-16,170011250
2000-05-17,168034375
2000-05-18,169022812
2000-05-19,170011250
2000-05-22,170011250
2000-05-23,170011250
2000-05-24,170999687
2000-05-25,170011250
2000-05-26,171988125
2000-05-30,172976562
2000-05-31,173965000
2000-06-01,175941875
2000-06-02,178907187
2000-06-05,183849375
2000-06-06,182860937
2000-06-07,189780000
2000-06-08,185826250
2000-06-09,185826250
2000-06-12,177918750
2000-06-13,177918750
2000-06-14,178907187
2000-06-15,177918750
2000-06-16,176930312
2000-06-19,177918750
2000-06-20,174953437
2000-06-21,177918750
2000-06-22,179648531
2000-06-23,189780000
2000-06-26,187803125
2000-06-27,185826250
2000-06-28,181872500
2000-06-29,183849375
2000-06-30,176255625
2000-07-03,176255625
2000-07-05,180129375
2000-07-06,182066250
2000-07-07,178192500
2000-07-10,181339906
2000-07-11,180129375
2000-07-12,182066250
2000-07-13,184003125
2000-07-14,180129375
2000-07-17,185940000
2000-07-18,185940000
2000-07-19,185940000
2000-07-20,175287187
2000-07-21,182066250
2000-07-24,178192500
2000-07-25,162697500
2000-07-26,166571250
2000-07-27,160760625
2000-07-28,153013125
2000-07-31,155918437
2000-08-01,153981562
2000-08-02,155918437
2000-08-03,153013125
2000-08-04,150107812
2000-08-07,145265625
2000-08-08,154950000
2000-08-09,156886875
2000-08-10,156886875
2000-08-11,153013125
2000-08-14,153013125
2000-08-15,158823750
2000-08-16,162697500
2000-08-17,159792187
2000-08-18,153013125
2000-08-21,154950000
2000-08-22,153013125
2000-08-23,154950000
2000-08-24,153013125
2000-08-25,154950000
2000-08-28,158823750
2000-08-29,160760625
2000-08-30,159792187
2000-08-31,163665937
2000-09-01,171413437
2000-09-05,174318750
2000-09-06,170445000
2000-09-07,174318750
2000-09-08,176255625
2000-09-11,175287187
2000-09-12,176255625
2000-09-13,178192500
2000-09-14,185940000
2000-09-15,181097812
2000-09-18,177224062
2000-09-19,176255625
2000-09-20,182066250
2000-09-21,184971562
2000-09-22,191750625
2000-09-25,189813750
2000-09-26,192719062
2000-09-27,190782187
2000-09-28,185940000
2000-09-29,185940000
2000-10-02,178968000
2000-10-03,177103750
2000-10-04,177103750
2000-10-05,180832250
2000-10-06,177103750
2000-10-09,179900125
2000-10-10,178968000
2000-10-11,178968000
2000-10-12,178968000
2000-10-13,178968000
2000-10-16,177336766
2000-10-17,178968000
2000-10-18,177103750
2000-10-19,178968000
2000-10-20,177103750
2000-10-23,167782500
2000-10-24,171511000
2000-10-25,164054000
2000-10-26,167782500
2000-10-27,172443125
2000-10-30,171511000
2000-10-31,173375250
2000-11-01,173375250
2000-11-02,173375250
2000-11-03,173375250
2000-11-06,175239500
2000-11-07,167782500
2000-11-08,171511000
2000-11-09,164054000
2000-11-10,149140000
2000-11-13,152868500
2000-11-14,151004250
2000-11-15,152868500
2000-11-16,152868500
2000-11-17,155664875
2000-11-20,158461250
2000-11-21,150072125
2000-11-22,152868500
2000-11-24,152868500
2000-11-27,149140000
2000-11-28,149140000
2000-11-29,151936375
2000-11-30,151004250
2000-12-01,151936375
2000-12-04,150072125
2000-12-05,150072125
2000-12-06,140750875
2000-12-07,144479375
2000-12-08,151004250
2000-12-11,151936375
2000-12-12,150072125
2000-12-13,147275750
2000-12-14,149140000
2000-12-15,150072125
2000-12-18,151936375
2000-12-19,150538217
2000-12-20,145411500
2000-12-21,144479375
2000-12-22,149140000
2000-12-26,152868500
2000-12-27,149140000
2000-12-28,153800625
2000-12-29,167782500
2001-01-02,175239500
2001-01-03,178035875
2001-01-04,179900125
2001-01-05,179900125
2001-01-08,151936375
2001-01-09,151004250
2001-01-10,151936375
2001-01-11,158461250
2001-01-12,155664875
2001-01-16,168714625
2001-01-17,178035875
2001-01-18,175239500
2001-01-19,164054000
2001-01-22,161024608
2001-01-23,156597000
2001-01-24,158461250
2001-01-25,160325500
2001-01-26,160325500
2001-01-29,160325500
2001-01-30,158461250
2001-01-31,158461250
2001-02-01,158461250
2001-02-02,170578875
2001-02-05,170578875
2001-02-06,188289250
2001-02-07,203203250
2001-02-08,199474750
2001-02-09,194814125
2001-02-12,187357125
2001-02-13,188289250
2001-02-14,189221375
2001-02-15,188289250
2001-02-16,178968000
2001-02-20,183628625
2001-02-21,171511000
2001-02-22,169646750
2001-02-23,159393375
2001-02-26,152868500
2001-02-27,161257625
2001-02-28,164054000
2001-03-01,167782500
2001-03-02,177103750
2001-03-05,180832250
2001-03-06,178968000
2001-03-07,184560750
2001-03-08,178968000
2001-03-09,175239500
2001-03-12,193882000
2001-03-13,199474750
2001-03-14,195746250
2001-03-15,194814125
2001-03-16,197610500
2001-03-19,208796000
2001-03-20,188289250
2001-03-21,184560750
2001-03-22,185492875
2001-03-23,179900125
2001-03-26,188289250
2001-03-27,190153500
2001-03-28,186425000
2001-03-29,187357125
2001-03-30,188289250
2001-04-02,181067750
2001-04-03,175689500
2001-04-04,169414875
2001-04-05,172104000
2001-04-06,172104000
2001-04-09,169092180
2001-04-10,167801400
2001-04-11,180996040
2001-04-12,183577600
2001-04-16,172104000
2001-04-17,173251360
2001-04-18,182860500
2001-04-19,190892020
2001-04-20,194334100
2001-04-23,186446000
2001-04-24,187019680
2001-04-25,199210380
2001-04-26,193617000
2001-04-27,193330160
2001-04-30,189888080
2001-05-01,195051200
2001-05-02,193617000
2001-05-03,200788000
2001-05-04,212978700
2001-05-07,211687920
2001-05-08,211544500
2001-05-09,217424720
2001-05-10,215130000
2001-05-11,216564200
2001-05-14,214843160
2001-05-15,198636700
2001-05-16,196485400
2001-05-17,192899900
2001-05-18,202222200
2001-05-21,232770660
2001-05-22,219862860
2001-05-23,220866800
2001-05-24,237073260
2001-05-25,233774600
2001-05-29,216851040
2001-05-30,211974760
2001-05-31,229902260
2001-06-01,229615420
2001-06-04,220293120
2001-06-05,213695800
2001-06-06,213552380
2001-06-07,207959000
2001-06-08,215130000
2001-06-11,222301000
2001-06-12,229472000
2001-06-13,233057500
2001-06-14,226890440
2001-06-15,220149700
2001-06-18,215130000
2001-06-19,228611480
2001-06-20,221583900
2001-06-21,221297060
2001-06-22,226603600
2001-06-25,220866800
2001-06-26,223591780
2001-06-27,226460180
2001-06-28,231623299
2001-06-29,268482240
2001-07-02,233819880
2001-07-03,232512000
2001-07-05,242103120
2001-07-06,234255840
2001-07-09,244573559
2001-07-10,231058800
2001-07-11,229750920
2001-07-12,233383919
2001-07-13,247044000
2001-07-16,235418400
2001-07-17,236726280
2001-07-18,239778000
2001-07-19,246172080
2001-07-20,243992280
2001-07-23,255036600
2001-07-24,249950400
2001-07-25,253728720
2001-07-26,268842000
2001-07-27,276834600
2001-07-30,270295200
2001-07-31,275236080
2001-08-01,278287800
2001-08-02,277851840
2001-08-03,275962680
2001-08-06,276834600
2001-08-07,274509480
2001-08-08,264627720
2001-08-09,257943000
2001-08-10,273492240
2001-08-13,272475000
2001-08-14,278287800
2001-08-15,270295200
2001-08-16,273928200
2001-08-17,271603080
2001-08-20,271748400
2001-08-21,269859240
2001-08-22,270731160
2001-08-23,270295200
2001-08-24,272329680
2001-08-27,275817360
2001-08-28,273201600
2001-08-29,276108000
2001-08-30,271893720
2001-08-31,273201600
2001-09-04,273782880
2001-09-05,274509480
2001-09-06,275090760
2001-09-07,274945440
2001-09-10,274654800
2001-09-17,258960240
2001-09-18,260413440
2001-09-19,245590799
2001-09-20,225246000
2001-09-21,212893800
2001-09-24,230913480
2001-09-25,231640080
2001-09-26,223792800
2001-09-27,221031720
2001-09-28,259396200
2001-10-01,245078400
2001-10-02,246537199
2001-10-03,259958160
2001-10-04,277901400
2001-10-05,277755520
2001-10-08,290301200
2001-10-09,274983800
2001-10-10,274254400
2001-10-11,270607400
2001-10-12,272795600
2001-10-15,274108520
2001-10-16,276880240
2001-10-17,268419199
2001-10-18,269878000
2001-10-19,259374640
2001-10-22,261854600
2001-10-23,273962640
2001-10-24,275713200
2001-10-25,275713200
2001-10-26,306348000
2001-10-29,310724400
2001-10-30,314371400
2001-10-31,306202120
2001-11-01,317143120
2001-11-02,313642000
2001-11-05,299054000
2001-11-06,310140880
2001-11-07,324291240
2001-11-08,301971600
2001-11-09,323999480
2001-11-12,324583000
2001-11-13,346319120
2001-11-14,353759000
2001-11-15,331877000
2001-11-16,315684320
2001-11-19,326041800
2001-11-20,312183200
2001-11-21,309995000
2001-11-23,313642000
2001-11-26,331001720
2001-11-27,332606400
2001-11-28,336982800
2001-11-29,381476200
2001-11-30,364700000
2001-12-03,365429400
2001-12-04,373744560
2001-12-05,372577520
2001-12-06,356676600
2001-12-07,374911600
2001-12-10,387457280
2001-12-11,398981800
2001-12-12,393876000
2001-12-13,402628800
2001-12-14,383664400
2001-12-17,387457280
2001-12-18,380017400
2001-12-19,397523000
2001-12-20,383372640
2001-12-21,392854840
2001-12-24,395772440
2001-12-26,404525240
2001-12-27,400294720
2001-12-28,387019640
2001-12-31,359594200
2002-01-02,351279040
2002-01-03,365575280
2002-01-04,366596440
2002-01-07,364700000
2002-01-08,382059720
2002-01-09,386582000
2002-01-10,397960640
2002-01-11,368055240
2002-01-14,383810280
2002-01-15,382789120
2002-01-16,372577520
2002-01-17,370535200
2002-01-18,367763480
2002-01-22,367763480
2002-01-23,357260120
2002-01-24,363824720
2002-01-25,357114240
2002-01-28,339025120
2002-01-29,319477200
2002-01-30,335378120
2002-01-31,327354720
2002-02-01,356093080
2002-02-04,323707720
2002-02-05,337712200
2002-02-06,328230000
2002-02-07,333044040
2002-02-08,358718920
2002-02-11,357406000
2002-02-12,358135400
2002-02-13,366596440
2002-02-14,351716680
2002-02-15,352591960
2002-02-19,351279040
2002-02-20,338003960
2002-02-21,359594200
2002-02-22,349528480
2002-02-25,333481680
2002-02-26,323707720
2002-02-27,337712200
2002-02-28,328959400
2002-03-01,345006200
2002-03-04,357551880
2002-03-05,349966120
2002-03-06,351570800
2002-03-07,357406000
2002-03-08,358864800
2002-03-11,351570800
2002-03-12,347048520
2002-03-13,348799080
2002-03-14,356530720
2002-03-15,368347000
2002-03-18,365575280
2002-03-19,364845880
2002-03-20,377537440
