,AOS
2000-01-03,506007772
2000-01-04,498999354
2000-01-05,497597670
2000-01-06,490589253
2000-01-07,511614506
2000-01-10,517221241
2000-01-11,511614506
2000-01-12,493392620
2000-01-13,500401038
2000-01-14,511614506
2000-01-18,503204405
2000-01-19,513016190
2000-01-20,503204405
2000-01-21,521426291
2000-01-24,525631342
2000-01-25,498999354
2000-01-26,489187569
2000-01-27,475170733
2000-01-28,463957264
2000-01-31,461153897
2000-02-01,454145479
2000-02-02,458350530
2000-02-03,442932011
2000-02-04,441530327
2000-02-07,447137062
2000-02-08,421906757
2000-02-09,414898339
2000-02-10,410693288
2000-02-11,410693288
2000-02-14,405086554
2000-02-15,400881503
2000-02-16,400881503
2000-02-17,406488238
2000-02-18,399479820
2000-02-22,409291605
2000-02-23,412094972
2000-02-24,413496656
2000-02-25,412094972
2000-02-28,410693288
2000-02-29,403684871
2000-03-01,389668035
2000-03-02,382659617
2000-03-03,382659617
2000-03-06,379856250
2000-03-07,375651199
2000-03-08,382659617
2000-03-09,374249515
2000-03-10,372847832
2000-03-13,371446148
2000-03-14,350420895
2000-03-15,356027629
2000-03-16,382659617
2000-03-17,381257933
2000-03-20,392471402
2000-03-21,399479820
2000-03-22,403684871
2000-03-23,405086554
2000-03-24,399479820
2000-03-27,400881503
2000-03-28,403684871
2000-03-29,405086554
2000-03-30,414898339
2000-03-31,420551514
2000-04-03,428962544
2000-04-04,423355190
2000-04-05,420551514
2000-04-06,421953352
2000-04-07,434569897
2000-04-10,431766221
2000-04-11,431766221
2000-04-12,431766221
2000-04-13,447186443
2000-04-14,482232402
2000-04-17,479428725
2000-04-18,445784604
2000-04-19,430364382
2000-04-20,449990119
2000-04-24,426158867
2000-04-25,447186443
2000-04-26,468214018
2000-04-27,466812180
2000-04-28,480830564
2000-05-01,500456301
2000-05-02,501858140
2000-05-03,492045271
2000-05-04,511671008
2000-05-05,521483877
2000-05-08,517278362
2000-05-09,506063655
2000-05-10,485036079
2000-05-11,520082038
2000-05-12,515876523
2000-05-15,528493069
2000-05-16,524287554
2000-05-17,510269170
2000-05-18,490643433
2000-05-19,494848948
2000-05-22,503259978
2000-05-23,489241594
2000-05-24,485036079
2000-05-25,486437917
2000-05-26,485036079
2000-05-30,489241594
2000-05-31,490643433
2000-06-01,494848948
2000-06-02,497652624
2000-06-05,497652624
2000-06-06,490643433
2000-06-07,499054463
2000-06-08,490643433
2000-06-09,492045271
2000-06-12,482232402
2000-06-13,493447109
2000-06-14,496250786
2000-06-15,500456301
2000-06-16,493447109
2000-06-19,518680200
2000-06-20,496250786
2000-06-21,482232402
2000-06-22,466812180
