,ATVI
2000-01-03,405788808
2000-01-04,393445326
2000-01-05,394988150
2000-01-06,387273733
2000-01-07,398074095
2000-01-10,418131993
2000-01-11,436647067
2000-01-12,418131993
2000-01-13,422760761
2000-01-14,418131993
2000-01-18,419675113
2000-01-19,413503224
2000-01-20,390359382
2000-01-21,373387428
2000-01-24,370301483
2000-01-25,357958002
2000-01-26,391902502
2000-01-27,424303882
2000-01-28,404245687
2000-01-31,385730613
2000-02-01,416589169
2000-02-02,428932650
2000-02-03,433561419
2000-02-04,388816557
2000-02-07,370301483
2000-02-08,364129891
2000-02-09,358729710
2000-02-10,356415178
2000-02-11,367215539
2000-02-14,354872354
2000-02-15,345614816
2000-02-16,346000522
2000-02-17,346386228
2000-02-18,333271335
2000-02-22,330185390
2000-02-23,322470974
2000-02-24,324013798
2000-02-25,314756261
2000-02-28,310127492
2000-02-29,313213437
2000-03-01,357958002
2000-03-02,357958002
2000-03-03,365672715
2000-03-06,354872354
2000-03-07,339442928
2000-03-08,325556622
2000-03-09,356415178
2000-03-10,353329233
2000-03-13,334814159
2000-03-14,342528872
2000-03-15,320927853
2000-03-16,320927853
2000-03-17,323242386
2000-03-20,333271335
2000-03-21,331728511
2000-03-22,330185390
2000-03-23,317842205
2000-03-24,336357279
2000-03-27,324013798
2000-03-28,325556622
2000-03-29,324013798
2000-03-30,317842205
2000-03-31,297784011
2000-04-03,274640168
2000-04-04,262296983
2000-04-05,263839807
2000-04-06,273097344
2000-04-07,199037047
2000-04-10,199037047
2000-04-11,173578968
2000-04-12,171264436
2000-04-13,169721612
2000-04-14,160464075
2000-04-17,157378130
2000-04-18,155835306
2000-04-19,153520774
2000-04-20,165092843
2000-04-24,162006899
2000-04-25,170493024
2000-04-26,164707137
2000-04-27,166635667
2000-04-28,154292186
2000-05-01,154292186
2000-05-02,168178491
2000-05-03,162778311
2000-05-04,170493024
2000-05-05,182064797
2000-05-08,185150741
2000-05-09,179750561
2000-05-10,151206537
2000-05-11,166635667
2000-05-12,169721612
2000-05-15,180136267
2000-05-16,175893204
2000-05-17,172807260
2000-05-18,165092843
2000-05-19,166635667
2000-05-22,151206537
2000-05-23,155063894
2000-05-24,160464075
2000-05-25,155835306
2000-05-26,151206537
2000-05-30,157378130
2000-05-31,152749362
2000-06-01,152749362
2000-06-02,174350380
2000-06-05,169721612
2000-06-06,165092843
2000-06-07,163549723
2000-06-08,165092843
2000-06-09,162006899
2000-06-12,155835306
2000-06-13,153135068
2000-06-14,153520774
2000-06-15,152749362
2000-06-16,151206537
