,BAC
2000-01-03,80861424840
2000-01-04,76053809160
2000-01-05,76888464660
2000-01-06,82430577180
2000-01-07,81262059480
2000-01-10,78457617000
2000-01-11,76788306000
2000-01-12,77622961500
2000-01-13,79392431160
2000-01-14,84099888180
2000-01-18,80126928000
2000-01-19,78557775660
2000-01-20,76888464660
2000-01-21,76254126480
2000-01-24,74384498160
2000-01-25,75319312320
2000-01-26,78657934320
2000-01-27,80327245320
2000-01-28,76387671360
2000-01-31,80861424840
2000-02-01,80861424840
2000-02-02,79726293360
2000-02-03,77522802840
2000-02-04,75753333180
2000-02-07,75653174520
2000-02-08,78657934320
2000-02-09,76888464660
2000-02-10,74918677680
2000-02-11,75419470980
2000-02-14,73883704860
2000-02-15,76153967820
2000-02-16,75419470980
2000-02-17,74484656820
2000-02-18,73049049360
2000-02-22,74718360360
2000-02-23,76387671360
2000-02-24,74818519020
2000-02-25,73650001320
2000-02-28,76688147340
2000-02-29,76788306000
2000-03-01,76053809160
2000-03-02,75219153660
2000-03-03,75118995000
2000-03-06,75118995000
2000-03-07,73449684000
2000-03-08,72815345820
2000-03-09,71880531660
2000-03-10,71580055680
2000-03-13,72080848980
2000-03-14,71146034820
2000-03-15,76587988680
2000-03-16,82230259860
2000-03-17,83465550000
2000-03-20,82831211820
2000-03-21,85134861000
2000-03-22,85869357840
2000-03-23,90443269980
2000-03-24,91177766820
2000-03-27,90343111320
2000-03-28,89408297160
2000-03-29,86804172000
2000-03-30,84600681480
2000-03-31,86709277800
2000-04-03,91768972500
2000-04-04,89586359100
2000-04-05,89288730000
2000-04-06,88362772800
2000-04-07,86510858400
2000-04-10,87337605900
2000-04-11,86543928300
2000-04-12,90214687200
2000-04-13,87337605900
2000-04-14,82575540300
2000-04-17,83203868400
2000-04-18,83799126600
2000-04-19,81748792800
2000-04-20,81947212200
2000-04-24,85154992500
2000-04-25,88362772800
2000-04-26,85584901200
2000-04-27,84758153700
2000-04-28,81021255000
2000-05-01,82674750000
2000-05-02,82046421900
2000-05-03,81021255000
2000-05-04,79367760000
2000-05-05,78640222200
2000-05-08,79665389100
2000-05-09,79665389100
2000-05-10,76887517500
2000-05-11,78342593100
2000-05-12,80326787100
2000-05-15,83699916900
2000-05-16,82145631600
2000-05-17,81550373400
2000-05-18,83203868400
2000-05-19,82277911200
2000-05-22,83104658700
2000-05-23,86907697200
2000-05-24,92794139400
2000-05-25,91471343400
2000-05-26,90313896900
2000-05-30,90843015300
2000-05-31,91669762800
2000-06-01,93951585900
2000-06-02,100863195000
2000-06-05,97986113700
2000-06-06,93852376200
2000-06-07,95605080900
2000-06-08,93852376200
2000-06-09,92595720000
2000-06-12,93422467500
2000-06-13,92066601600
2000-06-14,91471343400
2000-06-15,85882530300
2000-06-16,78441802800
2000-06-19,80392926900
2000-06-20,80194507500
2000-06-21,77714265000
2000-06-22,77714265000
2000-06-23,78342593100
2000-06-26,79268550300
2000-06-27,77813474700
2000-06-28,75035603100
2000-06-29,75134812800
2000-06-30,70493856000
2000-07-03,73772640000
2000-07-05,74297245440
2000-07-06,75116941440
2000-07-07,77772756480
2000-07-10,77772756480
2000-07-11,76953060480
2000-07-12,76756333440
2000-07-13,75707122560
2000-07-14,77576029440
2000-07-17,77248151040
2000-07-18,75412032000
2000-07-19,75608759040
2000-07-20,79313784960
2000-07-21,77871120000
2000-07-24,77772756480
2000-07-25,79117057920
2000-07-26,77149787520
2000-07-27,76657969920
2000-07-28,76035000960
2000-07-31,77674392960
2000-08-01,78166210560
2000-08-02,77346514560
2000-08-03,80428571520
2000-08-04,85969716480
2000-08-07,85871352960
2000-08-08,85150020480
2000-08-09,86986139520
2000-08-10,87609108480
2000-08-11,88527168000
2000-08-14,90068196480
2000-08-15,89051773440
2000-08-16,87412381440
2000-08-17,87805835520
2000-08-18,88133713920
2000-08-21,88330440960
2000-08-22,89248500480
2000-08-23,88625531520
2000-08-24,86068080000
2000-08-25,84854929920
2000-08-28,84953293440
2000-08-29,83412264960
2000-08-30,83412264960
2000-08-31,87805835520
2000-09-01,86068080000
2000-09-05,87182866560
2000-09-06,87904199040
2000-09-07,89248500480
2000-09-08,91707588480
2000-09-11,92724011520
2000-09-12,93445344000
2000-09-13,93150253440
2000-09-14,92232193920
2000-09-15,89641954560
2000-09-18,88002562560
2000-09-19,89969832960
2000-09-20,88232077440
2000-09-21,86887776000
2000-09-22,90166560000
2000-09-25,90166560000
2000-09-26,88232077440
2000-09-27,86363170560
2000-09-28,88527168000
2000-09-29,85871352960
2000-10-02,85367703400
2000-10-03,87169660200
2000-10-04,84885036400
2000-10-05,86686993200
2000-10-06,83050901800
2000-10-09,81345478400
2000-10-10,78320765200
2000-10-11,75714363400
2000-10-12,71692138400
2000-10-13,74909918400
2000-10-16,72689650200
2000-10-17,68796136400
2000-10-18,67862980200
2000-10-19,70887693400
2000-10-20,70405026400
2000-10-23,70405026400
2000-10-24,71595605000
2000-10-25,70887693400
2000-10-26,69793648200
2000-10-27,72303516600
2000-10-30,75617830000
2000-10-31,77323253400
2000-11-01,77838098200
2000-11-02,79253921400
2000-11-03,78320765200
2000-11-06,82149923400
2000-11-07,81538545200
2000-11-08,78449476400
2000-11-09,80058366400
2000-11-10,77838098200
2000-11-13,76325741600
2000-11-14,73815873200
2000-11-15,67573380000
2000-11-16,67380313200
2000-11-17,64870444800
2000-11-20,63261554800
2000-11-21,63744221799
2000-11-22,62038798400
2000-11-24,63261554800
2000-11-27,63840755200
2000-11-28,65160045000
2000-11-29,65449645200
2000-11-30,64259066600
2000-12-01,63969466400
2000-12-04,62746710000
2000-12-05,66254090200
2000-12-06,61137820000
2000-12-07,62746710000
2000-12-08,65771423200
2000-12-11,69890181600
2000-12-12,69890181600
2000-12-13,69085736600
2000-12-14,68088224800
2000-12-15,67283779800
2000-12-18,69986715000
2000-12-19,71209471400
2000-12-20,68796136400
2000-12-21,73719339800
2000-12-22,74202006800
2000-12-26,74523784800
2000-12-27,75328229800
2000-12-28,75328229800
2000-12-29,73815873200
2001-01-02,75231696400
2001-01-03,80347966600
2001-01-04,82857835000
2001-01-05,76840586400
2001-01-08,77645031400
2001-01-09,75617830000
2001-01-10,78127698400
2001-01-11,79543521600
2001-01-12,78932143400
2001-01-16,81956856600
2001-01-17,79736588400
2001-01-18,78739076600
2001-01-19,79125210200
2001-01-22,81055878200
2001-01-23,81055878200
2001-01-24,82149923400
2001-01-25,82857835000
2001-01-26,85560770200
2001-01-29,86912237800
2001-01-30,89261217200
2001-01-31,86590459800
2001-02-01,85721659200
2001-02-02,86236504000
2001-02-05,85689481400
2001-02-06,81989034400
2001-02-07,79640055000
2001-02-08,78449476400
2001-02-09,79640055000
2001-02-12,80541033400
2001-02-13,80830633600
2001-02-14,81731612000
2001-02-15,81892501000
2001-02-16,82696946000
2001-02-20,79028676800
2001-02-21,76840586400
2001-02-22,77645031400
2001-02-23,79060854600
2001-02-26,82021212200
2001-02-27,82729123800
2001-02-28,80380144400
2001-03-01,79382632600
2001-03-02,78932143400
2001-03-05,78964321200
2001-03-06,80862811400
2001-03-07,84885036400
2001-03-08,86429570800
2001-03-09,84466725000
2001-03-12,83050901800
2001-03-13,87298371400
2001-03-14,83276146400
2001-03-15,84080591400
2001-03-16,82696946000
2001-03-19,85238992200
2001-03-20,82503879200
2001-03-21,81989034400
2001-03-22,79929655200
2001-03-23,84917214200
2001-03-26,84466725000
2001-03-27,87652327200
2001-03-28,87555793800
2001-03-29,85528592400
2001-03-30,88102816400
2001-04-02,86482998000
2001-04-03,83696323620
2001-04-04,80589341840
2001-04-05,83055708820
2001-04-06,79436235200
2001-04-09,81037772200
2001-04-10,83151801040
2001-04-11,84176784720
2001-04-12,84817399520
2001-04-16,84016631020
2001-04-17,83279924000
2001-04-18,88372811660
2001-04-19,90326686800
2001-04-20,88084535000
2001-04-23,87956412040
2001-04-24,87283766500
2001-04-25,87924381300
2001-04-26,88276719440
2001-04-27,91159486040
2001-04-30,89686072000
2001-05-01,90422779020
2001-05-02,89878256440
2001-05-03,89622010520
2001-05-04,90294656060
2001-05-07,90070440880
2001-05-08,89237641640
2001-05-09,88693119060
2001-05-10,89333733860
2001-05-11,85714260240
2001-05-14,87123612800
2001-05-15,88180627220
2001-05-16,90582932720
2001-05-17,90646994200
2001-05-18,91287609000
2001-05-21,90486840500
2001-05-22,93914129680
2001-05-23,93882098940
2001-05-24,96092220000
2001-05-25,94042252640
2001-05-29,95451605200
2001-05-30,94138344860
2001-05-31,94907082620
2001-06-01,93049299700
2001-06-04,93914129680
2001-06-05,96028158520
2001-06-06,95611758900
2001-06-07,95451605200
2001-06-08,94554744480
2001-06-11,94074283380
2001-06-12,94650836700
2001-06-13,94650836700
2001-06-14,92408684900
2001-06-15,92921176740
2001-06-18,94875051880
2001-06-19,95643789640
2001-06-20,96316435180
2001-06-21,98302341060
2001-06-22,99199201780
2001-06-25,98014064400
2001-06-26,96732834800
2001-06-27,96604711840
2001-06-28,96060189260
2001-06-29,96156281480
2001-07-02,96781366000
2001-07-03,96781366000
2001-07-05,96429433760
2001-07-06,93358025120
2001-07-09,94253852640
2001-07-10,91150450160
2001-07-11,91758333120
2001-07-12,95053698640
2001-07-13,96397439920
2001-07-16,98189094960
2001-07-17,101900380400
2001-07-18,102508263360
2001-07-19,101580442000
2001-07-20,100556639120
2001-07-23,99756793120
2001-07-24,99180904000
2001-07-25,99820780800
2001-07-26,100972559040
