,BBBY
2000-01-03,4618845000.0
2000-01-04,4330167187.0
2000-01-05,4391541840.0
2000-01-06,4496515590.0
2000-01-07,4697785260.0
2000-01-10,4933766250.0
2000-01-11,4618845000.0
2000-01-12,4618845000.0
2000-01-13,4732566562.0
2000-01-14,4811436840.0
2000-01-18,4636480590.0
2000-01-19,4522829010.0
2000-01-20,4172916510.0
2000-01-21,3927977760.0
2000-01-24,3822794062.0
2000-01-25,3805368420.0
2000-01-26,3753021510.0
2000-01-27,3875280937.0
2000-01-28,3857995260.0
2000-01-31,3805368420.0
2000-02-01,4303923750.0
2000-02-02,4312881510.0
2000-02-03,4321559340.0
2000-02-04,4487837760.0
2000-02-07,4295245920.0
2000-02-08,4408897500.0
2000-02-09,4312881510.0
2000-02-10,4417855260.0
2000-02-11,4190272170.0
2000-02-14,4295245920.0
2000-02-15,4365228420.0
2000-02-16,3910342170.0
2000-02-17,3954011250.0
2000-02-18,3534116250.0
2000-02-22,3560359687.0
2000-02-23,3718030260.0
2000-02-24,3411646875.0
2000-02-25,3350482170.0
2000-02-28,3680082234.0
2000-02-29,3997014984.0
2000-03-01,3767978250.0
2000-03-02,3838407750.0
2000-03-03,3785726484.0
2000-03-06,3389630976.0
2000-03-07,3248560687.0
2000-03-08,3327934734.0
2000-03-09,3389630976.0
2000-03-10,3327934734.0
2000-03-13,3204542250.0
2000-03-14,3213557226.0
2000-03-15,3794459742.0
2000-03-16,4393110492.0
2000-03-17,4498754742.0
2000-03-20,4472273250.0
2000-03-21,4551717726.0
2000-03-22,4199570226.0
2000-03-23,4146607242.0
2000-03-24,4137873984.0
2000-03-27,4287466242.0
2000-03-28,4472273250.0
2000-03-29,4298399717.0
2000-03-30,6145114734.0
2000-03-31,5563930500.0
2000-04-03,5581678734.0
2000-04-04,5176568250.0
2000-04-05,5748807937.0
2000-04-06,5845648500.0
2000-04-07,5845648500.0
2000-04-10,5370390234.0
2000-04-11,5713804476.0
2000-04-12,5977774242.0
2000-04-13,5678589726.0
2000-04-14,5009298187.0
2000-04-17,5449552992.0
2000-04-18,5484767742.0
2000-04-19,5273479242.0
2000-04-20,5502515976.0
2000-04-24,5528715750.0
2000-04-25,5836915242.0
2000-04-26,5581678734.0
2000-04-27,5203049742.0
2000-04-28,5167834992.0
2000-05-01,5026975992.0
2000-05-02,5026975992.0
2000-05-03,4727791476.0
2000-05-04,4974294726.0
2000-05-05,4974294726.0
2000-05-08,4736524734.0
2000-05-09,4991761242.0
2000-05-10,4991690812.0
2000-05-11,5625626742.0
2000-05-12,5484767742.0
2000-05-15,5696056242.0
2000-05-16,5546463984.0
2000-05-17,5255801437.0
2000-05-18,5159101734.0
2000-05-19,5070924000.0
2000-05-22,5273479242.0
2000-05-23,5106138750.0
2000-05-24,4753991250.0
2000-05-25,4771739484.0
2000-05-26,4771739484.0
2000-05-30,5012208968.0
2000-05-31,5206824904.0
2000-06-01,5250952936.0
2000-06-02,5666491904.0
2000-06-05,5330439968.0
2000-06-06,5030029904.0
2000-06-07,4879542000.0
2000-06-08,4676439904.0
2000-06-09,4808824000.0
2000-06-12,4632029000.0
2000-06-13,4888381750.0
2000-06-14,4702747000.0
2000-06-15,4914901000.0
2000-06-16,5051917125.0
2000-06-19,4808824000.0
2000-06-20,4941490968.0
2000-06-21,4808824000.0
2000-06-22,4640868750.0
2000-06-23,4658618968.0
2000-06-26,4667388000.0
2000-06-27,5003439936.0
2000-06-28,5074157936.0
2000-06-29,4817663750.0
2000-06-30,5127055000.0
2000-07-03,5038798936.0
2000-07-05,4835413968.0
2000-07-06,5180234936.0
2000-07-07,5516004000.0
2000-07-10,5666491904.0
2000-07-11,5551363000.0
2000-07-12,5710619936.0
2000-07-13,5940312000.0
2000-07-14,5613311968.0
2000-07-17,5418978904.0
2000-07-18,5577952968.0
2000-07-19,5507234968.0
2000-07-20,5604542936.0
2000-07-21,5613311968.0
2000-07-24,5233132000.0
2000-07-25,5286311936.0
2000-07-26,5348260904.0
2000-07-27,5498465936.0
2000-07-28,5180234936.0
2000-07-31,5206824904.0
2000-08-01,5012208968.0
2000-08-02,5056337000.0
2000-08-03,5144875936.0
2000-08-04,5180234936.0
2000-08-07,5471875968.0
2000-08-08,5577952968.0
2000-08-09,5454337904.0
