,BDX
2000-01-03,6434964150
2000-01-04,6266087300
2000-01-05,6311457200
2000-01-06,6573594400
2000-01-07,6787841150
2000-01-10,6787841150
2000-01-11,6681978050
2000-01-12,6465210750
2000-01-13,6911348100
2000-01-14,6727347950
2000-01-18,6742471250
2000-01-19,6971841300
2000-01-20,6835731600
2000-01-21,7080224950
2000-01-24,6850854900
2000-01-25,6681978050
2000-01-26,6588717700
2000-01-27,6850854900
2000-01-28,6513101200
2000-01-31,6434964150
2000-02-01,6666854750
2000-02-02,6465210750
2000-02-03,6389594250
2000-02-04,6389594250
2000-02-07,6389594250
2000-02-08,6311457200
2000-02-09,6359347650
2000-02-10,6175347500
2000-02-11,6142580350
2000-02-14,6344224350
2000-02-15,6175347500
2000-02-16,6296333900
2000-02-17,6465210750
2000-02-18,7511239000
2000-02-22,7140718150
2000-02-23,7372608750
2000-02-24,7864116000
2000-02-25,8385869850
2000-02-28,7617102100
2000-02-29,7617102100
2000-03-01,7695239150
2000-03-02,7725485750
2000-03-03,7740609050
2000-03-06,7571732200
2000-03-07,7279348400
2000-03-08,7387732050
2000-03-09,7586855500
2000-03-10,7864116000
2000-03-13,7526362300
2000-03-14,7279348400
2000-03-15,7478471850
2000-03-16,7617102100
2000-03-17,7680115850
2000-03-20,7617102100
2000-03-21,7617102100
2000-03-22,7601978800
2000-03-23,7372608750
2000-03-24,6881101500
2000-03-27,6618964300
2000-03-28,6666854750
2000-03-29,6603841000
2000-03-30,6513101200
2000-03-31,6480500997
2000-04-03,6649777241
2000-04-04,6664936308
2000-04-05,6697780952
2000-04-06,6649777241
2000-04-07,6573981908
2000-04-10,6543663774
2000-04-11,6758417219
2000-04-12,7081810641
2000-04-13,7036333441
2000-04-14,6619459108
2000-04-17,6419864730
2000-04-18,6589140974
2000-04-19,6359228463
2000-04-20,6296065686
2000-04-24,6280906619
2000-04-25,6404705663
2000-04-26,6341542886
2000-04-27,6341542886
2000-04-28,6311224752
2000-05-01,6359228463
2000-05-02,6450182863
2000-05-03,6604300041
2000-05-04,6404705663
2000-05-05,6634618174
2000-05-08,6589140974
2000-05-09,6619459108
2000-05-10,6589140974
2000-05-11,6697780952
2000-05-12,6573981908
2000-05-15,6851898130
2000-05-16,6803894419
2000-05-17,6758417219
2000-05-18,6851898130
2000-05-19,6712940019
2000-05-22,6649777241
2000-05-23,6773576285
2000-05-24,7266245952
2000-05-25,7081810641
2000-05-26,6942852530
2000-05-30,7220768752
2000-05-31,7190450619
2000-06-01,7051492508
2000-06-02,7036333441
2000-06-05,7142446907
2000-06-06,7220768752
2000-06-07,6927693463
2000-06-08,6867057196
2000-06-09,6927693463
2000-06-12,6758417219
2000-06-13,6803894419
2000-06-14,6867057196
2000-06-15,6958011596
2000-06-16,6834212552
2000-06-19,6867057196
2000-06-20,6788735352
2000-06-21,6834212552
2000-06-22,6743258152
2000-06-23,6743258152
2000-06-26,6728099085
2000-06-27,6619459108
2000-06-28,6803894419
2000-06-29,6834212552
2000-06-30,6983293199
2000-07-03,6875934740
2000-07-05,7240454157
2000-07-06,7180533157
2000-07-07,7150572657
2000-07-10,7240454157
2000-07-11,7210493657
2000-07-12,7120612157
2000-07-13,6816013740
2000-07-14,6633754032
2000-07-17,6708655282
2000-07-18,6953332699
2000-07-19,6845974240
2000-07-20,6069497950
2000-07-21,6206816908
2000-07-24,6161876158
2000-07-25,6024557200
2000-07-26,5812336992
2000-07-27,6054517700
2000-07-28,5994596700
2000-07-31,6146895908
2000-08-01,6359116116
2000-08-02,6451494324
2000-08-03,6404056866
2000-08-04,6329155616
2000-08-07,6251757658
2000-08-08,6266737908
2000-08-09,6024557200
2000-08-10,6176856408
2000-08-11,6221797158
2000-08-14,6344135866
2000-08-15,6344135866
2000-08-16,6389076616
2000-08-17,6419037116
2000-08-18,6451494324
2000-08-21,6905895240
2000-08-22,6648734282
2000-08-23,6693675032
2000-08-24,6771072990
2000-08-25,6771072990
2000-08-28,6938352449
2000-08-29,6816013740
2000-08-30,7058194448
2000-08-31,7332832365
2000-09-01,7043214198
2000-09-05,6983293199
2000-09-06,6953332699
2000-09-07,6938352449
2000-09-08,6860954490
2000-09-11,6953332699
2000-09-12,7073174698
2000-09-13,6860954490
2000-09-14,6830993990
2000-09-15,6830993990
2000-09-18,6556356074
2000-09-19,6374096366
2000-09-20,6221797158
2000-09-21,6221797158
2000-09-22,6191836658
2000-09-25,6084478200
2000-09-26,5917198742
2000-09-27,6419037116
2000-09-28,6359116116
2000-09-29,6434017366
2000-10-02,6590643500
2000-10-03,6651715100
2000-10-04,6697518800
2000-10-05,6791670850
2000-10-06,6883278250
2000-10-09,6776402950
2000-10-10,6946894500
2000-10-11,7086850250
2000-10-12,7023234000
2000-10-13,7257341800
2000-10-16,7272609700
2000-10-17,7318413400
2000-10-18,7689932300
2000-10-19,7379485000
2000-10-20,7333681300
2000-10-23,7193725550
2000-10-24,7193725550
2000-10-25,7488904950
2000-10-26,7567789100
2000-10-27,7519440750
2000-10-30,7908772200
2000-10-31,8310826899
2000-11-01,8170871150
2000-11-02,8234487400
2000-11-03,8265023199
2000-11-06,8186139050
2000-11-07,8201406949
2000-11-08,8249755300
2000-11-09,7908772200
2000-11-10,7799352250
2000-11-13,7738280650
2000-11-14,7689932300
2000-11-15,7689932300
2000-11-16,7674664400
2000-11-17,7860423850
2000-11-20,7799352250
2000-11-21,7845155950
2000-11-22,7875691750
2000-11-24,7845155950
2000-11-27,7939308000
2000-11-28,8170871150
2000-11-29,8435514750
2000-11-30,8435514750
2000-12-01,8404978950
2000-12-04,8371898500
2000-12-05,8371898500
2000-12-06,8063995850
2000-12-07,8234487400
2000-12-08,8295559000
2000-12-11,8094531650
2000-12-12,8265023199
2000-12-13,8234487400
2000-12-14,7908772200
2000-12-15,7705200200
2000-12-18,8063995850
2000-12-19,8000379600
2000-12-20,7924040100
2000-12-21,8015647500
2000-12-22,7985111700
2000-12-26,8265023199
2000-12-27,8371898500
2000-12-28,8712881600
2000-12-29,8590738400
2001-01-02,8526466101
2001-01-03,8245064579
2001-01-04,7950872080
2001-01-05,7810171319
2001-01-08,7871568015
2001-01-09,8137620362
2001-01-10,7966221254
2001-01-11,8260413753
2001-01-12,8106922014
2001-01-16,8229715406
2001-01-17,8106922014
2001-01-18,8416463688
2001-01-19,8073665471
2001-01-22,8682516036
2001-01-23,8526466101
2001-01-24,8697865210
2001-01-25,8792518449
2001-01-26,8728563557
2001-01-29,8743912731
2001-01-30,8690190623
2001-01-31,8575071818
2001-02-01,8690190623
2001-02-02,9040663427
2001-02-05,8969033948
2001-02-06,9127642079
2001-02-07,8994615905
2001-02-08,9222295318
2001-02-09,9235086296
2001-02-12,9396252622
2001-02-13,9726259861
2001-02-14,9322064948
2001-02-15,9104618318
2001-02-16,9168573209
2001-02-20,9252993666
2001-02-21,9278575622
2001-02-22,9076478166
2001-02-23,8779727470
2001-02-26,9117409296
2001-02-27,8951126579
2001-02-28,8974150340
2001-03-01,8994615905
2001-03-02,8940893796
2001-03-05,8846240557
2001-03-06,8697865210
2001-03-07,8738796340
2001-03-08,8892288079
2001-03-09,8979266731
