,BEAM
2020-02-06,576095193
2020-02-07,633551087
2020-02-10,679024201
2020-02-11,740474355
2020-02-12,848012125
2020-02-13,897172248
2020-02-14,857229648
2020-02-18,854157140
2020-02-19,865832669
2020-02-20,826811822
2020-02-21,801617258
2020-02-24,743546863
2020-02-25,695308492
2020-02-26,751228132
2020-02-27,704526015
2020-02-28,691006981
2020-03-02,707291272
2020-03-03,722346560
2020-03-04,749999129
2020-03-05,731564083
2020-03-06,723575563
2020-03-09,694386740
2020-03-10,691314232
2020-03-11,652907886
2020-03-12,562268909
2020-03-13,534001838
2020-03-16,408950774
2020-03-17,461183405
2020-03-18,467328421
2020-03-19,518024798
2020-03-20,596066493
2020-03-23,553358636
2020-03-24,588692475
2020-03-25,602211509
2020-03-26,583776463
2020-03-27,554587639
2020-03-30,553051386
2020-03-31,889742484
2020-04-01,796813824
2020-04-02,754303905
2020-04-03,796319523
2020-04-06,823011797
2020-04-07,781490481
2020-04-08,825483304
2020-04-09,821528893
2020-04-13,795825221
2020-04-14,843772455
2020-04-15,785939194
2020-04-16,799285331
2020-04-17,789893605
2020-04-20,818563085
2020-04-21,795825221
2020-04-22,823506099
2020-04-23,876890648
2020-04-24,897157004
2020-04-27,817080181
2020-04-28,805711249
2020-04-29,834875030
2020-04-30,788410701
2020-05-01,760235522
2020-05-04,779018974
2020-05-05,815102975
2020-05-06,794836619
2020-05-07,832403523
2020-05-08,834875030
2020-05-11,1023698157
2020-05-12,986131253
2020-05-13,1057804953
2020-05-14,964381992
2020-05-15,1058299254
2020-05-18,1062253665
2020-05-19,1162102544
2020-05-20,1264422930
2020-05-21,1312370163
2020-05-22,1266400135
2020-05-26,1202140956
2020-05-27,1215487093
2020-05-28,1236742052
2020-05-29,1262940025
2020-06-01,1294081012
2020-06-02,1386515370
2020-06-03,1390469781
2020-06-04,1348454164
2020-06-05,1271837450
2020-06-08,1372180630
2020-06-09,1373169233
2020-06-10,1321761890
2020-06-11,1260468519
2020-06-12,1232787641
2020-06-15,1327199205
2020-06-16,1334613726
2020-06-17,1267883039
2020-06-18,1314841670
2020-06-19,1349442767
2020-06-22,1416667755
2020-06-23,1302978437
2020-06-24,1295563916
2020-06-25,1310392958
2020-06-26,1233281943
2020-06-29,1357351589
2020-06-30,1402456916
2020-07-01,1428001666
2020-07-02,1446033255
2020-07-06,1473581516
2020-07-07,1433010441
2020-07-08,1453045540
2020-07-09,1531182425
2020-07-10,1338845477
2020-07-13,1253696307
2020-07-14,1256701572
2020-07-15,1223142781
2020-07-16,1189083113
2020-07-17,1185076094
2020-07-20,1162035730
2020-07-21,1122466410
2020-07-22,1127976062
2020-07-23,1097422536
2020-07-24,1059856726
2020-07-27,1077387437
2020-07-28,1042826892
