,BHF
2017-07-17,8384117420
2017-07-18,8384117420
2017-07-19,8258355658
2017-07-20,8264344314
2017-07-21,8255073875
2017-07-24,8264344314
2017-07-25,8274429209
2017-07-26,8274429209
2017-07-27,8144571208
2017-07-28,8055939109
2017-07-31,7905024996
2017-08-01,7934968272
2017-08-02,7772076848
2017-08-03,7665478784
2017-08-04,7733749454
2017-08-07,7392396102
2017-08-08,6815089731
2017-08-09,6793530572
2017-08-10,7006726701
2017-08-11,6943246954
2017-08-14,6870185360
2017-08-15,6948037879
2017-08-16,6886953595
2017-08-17,6703700742
2017-08-18,6880964939
2017-08-21,6810298807
2017-08-22,6852219394
2017-08-23,6785146454
2017-08-24,6625848223
2017-08-25,6652198307
2017-08-28,6628243686
2017-08-29,6678548390
2017-08-30,6839044352
2017-08-31,6835451159
2017-09-01,6885755863
2017-09-05,6477329572
2017-09-06,6369533777
2017-09-07,6347974618
2017-09-08,6532425201
2017-09-11,6600695871
2017-09-12,6610277720
2017-09-13,6629441417
2017-09-14,6661780155
2017-09-15,6774366875
2017-09-18,6852219394
2017-09-19,6818682924
2017-09-20,6885755863
2017-09-21,6908512754
2017-09-22,6988760735
2017-09-25,7028285860
2017-09-26,7263041147
2017-09-27,7340893666
2017-09-28,7237888795
2017-09-29,7282204844
2017-10-02,7304961734
2017-10-03,7212736443
2017-10-04,7124104344
2017-10-05,7254657030
2017-10-06,7308554928
2017-10-09,7200759132
2017-10-10,7198363670
2017-10-11,7266634341
2017-10-12,7237888795
2017-10-13,7234295602
2017-10-16,7215131905
2017-10-17,7261843416
2017-10-18,7271425265
2017-10-19,7330114087
2017-10-20,7440305344
2017-10-23,7393593833
2017-10-24,7490610049
2017-10-25,7433118958
2017-10-26,7568462568
2017-10-27,7621162734
2017-10-30,7481028200
2017-10-31,7447491731
2017-11-01,7431921227
2017-11-02,7094161068
2017-11-03,6925280988
2017-11-06,6786344185
2017-11-07,6821078386
2017-11-08,6742028136
2017-11-09,6767180489
2017-11-10,6776762337
2017-11-13,6706096204
2017-11-14,6633034610
2017-11-15,6583927636
2017-11-16,6637825534
2017-11-17,6667768811
2017-11-20,6642616458
2017-11-21,6816287462
2017-11-22,6880964939
2017-11-24,6861801242
2017-11-27,6900128636
2017-11-28,6948037879
2017-11-29,7119313420
2017-11-30,7041460901
2017-12-01,6999540314
2017-12-04,7005528969
2017-12-05,6976783424
2017-12-06,6967201576
2017-12-07,7022297204
2017-12-08,7210340981
2017-12-11,7182793166
2017-12-12,7183990897
2017-12-13,7110929303
2017-12-14,7034274515
2017-12-15,7000738045
2017-12-18,7028285860
2017-12-19,6987563004
2017-12-20,6963608382
2017-12-21,7233097871
2017-12-22,7131290731
2017-12-26,7149256697
2017-12-27,7074997371
2017-12-28,7085776950
2017-12-29,7023494935
2018-01-02,6899815846
2018-01-03,7000316025
2018-01-04,7117566234
2018-01-05,7253959334
2018-01-08,7237209304
2018-01-09,7383173849
2018-01-10,7657156480
2018-01-11,7806710317
2018-01-12,7819871055
2018-01-16,7563834885
2018-01-17,7700227985
2018-01-18,7596138514
2018-01-19,7679888663
2018-01-22,7706210138
2018-01-23,7770817396
2018-01-24,7731335183
2018-01-25,7763638812
2018-01-26,7864138991
2018-01-29,8071121502
2018-01-30,7783978134
2018-01-31,7688263678
2018-02-01,7667924356
2018-02-02,7435816800
2018-02-05,7074494729
2018-02-06,7032619654
2018-02-07,7058941130
2018-02-08,6633011800
2018-02-09,6817262128
2018-02-12,6966815966
2018-02-13,6408082829
2018-02-14,6665315429
2018-02-15,6709583365
2018-02-16,6798119237
2018-02-20,6898619416
2018-02-21,6872297940
2018-02-22,6600708171
2018-02-23,6621047493
2018-02-26,6698815489
2018-02-27,6653351122
2018-02-28,6493029408
2018-03-01,6397314952
2018-03-02,6215457486
2018-03-05,6309975511
2018-03-06,6324332680
2018-03-07,6266904006
2018-03-08,6203493179
2018-03-09,6443975750
2018-03-12,6434404304
2018-03-13,6396118522
2018-03-14,6302796927
2018-03-15,6282457605
2018-03-16,6548065221
2018-03-19,6365011324
2018-03-20,6467904364
2018-03-21,6440386458
2018-03-22,6269296868
2018-03-23,6073082233
2018-03-26,6234600377
2018-03-27,6057528634
2018-03-28,6106582292
2018-03-29,6149653798
2018-04-02,5980271182
2018-04-03,6049739584
2018-04-04,6068903281
2018-04-05,6218619663
2018-04-06,6017400845
2018-04-09,5998237148
2018-04-10,6126394371
2018-04-11,5979073451
2018-04-12,6055728239
2018-04-13,6012609921
2018-04-16,6055728239
2018-04-17,6088066977
2018-04-18,6168314959
2018-04-19,6223410587
2018-04-20,6171908152
2018-04-23,6180292269
2018-04-24,6157535379
2018-04-25,6153942186
2018-04-26,6188676387
2018-04-27,6209037815
2018-04-30,6082078322
2018-05-01,6094055633
2018-05-02,5773063709
2018-05-03,5756295474
2018-05-04,5956316561
2018-05-07,6024587231
2018-05-08,6019796307
2018-05-09,5870079925
2018-05-10,5829357069
2018-05-11,5762284129
2018-05-14,5844927572
2018-05-15,5799413792
2018-05-16,5698804383
2018-05-17,5745515894
2018-05-18,5650895141
2018-05-21,5700002114
2018-05-22,5713177156
2018-05-23,5761086398
2018-05-24,5787436481
2018-05-25,5782645557
2018-05-29,5557472118
