,CAT
2000-01-03,17183506847
2000-01-04,16964383560
2000-01-05,17360219176
2000-01-06,18243780820
2000-01-07,18844602737
2000-01-10,18222575340
2000-01-11,17939835614
2000-01-12,18243780820
2000-01-13,18441698628
2000-01-14,18356876710
2000-01-18,17650027395
2000-01-19,17430904107
2000-01-20,16653369861
2000-01-21,16745260272
2000-01-24,16017205477
2000-01-25,15416383560
2000-01-26,15967726025
2000-01-27,15748602738
2000-01-28,15373972601
2000-01-31,14999342464
2000-02-01,15260876710
2000-02-02,15352767121
2000-02-03,14956931505
2000-02-04,14956931505
2000-02-07,14582301368
2000-02-08,14490410957
2000-02-09,13825972601
2000-02-10,13451342464
2000-02-11,12723287670
2000-02-14,13649260272
2000-02-15,14136986300
2000-02-16,13847178080
2000-02-17,13670465752
2000-02-18,13317041094
2000-02-22,13543232875
2000-02-23,13366520546
2000-02-24,12815178080
2000-02-25,12723287670
2000-02-28,12567780820
2000-02-29,12391068491
2000-03-01,12327452053
2000-03-02,12171945204
2000-03-03,12857589039
2000-03-06,12963616437
2000-03-07,11952821916
2000-03-08,12348657533
2000-03-09,12461753423
2000-03-10,12610191779
2000-03-13,12588986300
2000-03-14,12659671231
2000-03-15,13522027395
2000-03-16,14377315067
2000-03-17,13917863012
2000-03-20,13606849313
2000-03-21,14073369861
2000-03-22,13762356163
2000-03-23,13981479450
2000-03-24,13960273971
2000-03-27,13804767121
2000-03-28,13543232875
2000-03-29,13783561642
2000-03-30,14490410957
2000-03-31,13652307686
2000-04-03,14496923070
2000-04-04,15036923070
2000-04-05,14690769224
2000-04-06,14649230762
2000-04-07,14323846147
2000-04-10,14344615378
2000-04-11,14559230762
2000-04-12,15036923070
2000-04-13,14538461532
2000-04-14,14019230763
2000-04-17,14171538455
2000-04-18,13936153839
2000-04-19,13022307686
2000-04-20,13153846148
2000-04-24,13499999994
2000-04-25,13887692301
2000-04-26,13846153840
2000-04-27,13887692301
2000-04-28,13652307686
2000-05-01,13437692301
2000-05-02,13714615378
2000-05-03,13458461532
2000-05-04,13133076917
2000-05-05,13520769224
2000-05-08,13479230763
2000-05-09,13153846148
2000-05-10,13285384609
2000-05-11,13437692301
2000-05-12,13631538455
2000-05-15,14039999993
2000-05-16,13936153839
2000-05-17,13846153840
2000-05-18,13437692301
2000-05-19,13866923070
2000-05-22,13908461532
2000-05-23,13673076917
2000-05-24,13735384609
2000-05-25,13174615378
2000-05-26,13195384609
2000-05-30,13264615378
2000-05-31,13243846147
2000-06-01,13763076916
2000-06-02,14213076916
2000-06-05,13846153840
2000-06-06,13520769224
2000-06-07,13437692301
2000-06-08,13195384609
2000-06-09,13243846147
2000-06-12,13368461532
2000-06-13,12869999994
2000-06-14,13022307686
2000-06-15,12766153840
2000-06-16,12440769225
2000-06-19,12156923071
2000-06-20,12136153840
2000-06-21,12156923071
2000-06-22,11921538456
2000-06-23,12032307686
2000-06-26,12053076917
2000-06-27,12350769225
2000-06-28,12503076917
2000-06-29,12073846148
2000-06-30,11616000004
2000-07-03,12322285719
2000-07-05,12061714290
2000-07-06,11938285719
2000-07-07,11657142862
2000-07-10,11746285719
2000-07-11,12384000005
2000-07-12,12432000005
2000-07-13,12322285719
2000-07-14,12171428576
2000-07-17,12260571433
2000-07-18,12946285719
2000-07-19,13008000005
2000-07-20,12706285719
2000-07-21,12514285719
2000-07-24,12432000005
2000-07-25,12301714290
2000-07-26,11917714290
2000-07-27,11917714290
2000-07-28,11677714290
2000-07-31,11677714290
2000-08-01,11766857147
2000-08-02,12000000005
2000-08-03,12020571433
2000-08-04,11958857147
2000-08-07,12576000005
2000-08-08,13069714291
2000-08-09,12877714291
2000-08-10,12857142862
2000-08-11,13330285719
2000-08-14,13392000005
2000-08-15,13261714291
2000-08-16,13261714291
2000-08-17,13117714291
2000-08-18,13090285719
2000-08-21,12918857148
2000-08-22,12966857148
2000-08-23,12774857148
2000-08-24,12857142862
2000-08-25,12898285719
2000-08-28,12747428576
2000-08-29,13241142862
2000-08-30,12877714291
2000-08-31,12603428576
2000-09-01,12774857148
2000-09-05,13049142862
2000-09-06,13261714291
2000-09-07,13049142862
2000-09-08,12966857148
2000-09-11,13138285719
2000-09-12,13028571434
2000-09-13,13261714291
2000-09-14,13371428577
2000-09-15,12747428576
2000-09-18,12363428576
2000-09-19,12171428576
2000-09-20,12109714290
2000-09-21,11958857147
2000-09-22,12041142862
2000-09-25,12171428576
2000-09-26,12000000005
2000-09-27,11252571433
2000-09-28,11657142862
2000-09-29,11574857147
2000-10-02,11744158019
2000-10-03,12018394049
2000-10-04,12038961752
2000-10-05,11997826347
2000-10-06,11826428828
2000-10-09,11846996530
2000-10-10,11442498385
2000-10-11,11401362980
2000-10-12,10928305827
2000-10-13,10859746819
2000-10-16,10887170422
2000-10-17,10455248674
2000-10-18,10222148048
2000-10-19,10455248674
2000-10-20,10516951781
2000-10-23,10777476010
2000-10-24,10928305827
2000-10-25,10736340605
2000-10-26,10907738125
2000-10-27,11271100865
2000-10-30,11977258645
2000-10-31,12018394049
2000-11-01,11915555538
2000-11-02,11936123240
2000-11-03,11936123240
2000-11-06,12402324492
2000-11-07,12381756790
2000-11-08,12491451202
2000-11-09,12532586607
2000-11-10,12258350576
2000-11-13,12402324492
2000-11-14,12361189088
2000-11-15,12573722012
2000-11-16,12450315798
2000-11-17,12662848722
2000-11-20,12745119531
2000-11-21,13115338173
2000-11-22,12964508356
2000-11-24,13327871096
2000-11-27,13602107127
2000-11-28,13369006501
2000-11-29,13752936944
2000-11-30,13478700913
2000-12-01,13944902166
2000-12-04,14849881067
2000-12-05,14870448770
2000-12-06,14246561800
2000-12-07,14246561800
2000-12-08,14267129502
2000-12-11,14527653731
2000-12-12,14527653731
2000-12-13,14287697204
2000-12-14,13944902166
2000-12-15,13992893471
2000-12-18,14507086029
2000-12-19,14699051250
2000-12-20,14760754357
2000-12-21,15343505923
2000-12-22,15981104694
2000-12-26,16371891038
2000-12-27,16282764328
2000-12-28,16323899733
2000-12-29,16221061221
2001-01-02,15965617018
2001-01-03,16027659571
2001-01-04,16779063826
2001-01-05,15813957443
2001-01-08,15772595741
2001-01-09,15745021273
2001-01-10,15531319146
2001-01-11,15662297869
2001-01-12,15055659571
2001-01-16,15400340422
2001-01-17,15510638295
2001-01-18,14393872337
2001-01-19,14000936167
2001-01-22,14090553188
2001-01-23,14345617018
2001-01-24,14538638295
2001-01-25,14931574465
2001-01-26,14910893614
2001-01-29,14855744678
2001-01-30,15303829784
2001-01-31,15241787231
2001-02-01,15283148933
2001-02-02,15262468082
2001-02-05,15090127656
2001-02-06,15000510635
2001-02-07,15034978720
2001-02-08,14883319146
2001-02-09,14821276593
2001-02-12,14869531912
2001-02-13,14910893614
2001-02-14,14793702124
2001-02-15,15207319146
2001-02-16,15055659571
2001-02-20,14407659571
2001-02-21,14118127656
2001-02-22,14028510635
2001-02-23,13821702125
2001-02-26,14352510635
2001-02-27,14648936167
2001-02-28,14338723401
2001-03-01,14476595742
2001-03-02,14710978720
2001-03-05,15283148933
2001-03-06,15338297869
2001-03-07,16131063826
2001-03-08,16468851060
2001-03-09,16144851060
2001-03-12,15496851060
2001-03-13,15875999997
2001-03-14,15434808507
2001-03-15,15510638295
2001-03-16,15372765954
2001-03-19,15558893614
2001-03-20,15124595741
2001-03-21,14538638295
2001-03-22,14262893614
2001-03-23,14400765954
2001-03-26,14800595741
2001-03-27,15441702124
2001-03-28,15682978720
2001-03-29,15379659571
2001-03-30,15296936167
2001-04-02,15256252000
2001-04-03,14473527999
2001-04-04,14954148000
2001-04-05,15716274000
2001-04-06,15297448000
2001-04-09,15441633999
2001-04-10,15688810000
2001-04-11,15496562000
2001-04-12,16135100000
2001-04-16,16052708000
2001-04-17,15709408000
2001-04-18,16636318000
2001-04-19,16368544000
2001-04-20,16437204000
2001-04-23,16567658000
2001-04-24,16581389999
2001-04-25,17165000000
2001-04-26,16945288000
2001-04-27,17274856000
2001-04-30,17233660000
2001-05-01,17432774000
2001-05-02,17267990000
2001-05-03,17178732000
2001-05-04,17357248000
2001-05-07,17679950000
2001-05-08,17803538000
2001-05-09,17851600000
2001-05-10,18339086000
2001-05-11,18263560000
2001-05-14,18133106000
2001-05-15,18242962000
2001-05-16,19197336000
2001-05-17,18970758000
2001-05-18,18970758000
2001-05-21,19121810000
2001-05-22,19293460000
2001-05-23,18881500000
2001-05-24,18675520000
2001-05-25,18538200000
2001-05-29,18929562000
2001-05-30,18332220000
2001-05-31,18593128000
2001-06-01,18833438000
2001-06-04,19149274000
2001-06-05,19190470000
2001-06-06,18757912000
2001-06-07,18874634000
2001-06-08,18654922000
2001-06-11,18318488000
2001-06-12,18476406000
2001-06-13,18551932000
2001-06-14,18606860000
2001-06-15,18586262000
2001-06-18,18696118000
2001-06-19,18503870000
2001-06-20,19053150000
2001-06-21,19224800000
2001-06-22,18757912000
2001-06-25,18071312000
2001-06-26,18263560000
2001-06-27,17947724000
2001-06-28,17391578000
2001-06-29,17185598000
2001-07-02,17837868000
2001-07-03,17851600000
2001-07-05,17741744000
2001-07-06,17027680000
2001-07-09,17302320000
2001-07-10,16746174000
2001-07-11,16821700000
2001-07-12,17817270000
2001-07-13,18016384000
2001-07-16,17295454000
2001-07-17,18387148000
2001-07-18,18085044000
2001-07-19,18606860000
2001-07-20,18538200000
2001-07-23,18503870000
2001-07-24,18160570000
2001-07-25,18194900000
2001-07-26,18050714000
2001-07-27,18112508000
2001-07-30,18387148000
2001-07-31,18915830000
2001-08-01,18524468000
2001-08-02,18744180000
2001-08-03,18696118000
2001-08-06,18181168000
2001-08-07,18297890000
2001-08-08,18112508000
2001-08-09,17975188000
2001-08-10,18414612000
2001-08-13,18545066000
2001-08-14,18490138000
2001-08-15,18963892000
2001-08-16,18586262000
2001-08-17,18455808000
2001-08-20,18112508000
2001-08-21,17995786000
2001-08-22,18297890000
2001-08-23,17782940000
2001-08-24,17933992000
2001-08-27,18009518000
2001-08-28,17899662000
2001-08-29,17570094000
2001-08-30,17165000000
2001-08-31,17165000000
2001-09-04,17295454000
2001-09-05,17267990000
2001-09-06,17556362000
2001-09-07,16773638000
2001-09-10,16512730000
2001-09-17,15345510000
2001-09-18,15695676000
2001-09-19,15242520000
2001-09-20,14315610000
2001-09-21,15125798000
2001-09-24,15832996000
2001-09-25,15922254000
2001-09-26,15132664000
2001-09-27,15036539999
2001-09-28,15379839999
2001-10-01,15098333999
2001-10-02,15585820000
2001-10-03,16279286000
2001-10-04,16279286000
2001-10-05,16567658000
2001-10-08,16011512000
2001-10-09,16100770000
2001-10-10,16244956000
2001-10-11,16924689999
2001-10-12,16670648000
2001-10-15,16547060000
2001-10-16,16492132000
2001-10-17,16107636000
2001-10-18,15929120000
2001-10-19,15709408000
2001-10-22,15990914000
2001-10-23,15853594000
2001-10-24,15606418000
2001-10-25,15922254000
2001-10-26,16238089999
2001-10-29,15688810000
2001-10-30,15421036000
2001-10-31,15352376000
2001-11-01,15517160000
2001-11-02,15695676000
2001-11-05,15826130000
2001-11-06,16402874000
2001-11-07,16581389999
2001-11-08,16615720000
2001-11-09,16567658000
2001-11-12,16402874000
2001-11-13,16807968000
2001-11-14,16608854000
2001-11-15,16471533999
2001-11-16,16856030000
2001-11-19,17165000000
