,CB
2000-01-03,3557883787
2000-01-04,3531706837
2000-01-05,3326654062
2000-01-06,3518618362
2000-01-07,3954900862
2000-01-10,4077059962
2000-01-11,3885095662
2000-01-12,4022524650
2000-01-13,4308289687
2000-01-14,4484984100
2000-01-18,4186130587
2000-01-19,4308289687
2000-01-20,4308289687
2000-01-21,4375913475
2000-01-24,4375913475
2000-01-25,4266842849
2000-01-26,4131595275
2000-01-27,4022524650
2000-01-28,3926542500
2000-01-31,3858918712
2000-02-01,3926542500
2000-02-02,3791294925
2000-02-03,3708401250
2000-02-04,3682224300
2000-02-07,3653865937
2000-02-08,3586242150
2000-02-09,3477171525
2000-02-10,3368100900
2000-02-11,3259030275
2000-02-14,3259030275
2000-02-15,3313565587
2000-02-16,3954900862
2000-02-17,4144683750
2000-02-18,3981077812
2000-02-22,3804383400
2000-02-23,3708401250
2000-02-24,3736759612
2000-02-25,3653865937
2000-02-28,3708401250
2000-02-29,3900365550
2000-03-01,3695312775
2000-03-02,3599330625
2000-03-03,3599330625
2000-03-06,3422636212
2000-03-07,3204494962
2000-03-08,3217583437
2000-03-09,3326654062
2000-03-10,3300477112
2000-03-13,3259030275
2000-03-14,3259030275
2000-03-15,3368100900
2000-03-16,3845830237
2000-03-17,3721489724
2000-03-20,3612419099
2000-03-21,3967989337
2000-03-22,3872007187
2000-03-23,4077059962
2000-03-24,4144683750
2000-03-27,4035613125
2000-03-28,4144683750
2000-03-29,4144683750
2000-03-30,4567877775
2000-03-31,5213345280
2000-04-03,5126760000
2000-04-04,4969539360
2000-04-05,4969539360
2000-04-06,4798647360
2000-04-07,4841940000
2000-04-10,4928525280
2000-04-11,4784976000
2000-04-12,4912575360
2000-04-13,5012832000
2000-04-14,4798647360
2000-04-17,4700669280
2000-04-18,4741683360
2000-04-19,4671048000
2000-04-20,4728012000
2000-04-24,5254359360
2000-04-25,5753364000
2000-04-26,5468544000
2000-04-27,5568800640
2000-04-28,5454872640
2000-05-01,5880963360
2000-05-02,5696400000
2000-05-03,5625764640
2000-05-04,5782985280
2000-05-05,5653107360
2000-05-08,5568800640
2000-05-09,5924256000
2000-05-10,5853620640
2000-05-11,5924256000
2000-05-12,5937927360
2000-05-15,6081476640
2000-05-16,6081476640
2000-05-17,6010841280
2000-05-18,6295661280
2000-05-19,6195404640
2000-05-22,6124769280
2000-05-23,6195404640
2000-05-24,6379968000
2000-05-25,6138440640
2000-05-26,5967548640
2000-05-30,6366296640
2000-05-31,6138440640
2000-06-01,6450603360
2000-06-02,6935936640
2000-06-05,6621495360
2000-06-06,6808337280
2000-06-07,6878972640
2000-06-08,6594152640
2000-06-09,6480224640
2000-06-12,6466553280
2000-06-13,6480224640
2000-06-14,6594152640
2000-06-15,6423260640
2000-06-16,6436932000
2000-06-19,6607824000
2000-06-20,6436932000
2000-06-21,6209076000
2000-06-22,6051855360
2000-06-23,6138440640
2000-06-26,5994891360
2000-06-27,6067805280
2000-06-28,6238697280
2000-06-29,6379968000
2000-06-30,6568473324
2000-07-03,6568473324
2000-07-05,6465254457
2000-07-06,6613045107
2000-07-07,6833558140
2000-07-10,6920355823
2000-07-11,7051725289
2000-07-12,7330885406
2000-07-13,7302734806
2000-07-14,7403607789
2000-07-17,7344960706
2000-07-18,7140868856
2000-07-19,7037649990
2000-07-20,7258163023
2000-07-21,7302734806
2000-07-24,7037649990
2000-07-25,7316810106
2000-07-26,7814137372
2000-07-27,8607045937
2000-07-28,8327885821
2000-07-31,8445179988
2000-08-01,8079222188
2000-08-02,7654617305
2000-08-03,7858709155
2000-08-04,7947852722
2000-08-07,8079222188
2000-08-08,8137869271
2000-08-09,7741414989
2000-08-10,7889205638
2000-08-11,8006499805
2000-08-14,8255163438
2000-08-15,8255163438
2000-08-16,8241088138
2000-08-17,8386532904
2000-08-18,8313810521
2000-08-21,8210591655
2000-08-22,8079222188
2000-08-23,8020575105
2000-08-24,7990078621
2000-08-25,7931431538
2000-08-28,7800062072
2000-08-29,7814137372
2000-08-30,7917356238
2000-08-31,8241088138
2000-09-01,8151944571
2000-09-05,8182441055
2000-09-06,7844633855
2000-09-07,7889205638
2000-09-08,8196516355
2000-09-11,8210591655
2000-09-12,8299735221
2000-09-13,8400608204
2000-09-14,8400608204
2000-09-15,8459255287
2000-09-18,8503827071
2000-09-19,8679768321
2000-09-20,8562474154
2000-09-21,8973003737
2000-09-22,9090297903
2000-09-25,8710264804
2000-09-26,9076222603
2000-09-27,9280314453
2000-09-28,9324886236
2000-09-29,9207592070
2000-10-02,9586577949
2000-10-03,9217863412
2000-10-04,9203114831
2000-10-05,9094958567
2000-10-06,8758199290
2000-10-09,8711495449
2000-10-10,8465685758
2000-10-11,8696746867
2000-10-12,8249373229
2000-10-13,8450937176
2000-10-16,8556635343
2000-10-17,8527138180
2000-10-18,8863897457
2000-10-19,9294064416
2000-10-20,9326019676
2000-10-23,9463673103
2000-10-24,9416969262
2000-10-25,9525125526
2000-10-26,9416969262
2000-10-27,9648030371
2000-10-30,9987247745
2000-10-31,9648030371
2000-11-01,9785683798
2000-11-02,9940543904
2000-11-03,9601326530
2000-11-06,9416969262
2000-11-07,9586577949
2000-11-08,9633281790
2000-11-09,9539874107
2000-11-10,9864342899
2000-11-13,9648030371
2000-11-14,9817639058
2000-11-15,9847136221
2000-11-16,9785683798
2000-11-17,9832387640
2000-11-20,9618533208
2000-11-21,9586577949
2000-11-22,9434175940
2000-11-24,9539874107
2000-11-27,9402220680
2000-11-28,9525125526
2000-11-29,9785683798
2000-11-30,9709482794
2000-12-01,9648030371
2000-12-04,9741438054
2000-12-05,10078197331
2000-12-06,10092945912
2000-12-07,10201102176
2000-12-08,10707470139
2000-12-11,10584565294
2000-12-12,10324007022
2000-12-13,9832387640
2000-12-14,9586577949
2000-12-15,9355516839
2000-12-18,9709482794
2000-12-19,9249818672
2000-12-20,9094958567
2000-12-21,9955292485
2000-12-22,9940543904
2000-12-26,10309258440
2000-12-27,10478867127
2000-12-28,10523112871
2000-12-29,10432163286
2001-01-02,10174484388
2001-01-03,9713241096
2001-01-04,9187867720
2001-01-05,9358059095
2001-01-08,9419722637
2001-01-09,9002877095
2001-01-10,8973278595
2001-01-11,8879550012
2001-01-12,8586031553
2001-01-16,8973278595
2001-01-17,8664960886
2001-01-18,9002877095
2001-01-19,8771022178
2001-01-22,9219932762
2001-01-23,9496185429
2001-01-24,9510984679
2001-01-25,9604713262
2001-01-26,9481386179
2001-01-29,9518384304
2001-01-30,9296395554
2001-01-31,9126204179
2001-02-01,8983144762
2001-02-02,9360525637
2001-02-05,9565248596
2001-02-06,9343259845
