,CCI
2000-01-03,4841019980
2000-01-04,4836263000
2000-01-05,4766493960
2000-01-06,4598414000
2000-01-07,4836263000
2000-01-10,5064598040
2000-01-11,4826749040
2000-01-12,4756980000
2000-01-13,4756980000
2000-01-14,4579386080
2000-01-18,4766493960
2000-01-19,4756980000
2000-01-20,4787107540
2000-01-21,4915546000
2000-01-24,5411857580
2000-01-25,5351602500
2000-01-26,5391244000
2000-01-27,5213650080
2000-01-28,5253291580
2000-01-31,5015442580
2000-02-01,5055084080
2000-02-02,5272319500
2000-02-03,5242191960
2000-02-04,5088382940
2000-02-07,5015442580
2000-02-08,5134367080
2000-02-09,5361116460
2000-02-10,6333126040
2000-02-11,6179317020
2000-02-14,5857428040
2000-02-15,5668734500
2000-02-16,5400757960
2000-02-17,5342088540
2000-02-18,5193036500
2000-02-22,5321474960
2000-02-23,5043984460
2000-02-24,5094725580
2000-02-25,5253291580
2000-02-28,4975801080
2000-02-29,5113753500
2000-03-01,5292933080
2000-03-02,6342640000
2000-03-03,6729541040
2000-03-06,6452050540
2000-03-07,6352153960
2000-03-08,6302998500
2000-03-09,6471078460
2000-03-10,6580489000
2000-03-13,6580489000
2000-03-14,6501206000
2000-03-15,6352153960
2000-03-16,6391795460
2000-03-17,6421923000
2000-03-20,6342640000
2000-03-21,6302998500
2000-03-22,6640744080
2000-03-23,6699413500
2000-03-24,6601102580
2000-03-27,6333126040
2000-03-28,6104791000
2000-03-29,6006480080
2000-03-30,5708376000
2000-03-31,6273875000
2000-04-03,5548437500
2000-04-04,5672656250
2000-04-05,5859812500
2000-04-06,6522312500
2000-04-07,6376562500
2000-04-10,6593531250
2000-04-11,6086718750
2000-04-12,5558375000
2000-04-13,5796875000
2000-04-14,5445750000
2000-04-17,5341406250
2000-04-18,5962500000
2000-04-19,5889625000
2000-04-20,5621312500
2000-04-24,5599781250
2000-04-25,5599781250
2000-04-26,6252343750
2000-04-27,6315281250
2000-04-28,6356687500
2000-05-01,6262281250
2000-05-02,6149656250
2000-05-03,5465625000
2000-05-04,6086718750
2000-05-05,5777000000
2000-05-08,5487156250
2000-05-09,5280125000
2000-05-10,4990281250
2000-05-11,4917406250
2000-05-12,4948875000
2000-05-15,4927343750
2000-05-16,5175781250
2000-05-17,5073093750
2000-05-18,4927343750
2000-05-19,4664000000
2000-05-22,4399000000
2000-05-23,4162156250
2000-05-24,4057812500
2000-05-25,4109156250
2000-05-26,4182031250
2000-05-30,4471875000
2000-05-31,4337718750
2000-06-01,4637500000
2000-06-02,5092968750
2000-06-05,5901218750
2000-06-06,5952562500
2000-06-07,5972437500
2000-06-08,5621312500
2000-06-09,5806812500
2000-06-12,5796875000
2000-06-13,5806812500
2000-06-14,5796875000
2000-06-15,5662718750
2000-06-16,5765406250
2000-06-19,5796875000
2000-06-20,6096656250
2000-06-21,6066843750
2000-06-22,5962500000
2000-06-23,5901218750
2000-06-26,5962500000
2000-06-27,5962500000
2000-06-28,5806812500
2000-06-29,5818406250
2000-06-30,6999349500
2000-07-03,7058796030
2000-07-05,7131665970
2000-07-06,6903468000
2000-07-07,7179606720
2000-07-10,7275488220
2000-07-11,7455745440
2000-07-12,7455745440
2000-07-13,7490262780
2000-07-14,7574638500
2000-07-17,7359863940
2000-07-18,7143171750
2000-07-19,6519942000
2000-07-20,6939902970
2000-07-21,6544871190
2000-07-24,6424060500
2000-07-25,6243803280
2000-07-26,6029028720
2000-07-27,5752890000
2000-07-28,6472001250
2000-07-31,6519942000
2000-08-01,6759645750
2000-08-02,6784574940
2000-08-03,6914973780
2000-08-04,6995514239
2000-08-07,7359863940
2000-08-08,6759645750
2000-08-09,6663764250
2000-08-10,7051125510
2000-08-11,7131665970
2000-08-14,7202618280
2000-08-15,7227547470
2000-08-16,7239053250
2000-08-17,7239053250
2000-08-18,7394381280
2000-08-21,7263982440
2000-08-22,7024278690
2000-08-23,6976337940
2000-08-24,6987843720
2000-08-25,7024278690
2000-08-28,6903468000
2000-08-29,6914973780
2000-08-30,6771151530
2000-08-31,6652258470
2000-09-01,6688693440
2000-09-05,6483507030
2000-09-06,6483507030
2000-09-07,6243803280
2000-09-08,6040534500
2000-09-11,6099981030
2000-09-12,6305167440
