,CCU
2000-01-03,2075651279
2000-01-04,2024558324
2000-01-05,2027751634
2000-01-06,2035734908
2000-01-07,2075651279
2000-01-10,2075651279
2000-01-11,2032541598
2000-01-12,2075651279
2000-01-13,2083634553
2000-01-14,2112374340
2000-01-18,2147500746
2000-01-19,2147500746
2000-01-20,2131534198
2000-01-21,2171450568
2000-01-24,2168257259
2000-01-25,2171450568
2000-01-26,2144307436
2000-01-27,2123550923
2000-01-28,2107584375
2000-01-31,1995818537
2000-02-01,1971868715
2000-02-02,1936742308
2000-02-03,1971868715
2000-02-04,1992625227
2000-02-07,2000608501
2000-02-08,1979851989
2000-02-09,1952708857
2000-02-10,1912792486
2000-02-11,1908002521
2000-02-14,1884052699
2000-02-15,1788253409
2000-02-16,1793043374
2000-02-17,1801026648
2000-02-18,1753127003
2000-02-22,1729177180
2000-02-23,1657327713
2000-02-24,1660521023
2000-02-25,1660521023
2000-02-28,1657327713
2000-02-29,1644554474
2000-03-01,1673294261
2000-03-02,1724387216
2000-03-03,1753127003
2000-03-06,1769093551
2000-03-07,1785060099
2000-03-08,1793043374
2000-03-09,1860102876
2000-03-10,1876069425
2000-03-13,1812203232
2000-03-14,1802623303
2000-03-15,1724387216
2000-03-16,1716403942
2000-03-17,1684470845
2000-03-20,1660521023
2000-03-21,1668504297
2000-03-22,1668504297
2000-03-23,1641361165
2000-03-24,1628587926
2000-03-27,1652537749
2000-03-28,1607831413
2000-03-29,1612621378
2000-03-30,1596654830
2000-03-31,1588671555
2000-04-03,1593461520
2000-04-04,1577494972
2000-04-05,1567915043
2000-04-06,1532788636
2000-04-07,1473712408
2000-04-10,1497662230
2000-04-11,1497662230
2000-04-12,1508838814
2000-04-13,1497662230
2000-04-14,1401862940
2000-04-17,1349173331
2000-04-18,1373123153
2000-04-19,1405056250
2000-04-20,1436989347
2000-04-24,1421022798
2000-04-25,1436989347
2000-04-26,1436989347
2000-04-27,1425812763
2000-04-28,1425812763
2000-05-01,1425812763
2000-05-02,1425812763
2000-05-03,1417829489
2000-05-04,1413039524
2000-05-05,1389089702
2000-05-08,1389089702
2000-05-09,1368333189
2000-05-10,1368333189
2000-05-11,1365139879
2000-05-12,1429006072
2000-05-15,1625394616
2000-05-16,1593461520
2000-05-17,1572705007
