,CHK
2021-02-10,4404839574
2021-02-11,4190423066
2021-02-12,4162030013
2021-02-16,4263853377
2021-02-17,4333367405
2021-02-18,4210004483
2021-02-19,4307911564
2021-02-22,4292246431
2021-02-23,4274623156
2021-02-24,4405818645
2021-02-25,4381341874
2021-02-26,4325534838
2021-03-01,4373509308
2021-03-02,4435190769
2021-03-03,4626109577
2021-03-04,4521349000
2021-03-05,4408755857
2021-03-08,4344137183
2021-03-09,4335325546
2021-03-10,4381341874
2021-03-11,4439107052
2021-03-12,4479248955
2021-03-15,4479248955
2021-03-16,4387216299
2021-03-17,4433232627
2021-03-18,4258958023
2021-03-19,4240355678
2021-03-22,4185527712
2021-03-23,4082725277
2021-03-24,4072934569
2021-03-25,4127762534
2021-03-26,4242313819
2021-03-29,4163009084
2021-03-30,4223711474
2021-03-31,4249226090
2021-04-01,4400039830
2021-04-05,4373598460
2021-04-06,4427460510
2021-04-07,4416688100
2021-04-08,4439212230
2021-04-09,4459777740
2021-04-12,4450963950
2021-04-13,4456839810
2021-04-14,4523432890
2021-04-15,4523432890
2021-04-16,4470550150
2021-04-19,4501888070
2021-04-20,4476426010
2021-04-21,4528329440
2021-04-22,4512660480
2021-04-23,4549874260
2021-04-26,4591005280
2021-04-27,4590025970
2021-04-28,4522453580
2021-04-29,4597860450
2021-04-30,4462715670
2021-05-03,4540081160
2021-05-04,4504826000
2021-05-05,4577294940
2021-05-06,4652701810
2021-05-07,4815267270
2021-05-10,4854439670
2021-05-11,4804494860
2021-05-12,4845625880
2021-05-13,4847584500
2021-05-14,4785887970
2021-05-17,4895570690
2021-05-18,5023860300
2021-05-19,4994481000
2021-05-20,4944536190
2021-05-21,4938660330
2021-05-24,4950412050
2021-05-25,4939639640
2021-05-26,5170756800
2021-05-27,5185446450
2021-05-28,5170756800
2021-06-01,5374453280
2021-06-02,5231474020
2021-06-03,5237349880
2021-06-04,5330384330
2021-06-07,5439087740
2021-06-08,5436149810
2021-06-09,5428315330
2021-06-10,5443004980
2021-06-11,5505680820
2021-06-14,5467487730
2021-06-15,5480218760
2021-06-16,5297087790
2021-06-17,5264770560
2021-06-18,5201115410
2021-06-21,5394039480
2021-06-22,5250080910
2021-06-23,5183487830
2021-06-24,5199156790
2021-06-25,5203074030
2021-06-28,4994481000
2021-06-29,4852481050
2021-06-30,5099634320
2021-07-01,5302951790
2021-07-02,5361884390
2021-07-06,5290183060
2021-07-07,5329471460
2021-07-08,5363848810
2021-07-09,5383493010
2021-07-12,5376617540
2021-07-13,5285272010
2021-07-14,4993555640
2021-07-15,4981769120
2021-07-16,4924800940
2021-07-19,4803006900
2021-07-20,4990609010
2021-07-21,5201784160
2021-07-22,5301969580
2021-07-23,5381528590
2021-07-26,5419834780
2021-07-27,5398226160
2021-07-28,5445372240
2021-07-29,5435550140
2021-07-30,5308845050
2021-08-02,5235179300
2021-08-03,5359919970
2021-08-04,5351080080
2021-08-05,5324560410
2021-08-06,5406083840
2021-08-09,5309827260
2021-08-10,5451265500
2021-08-11,5592703740
2021-08-12,5776377010
2021-08-13,5577970590
2021-08-16,5483678430
2021-08-17,5379564170
2021-08-18,5148744820
2021-08-19,5104545370
2021-08-20,5173300070
2021-08-23,5132047250
2021-08-24,5176246700
2021-08-25,5208659630
2021-08-26,5216517310
2021-08-27,5439478980
2021-08-30,5381528590
2021-08-31,5481714010
2021-09-01,5560290810
2021-09-02,5725302090
2021-09-03,5797985630
2021-09-07,5876562430
2021-09-08,5979694480
2021-09-09,5949245970
2021-09-10,5848078340
2021-09-13,6154527860
2021-09-14,6059253490
2021-09-15,6185958580
2021-09-16,6010142990
2021-09-17,5998356470
2021-09-20,5865758120
2021-09-21,5722355460
2021-09-22,5751821760
2021-09-23,5939423870
2021-09-24,5754768390
2021-09-27,6136848080
2021-09-28,6099524100
2021-09-29,5977730060
2021-09-30,6846344400
2021-10-01,6900812800
2021-10-04,7185382400
2021-10-05,7438827200
2021-10-06,7110905200
2021-10-07,7197610000
2021-10-08,7312104800
2021-10-11,6973066800
2021-10-12,6903036000
2021-10-13,6897478000
2021-10-14,7115351600
2021-10-15,6975290000
2021-10-18,7024200400
2021-10-19,6871911200
2021-10-20,6926379600
2021-10-21,6828558800
2021-10-22,6899701200
2021-10-25,7531090000
2021-10-26,7512192800
2021-10-27,7359903599
2021-10-28,7367684800
2021-10-29,7085338400
2021-11-01,7313216400
2021-11-02,7266529200
2021-11-03,7508858000
2021-11-04,7292095999
2021-11-05,7316551199
2021-11-08,7361015200
2021-11-09,7488849200
2021-11-10,7014196000
2021-11-11,7163150400
2021-11-12,6994187200
2021-11-15,6937495600
2021-11-16,6924156400
2021-11-17,7086450000
2021-11-18,7139806800
2021-11-19,6863018400
2021-11-22,6805215200
2021-11-23,7107570400
2021-11-24,7189828800
2021-11-26,7105347200
2021-11-29,6821889200
2021-11-30,6618466400
2021-12-01,6336120000
2021-12-02,6767420800
2021-12-03,6706282800
2021-12-06,6646256400
2021-12-07,7023088800
2021-12-08,7165373599
2021-12-09,7038651200
2021-12-10,7092008000
2021-12-13,6881915600
2021-12-14,6861906800
2021-12-15,6774090400
2021-12-16,6820777600
2021-12-17,6754081600
2021-12-20,6680716000
2021-12-21,6850790800
2021-12-22,6937495600
2021-12-23,7023088800
2021-12-27,7319885999
2021-12-28,7332113599
2021-12-29,7288761199
2021-12-30,7153145999
2021-12-31,7794338599
2022-01-03,8039572750
2022-01-04,8067357900
2022-01-05,7875277950
2022-01-06,8062525699
2022-01-07,8371786500
2022-01-10,8480511000
2022-01-11,8443061450
2022-01-12,8832053550
2022-01-13,8468430499
2022-01-14,8639973600
2022-01-18,8392323350
2022-01-19,8157961650
2022-01-20,7826955950
2022-01-21,7615547200
2022-01-24,7702526800
2022-01-25,8109639649
2022-01-26,8266686150
2022-01-27,8350041600
2022-01-28,8261853950
2022-01-31,8235276850
2022-02-01,8271518350
2022-02-02,8395947500
2022-02-03,8177290450
2022-02-04,8091518900
2022-02-07,8068565950
2022-02-08,7939304600
2022-02-09,7934472400
2022-02-10,7927224100
2022-02-11,8353665750
2022-02-14,8186954849
2022-02-15,8247357349
2022-02-16,8041988849
2022-02-17,8072190099
2022-02-18,7946552900
2022-02-22,8015411749
2022-02-23,8275142500
2022-02-24,8566282550
2022-02-25,9070039400
2022-02-28,9332186250
2022-03-01,9576212350
2022-03-02,9588292850
2022-03-03,9698225400
2022-03-04,10268425000
2022-03-07,10375941450
