,CHRW
2000-01-03,1654032720
2000-01-04,1598221799
2000-01-05,1577926920
2000-01-06,1586383120
2000-01-07,1606678000
2000-01-10,1677710080
2000-01-11,1652341480
2000-01-12,1664180160
2000-01-13,1681092560
2000-01-14,1691240000
2000-01-18,1677710080
2000-01-19,1728447280
2000-01-20,1709843640
2000-01-21,1662488920
2000-01-24,1741977200
2000-01-25,1713226120
2000-01-26,1723373560
2000-01-27,1687857520
2000-01-28,1755507120
2000-01-31,1719991080
2000-02-01,1743668440
2000-02-02,1799479360
2000-02-03,1797788120
2000-02-04,1809626799
2000-02-07,1840069120
2000-02-08,1868820200
2000-02-09,2024414280
2000-02-10,1995663200
2000-02-11,1841760360
2000-02-14,1828230440
2000-02-15,1765654560
2000-02-16,1802861840
2000-02-17,1780875720
2000-02-18,1723373560
2000-02-22,1755507120
2000-02-23,1889115080
2000-02-24,1912792440
2000-02-25,1941543520
2000-02-28,2093755120
2000-02-29,2156331000
2000-03-01,2124197440
2000-03-02,2098828840
2000-03-03,2098828840
2000-03-06,2095446360
2000-03-07,2152948520
2000-03-08,2151257280
2000-03-09,2129271160
2000-03-10,2090372640
2000-03-13,2056547840
2000-03-14,1948308480
2000-03-15,1921248640
2000-03-16,1863746480
2000-03-17,1762272080
2000-03-20,1696313720
2000-03-21,1736903480
2000-03-22,1779184480
2000-03-23,1779184480
2000-03-24,1775802000
2000-03-27,1770728280
2000-03-28,1770728280
2000-03-29,1713226120
2000-03-30,1672636360
2000-03-31,1574916840
2000-04-03,1480185000
2000-04-04,1706864760
2000-04-05,1664573760
2000-04-06,1706864760
2000-04-07,1837121040
2000-04-10,1762688880
2000-04-11,1781296920
2000-04-12,1945386000
2000-04-13,1864187280
2000-04-14,1744080840
2000-04-17,1747464120
2000-04-18,1903095000
2000-04-19,1984293720
2000-04-20,2029968000
2000-04-24,2067184080
2000-04-25,2090867040
2000-04-26,2038426200
2000-04-27,2082408840
2000-04-28,2114550000
2000-05-01,2129774760
2000-05-02,2141616240
2000-05-03,2002901760
2000-05-04,2045192760
2000-05-05,2194057080
2000-05-08,2183907240
2000-05-09,2190673800
2000-05-10,2175449040
2000-05-11,2188982160
2000-05-12,2187290520
2000-05-15,2185598880
2000-05-16,2062109160
2000-05-17,1931852880
2000-05-18,1876028760
2000-05-19,1865878920
2000-05-22,1879412040
2000-05-23,2014743240
2000-05-24,2001210120
2000-05-25,1945386000
2000-05-26,1945386000
2000-05-30,1918319760
2000-05-31,1899711720
2000-06-01,2021509799
2000-06-02,1945386000
2000-06-05,1926777960
2000-06-06,1904786640
2000-06-07,1898020080
2000-06-08,1823587920
2000-06-09,1826971200
2000-06-12,1960610760
2000-06-13,1982602080
2000-06-14,1991060280
2000-06-15,1979218799
2000-06-16,1997826840
2000-06-19,1945386000
2000-06-20,1864187280
2000-06-21,1798213320
2000-06-22,1755922320
2000-06-23,1766072160
2000-06-26,1766072160
2000-06-27,1757613960
2000-06-28,1798213320
2000-06-29,1757613960
2000-06-30,2092665680
2000-07-03,2004766960
2000-07-05,2018289840
2000-07-06,1986173000
2000-07-07,2008147680
2000-07-10,2112950000
2000-07-11,2177183680
2000-07-12,2248178800
2000-07-13,2244798080
2000-07-14,2290437800
2000-07-17,2339458240
2000-07-18,2351290760
2000-07-19,2249869160
2000-07-20,2381717240
2000-07-21,2395240120
2000-07-24,2361432920
2000-07-25,2408763000
2000-07-26,2522017120
2000-07-27,2489900280
2000-07-28,2532159280
2000-07-31,2694433840
2000-08-01,2527088200
2000-08-02,2472996680
2000-08-03,2454402720
2000-08-04,2442570200
2000-08-07,2454402720
2000-08-08,2398620840
2000-08-09,2456093080
2000-08-10,2498352080
2000-08-11,2540611080
2000-08-14,2540611080
2000-08-15,2435808760
2000-08-16,2545682160
2000-08-17,2581179720
2000-08-18,2582870080
2000-08-21,2559205040
2000-08-22,2484829200
2000-08-23,2440879840
2000-08-24,2515255680
2000-08-25,2609915840
2000-08-28,2493281000
2000-08-29,2508494240
2000-08-30,2506803880
2000-08-31,2501732800
2000-09-01,2478067760
2000-09-05,2459473800
2000-09-06,2459473800
2000-09-07,2483138840
2000-09-08,2469615960
2000-09-11,2403691920
2000-09-12,2422285880
2000-09-13,2494971360
2000-09-14,2516946040
2000-09-15,2515255680
2000-09-18,2371575080
2000-09-19,2374955800
2000-09-20,2388478680
2000-09-21,2461164160
2000-09-22,2442570200
2000-09-25,2435808760
2000-09-26,2380026880
2000-09-27,2351290760
2000-09-28,2390169040
2000-09-29,2381717240
2000-10-02,2266150380
2000-10-03,2222147460
2000-10-04,2323692660
2000-10-05,2318615400
2000-10-06,2233994400
2000-10-09,2027519160
2000-10-10,2227224720
2000-10-11,2293229100
2000-10-12,2255995860
2000-10-13,2354156220
2000-10-16,2391389460
2000-10-17,2369388000
2000-10-18,2162912760
2000-10-19,2142603720
2000-10-20,2200146000
2000-10-23,2161220340
2000-10-24,2167990020
2000-10-25,2184914220
2000-10-26,2401543980
2000-10-27,2350771380
2000-10-30,2330462340
2000-10-31,2313538140
2000-11-01,2350771380
2000-11-02,2369388000
2000-11-03,2322000240
2000-11-06,2322000240
2000-11-07,2284767000
2000-11-08,2327077500
2000-11-09,2322000240
2000-11-10,2250918600
2000-11-13,2271227640
2000-11-14,2322000240
2000-11-15,2342309280
2000-11-16,2354156220
2000-11-17,2401543980
2000-11-20,2411698500
2000-11-21,2459086260
2000-11-22,2538630000
2000-11-24,2560631460
2000-11-27,2584325340
2000-11-28,2520013380
2000-11-29,2492934660
2000-11-30,2396466720
2000-12-01,2464163520
2000-12-04,2553861780
2000-12-05,2553861780
2000-12-06,2613096480
2000-12-07,2697717480
2000-12-08,2750182500
2000-12-11,2750182500
2000-12-12,2570785980
2000-12-13,2491242240
2000-12-14,2486164980
2000-12-15,2327077500
2000-12-18,2501396760
2000-12-19,2533552740
2000-12-20,2501396760
2000-12-21,2496319500
2000-12-22,2496319500
2000-12-26,2454009000
2000-12-27,2718026520
2000-12-28,2692640220
2000-12-29,2660484240
2001-01-02,2521035360
2001-01-03,2694841680
2001-01-04,2667842640
2001-01-05,2637468720
2001-01-08,2536222320
2001-01-09,2510910720
2001-01-10,2483911680
2001-01-11,2362416000
2001-01-12,2305043040
2001-01-16,2347229040
2001-01-17,2367478320
2001-01-18,2394477360
2001-01-19,2367478320
2001-01-22,2372540640
2001-01-23,2404602000
2001-01-24,2262857040
2001-01-25,2347229040
2001-01-26,2315167680
2001-01-29,2353978800
2001-01-30,2342166720
2001-01-31,2526097680
2001-02-01,2362416000
2001-02-02,2478849360
2001-02-05,2436663360
2001-02-06,2494036320
2001-02-07,2492348880
2001-02-08,2473787040
2001-02-09,2468724720
2001-02-12,2451850320
2001-02-13,2510910720
2001-02-14,2499098640
2001-02-15,2546346960
2001-02-16,2532847440
2001-02-20,2553096720
2001-02-21,2494036320
2001-02-22,2499098640
2001-02-23,2504160960
2001-02-26,2515973040
2001-02-27,2499098640
2001-02-28,2521035360
2001-03-01,2531160000
2001-03-02,2510910720
2001-03-05,2494036320
