,CHTR
2010-01-05,3576774530
2010-01-06,3576774530
2010-01-07,3576774530
2010-01-08,3423484193
2010-01-11,3423484193
2010-01-12,3423484193
2010-01-13,3346839024
2010-01-14,3346839024
2010-01-15,3295742245
2010-01-19,3270193856
2010-01-20,3244645466
2010-01-21,3229316432
2010-01-22,3219097077
2010-01-25,3193548687
2010-01-26,3142451908
2010-01-27,3142451908
2010-01-28,3142451908
2010-01-29,3130188579
2010-02-01,3116903519
2010-02-02,3116903519
2010-02-03,3040258350
2010-02-04,3091355129
2010-02-05,3116903519
2010-02-08,3050477706
2010-02-09,3045367926
2010-02-10,3040258350
2010-02-11,3039236414
2010-02-12,3039236414
2010-02-16,3039236414
2010-02-17,3039236414
2010-02-18,3035148774
2010-02-19,3035148774
2010-02-22,3035148774
2010-02-23,3035148774
2010-02-24,3035148774
2010-02-25,3014709961
2010-02-26,3040258350
2010-03-01,3076026095
2010-03-02,3106684163
2010-03-03,3142451908
2010-03-04,3170044169
2010-03-05,3244645466
2010-03-08,3244645466
2010-03-09,3346839024
2010-03-10,3372387414
2010-03-11,3321290635
2010-03-12,3321290635
2010-03-15,3372387414
2010-03-16,3346839024
2010-03-17,3474580972
2010-03-18,3551226140
2010-03-19,3551226140
2010-03-22,3518524201
2010-03-23,3576774530
2010-03-24,3576774530
2010-03-25,3525677751
2010-03-26,3551226140
2010-03-29,3525677751
2010-03-30,3520568175
2010-03-31,3528482635
2010-04-01,3579620065
2010-04-05,3579620065
2010-04-06,3533596276
2010-04-07,3533596276
2010-04-08,3533596276
2010-04-09,3548937709
2010-04-12,3579620065
2010-04-13,3579620065
2010-04-14,3605188779
2010-04-15,3681894924
2010-04-16,3692122205
2010-04-19,3682917468
2010-04-20,3682917468
2010-04-21,3631780038
2010-04-22,3681894924
2010-04-23,3707463638
2010-04-26,3733032353
2010-04-27,3733032353
2010-04-28,3733032353
2010-04-29,3809738497
2010-04-30,3876217360
2010-05-03,4039856930
2010-05-04,4065425645
2010-05-05,4039856930
2010-05-06,3922240638
2010-05-07,3871103208
2010-05-10,3860875927
2010-05-11,3886444642
2010-05-12,3886444642
2010-05-13,3886444642
2010-05-14,3845534493
2010-05-17,3886444642
2010-05-18,3809738497
2010-05-19,3906899716
2010-05-20,3784169783
2010-05-21,3758601068
2010-05-24,3712577279
2010-05-25,3681894924
2010-05-26,3681894924
2010-05-27,3681894924
2010-05-28,3681894924
2010-06-01,3669622043
2010-06-02,3579620065
2010-06-03,3579620065
2010-06-04,3579620065
2010-06-07,3451776491
2010-06-08,3528482635
2010-06-09,3530528132
2010-06-10,3530528132
2010-06-11,3528482635
2010-06-14,3487572487
2010-06-15,3528482635
2010-06-16,3548937709
2010-06-17,3554051350
2010-06-18,3605188779
2010-06-21,3605188779
2010-06-22,3630757494
2010-06-23,3646098927
2010-06-24,3640984775
2010-06-25,3640984775
2010-06-28,3615416061
2010-06-29,3630757494
2010-06-30,3610302632
2010-07-01,3630757707
2010-07-02,3630757707
2010-07-06,3733032572
2010-07-07,3733032572
2010-07-08,3681895140
2010-07-09,3702350215
2010-07-12,3707463856
2010-07-13,3687008780
2010-07-14,3635871348
2010-07-15,3625644066
2010-07-16,3620530425
2010-07-19,3579620275
2010-07-20,3630757707
2010-07-21,3605188991
2010-07-22,3584733915
2010-07-23,3579620275
2010-07-26,3579620275
2010-07-27,3630757707
2010-07-28,3630757707
2010-07-29,3707463856
2010-07-30,3733032572
2010-08-02,3733032572
2010-08-03,3707463856
2010-08-04,3733032572
2010-08-05,3707463856
2010-08-06,3707463856
2010-08-09,3697236574
2010-08-10,3702350215
2010-08-11,3702350215
2010-08-12,3702350215
2010-08-13,3697236574
2010-08-16,3635871348
2010-08-17,3584733915
2010-08-18,3584733915
2010-08-19,3589847556
2010-08-20,3579620275
2010-08-23,3579620275
2010-08-24,3554051558
2010-08-25,3528482842
2010-08-26,3502914126
2010-08-27,3451776693
2010-08-30,3451776693
2010-08-31,3451776693
2010-09-01,3477345410
2010-09-02,3456890334
2010-09-03,3477345410
2010-09-07,3477345410
2010-09-08,3477345410
2010-09-09,3497800485
2010-09-10,3477345410
2010-09-13,3579620275
2010-09-14,3630757707
2010-09-15,3554051558
2010-09-16,3488595747
2010-09-17,3528482842
2010-09-20,3528482842
2010-09-21,3460981431
2010-09-22,3426207977
2010-09-23,3405752902
2010-09-24,3456890334
2010-09-27,3380184185
2010-09-28,3425185433
2010-09-29,3409843999
2010-09-30,3327265955
2010-10-01,3388692198
2010-10-04,3376407113
2010-10-05,3368217125
2010-10-06,3319075557
2010-10-07,3293481203
2010-10-08,3276077248
2010-10-11,3363097845
2010-10-12,3368217125
2010-10-13,3327265955
2010-10-14,3378454662
2010-10-15,3408144214
2010-10-18,3368217125
2010-10-19,3387668629
2010-10-20,3376407113
2010-10-21,3371288243
2010-10-22,3390739849
2010-10-25,3327265955
2010-10-26,3343646341
2010-10-27,3323170756
2010-10-28,3324194734
2010-10-29,3325218406
2010-11-01,3332384723
2010-11-02,3328289524
2010-11-03,3414286552
2010-11-04,3659992550
2010-11-05,3656921330
2010-11-08,3664087749
2010-11-09,3665111318
2010-11-10,3675349367
2010-11-11,3685586904
2010-11-12,3668182948
2010-11-15,3672277737
2010-11-16,3672277737
2010-11-17,3664087749
2010-11-18,3666135297
2010-11-19,3653849803
2010-11-22,3614946590
2010-11-23,3588328258
2010-11-24,3582185920
2010-11-26,3572971953
2010-11-29,3490046043
2010-11-30,3431690917
2010-12-01,3519735595
2010-12-02,3532020783
2010-12-03,3590375908
2010-12-06,3628255449
2010-12-07,3658968981
2010-12-08,3677396506
2010-12-09,3654873782
2010-12-10,3685586904
2010-12-13,3768512711
2010-12-14,3788987887
2010-12-15,3890341732
2010-12-16,3862699830
2010-12-17,3958934394
2010-12-20,3894436930
2010-12-21,3912864865
2010-12-22,3941530439
2010-12-23,3901603349
2010-12-27,3907745687
2010-12-28,3922078832
2010-12-29,3941530439
2010-12-30,3942554008
2010-12-31,3986576398
2011-01-03,3937435240
2011-01-04,4054145389
2011-01-05,4051074271
2011-01-06,4015242279
2011-01-07,4011147080
2011-01-10,4008075962
2011-01-11,3996814344
2011-01-12,4081787393
2011-01-13,4097144108
2011-01-14,4190307555
2011-01-18,4196450404
2011-01-19,4248662681
2011-01-20,4207711510
2011-01-21,4210783140
2011-01-24,4227163526
2011-01-25,4265043067
2011-01-26,4326469310
2011-01-27,4312136575
2011-01-28,4303946586
2011-01-31,4299851388
2011-02-01,4262995416
2011-02-02,4260947868
2011-02-03,4299851388
2011-02-04,4298827818
2011-02-07,4298827818
2011-02-08,4492321028
2011-02-09,4638720730
2011-02-10,4719598580
2011-02-11,4811738458
2011-02-14,4847570348
2011-02-15,4821975994
2011-02-16,4742121816
2011-02-17,4767716169
2011-02-18,4754407003
2011-02-22,4677623943
2011-02-23,4603912409
2011-02-24,4606983630
2011-02-25,4658172337
2011-02-28,4685814238
2011-03-01,4804572039
2011-03-02,4998065351
2011-03-03,4898759055
2011-03-04,4913092302
2011-03-07,4936639005
2011-03-08,4929472688
2011-03-09,4914115872
2011-03-10,4860879616
2011-03-11,4894664265
2011-03-14,4762597299
2011-03-15,4663291105
2011-03-16,4707313495
2011-03-17,4816857226
2011-03-18,4951995412
2011-03-21,5004208098
2011-03-22,4982708534
2011-03-23,4999089330
2011-03-24,5106585512
2011-03-25,5099419093
2011-03-28,5037992440
2011-03-29,5033897241
2011-03-30,5066658423
2011-03-31,5002153217
2011-04-01,5103915270
2011-04-04,5136518875
2011-04-05,5224449179
2011-04-06,5482312593
2011-04-07,5474408539
2011-04-08,5415129714
2011-04-11,5359802621
2011-04-12,5409201723
2011-04-13,5421057409
2011-04-14,5461564673
2011-04-15,5463540637
2011-04-18,5408213939
2011-04-19,5410189508
2011-04-20,5414141535
2011-04-21,5422045589
2011-04-25,5420069625
2011-04-26,5461564673
2011-04-27,5544555165
2011-04-28,5793526642
2011-04-29,5823166103
2011-05-02,5858733457
2011-05-03,5800442516
2011-05-04,5755983225
2011-05-05,5683860634
2011-05-06,5730295890
2011-05-09,5715475961
2011-05-10,5762899495
2011-05-11,5796490489
2011-05-12,5829094095
2011-05-13,5716464240
2011-05-16,5707572302
2011-05-17,5550483156
2011-05-18,5667065137
2011-05-19,5692752473
2011-05-20,5631497685
2011-05-23,5511951955
2011-05-24,5531711695
2011-05-25,5507999928
2011-05-26,5501084054
2011-05-27,5555423067
2011-05-31,5581110798
2011-06-01,5601858322
2011-06-02,5670028886
2011-06-03,5708560186
2011-06-06,5669041101
2011-06-07,5717452024
2011-06-08,5724367898
2011-06-09,5707572302
2011-06-10,5680896787
2011-06-13,5479348350
2011-06-14,5528747453
2011-06-15,5503060117
2011-06-16,5533687264
2011-06-17,5612726124
2011-06-20,5535663327
2011-06-21,5552459219
2011-06-22,5645329334
2011-06-23,5485276341
2011-06-24,5375610334
2011-06-27,5343994908
2011-06-28,5391418046
2011-06-29,5370670522
2011-06-30,5319298382
2011-07-01,5406548603
2011-07-05,5683003020
2011-07-06,5782016773
2011-07-07,5738882124
2011-07-08,5666337126
2011-07-11,5539873793
2011-07-12,5560461125
2011-07-13,5564382172
2011-07-14,5574185817
2011-07-15,5621241807
2011-07-18,5517326182
2011-07-19,5628104153
2011-07-20,5762409972
2011-07-21,5833974341
2011-07-22,5857502581
2011-07-25,5795741367
2011-07-26,5782997304
2011-07-27,5622221946
2011-07-28,5366354861
2011-07-29,5293809864
2011-08-01,5223225634
2011-08-02,4998729176
2011-08-03,5035001479
2011-08-04,4615418129
2011-08-05,4515423844
2011-08-08,4123289780
2011-08-09,4430134490
2011-08-10,4347786238
2011-08-11,4603653813
2011-08-12,4630122960
2011-08-15,4829130802
2011-08-16,4757566433
2011-08-17,4749723948
2011-08-18,4507581065
2011-08-19,4567381510
2011-08-22,4439938037
2011-08-23,4649729663
2011-08-24,4666395165
2011-08-25,4557578354
2011-08-26,4670316604
2011-08-29,4873245982
2011-08-30,4900695660
2011-08-31,4889911876
2011-09-01,4865403497
2011-09-02,4791878360
2011-09-06,4696785751
2011-09-07,4864422965
2011-09-08,4792858499
2011-09-09,4579145434
2011-09-12,4593850657
2011-09-13,4670316604
2011-09-14,4826189992
2011-09-15,4845796695
2011-09-16,4836973679
2011-09-19,4814426068
2011-09-20,4847757464
2011-09-21,4721294130
2011-09-22,4536010785
2011-09-23,4664434887
2011-09-26,4824229224
2011-09-27,4906577377
2011-09-28,4823249085
2011-09-29,4717372691
2011-09-30,4211257088
2011-10-03,3926250825
2011-10-04,4054818238
2011-10-05,4188780268
2011-10-06,4241825564
2011-10-07,4192376649
2011-10-10,4373989449
2011-10-11,4355108650
2011-10-12,4412649580
2011-10-13,4366796686
2011-10-14,4409053199
2011-10-17,4405456818
2011-10-18,4518739813
2011-10-19,4385677126
2011-10-20,4405456818
2011-10-21,4472887279
2011-10-24,4533124978
2011-10-25,4462997388
2011-10-26,4515143791
2011-10-27,4457603221
2011-10-28,4097974093
2011-10-31,4130340445
2011-11-01,4212155981
2011-11-02,4332631829
2011-11-03,4554702906
2011-11-04,4739012744
2011-11-07,4751599673
2011-11-08,4805544312
2011-11-09,4605950056
2011-11-10,4737214598
2011-11-11,4819929477
2011-11-14,4715637030
2011-11-15,4781269256
2011-11-16,4630225023
2011-11-17,4693160210
2011-11-18,4756994290
2011-11-21,4681472173
2011-11-22,4716535923
2011-11-23,4583473236
2011-11-25,4661692391
2011-11-28,4742609125
2011-11-29,4732719234
2011-11-30,4753397909
2011-12-01,4748003652
2011-12-02,4772278708
2011-12-05,4678775045
2011-12-06,4762388817
2011-12-07,4759691419
2011-12-08,4600555440
2011-12-09,4759691419
2011-12-12,4748003652
2011-12-13,4735416363
2011-12-14,4723728686
2011-12-15,4774076494
2011-12-16,4901745014
2011-12-19,4741710232
2011-12-20,4982661388
2011-12-21,4998844699
2011-12-22,5011432078
2011-12-23,5061779886
2011-12-27,5047394721
2011-12-28,5031211410
2011-12-29,5113926290
2011-12-30,5119320547
2012-01-03,5141797367
2012-01-04,5107632780
2012-01-05,5122916928
2012-01-06,5090550216
2012-01-09,5102238253
2012-01-10,5094146598
2012-01-11,5048294064
2012-01-12,5166072333
2012-01-13,5121118692
2012-01-17,5122017945
2012-01-18,5074366906
2012-01-19,5122017945
2012-01-20,5125613967
2012-01-23,5124715074
2012-01-24,5092348362
2012-01-25,5188549154
2012-01-26,5258677103
2012-01-27,5179558605
2012-01-30,5109431015
2012-01-31,5182255644
2012-02-01,5239796305
2012-02-02,5196640809
2012-02-03,5229906414
2012-02-06,5242493703
2012-02-07,5200237190
2012-02-08,5225411139
2012-02-09,5285649198
2012-02-10,5267667652
2012-02-13,5391739791
2012-02-14,5396235065
2012-02-15,5594031175
2012-02-16,5620104018
2012-02-17,5650672493
2012-02-21,5637186671
2012-02-22,5638984816
2012-02-23,5709112407
2012-02-24,5702818897
2012-02-27,5715405916
2012-02-28,5714506933
2012-02-29,5701020751
2012-03-01,5685736693
2012-03-02,5624599651
2012-03-05,5605718852
2012-03-06,5475353653
2012-03-07,5442986942
2012-03-08,5487940583
2012-03-09,5492435857
2012-03-12,5616507996
2012-03-13,5654268875
2012-03-14,5674048656
2012-03-15,5708213513
2012-03-16,5753167154
2012-03-19,5751368919
2012-03-20,5684837440
2012-03-21,5754965300
2012-03-22,5810707365
2012-03-23,5835882034
2012-03-26,5787332012
2012-03-27,5752267902
2012-03-28,5686635586
2012-03-29,5674048656
2012-03-30,5704617132
2012-04-02,5791045066
2012-04-03,5668692264
2012-04-04,5558035447
2012-04-05,5646201023
2012-04-09,5547239741
2012-04-10,5344818570
2012-04-11,5448278370
2012-04-12,5493260852
2012-04-13,5485164006
2012-04-16,5428485988
2012-04-17,5515752094
2012-04-18,5502257259
2012-04-19,5528347189
2012-04-20,5574229141
2012-04-23,5415890982
