,CLX
2000-01-03,11601117170
2000-01-04,11292162840
2000-01-05,11586966590
2000-01-06,11688379080
2000-01-07,12336947330
2000-01-10,12204875250
2000-01-11,12322796750
2000-01-12,12308646170
2000-01-13,12971365000
2000-01-14,12794482750
2000-01-18,12440718250
2000-01-19,12249685420
2000-01-20,12263836000
2000-01-21,11940731090
2000-01-24,11528005840
2000-01-25,11143581750
2000-01-26,11275653830
2000-01-27,11143581750
2000-01-28,11056319840
2000-01-31,11261503250
2000-02-01,11320464000
2000-02-02,11393575330
2000-02-03,10997359090
2000-02-04,10348790840
2000-02-07,10068137670
2000-02-08,10612935000
2000-02-09,10568124830
2000-02-10,9877104840
2000-02-11,9551641500
2000-02-14,9655412420
2000-02-15,9669563000
2000-02-16,9582301090
2000-02-17,9624752830
2000-02-18,9197877000
2000-02-22,9270988330
2000-02-23,9329949080
2000-02-24,9153066830
2000-02-25,8799302330
2000-02-28,9197877000
2000-02-29,9537490920
2000-03-01,9464379590
2000-03-02,9492680750
2000-03-03,9714373170
2000-03-06,9447870580
2000-03-07,8549308750
2000-03-08,7872439340
2000-03-09,7973851830
2000-03-10,7046988840
2000-03-13,7223871090
2000-03-14,7046988840
2000-03-15,7914891080
2000-03-16,8638929090
2000-03-17,8285164590
2000-03-20,8004511419
2000-03-21,8594118920
2000-03-22,8195544250
2000-03-23,8386577080
2000-03-24,7782819000
2000-03-27,7179060920
2000-03-28,7400753340
2000-03-29,7561126580
2000-03-30,7664897500
2000-03-31,7758102000
2000-04-03,8124848640
2000-04-04,8331731359
2000-04-05,8345837000
2000-04-06,8124848640
2000-04-07,8376399220
2000-04-10,8463384000
2000-04-11,8771357140
2000-04-12,9417865640
2000-04-13,9507201360
2000-04-14,8435172720
2000-04-17,9551869220
2000-04-18,8978239860
2000-04-19,8552719720
2000-04-20,8729040220
2000-04-24,8933572000
2000-04-25,8757251500
2000-04-26,8183622140
2000-04-27,8830130640
2000-04-28,8639704500
2000-05-01,8670266720
2000-05-02,8522157500
2000-05-03,8376399220
2000-05-04,8493946220
2000-05-05,8595036640
2000-05-08,8771357140
2000-05-09,9154560360
2000-05-10,9300318640
2000-05-11,9683521860
2000-05-12,9330880860
2000-05-15,9286213000
2000-05-16,9022907720
2000-05-17,9300318640
2000-05-18,9594186140
2000-05-19,9154560360
2000-05-22,9316775220
2000-05-23,9081681220
2000-05-24,9359092140
2000-05-25,8978239860
2000-05-26,8933572000
2000-05-30,9123998140
2000-05-31,9316775220
2000-06-01,9521307000
2000-06-02,9845736720
2000-06-05,9624748360
2000-06-06,9728189720
2000-06-07,9829280140
2000-06-08,9683521860
2000-06-09,9507201360
2000-06-12,9521307000
2000-06-13,10226589000
2000-06-14,10506350860
2000-06-15,11004750140
2000-06-16,10534562140
2000-06-19,10475788640
2000-06-20,10271256860
2000-06-21,10299468140
2000-06-22,10153709860
2000-06-23,10050268500
2000-06-26,10475788640
2000-06-27,10741444860
2000-06-28,10710882640
2000-06-29,10198377720
2000-06-30,10553740820
2000-07-03,10805749360
2000-07-05,10671501820
2000-07-06,10525478180
2000-07-07,10570227360
2000-07-10,10377099320
2000-07-11,10127446000
2000-07-12,10099183360
2000-07-13,10040302860
2000-07-14,10377099320
2000-07-17,10099183360
2000-07-18,10318218820
2000-07-19,10480729000
2000-07-20,10186326500
2000-07-21,9950804500
2000-07-24,9804780860
2000-07-25,9981422360
2000-07-26,9833043500
2000-07-27,9583390180
2000-07-28,9818912180
2000-07-31,9729413820
2000-08-01,10275824860
2000-08-02,10216944360
2000-08-03,9347868180
2000-08-04,9098214860
2000-08-07,8361031000
2000-08-08,8170258179
2000-08-09,8021879320
2000-08-10,7934736179
2000-08-11,7920604860
2000-08-14,8243270000
2000-08-15,8434042820
2000-08-16,8332768360
2000-08-17,8361031000
2000-08-18,8450529360
2000-08-21,8582421679
2000-08-22,8478792000
2000-08-23,8419911500
2000-08-24,8478792000
2000-08-25,8523541179
2000-08-28,8669564820
2000-08-29,8714314000
2000-08-30,8714314000
2000-08-31,8523541179
2000-09-01,8434042820
2000-09-05,8419911500
2000-09-06,8700182680
2000-09-07,8686051360
2000-09-08,8582421679
2000-09-11,8686051360
2000-09-12,8890955500
2000-09-13,8862692860
2000-09-14,8537672500
2000-09-15,8434042820
2000-09-18,8243270000
2000-09-19,8568290360
2000-09-20,8478792000
2000-09-21,8610684320
2000-09-22,8949836000
2000-09-25,8523541179
2000-09-26,8582421679
2000-09-27,8627170860
2000-09-28,9317250320
2000-09-29,9317250320
2000-10-02,9473448970
2000-10-03,9397906890
2000-10-04,9310561360
2000-10-05,9959751110
2000-10-06,9914898000
2000-10-09,9959751110
2000-10-10,9855880750
2000-10-11,9633975890
2000-10-12,9473448970
2000-10-13,9501777250
2000-10-16,9546630360
2000-10-17,9560794500
2000-10-18,9650500720
2000-10-19,9442760000
2000-10-20,9369578610
2000-10-23,9296397220
2000-10-24,9709517970
2000-10-25,10195820110
2000-10-26,10032932500
2000-10-27,10091949750
2000-10-30,10490906360
2000-10-31,10535759470
2000-11-01,10608940860
2000-11-02,10564087750
2000-11-03,10490906360
2000-11-06,10476742220
2000-11-07,10564087750
2000-11-08,10682122250
2000-11-09,10918191250
2000-11-10,10859174000
2000-11-13,10741139500
2000-11-14,10755303640
2000-11-15,10932355390
2000-11-16,10712811220
2000-11-17,10873338140
2000-11-20,11036225750
2000-11-21,11109407140
2000-11-22,11317147860
