,CMA
2000-01-03,7959555000
2000-01-04,7628791270
2000-01-05,7605797000
2000-01-06,7826895750
2000-01-07,7816283010
2000-01-10,7561577250
2000-01-11,7363472770
2000-01-12,7496132020
2000-01-13,7572189990
2000-01-14,7793288740
2000-01-18,7616409740
2000-01-19,7639404010
2000-01-20,7306871490
2000-01-21,7218431990
2000-01-24,7152986760
2000-01-25,7142374020
2000-01-26,7462525010
2000-01-27,7584571520
2000-01-28,7517357500
2000-01-31,7816283010
2000-02-01,7793288740
2000-02-02,7749068990
2000-02-03,7782676000
2000-02-04,7660629490
2000-02-07,7506744760
2000-02-08,7561577250
2000-02-09,7418305260
2000-02-10,7129992490
2000-02-11,7142374020
2000-02-14,7041552990
2000-02-15,7186593770
2000-02-16,7174212240
2000-02-17,7030940250
2000-02-18,6721402000
2000-02-22,6677182250
2000-02-23,6555135740
2000-02-24,6500303250
2000-02-25,6245597490
2000-02-28,6655956770
2000-02-29,6510915990
2000-03-01,6411863750
2000-03-02,6334036990
2000-03-03,6489690510
2000-03-06,6401251010
2000-03-07,6146545250
2000-03-08,5980278990
2000-03-09,6036880270
2000-03-10,6024498740
2000-03-13,6024498740
2000-03-14,6058105750
2000-03-15,6544523000
2000-03-16,7329865760
2000-03-17,7340478500
2000-03-20,6997333240
2000-03-21,7451912270
2000-03-22,7605797000
2000-03-23,7816283010
2000-03-24,7683623760
2000-03-27,7439530740
2000-03-28,7517357500
2000-03-29,7384698250
2000-03-30,7230813520
2000-03-31,6553047360
2000-04-03,6865991360
2000-04-04,6776802320
2000-04-05,6758025680
2000-04-06,6698566320
2000-04-07,6650060000
2000-04-10,6718907680
2000-04-11,6815920320
2000-04-12,7100699360
2000-04-13,7022463360
2000-04-14,6415352000
2000-04-17,6581212320
2000-04-18,6718907680
2000-04-19,6562435680
2000-04-20,6631283360
2000-04-24,6845650000
2000-04-25,7128864320
2000-04-26,6992733680
2000-04-27,6728296000
2000-04-28,6631283360
2000-05-01,6748637360
2000-05-02,6670401360
2000-05-03,6484199680
2000-05-04,6366845680
2000-05-05,6337116000
2000-05-08,6592165360
2000-05-09,6601553680
2000-05-10,6571824000
2000-05-11,6776802320
2000-05-12,6992733680
2000-05-15,7100699360
2000-05-16,7022463360
2000-05-17,6972392320
2000-05-18,7158594000
2000-05-19,6905109360
2000-05-22,7158594000
2000-05-23,7236830000
2000-05-24,7648351360
2000-05-25,7579503680
2000-05-26,7735975680
2000-05-30,7940954000
2000-05-31,7922177360
2000-06-01,8175662000
2000-06-02,8449488000
2000-06-05,8067696320
2000-06-06,7922177360
2000-06-07,7980072000
2000-06-08,7814211680
2000-06-09,7726587360
2000-06-12,7911224320
2000-06-13,7775093680
2000-06-14,7832988320
2000-06-15,7383913680
2000-06-16,7011510320
2000-06-19,7207100320
2000-06-20,7207100320
2000-06-21,7110087680
2000-06-22,7128864320
2000-06-23,7197712000
2000-06-26,7275948000
2000-06-27,7344795680
2000-06-28,7402690320
2000-06-29,7275948000
2000-06-30,7929802320
2000-07-03,8205437160
2000-07-05,8293781660
2000-07-06,8481072000
2000-07-07,8735504160
2000-07-10,8800879090
2000-07-11,8790277750
2000-07-12,8691331910
2000-07-13,8535845590
2000-07-14,8800879090
2000-07-17,8769075070
2000-07-18,8756706840
2000-07-19,8956365410
2000-07-20,9143655750
2000-07-21,9099483500
2000-07-24,9133054410
2000-07-25,9343314320
2000-07-26,9177226660
2000-07-27,9122453070
2000-07-28,9021740340
2000-07-31,9011139000
2000-08-01,9065912590
2000-08-02,9099483500
2000-08-03,9419290590
2000-08-04,9829209070
2000-08-07,9850411750
2000-08-08,9829209070
2000-08-09,9905185340
2000-08-10,9972327160
2000-08-11,9961725820
2000-08-14,9928154910
2000-08-15,9839810410
2000-08-16,9717895000
2000-08-17,9795638160
2000-08-18,9629550500
2000-08-21,9696692320
2000-08-22,9839810410
2000-08-23,9938756250
2000-08-24,9839810410
2000-08-25,9762067250
2000-08-28,9717895000
2000-08-29,9640151840
2000-08-30,9772668590
2000-08-31,9949357590
2000-09-01,9873381320
2000-09-05,9928154910
2000-09-06,10050070320
2000-09-07,10060671660
2000-09-08,10237360660
2000-09-11,10302735590
2000-09-12,10258563340
2000-09-13,10159617500
2000-09-14,10115445250
2000-09-15,9938756250
2000-09-18,9608347820
2000-09-19,9785036820
2000-09-20,9785036820
2000-09-21,9595979590
2000-09-22,9551807340
2000-09-25,10016499410
2000-09-26,9982928500
2000-09-27,10037702090
2000-09-28,10292134250
2000-09-29,10325705160
2000-10-02,10527755123
2000-10-03,10540076522
2000-10-04,10571760118
2000-10-05,10385178938
2000-10-06,10033138974
2000-10-09,9978572779
2000-10-10,9450512833
2000-10-11,9339620244
2000-10-12,9021024077
2000-10-13,9461074032
2000-10-16,9626532815
2000-10-17,9427630235
2000-10-18,9450512833
2000-10-19,9747986603
2000-10-20,9779670199
2000-10-23,9647655213
2000-10-24,9813113996
2000-10-25,9999695177
2000-10-26,9890562788
2000-10-27,10188036558
2000-10-30,10615765114
2000-10-31,10615765114
2000-11-01,9703981607
2000-11-02,9603650217
2000-11-03,9515640226
2000-11-06,9571966621
2000-11-07,9494517829
2000-11-08,9351941643
2000-11-09,9383625240
2000-11-10,9274492851
2000-11-13,9065029073
2000-11-14,9043906675
2000-11-15,8878447892
2000-11-16,8911891688
2000-11-17,8635540316
2000-11-20,8536969127
2000-11-21,8723550307
2000-11-22,8438397937
2000-11-24,8415515339
2000-11-27,8503525330
2000-11-28,8767555303
2000-11-29,9054467874
2000-11-30,9163600262
2000-12-01,8922452887
2000-12-04,8723550307
2000-12-05,8999901679
2000-12-06,9241049055
2000-12-07,9494517829
2000-12-08,9691660208
2000-12-11,9880001589
2000-12-12,9714542806
2000-12-13,9461074032
2000-12-14,9318497847
2000-12-15,9241049055
2000-12-18,9659976612
2000-12-19,9615971616
2000-12-20,9505079028
2000-12-21,10043700172
2000-12-22,10276046549
2000-12-26,10364056540
2000-12-27,10517193924
2000-12-28,10550637721
2000-12-29,10452066531
2001-01-02,10494747500
2001-01-03,10852015500
2001-01-04,11143188920
2001-01-05,10862733540
2001-01-08,10762698500
2001-01-09,10618004960
2001-01-10,10662663460
2001-01-11,10607286920
2001-01-12,10271455000
2001-01-16,10416148540
2001-01-17,10305395460
2001-01-18,10126761460
2001-01-19,10003504000
2001-01-22,10237514540
2001-01-23,10416148540
2001-01-24,10628723000
2001-01-25,10696603920
2001-01-26,10896674000
2001-01-29,10844870140
2001-01-30,10894887660
2001-01-31,10771630200
2001-02-01,10610859600
2001-02-02,10689458560
2001-02-05,10760912160
2001-02-06,10592996200
