,CMI
2000-01-03,1807624000
2000-01-04,1757200000
2000-01-05,1760256000
2000-01-06,1821376000
2000-01-07,1868744000
2000-01-10,1896248000
2000-01-11,1787760000
2000-01-12,1795400000
2000-01-13,1825960000
2000-01-14,1783176000
2000-01-18,1766368000
2000-01-19,1726640000
2000-01-20,1688440000
2000-01-21,1642600000
2000-01-24,1592176000
2000-01-25,1549392000
2000-01-26,1553976000
2000-01-27,1520360000
2000-01-28,1476048000
2000-01-31,1460768000
2000-02-01,1422568000
2000-02-02,1396592000
2000-02-03,1427152000
2000-02-04,1434792000
2000-02-07,1417984000
2000-02-08,1410344000
2000-02-09,1396592000
2000-02-10,1399648000
2000-02-11,1340056000
2000-02-14,1350752000
2000-02-15,1372144000
2000-02-16,1416456000
2000-02-17,1378256000
2000-02-18,1557032000
2000-02-22,1553976000
2000-02-23,1460768000
2000-02-24,1337000000
2000-02-25,1323248000
2000-02-28,1285048000
2000-02-29,1272824000
2000-03-01,1294216000
2000-03-02,1257544000
2000-03-03,1323248000
2000-03-06,1260600000
2000-03-07,1196424000
2000-03-08,1187256000
2000-03-09,1222400000
2000-03-10,1222400000
2000-03-13,1201008000
2000-03-14,1204064000
2000-03-15,1280464000
2000-03-16,1421040000
2000-03-17,1358392000
2000-03-20,1372144000
2000-03-21,1422568000
2000-03-22,1404232000
2000-03-23,1460768000
2000-03-24,1456184000
2000-03-27,1447432099
2000-03-28,1402246914
2000-03-29,1417308642
2000-03-30,1367604938
2000-03-31,1414296296
2000-04-03,1402246914
2000-04-04,1444419753
2000-04-05,1423333333
2000-04-06,1384172839
2000-04-07,1372123457
2000-04-10,1360074074
2000-04-11,1363086420
2000-04-12,1342000000
2000-04-13,1454962963
2000-04-14,1379654321
2000-04-17,1381160494
2000-04-18,1409777778
2000-04-19,1363086420
2000-04-20,1360074074
2000-04-24,1367604938
2000-04-25,1384172839
2000-04-26,1363086420
2000-04-27,1346518518
2000-04-28,1338987654
2000-05-01,1334469136
2000-05-02,1305851852
2000-05-03,1277234568
2000-05-04,1272716049
2000-05-05,1284765432
2000-05-08,1280246914
2000-05-09,1272716049
2000-05-10,1268197531
2000-05-11,1304345679
2000-05-12,1308864197
2000-05-15,1287777778
2000-05-16,1296814815
2000-05-17,1287777778
2000-05-18,1289283951
2000-05-19,1283259259
2000-05-22,1268197531
2000-05-23,1251629630
2000-05-24,1277234568
2000-05-25,1241086420
2000-05-26,1229037037
2000-05-30,1244098765
2000-05-31,1224518518
2000-06-01,1256148148
2000-06-02,1262172839
2000-06-05,1251629630
2000-06-06,1239580247
2000-06-07,1218493827
2000-06-08,1191382716
2000-06-09,1204938272
2000-06-12,1207950617
2000-06-13,1197407407
2000-06-14,1218493827
2000-06-15,1247111111
2000-06-16,1229037037
2000-06-19,1186864197
2000-06-20,1171802469
2000-06-21,1164271605
2000-06-22,1143185185
2000-06-23,1126617284
2000-06-26,1139393943
2000-06-27,1133333336
2000-06-28,1113636367
2000-06-29,1106060609
2000-06-30,1031818185
2000-07-03,1072727276
2000-07-05,1053030306
2000-07-06,1081818185
2000-07-07,1034848488
2000-07-10,1057575760
2000-07-11,1136363640
2000-07-12,1080303033
2000-07-13,1119696973
2000-07-14,1157575761
2000-07-17,1365151519
2000-07-18,1372727277
2000-07-19,1307575761
2000-07-20,1254545458
2000-07-21,1236363640
2000-07-24,1250000004
2000-07-25,1225757579
2000-07-26,1193939397
2000-07-27,1209090912
2000-07-28,1193939397
2000-07-31,1210606064
2000-08-01,1253030307
2000-08-02,1237878791
2000-08-03,1236363640
2000-08-04,1231818185
2000-08-07,1253030307
2000-08-08,1304545458
2000-08-09,1284848488
2000-08-10,1287878792
2000-08-11,1318181822
2000-08-14,1321212125
2000-08-15,1283333337
2000-08-16,1290909095
2000-08-17,1309090913
2000-08-18,1318181822
2000-08-21,1333333337
2000-08-22,1396969701
2000-08-23,1339393943
2000-08-24,1356060610
2000-08-25,1356060610
2000-08-28,1346969701
2000-08-29,1360606064
2000-08-30,1337878792
2000-08-31,1345454549
2000-09-01,1321212125
2000-09-05,1372727277
2000-09-06,1359090913
2000-09-07,1339393943
2000-09-08,1313636367
2000-09-11,1328787883
2000-09-12,1313636367
2000-09-13,1313636367
2000-09-14,1318181822
2000-09-15,1259090913
2000-09-18,1228787882
2000-09-19,1216666670
2000-09-20,1216666670
2000-09-21,1200000003
2000-09-22,1183333337
2000-09-25,1197952000
2000-09-26,1201008000
2000-09-27,1146000000
2000-09-28,1158224000
2000-09-29,1142944000
2000-10-02,1187256000
2000-10-03,1242264000
2000-10-04,1268240000
2000-10-05,1222400000
2000-10-06,1167392000
2000-10-09,1167392000
2000-10-10,1149056000
2000-10-11,1121552000
2000-10-12,1110856000
2000-10-13,1110856000
2000-10-16,1149056000
2000-10-17,1136832000
2000-10-18,1153640000
2000-10-19,1191840000
2000-10-20,1187256000
2000-10-23,1208648000
2000-10-24,1210176000
2000-10-25,1210176000
2000-10-26,1201008000
2000-10-27,1213232000
2000-10-30,1306440000
2000-10-31,1298800000
2000-11-01,1306440000
2000-11-02,1320192000
2000-11-03,1303384000
2000-11-06,1344640000
2000-11-07,1298800000
2000-11-08,1289632000
2000-11-09,1291160000
2000-11-10,1243792000
2000-11-13,1242264000
2000-11-14,1234624000
2000-11-15,1291160000
2000-11-16,1256016000
2000-11-17,1263656000
2000-11-20,1246848000
2000-11-21,1265184000
2000-11-22,1246848000
2000-11-24,1251432000
2000-11-27,1269768000
2000-11-28,1268240000
2000-11-29,1301856000
2000-11-30,1349224000
2000-12-01,1404232000
2000-12-04,1448544000
2000-12-05,1416456000
2000-12-06,1281992000
2000-12-07,1257544000
2000-12-08,1315608000
2000-12-11,1320192000
2000-12-12,1370616000
2000-12-13,1333944000
2000-12-14,1303384000
2000-12-15,1272824000
2000-12-18,1367560000
2000-12-19,1286576000
2000-12-20,1286576000
2000-12-21,1298800000
2000-12-22,1356864000
2000-12-26,1387424000
2000-12-27,1433264000
2000-12-28,1437848000
2000-12-29,1448544000
2001-01-02,1442432000
2001-01-03,1465352000
2001-01-04,1520360000
2001-01-05,1477576000
2001-01-08,1442432000
2001-01-09,1447016000
2001-01-10,1434792000
2001-01-11,1422568000
2001-01-12,1443960000
2001-01-16,1472992000
2001-01-17,1433264000
2001-01-18,1447016000
2001-01-19,1408816000
2001-01-22,1413400000
2001-01-23,1442432000
2001-01-24,1425624000
2001-01-25,1425624000
2001-01-26,1401176000
2001-01-29,1413400000
2001-01-30,1451600000
2001-01-31,1433264000
2001-02-01,1428680000
2001-02-02,1421040000
2001-02-05,1381311999
2001-02-06,1404232000
2001-02-07,1440904000
2001-02-08,1408816000
2001-02-09,1385896000
2001-02-12,1404232000
2001-02-13,1425624000
2001-02-14,1414928000
2001-02-15,1472992000
2001-02-16,1434792000
2001-02-20,1419511999
2001-02-21,1419511999
2001-02-22,1399648000
2001-02-23,1390480000
2001-02-26,1462296000
2001-02-27,1436320000
2001-02-28,1411872000
2001-03-01,1436320000
2001-03-02,1469935999
2001-03-05,1531056000
2001-03-06,1538696000
2001-03-07,1627320000
2001-03-08,1628848000
2001-03-09,1607456000
2001-03-12,1566200000
2001-03-13,1567728000
2001-03-14,1520360000
2001-03-15,1526472000
2001-03-16,1480632000
2001-03-19,1526472000
2001-03-20,1474520000
2001-03-21,1428680000
2001-03-22,1425624000
2001-03-23,1398120000
2001-03-26,1462205607
2001-03-27,1471401868
2001-03-28,1445345794
2001-03-29,1445345794
2001-03-30,1439214952
2001-04-02,1426953270
2001-04-03,1379439252
2001-04-04,1408560747
2001-04-05,1422355139
2001-04-06,1391700934
2001-04-09,1411626167
2001-04-10,1471401868
2001-04-11,1416224298
2001-04-12,1475999999
2001-04-16,1462205607
2001-04-17,1471401868
2001-04-18,1567962616
2001-04-19,1552635513
2001-04-20,1528112149
2001-04-23,1505121494
2001-04-24,1514317756
2001-04-25,1543439251
2001-04-26,1554168223
2001-04-27,1580224298
2001-04-30,1586355139
2001-05-01,1612411214
2001-05-02,1610878504
2001-05-03,1615476635
2001-05-04,1652261681
2001-05-07,1656859812
2001-05-08,1643065420
2001-05-09,1652261681
2001-05-10,1682915887
2001-05-11,1672186915
2001-05-14,1649196261
2001-05-15,1652261681
2001-05-16,1725831775
2001-05-17,1736560747
2001-05-18,1718168223
2001-05-21,1715102803
2001-05-22,1716635513
2001-05-23,1667588784
2001-05-24,1666056074
2001-05-25,1672186915
2001-05-29,1641532709
2001-05-30,1597084111
2001-05-31,1623140186
2001-06-01,1667588784
2001-06-04,1661457943
2001-06-05,1664523364
