,CMS
2000-01-03,3333500000
2000-01-04,3376440000
2000-01-05,3467970000
2000-01-06,3439720000
2000-01-07,3517690000
2000-01-10,3467970000
2000-01-11,3559500000
2000-01-12,3538030000
2000-01-13,3574190000
2000-01-14,3524470000
2000-01-18,3453280000
2000-01-19,3489440000
2000-01-20,3496220000
2000-01-21,3545940000
2000-01-24,3531250000
2000-01-25,3467970000
2000-01-26,3439720000
2000-01-27,3390000000
2000-01-28,3333500000
2000-01-31,3390000000
2000-02-01,2655500000
2000-02-02,2415940000
2000-02-03,2479220000
2000-02-04,2302940000
2000-02-07,2295030000
2000-02-08,2295030000
2000-02-09,2253220000
2000-02-10,2118750000
2000-02-11,2105190000
2000-02-14,2168470000
2000-02-15,2189940000
2000-02-16,2111970000
2000-02-17,2076940000
2000-02-18,2069029999
2000-02-22,2062250000
2000-02-23,1984279999
2000-02-24,1921000000
2000-02-25,1857720000
2000-02-28,1864500000
2000-02-29,1892750000
2000-03-01,1914220000
2000-03-02,1907440000
2000-03-03,1927779999
2000-03-06,1956029999
2000-03-07,1949250000
2000-03-08,1942470000
2000-03-09,1935690000
2000-03-10,1942470000
2000-03-13,1942470000
2000-03-14,1977500000
2000-03-15,2020440000
2000-03-16,2196720000
2000-03-17,2153780000
2000-03-20,2196720000
2000-03-21,2189940000
2000-03-22,2133440000
2000-03-23,2147000000
2000-03-24,2153780000
2000-03-27,2147000000
2000-03-28,2140220000
2000-03-29,2133440000
2000-03-30,2118750000
2000-03-31,1994300000
2000-04-03,1980000000
2000-04-04,2000900000
2000-04-05,2028400000
2000-04-06,2007500000
2000-04-07,2007500000
2000-04-10,2028400000
2000-04-11,2041599999
2000-04-12,2062500000
2000-04-13,2145000000
2000-04-14,2131800000
2000-04-17,2131800000
2000-04-18,2138400000
2000-04-19,2110900000
2000-04-20,2076800000
2000-04-24,2145000000
2000-04-25,2179100000
2000-04-26,2145000000
2000-04-27,2055900000
2000-04-28,2090000000
2000-05-01,2206600000
2000-05-02,2303400000
2000-05-03,2261600000
2000-05-04,2351800000
2000-05-05,2316600000
2000-05-08,2371600000
2000-05-09,2358400000
2000-05-10,2344100000
2000-05-11,2406800000
2000-05-12,2337500000
2000-05-15,2392500000
2000-05-16,2434300000
2000-05-17,2399100000
2000-05-18,2434300000
2000-05-19,2385900000
2000-05-22,2406800000
2000-05-23,2365000000
2000-05-24,2426600000
2000-05-25,2413400000
2000-05-26,2461800000
2000-05-30,2434300000
2000-05-31,2502500000
2000-06-01,2544300000
2000-06-02,2585000000
2000-06-05,2495900000
2000-06-06,2468400000
2000-06-07,2454100000
2000-06-08,2434300000
2000-06-09,2495900000
2000-06-12,2536600000
2000-06-13,2516800000
2000-06-14,2516800000
2000-06-15,2564100000
2000-06-16,2557500000
2000-06-19,2530000000
2000-06-20,2489300000
2000-06-21,2495900000
2000-06-22,2495900000
2000-06-23,2475000000
2000-06-26,2481600000
2000-06-27,2447500000
2000-06-28,2483800000
2000-06-29,2475000000
2000-06-30,2675008010
2000-07-03,2765665760
2000-07-05,2749951750
2000-07-06,2719732500
2000-07-07,2757204370
2000-07-10,2749951750
2000-07-11,2742699130
2000-07-12,2795885010
2000-07-13,2833356880
2000-07-14,2847862120
2000-07-17,2829730570
2000-07-18,2886542760
2000-07-19,3007419760
2000-07-20,2998958370
2000-07-21,2998958370
2000-07-24,2991705750
2000-07-25,2998958370
2000-07-26,2998958370
2000-07-27,3098077510
2000-07-28,3082363500
2000-07-31,3089616120
2000-08-01,3150054620
2000-08-02,3173021250
2000-08-03,3092033660
2000-08-04,3112582750
2000-08-07,3212910660
2000-08-08,3195987880
2000-08-09,3173021250
2000-08-10,3182691410
2000-08-11,3218954510
2000-08-14,3263679000
2000-08-15,3331370120
2000-08-16,3195987880
2000-08-17,3210493120
2000-08-18,3240712370
2000-08-21,3188735260
2000-08-22,3173021250
2000-08-23,3142802000
2000-08-24,3112582750
2000-08-25,3142802000
2000-08-28,3188735260
2000-08-29,3165768630
2000-08-30,3165768630
2000-08-31,3159724780
2000-09-01,3173021250
2000-09-05,3203240500
2000-09-06,3286645630
2000-09-07,3316864880
2000-09-08,3501806690
2000-09-11,3484883910
2000-09-12,3430489260
2000-09-13,3422027870
2000-09-14,3475213750
2000-09-15,3565871500
2000-09-18,3460708510
2000-09-19,3270931620
2000-09-20,3286645630
2000-09-21,3203240500
2000-09-22,3165768630
2000-09-25,3128296760
2000-09-26,3249173760
2000-09-27,3250382530
2000-09-28,3210493120
2000-09-29,3257635150
2000-10-02,3523750000
2000-10-03,3586250000
2000-10-04,3422500000
2000-10-05,3422500000
2000-10-06,3437500000
2000-10-09,3445000000
2000-10-10,3461250000
2000-10-11,3453750000
2000-10-12,3538750000
2000-10-13,3555000000
2000-10-16,3617500000
2000-10-17,3336250000
2000-10-18,3305000000
2000-10-19,3382500000
2000-10-20,3305000000
2000-10-23,3273750000
2000-10-24,3250000000
2000-10-25,3297500000
2000-10-26,3218750000
2000-10-27,3375000000
2000-10-30,3453750000
2000-10-31,3375000000
2000-11-01,3445000000
2000-11-02,3360000000
2000-11-03,3305000000
2000-11-06,3328750000
2000-11-07,3320000000
2000-11-08,3375000000
2000-11-09,3485000000
2000-11-10,3507500000
2000-11-13,3492500000
2000-11-14,3485000000
2000-11-15,3500000000
2000-11-16,3507500000
2000-11-17,3538750000
2000-11-20,3453750000
2000-11-21,3500000000
2000-11-22,3453750000
2000-11-24,3485000000
2000-11-27,3406250000
2000-11-28,3437500000
2000-11-29,3476250000
2000-11-30,3476250000
2000-12-01,3461250000
2000-12-04,3468750000
2000-12-05,3461250000
2000-12-06,3476250000
2000-12-07,3430000000
2000-12-08,3422500000
2000-12-11,3375000000
2000-12-12,3437500000
2000-12-13,3516250000
2000-12-14,3562500000
2000-12-15,3531250000
2000-12-18,3617500000
2000-12-19,3586250000
2000-12-20,3711250000
2000-12-21,3680000000
2000-12-22,3711250000
2000-12-26,3805000000
2000-12-27,3797500000
2000-12-28,3867500000
2000-12-29,3961250000
2001-01-02,4009851521
2001-01-03,4009851521
2001-01-04,3687796297
2001-01-05,3736632540
2001-01-08,3769630001
2001-01-09,3753791220
2001-01-10,3728713149
2001-01-11,3613881983
2001-01-12,3695715688
2001-01-16,3646879444
2001-01-17,3629720765
2001-01-18,3662718226
2001-01-19,3654798835
2001-01-22,3720793758
2001-01-23,3728713149
2001-01-24,3769630001
2001-01-25,3844864213
2001-01-26,3868622386
2001-01-29,3967614770
2001-01-30,3914818832
2001-01-31,3893700457
2001-02-01,3887100964
2001-02-02,3867302487
2001-02-05,3925378020
2001-02-06,3925378020
2001-02-07,3875221878
2001-02-08,3913498933
2001-02-09,3979493856
2001-02-12,4058687764
2001-02-13,4024370404
2001-02-14,4019090810
2001-02-15,3974214263
2001-02-16,3992692841
2001-02-20,4033609693
2001-02-21,4065287256
2001-02-22,4096964819
2001-02-23,3860702995
2001-02-26,3872582081
2001-02-27,3896340253
2001-02-28,3900299949
2001-03-01,3978173958
2001-03-02,3980813755
2001-03-05,3966294872
2001-03-06,3979493856
2001-03-07,3992692841
2001-03-08,3992692841
2001-03-09,3979493856
2001-03-12,3959695380
2001-03-13,3949136192
2001-03-14,3880501472
2001-03-15,3922738223
2001-03-16,3931977512
2001-03-19,3945176496
2001-03-20,3904259644
2001-03-21,3900299949
2001-03-22,3689116195
2001-03-23,3761710611
2001-03-26,3818466244
2001-03-27,3830345330
2001-03-28,3807907057
2001-03-29,3821106041
2001-03-30,3905579543
2001-04-02,3938880000
2001-04-03,3907200000
2001-04-04,3900600000
2001-04-05,3890040000
2001-04-06,3853080000
2001-04-09,3963960000
2001-04-10,4066920000
2001-04-11,4064280000
2001-04-12,4056360000
2001-04-16,4045800000
2001-04-17,4127640000
2001-04-18,4094640000
2001-04-19,4027320000
2001-04-20,3920400000
2001-04-23,3999600000
2001-04-24,3999600000
2001-04-25,4006200000
2001-04-26,4019400000
2001-04-27,4028640000
2001-04-30,4131600000
2001-05-01,4191000000
2001-05-02,3909840000
2001-05-03,3845160000
2001-05-04,3901920000
2001-05-07,3891360000
2001-05-08,3816120000
2001-05-09,3863640000
2001-05-10,3894000000
2001-05-11,3891360000
2001-05-14,3909840000
2001-05-15,3841200000
2001-05-16,3851760000
2001-05-17,3830640000
2001-05-18,3845160000
2001-05-21,3895320000
2001-05-22,3882120000
2001-05-23,3891360000
2001-05-24,3903240000
2001-05-25,3859680000
2001-05-29,3870240000
2001-05-30,3850440000
2001-05-31,3916440000
2001-06-01,3928320000
2001-06-04,3921720000
2001-06-05,3882120000
2001-06-06,3752760000
2001-06-07,3715800000
2001-06-08,3795000000
2001-06-11,3806880000
2001-06-12,3820080000
2001-06-13,3791040000
2001-06-14,3690720000
2001-06-15,3772560000
2001-06-18,3777840000
2001-06-19,3818760000
2001-06-20,3797640000
2001-06-21,3653760000
2001-06-22,3680160000
2001-06-25,3685440000
2001-06-26,3698640000
2001-06-27,3696000000
2001-06-28,3656400000
2001-06-29,3676200000
2001-07-02,3702720000
2001-07-03,3660160000
2001-07-05,3773210000
2001-07-06,3767890000
2001-07-09,3718680000
2001-07-10,3658830000
2001-07-11,3601640000
2001-07-12,3606960000
2001-07-13,3597650000
2001-07-16,3597650000
2001-07-17,3569720000
2001-07-18,3484600000
2001-07-19,3484600000
2001-07-20,3443370000
2001-07-23,3359580000
2001-07-24,3253180000
2001-07-25,3491250000
2001-07-26,3584350000
2001-07-27,3571050000
2001-07-30,3575040000
2001-07-31,3547110000
2001-08-01,3443370000
2001-08-02,3398150000
2001-08-03,3350270000
2001-08-06,3294410000
2001-08-07,3317020000
2001-08-08,3255840000
2001-08-09,3274460000
2001-08-10,3270470000
2001-08-13,3209290000
2001-08-14,3194660000
2001-08-15,3218600000
2001-08-16,3218600000
2001-08-17,3217270000
2001-08-20,3168060000
2001-08-21,3169390000
2001-08-22,3199980000
2001-08-23,3198650000
2001-08-24,3217270000
2001-08-27,3194660000
2001-08-28,3185350000
2001-08-29,3145450000
2001-08-30,3125500000
2001-08-31,3120180000
2001-09-04,3105550000
2001-09-05,3078950000
2001-09-06,3057670000
2001-09-07,3126830000
2001-09-10,3120180000
2001-09-17,2977870000
2001-09-18,2904720000
2001-09-19,2832900000
2001-09-20,2811620000
2001-09-21,2793000000
2001-09-24,2793000000
2001-09-25,2757090000
2001-09-26,2683940000
2001-09-27,2645370000
2001-09-28,2660000000
2001-10-01,2600000000
2001-10-02,2615600000
2001-10-03,2678000000
2001-10-04,2730000000
2001-10-05,2789800000
2001-10-08,2753400000
2001-10-09,2735200000
2001-10-10,2700100000
2001-10-11,2723500000
2001-10-12,2780700000
2001-10-15,2823600000
2001-10-16,2899000000
2001-10-17,2834000000
2001-10-18,2766400000
2001-10-19,2761200000
2001-10-22,2754700000
2001-10-23,2698800000
2001-10-24,2602600000
2001-10-25,2732600000
2001-10-26,2670200000
2001-10-29,2776800000
2001-10-30,2710500000
2001-10-31,2796300000
2001-11-01,2827500000
2001-11-02,2860000000
2001-11-05,2923700000
2001-11-06,2876900000
2001-11-07,2957500000
2001-11-08,2991300000
2001-11-09,3006900000
2001-11-12,2990000000
2001-11-13,2961400000
2001-11-14,2938000000
2001-11-15,2927600000
2001-11-16,2934100000
2001-11-19,2905500000
2001-11-20,2928900000
2001-11-21,2909400000
2001-11-23,2944500000
2001-11-26,2953600000
2001-11-27,2964000000
2001-11-28,2938000000
2001-11-29,2961400000
2001-11-30,2993900000
2001-12-03,2960100000
2001-12-04,2988700000
2001-12-05,2999100000
2001-12-06,2966600000
2001-12-07,3027700000
2001-12-10,2965300000
2001-12-11,2957500000
2001-12-12,2938000000
2001-12-13,2977000000
2001-12-14,2954900000
2001-12-17,2949700000
2001-12-18,3042000000
2001-12-19,3117400000
2001-12-20,3100500000
2001-12-21,3118700000
2001-12-24,3160300000
2001-12-26,3139500000
2001-12-27,3117400000
2001-12-28,3113500000
2001-12-31,3203199000
2002-01-02,3236524000
2002-01-03,3225860000
2002-01-04,3239190000
2002-01-07,3281846000
2002-01-08,3132550000
2002-01-09,3132550000
2002-01-10,3185870000
2002-01-11,3143214000
2002-01-14,3149879000
2002-01-15,3193868000
2002-01-16,3176539000
2002-01-17,3179205000
2002-01-18,3215196000
2002-01-22,3160543000
2002-01-23,3140548000
2002-01-24,3137882000
2002-01-25,3144547000
2002-01-28,3137882000
2002-01-29,3084562000
2002-01-30,3044572000
2002-01-31,3043239000
2002-02-01,3076564000
2002-02-04,3032575000
2002-02-05,2899275000
2002-02-06,2845955000
2002-02-07,2896609000
2002-02-08,2835291000
2002-02-11,2885945000
2002-02-12,2947263000
2002-02-13,2989919000
2002-02-14,2973923000
2002-02-15,2991252000
2002-02-19,2896609000
2002-02-20,2892610000
2002-02-21,2892610000
2002-02-22,2959260000
2002-02-25,2933933000
2002-02-26,2925935000
2002-02-27,2925935000
2002-02-28,2905940000
2002-03-01,2919270000
2002-03-04,2944597000
2002-03-05,3005915000
2002-03-06,3089894000
2002-03-07,3088561000
2002-03-08,3063234000
2002-03-11,3084562000
2002-03-12,3013913000
2002-03-13,2991252000
2002-03-14,2977922000
2002-03-15,2975256000
2002-03-18,3008581000
2002-03-19,3055236000
2002-03-20,3061901000
2002-03-21,3127218000
2002-03-22,3103224000
2002-03-25,3033908000
2002-03-26,2996584000
2002-03-27,2949929000
2002-03-28,3016579000
2002-04-01,2987646000
2002-04-02,2995728000
2002-04-03,2976870000
2002-04-04,2968788000
2002-04-05,2937807000
2002-04-08,2914908000
2002-04-09,2886621000
2002-04-10,2948583000
2002-04-11,2879886000
2002-04-12,2894703000
2002-04-15,2863722000
2002-04-16,2894703000
2002-04-17,2933766000
2002-04-18,2927031000
2002-04-19,2865069000
2002-04-22,2835435000
2002-04-23,2850252000
2002-04-24,2808495000
2002-04-25,2747880000
2002-04-26,2696694000
2002-04-29,2680530000
2002-04-30,2607792000
2002-05-01,2730369000
2002-05-02,2769432000
2002-05-03,2727675000
2002-05-06,2714205000
2002-05-07,2692653000
2002-05-08,2718246000
2002-05-09,2656284000
2002-05-10,2598363000
2002-05-13,2161935000
2002-05-14,2293941000
2002-05-15,2320881000
2002-05-16,2054175000
2002-05-17,2062257000
2002-05-20,2222550000
2002-05-21,2285859000
2002-05-22,2365332000
2002-05-23,2384190000
2002-05-24,2374761000
2002-05-28,2497338000
2002-05-29,2431335000
2002-05-30,2443458000
2002-05-31,2432682000
2002-06-03,2388231000
2002-06-04,2386884000
2002-06-05,2357250000
2002-06-06,2276430000
2002-06-07,2312799000
2002-06-10,2261613000
2002-06-11,2035317000
2002-06-12,1752447000
2002-06-13,1796898000
2002-06-14,1705302000
2002-06-17,1791510000
2002-06-18,1823838000
2002-06-19,1815756000
2002-06-20,1718772000
2002-06-21,1787469000
2002-06-24,1771305000
2002-06-25,1717425000
2002-06-26,1481700000
2002-06-27,1408962000
2002-06-28,1479006000
2002-07-01,1575346150
2002-07-02,1519846150
2002-07-03,1444423073
2002-07-05,1501346150
2002-07-08,1428769227
2002-07-09,1398884612
2002-07-10,1421653843
2002-07-11,1458653843
2002-07-12,1458653843
2002-07-15,1542615381
2002-07-16,1479999996
2002-07-17,1465769227
2002-07-18,1437307689
2002-07-19,1242346151
2002-07-22,1255153843
2002-07-23,1075846151
2002-07-24,1081538459
2002-07-25,1156961535
2002-07-26,1090076920
2002-07-29,1065884613
2002-07-30,1109999997
2002-07-31,1155538459
2002-08-01,1134192305
2002-08-02,1121384612
2002-08-05,1091499997
2002-08-06,1128499997
2002-08-07,1285038458
2002-08-08,1334846150
2002-08-09,1357615381
2002-08-12,1364730766
2002-08-13,1250884612
2002-08-14,1381807689
2002-08-15,1386076920
2002-08-16,1285038458
2002-08-19,1370423073
2002-08-20,1418807689
2002-08-21,1442999996
2002-08-22,1568230765
2002-08-23,1565384612
2002-08-26,1592423073
2002-08-27,1605230765
2002-08-28,1536923073
2002-08-29,1479999996
2002-08-30,1502769227
2002-09-03,1440153843
2002-09-04,1472884612
2002-09-05,1478576919
2002-09-06,1450115381
2002-09-09,1433038458
2002-09-10,1359038458
2002-09-11,1433038458
2002-09-12,1380384612
2002-09-13,1391769227
2002-09-16,1413115381
2002-09-17,1387499997
2002-09-18,1420230766
2002-09-19,1265115381
2002-09-20,1211038458
2002-09-23,1186846151
2002-09-24,1095769228
2002-09-25,1128499997
2002-09-26,1162653843
2002-09-27,1119961536
2002-09-30,1157709093
2002-10-01,1189309093
2002-10-02,1118927275
2002-10-03,1120363639
2002-10-04,1042800002
2002-10-07,982472729
2002-10-08,857509093
2002-10-09,831654547
2002-10-10,866127274
2002-10-11,942254547
2002-10-14,942254547
2002-10-15,1062909093
