,CSR
2000-01-03,17062516
2000-01-04,16434581
2000-01-05,16521193
2000-01-06,16434581
2000-01-07,16521193
2000-01-10,16975904
2000-01-11,17192434
2000-01-12,16975904
2000-01-13,17192434
2000-01-14,17322352
2000-01-18,17192434
2000-01-19,17192434
2000-01-20,16910946
2000-01-21,17062516
2000-01-24,16781028
2000-01-25,16781028
2000-01-26,17192434
2000-01-27,17192434
2000-01-28,17257393
2000-01-31,17452269
2000-02-01,17603840
2000-02-02,17603840
2000-02-03,17322352
2000-02-04,16910946
2000-02-07,17322352
2000-02-08,16910946
2000-02-09,17192434
2000-02-10,17322352
2000-02-11,16910946
2000-02-14,17192434
2000-02-15,17257393
2000-02-16,17257393
2000-02-17,17192434
2000-02-18,17192434
2000-02-22,17192434
2000-02-23,17192434
2000-02-24,17192434
2000-02-25,17322352
2000-02-28,173223520
2000-02-29,17192434
2000-03-01,17192434
2000-03-02,17322352
2000-03-03,17192434
2000-03-06,17192434
2000-03-07,17127475
2000-03-08,17127475
2000-03-09,17062516
2000-03-10,16975904
2000-03-13,16975904
2000-03-14,16521193
2000-03-15,16781028
2000-03-16,15698381
2000-03-17,15979869
2000-03-20,16239705
2000-03-21,17127475
2000-03-22,17192434
2000-03-23,17192434
2000-03-24,16521193
2000-03-27,17192434
2000-03-28,16521193
2000-03-29,17192434
2000-03-30,17322352
2000-03-31,17192434
2000-04-03,16521193
2000-04-04,17192434
2000-04-05,16239705
2000-04-06,17192434
2000-04-07,15828299
2000-04-10,16369622
2000-04-11,16369622
2000-04-12,15979869
2000-04-13,15828299
2000-04-14,16239705
2000-04-17,16369622
2000-04-18,16434581
2000-04-19,16044828
2000-04-20,16239705
2000-04-24,17062516
2000-04-25,17192434
2000-04-26,17192434
2000-04-27,16781028
2000-04-28,17062516
2000-05-01,17969323
2000-05-02,17969323
2000-05-03,17403538
2000-05-04,173990126
2000-05-05,17969323
2000-05-08,17969323
2000-05-09,17969323
2000-05-10,17969323
2000-05-11,17969323
2000-05-12,18105112
2000-05-15,18105112
2000-05-16,18105112
2000-05-17,18105112
2000-05-18,18105112
2000-05-19,17969323
2000-05-22,17969323
2000-05-23,17969323
2000-05-24,17267750
2000-05-25,17833535
2000-05-26,17969323
2000-05-30,17969323
2000-05-31,17969323
2000-06-01,179647973
2000-06-02,17833535
2000-06-05,18105112
2000-06-06,17267750
2000-06-07,17969323
2000-06-08,17969323
2000-06-09,17743009
2000-06-12,18240900
2000-06-13,18105112
2000-06-14,17833535
2000-06-15,18105112
2000-06-16,18105112
2000-06-19,181051120
