,CSX
2000-01-03,6538504320
2000-01-04,6348431520
2000-01-05,6462475200
2000-01-06,6766591680
2000-01-07,6766591680
2000-01-10,6766591680
2000-01-11,6766591680
2000-01-12,6766591680
2000-01-13,6880635360
2000-01-14,6804606240
2000-01-18,6690562560
2000-01-19,6690562560
2000-01-20,6386446080
2000-01-21,6462475200
2000-01-24,6462475200
2000-01-25,6348431520
2000-01-26,6310416960
2000-01-27,6424460640
2000-01-28,6158358720
2000-01-31,6158358720
2000-02-01,6120344160
2000-02-02,5968285920
2000-02-03,5892256800
2000-02-04,5854242240
2000-02-07,5512111200
2000-02-08,5207994720
2000-02-09,5284023840
2000-02-10,4865863680
2000-02-11,4561747200
2000-02-14,4637776320
2000-02-15,4637776320
2000-02-16,4637776320
2000-02-17,4751820000
2000-02-18,4599761760
2000-02-22,4751820000
2000-02-23,4523732640
2000-02-24,4561747200
2000-02-25,4485718080
2000-02-28,4599761760
2000-02-29,4675790880
2000-03-01,4751820000
2000-03-02,4637776320
2000-03-03,4827849120
2000-03-06,4713805440
2000-03-07,4485718080
2000-03-08,4789834560
2000-03-09,4675790880
2000-03-10,4713805440
2000-03-13,4637776320
2000-03-14,4561747200
2000-03-15,4941892800
2000-03-16,5169980160
2000-03-17,5360052960
2000-03-20,5246009280
2000-03-21,5322038400
2000-03-22,5246009280
2000-03-23,5246009280
2000-03-24,5131965600
2000-03-27,5093951040
2000-03-28,5017921920
2000-03-29,5017921920
2000-03-30,5055936480
2000-03-31,4975757280
2000-04-03,4861808640
2000-04-04,4861808640
2000-04-05,5051723040
2000-04-06,5013740160
2000-04-07,4785842880
2000-04-10,4709877120
2000-04-11,4747860000
2000-04-12,4595928480
2000-04-13,4595928480
2000-04-14,4481979840
2000-04-17,4406014080
2000-04-18,4443996960
2000-04-19,4443996960
2000-04-20,4368031200
2000-04-24,4406014080
2000-04-25,4595928480
2000-04-26,4633911360
2000-04-27,4406014080
2000-04-28,4406014080
2000-05-01,4481979840
2000-05-02,4443996960
2000-05-03,4330048320
2000-05-04,4216099680
2000-05-05,4254082560
2000-05-08,4406014080
2000-05-09,4595928480
2000-05-10,4557945600
2000-05-11,4709877120
2000-05-12,4823825760
2000-05-15,4785842880
2000-05-16,4899791520
2000-05-17,4899791520
2000-05-18,4861808640
2000-05-19,4899791520
2000-05-22,4709877120
2000-05-23,4709877120
2000-05-24,4747860000
2000-05-25,4595928480
2000-05-26,4595928480
2000-05-30,4671894240
2000-05-31,4595928480
2000-06-01,4747860000
2000-06-02,4785842880
2000-06-05,4671894240
2000-06-06,4633911360
2000-06-07,4519962720
2000-06-08,4254082560
2000-06-09,4368031200
2000-06-12,4406014080
2000-06-13,4443996960
2000-06-14,4330048320
2000-06-15,4368031200
2000-06-16,4368031200
2000-06-19,4254082560
2000-06-20,4178116800
2000-06-21,4140133920
2000-06-22,4178116800
2000-06-23,4254082560
2000-06-26,4178116800
2000-06-27,4330048320
2000-06-28,4861808640
2000-06-29,4747860000
2000-06-30,4480238160
2000-07-03,4708046880
2000-07-05,5087728080
2000-07-06,5049759960
2000-07-07,5087728080
2000-07-10,5125696200
2000-07-11,5011791840
2000-07-12,5049759960
2000-07-13,4859919360
2000-07-14,5049759960
2000-07-17,5125696200
2000-07-18,5049759960
2000-07-19,4935855600
2000-07-20,4897887480
2000-07-21,4859919360
2000-07-24,4859919360
2000-07-25,4708046880
2000-07-26,5049759960
2000-07-27,5163664320
2000-07-28,5201632440
2000-07-31,5239600560
2000-08-01,5391473040
2000-08-02,5353504920
2000-08-03,5429441160
2000-08-04,5619281760
2000-08-07,5695218000
2000-08-08,5771154240
2000-08-09,5695218000
2000-08-10,5581313640
2000-08-11,5543345520
2000-08-14,5657249880
