,CTLT
2014-07-31,2093700486
2014-08-01,2079037251
2014-08-04,2095795233
2014-08-05,2116742712
2014-08-06,2129311199
2014-08-07,2138737565
2014-08-08,2150258678
2014-08-11,2147116556
2014-08-12,2147116556
2014-08-13,2150258678
2014-08-14,2147116556
2014-08-15,2148163930
2014-08-18,2163874539
2014-08-19,2160732417
2014-08-20,2155495547
2014-08-21,2170158782
2014-08-22,2183774644
2014-08-25,2220432731
2014-08-26,2233001218
2014-08-27,2227764349
2014-08-28,2251853949
2014-08-29,2251853949
2014-09-02,2272801428
2014-09-03,2270706680
2014-09-04,2251853949
2014-09-05,2346117603
2014-09-08,2356591342
2014-09-09,2354496594
2014-09-10,2407912665
2014-09-11,2435144387
2014-09-12,2460281361
2014-09-15,2601676842
2014-09-16,2536739658
2014-09-17,2546166023
2014-09-18,2533597536
2014-09-19,2480181466
2014-09-22,2512650058
2014-09-23,2510555310
2014-09-24,2601676842
2014-09-25,2584918859
2014-09-26,2622624320
2014-09-29,2636240181
2014-09-30,3145662170
2014-10-01,2997364872
2014-10-02,3185878386
2014-10-03,3158229737
2014-10-06,3139378386
2014-10-07,3107959467
2014-10-08,3202216224
2014-10-09,3069000007
2014-10-10,2974743250
2014-10-13,2955891899
2014-10-14,2982283791
2014-10-15,3043864872
2014-10-16,3047635143
2014-10-17,2969716223
2014-10-20,3011189196
2014-10-21,3165770278
2014-10-22,3025013521
2014-10-23,3048891899
2014-10-24,3134351359
2014-10-27,3074027034
2014-10-28,3167027035
2014-10-29,3211013521
2014-10-30,3222324332
2014-10-31,3271337846
2014-11-03,3255000008
2014-11-04,3185878386
2014-11-05,3153202710
2014-11-06,3109216224
2014-11-07,3107959467
2014-11-10,3112986494
2014-11-11,3042608115
2014-11-12,2981027034
2014-11-13,2992337845
2014-11-14,3022500007
2014-11-17,3222324332
2014-11-18,3195932440
2014-11-19,3229864873
2014-11-20,3275108116
2014-11-21,3336689197
2014-11-24,3389472981
2014-11-25,3500067576
2014-11-26,3609405414
2014-11-28,3618202712
2014-12-01,3556621630
2014-12-02,3572959468
2014-12-03,3583013522
2014-12-04,3635797306
2014-12-05,3664702712
2014-12-08,3633283793
2014-12-09,3660932441
2014-12-10,3697378387
2014-12-11,3647108117
2014-12-12,3591810820
2014-12-15,3637054063
2014-12-16,3590554063
2014-12-17,3667216225
2014-12-18,3605635144
2014-12-19,3668472982
2014-12-22,3598094603
2014-12-23,3412094603
2014-12-24,3441000008
2014-12-26,3580500009
2014-12-29,3511378387
2014-12-30,3526459468
2014-12-31,3463632182
2015-01-02,3417665758
2015-01-05,3488478898
2015-01-06,3298401522
2015-01-07,3454935831
2015-01-08,3477297876
2015-01-09,3425119773
2015-01-12,3437543130
2015-01-13,3494690577
2015-01-14,3474813204
2015-01-15,3404000064
2015-01-16,3487236562
2015-01-20,3477297876
2015-01-21,3420150429
2015-01-22,3467359189
2015-01-23,3379153348
2015-01-26,3519537293
2015-01-27,3503386927
2015-01-28,3446239481
2015-01-29,3443754809
2015-01-30,3431331451
2015-02-02,3433816123
2015-02-03,3451208824
2015-02-04,3422635101
2015-02-05,3415181086
2015-02-06,3408969407
2015-02-09,3422635101
2015-02-10,3463632182
2015-02-11,3642528536
2015-02-12,3550595687
2015-02-13,3418908094
2015-02-17,3396546049
2015-02-18,3446239481
2015-02-19,3604016126
2015-02-20,3497175248
2015-02-23,3502144592
2015-02-24,3522021964
2015-02-25,3586623425
2015-02-26,3677313938
2015-02-27,3474813204
2015-03-02,3535687658
2015-03-03,3725765034
2015-03-04,3698433646
2015-03-05,3695948975
2015-03-06,3697191311
2015-03-09,3704645325
2015-03-10,3702160654
2015-03-11,3755581093
2015-03-12,3729492041
2015-03-13,3770489122
2015-03-16,3837575255
2015-03-17,3861179635
2015-03-18,3888511022
2015-03-19,3913357738
2015-03-20,3864906642
2015-03-23,3832605912
2015-03-24,3807759196
2015-03-25,3781670144
2015-03-26,3739430727
2015-03-27,3739430727
2015-03-30,3872360657
2015-03-31,3892483752
2015-04-01,3856245541
2015-04-02,3827504890
2015-04-06,3816258549
2015-04-07,3806261801
2015-04-08,3848747980
2015-04-09,3871240663
2015-04-10,3840000825
2015-04-13,3815008955
2015-04-14,3838751232
2015-04-15,3874989443
2015-04-16,3884986191
2015-04-17,3820007329
2015-04-20,3872490256
2015-04-21,3876239037
2015-04-22,3881237411
2015-04-23,3879987817
2015-04-24,3873739850
2015-04-27,3747530906
2015-04-28,3720039849
2015-04-29,3712542288
2015-04-30,3595080499
2015-05-01,3650062613
2015-05-04,3672555296
2015-05-05,3646313833
2015-05-06,3598829280
2015-05-07,3520104889
2015-05-08,3538848792
2015-05-11,3537599198
2015-05-12,3523853670
2015-05-13,3568839036
2015-05-14,3663808142
2015-05-15,3802513020
2015-05-18,3873739850
2015-05-19,3876239037
2015-05-20,3896232533
2015-05-21,3902480500
2015-05-22,3928721964
2015-05-26,3888734972
2015-05-27,3911227655
2015-05-28,3986203265
2015-05-29,3993700826
2015-06-01,3837501638
2015-06-02,3667556922
2015-06-03,3635067491
2015-06-04,3633817898
2015-06-05,3700046353
2015-06-08,3633817898
2015-06-09,3616323589
2015-06-10,3691299199
2015-06-11,3717540662
2015-06-12,3756278061
2015-06-15,3751279687
2015-06-16,3800013833
2015-06-17,3820007329
2015-06-18,3835002451
2015-06-19,3811260175
2015-06-22,3847498386
2015-06-23,3843749606
2015-06-24,3746281313
2015-06-25,3737534158
2015-06-26,3720039849
2015-06-29,3678803264
2015-06-30,3659012353
2015-07-01,3707666114
2015-07-02,3695190791
2015-07-06,3642794432
2015-07-07,3686458064
2015-07-08,3577922751
2015-07-09,3612853656
2015-07-10,3612853656
2015-07-13,3636556771
2015-07-14,3730121696
2015-07-15,3725131567
2015-07-16,3727626631
2015-07-17,3718893905
2015-07-20,3668992611
2015-07-21,3673982741
2015-07-22,3733864293
2015-07-23,3792498313
2015-07-24,3753824811
