,CVX
2000-01-03,54865757840
2000-01-04,54865757840
2000-01-05,55849955840
2000-01-06,58238276320
2000-01-07,59261842239
2000-01-10,57660880160
2000-01-11,57122851920
2000-01-12,56926012320
2000-01-13,57450917920
2000-01-14,57083484000
2000-01-18,58605710239
2000-01-19,57700248080
2000-01-20,57411550000
2000-01-21,58107049920
2000-01-24,58277644239
2000-01-25,58107049920
2000-01-26,57582144320
2000-01-27,55325050239
2000-01-28,54170257920
2000-01-31,54865757840
2000-02-01,54577059760
2000-02-02,54209625840
2000-02-03,53435390080
2000-02-04,51545729920
2000-02-07,51873795920
2000-02-08,51388258239
2000-02-09,49209900000
2000-02-10,50404060239
2000-02-11,48553768000
2000-02-14,48435664239
2000-02-15,50850230000
2000-02-16,51060192239
2000-02-17,51020824320
2000-02-18,49984135760
2000-02-22,49656069760
2000-02-23,48068230320
2000-02-24,46874070080
2000-02-25,46624739920
2000-02-28,48921201920
2000-02-29,48999937760
2000-03-01,49380494320
2000-03-02,49656069760
2000-03-03,48921201920
2000-03-06,48553768000
2000-03-07,53146692000
2000-03-08,53186059920
2000-03-09,54629550320
2000-03-10,52739890160
2000-03-13,52372456239
2000-03-14,54380220160
2000-03-15,55075720080
2000-03-16,55193823840
2000-03-17,54668918239
2000-03-20,54419588080
2000-03-21,56427352000
2000-03-22,55115088000
2000-03-23,55521889840
2000-03-24,56178021840
2000-03-27,55482521920
2000-03-28,55692484160
2000-03-29,58067682000
2000-03-30,60482247760
2000-03-31,60392623480
2000-04-03,60314225439
2000-04-04,58680932939
2000-04-05,57165237500
2000-04-06,58106013980
2000-04-07,56472721480
2000-04-10,56224461020
2000-04-11,57936151560
2000-04-12,58145213000
2000-04-13,56799379980
2000-04-14,55976200560
2000-04-17,54186111980
2000-04-18,55244485520
2000-04-19,55375148920
2000-04-20,56394323439
2000-04-24,55701807420
2000-04-25,55414347939
2000-04-26,56394323439
2000-04-27,57779355480
2000-04-28,55610343040
2000-05-01,56394323439
2000-05-02,58354274439
2000-05-03,57047640439
2000-05-04,57740156460
2000-05-05,59295050920
2000-05-08,59987566939
2000-05-09,58876928040
2000-05-10,59373448960
2000-05-11,61006741460
2000-05-12,61594726760
2000-05-15,61411798000
2000-05-16,60719281980
2000-05-17,59660908439
2000-05-18,59373448960
2000-05-19,60967542439
2000-05-22,61450997020
2000-05-23,60928343420
2000-05-24,61581660420
2000-05-25,60876078060
2000-05-26,59700107460
2000-05-30,59660908439
2000-05-31,60392623480
2000-06-01,59451847000
2000-06-02,59164387520
2000-06-05,59085989480
2000-06-06,60680082960
2000-06-07,60353424460
2000-06-08,60471021520
2000-06-09,60105164000
2000-06-12,60680082960
2000-06-13,59948367920
2000-06-14,60928343420
2000-06-15,60836879040
2000-06-16,60601684920
2000-06-19,59700107460
2000-06-20,58968392420
2000-06-21,59621709420
2000-06-22,58511070520
2000-06-23,58641733920
2000-06-26,57975350580
2000-06-27,57779355480
2000-06-28,57217502860
2000-06-29,56603384880
2000-06-30,55007466399
2000-07-03,55720838400
2000-07-05,53502900000
2000-07-06,54190331200
2000-07-07,54449739199
2000-07-10,54475680000
2000-07-11,56421240000
2000-07-12,55565193600
2000-07-13,54449739199
2000-07-14,54320035200
2000-07-17,53619633600
2000-07-18,52815468800
2000-07-19,53139728800
2000-07-20,51881600000
2000-07-21,50908820000
2000-07-24,50182477600
2000-07-25,50143566399
2000-07-26,50143566399
2000-07-27,52491208800
2000-07-28,52257741600
2000-07-31,51220109600
2000-08-01,51155257600
2000-08-02,51764866399
2000-08-03,51881600000
2000-08-04,51440606399
2000-08-07,52335564000
2000-08-08,52115067200
2000-08-09,53567752000
2000-08-10,54397857600
2000-08-11,54475680000
2000-08-14,54722117600
2000-08-15,54151420000
2000-08-16,55422519199
2000-08-17,56537973600
2000-08-18,55798660800
2000-08-21,56265595200
2000-08-22,56174802400
2000-08-23,57640457600
2000-08-24,55889453600
2000-08-25,56343417600
2000-08-28,56382328800
2000-08-29,55772720000
2000-08-30,55189052000
2000-08-31,54812910400
2000-09-01,55422519199
2000-09-05,55733808800
2000-09-06,57147582400
2000-09-07,57277286399
2000-09-08,56213713600
2000-09-11,57925806399
2000-09-12,57432931200
2000-09-13,57471842400
2000-09-14,56797381600
2000-09-15,58483533600
2000-09-18,58366800000
2000-09-19,57108671200
2000-09-20,56421240000
2000-09-21,55331726399
2000-09-22,54644295200
2000-09-25,53697456000
2000-09-26,54034686399
2000-09-27,55409548800
2000-09-28,54566472800
2000-09-29,55292815200
2000-10-02,55650727000
2000-10-03,55779132000
2000-10-04,54456560499
2000-10-05,54893137500
2000-10-06,54174069500
2000-10-09,55214150000
2000-10-10,55971739500
2000-10-11,55612205500
2000-10-12,56061622999
2000-10-13,54097026500
2000-10-16,52646050000
2000-10-17,53211032000
2000-10-18,52967062500
2000-10-19,52851497999
2000-10-20,53570566000
2000-10-23,53005584000
2000-10-24,52812976500
2000-10-25,52325037500
2000-10-26,52646050000
2000-10-27,51567447999
2000-10-30,52402080500
2000-10-31,52723093000
2000-11-01,53172510499
2000-11-02,51683012500
2000-11-03,52042546500
2000-11-06,53005584000
2000-11-07,52684571500
2000-11-08,53288075000
2000-11-09,53532044500
2000-11-10,54007143000
2000-11-13,53365118000
2000-11-14,54097026500
2000-11-15,53891578500
2000-11-16,53853057000
2000-11-17,53776014000
2000-11-20,53724652000
2000-11-21,54572125000
2000-11-22,54456560499
2000-11-24,54135547999
2000-11-27,54495082000
2000-11-28,55098585499
2000-11-29,52723093000
2000-11-30,52569007000
2000-12-01,53044105500
2000-12-04,53288075000
2000-12-05,52530485499
2000-12-06,51683012500
2000-12-07,51798577000
2000-12-08,52209472999
2000-12-11,52325037500
2000-12-12,52530485499
2000-12-13,52812976500
2000-12-14,50758496500
2000-12-15,50244876500
2000-12-18,51849939000
2000-12-19,52042546500
2000-12-20,50360441000
2000-12-21,50321919500
2000-12-22,51760055500
2000-12-26,53172510499
2000-12-27,53326596500
2000-12-28,55060064000
2000-12-29,54212591000
2001-01-02,55175628500
2001-01-03,53044105500
2001-01-04,51926982000
2001-01-05,52325037500
2001-01-08,52209472999
2001-01-09,51528926500
2001-01-10,51439043000
2001-01-11,52286516000
2001-01-12,51965503500
2001-01-16,52004025000
2001-01-17,51528926500
2001-01-18,51002466000
2001-01-19,50925422999
2001-01-22,51118030500
2001-01-23,51079509000
2001-01-24,51284957000
2001-01-25,53403639500
2001-01-26,53044105500
2001-01-29,52325037500
2001-01-30,52556166500
2001-01-31,53467842000
2001-02-01,53455001500
2001-02-02,52915700500
2001-02-05,53018424500
2001-02-06,54379517500
2001-02-07,53506363500
2001-02-08,54097026500
2001-02-09,55149947500
2001-02-12,55548003000
2001-02-13,55214150000
2001-02-14,55111426000
2001-02-15,54828935000
2001-02-16,55573684000
2001-02-20,55535162500
2001-02-21,55175628500
2001-02-22,55265512000
2001-02-23,54225431499
2001-02-26,54289634000
2001-02-27,55021542500
2001-02-28,54995861500
2001-03-01,55753451000
2001-03-02,56780691000
2001-03-05,58026219500
2001-03-06,58064741000
2001-03-07,58668244500
2001-03-08,59669803500
2001-03-09,59567079500
2001-03-12,59143343000
2001-03-13,58180305500
2001-03-14,57474078000
2001-03-15,56947617500
2001-03-16,56177187500
2001-03-19,57178746500
2001-03-20,58180305500
2001-03-21,57576802000
2001-03-22,56177187500
2001-03-23,55663567500
2001-03-26,55496641000
2001-03-27,56395476000
2001-03-28,55599365000
2001-03-29,55483800500
2001-03-30,56369795000
2001-04-02,55853761920
2001-04-03,55288024000
2001-04-04,56380926800
2001-04-05,57653837120
2001-04-06,57358110480
2001-04-09,58823886000
2001-04-10,59659635200
2001-04-11,58373867200
2001-04-12,59016751200
2001-04-16,60302519200
2001-04-17,59955361840
2001-04-18,60083938639
2001-04-19,59633919840
2001-04-20,59955361840
2001-04-23,60893972480
2001-04-24,60623961200
2001-04-25,61279702879
2001-04-26,62912628240
2001-04-27,62668332320
2001-04-30,62076879040
2001-05-01,61999732960
2001-05-02,59145328000
2001-05-03,58952462800
2001-05-04,60006792560
2001-05-07,60559672800
2001-05-08,60302519200
2001-05-09,61356848960
2001-05-10,61215414480
2001-05-11,60443953680
2001-05-14,60688249600
2001-05-15,61331133600
2001-05-16,61241129840
2001-05-17,61498283440
2001-05-18,62732620720
2001-05-21,62449751760
2001-05-22,61125410720
2001-05-23,60546815120
2001-05-24,60623961200
2001-05-25,60546815120
2001-05-29,61433995040
2001-05-30,61614002560
2001-05-31,61755437040
2001-06-01,61961159920
2001-06-04,63015489680
2001-06-05,62809766800
2001-06-06,61819725440
2001-06-07,61729721680
2001-06-08,61999732960
2001-06-11,62681190000
2001-06-12,62732620720
2001-06-13,62462609440
2001-06-14,61498283440
2001-06-15,62166882800
2001-06-18,61523998800
2001-06-19,61395422000
2001-06-20,60739680320
2001-06-21,60083938639
2001-06-22,60906830160
2001-06-25,61035406960
2001-06-26,60881114800
2001-06-27,58759597600
2001-06-28,57049526160
2001-06-29,58181002000
2001-07-02,58092337800
2001-07-03,58156670400
2001-07-05,58748530319
2001-07-06,58542666000
2001-07-09,57925073040
2001-07-10,57513344400
2001-07-11,56393957160
2001-07-12,57294613560
2001-07-13,57513344400
2001-07-16,56393957160
2001-07-17,55866429840
2001-07-18,55840696800
2001-07-19,56072294160
2001-07-20,57217414440
2001-07-23,56381090640
2001-07-24,54798508680
2001-07-25,57358946160
2001-07-26,57937939560
2001-07-27,58606998600
2001-07-30,58877195520
2001-07-31,58799996400
2001-08-01,58645598160
2001-08-02,58581265560
2001-08-03,58336801680
2001-08-06,58156670400
2001-08-07,58619865120
2001-08-08,57912206520
2001-08-09,58272469080
2001-08-10,59031593760
2001-08-13,58992994200
2001-08-14,59340390240
2001-08-15,59842184520
2001-08-16,59867917560
2001-08-17,59198858520
2001-08-20,58761396840
2001-08-21,58195269959
2001-08-22,59147392440
2001-08-23,59366123280
2001-08-24,59700652800
2001-08-27,59250324600
2001-08-28,58619865120
2001-08-29,59031593760
2001-08-30,58208136480
2001-08-31,58388267760
2001-09-04,58761396840
2001-09-05,58799996400
2001-09-06,59031593760
2001-09-07,59443322400
2001-09-10,58992994200
2001-09-17,58040871720
2001-09-18,56458289760
2001-09-19,54618377400
2001-09-20,53846386200
2001-09-21,54052250520
2001-09-24,52173738600
2001-09-25,51273082200
2001-09-26,50668355760
2001-09-27,53717721000
2001-09-28,54528311760
2001-10-01,88728696000
2001-10-02,90636840000
2001-10-03,90552033600
2001-10-04,92354169600
2001-10-05,93753475200
2001-10-08,94283515200
2001-10-09,96361272000
2001-10-10,99053875200
2001-10-11,98884262400
2001-10-12,96467280000
2001-10-15,93753475200
2001-10-16,94516732800
2001-10-17,94453128000
2001-10-18,91188081600
2001-10-19,91951339200
2001-10-22,94092700800
2001-10-23,91802928000
2001-10-24,92142153600
2001-10-25,93181032000
2001-10-26,94283515200
2001-10-29,94368321600
2001-10-30,94347120000
2001-10-31,93880684800
2001-11-01,95258788800
2001-11-02,92693395200
2001-11-05,92354169600
2001-11-06,92014944000
2001-11-07,92523782400
2001-11-08,92841806400
2001-11-09,94855958400
2001-11-12,94601539200
2001-11-13,95576812800
2001-11-14,91824129600
2001-11-15,88834704000
2001-11-16,88453075200
2001-11-19,87901833600
2001-11-20,91718121600
2001-11-21,91251686400
2001-11-23,91781726400
2001-11-26,90318816000
2001-11-27,90764049600
2001-11-28,89640364800
2001-11-29,90573235200
2001-11-30,90128001600
2001-12-03,91633315200
2001-12-04,92057347200
2001-12-05,92757000000
2001-12-06,91145678400
2001-12-07,92481379200
2001-12-10,91294089600
2001-12-11,90212808000
2001-12-12,90742848000
2001-12-13,89322340800
2001-12-14,89046720000
2001-12-17,90785251200
2001-12-18,91442500800
2001-12-19,92757000000
2001-12-20,92650992000
2001-12-21,93923088000
2001-12-24,93880684800
2001-12-26,94559136000
2001-12-27,95725224000
2001-12-28,95873635200
2001-12-31,95004369600
2002-01-02,94855958400
2002-01-03,94877160000
2002-01-04,94665144000
2002-01-07,95110377600
2002-01-08,95470804800
2002-01-09,94474329600
2002-01-10,94283515200
2002-01-11,92672193600
2002-01-14,92650992000
2002-01-15,94559136000
2002-01-16,92714596800
2002-01-17,92650992000
2002-01-18,92014944000
2002-01-22,91951339200
2002-01-23,93032620800
2002-01-24,93393048000
2002-01-25,93880684800
2002-01-28,94219910400
2002-01-29,90276412800
2002-01-30,88092648000
2002-01-31,88834704000
2002-02-01,90509630400
2002-02-04,88961913600
2002-02-05,87308188800
2002-02-06,88198656000
2002-02-07,86672140800
2002-02-08,86756947200
2002-02-11,87923035200
2002-02-12,87350592000
2002-02-13,87392995200
2002-02-14,87456600000
2002-02-15,87286987200
2002-02-19,86566132800
2002-02-20,86672140800
2002-02-21,87053769600
2002-02-22,88728696000
2002-02-25,88940712000
2002-02-26,89237534400
2002-02-27,90106800000
2002-02-28,89513155200
2002-03-01,90636840000
2002-03-04,91357694400
2002-03-05,91442500800
2002-03-06,93181032000
2002-03-07,93944289600
2002-03-08,92926612800
2002-03-11,94453128000
2002-03-12,95004369600
2002-03-13,94792353600
2002-03-14,94877160000
2002-03-15,95195184000
2002-03-18,95788828800
2002-03-19,96149256000
2002-03-20,95195184000
2002-03-21,95810030400
2002-03-22,94474329600
2002-03-25,93711072000
2002-03-26,94347120000
2002-03-27,95937240000
2002-03-28,95682820800
2002-04-01,95120929800
2002-04-02,96351033240
2002-04-03,95439060000
2002-04-04,93106105200
2002-04-05,92406218760
2002-04-08,93742365600
2002-04-09,92575888200
2002-04-10,92894018400
2002-04-11,91663914960
2002-04-12,89182499400
2002-04-15,90455020200
2002-04-16,91833584400
2002-04-17,92215340640
2002-04-18,92787975000
2002-04-19,93318192000
2002-04-22,91897210440
2002-04-23,92236549320
2002-04-24,90136890000
2002-04-25,91091280600
2002-04-26,89712716400
2002-04-29,91048863240
2002-04-30,91960836480
2002-05-01,93296983320
2002-05-02,94251373920
2002-05-03,94930051680
2002-05-06,92257758000
2002-05-07,92957644440
2002-05-08,94442252040
2002-05-09,93593904840
2002-05-10,93254565960
2002-05-13,95545103400
2002-05-14,95333016600
2002-05-15,93381818040
2002-05-16,94378626000
2002-05-17,94548295440
2002-05-20,94124121840
2002-05-21,93148522560
2002-05-22,94399834680
2002-05-23,95014886400
2002-05-24,94484669400
2002-05-28,93403026720
2002-05-29,93212148600
2002-05-30,92045671200
2002-05-31,92533470840
2002-06-03,91748749680
2002-06-04,92045671200
2002-06-05,92427427440
2002-06-06,91154906640
2002-06-07,92533470840
2002-06-10,91557871560
2002-06-11,91621497600
2002-06-12,92003253840
2002-06-13,92151714600
2002-06-14,92003253840
2002-06-17,94060495800
2002-06-18,93784782960
2002-06-19,91833584400
2002-06-20,92618305560
2002-06-21,92957644440
2002-06-24,92512262160
2002-06-25,91197324000
2002-06-26,91473036840
2002-06-27,92915227080
2002-06-28,93848409000
2002-07-01,94060683800
2002-07-02,93211377400
2002-07-03,92043581100
2002-07-05,93317540700
2002-07-08,93508634640
2002-07-09,92298373020
2002-07-10,90111409040
2002-07-11,87754583780
2002-07-12,87903212400
2002-07-15,85737481080
2002-07-16,84272427540
2002-07-17,85249129900
2002-07-18,83550517100
2002-07-19,79091658500
2002-07-22,73804726160
2002-07-23,71086945680
2002-07-24,74951289800
2002-07-25,73995820100
2002-07-26,75163616400
2002-07-29,78964262540
2002-07-30,77499209000
2002-07-31,79622475000
2002-08-01,74908824480
2002-08-02,75163616400
2002-08-05,72254741980
2002-08-06,74908824480
2002-08-07,76373878020
2002-08-08,79155356480
2002-08-09,80216989480
2002-08-12,79686172980
2002-08-13,79940964900
2002-08-14,82170394200
2002-08-15,82637512720
2002-08-16,81660810360
2002-08-19,81618345040
2002-08-20,79983430220
2002-08-21,81575879720
2002-08-22,83571749760
2002-08-23,83274492520
2002-08-26,83932704980
2002-08-27,82913537300
2002-08-28,81745741000
2002-08-29,80747805980
2002-08-30,81342320460
2002-09-03,76862229200
2002-09-04,78008792840
2002-09-05,77711535600
2002-09-06,79303985100
2002-09-09,78560842000
2002-09-10,80025895540
2002-09-11,78964262540
2002-09-12,77626604960
2002-09-13,77711535600
2002-09-16,78560842000
2002-09-17,75779363540
2002-09-18,75630734920
2002-09-19,74250612020
2002-09-20,74908824480
2002-09-23,73995820100
2002-09-24,72934187100
2002-09-25,74484171280
2002-09-26,77711535600
2002-09-27,75354710340
2002-09-30,73555297420
2002-10-01,76592666040
2002-10-02,76040417200
2002-10-03,76826309780
2002-10-04,75297005300
2002-10-07,74872198500
2002-10-08,73916383200
2002-10-09,72684443480
2002-10-10,75721812100
