,CZR
2014-09-18,350520000
2014-09-19,360426000
2014-09-22,358394000
2014-09-23,345440000
2014-09-24,345948000
2014-09-25,335280000
2014-09-26,340360000
2014-09-29,334518000
2014-09-30,583076772
2014-10-01,571025901
2014-10-02,559902020
2014-10-03,555267069
2014-10-06,539971733
2014-10-07,528384357
2014-10-08,521431931
2014-10-09,512625525
2014-10-10,423634475
2014-10-13,398142247
2014-10-14,435221851
2014-10-15,465349030
2014-10-16,481571356
2014-10-17,542752703
2014-10-20,528847852
2014-10-21,576587842
2014-10-22,536263772
2014-10-23,543679693
2014-10-24,559438525
2014-10-27,535800277
2014-10-28,543679693
2014-10-29,543679693
2014-10-30,556194060
2014-10-31,565000465
2014-11-03,565000465
2014-11-04,539044743
2014-11-05,535800277
2014-11-06,530701832
2014-11-07,560829010
2014-11-10,534873287
2014-11-11,516333485
2014-11-12,633597733
2014-11-13,765230327
2014-11-14,764766832
2014-11-17,731395188
2014-11-18,710074416
2014-11-19,666042386
2014-11-20,701731505
2014-11-21,742519070
2014-11-24,747617515
2014-11-25,755960426
2014-11-26,793967020
2014-11-28,786087604
2014-12-01,740665089
2014-12-02,752715961
2014-12-03,748081010
2014-12-04,726760238
2014-12-05,735103149
2014-12-08,703585485
2014-12-09,723979268
2014-12-10,676239277
2014-12-11,688753644
2014-12-12,594664149
2014-12-15,569635416
2014-12-16,563609980
2014-12-17,588175218
2014-12-18,610422980
2014-12-19,625254822
2014-12-22,695242575
2014-12-23,706366456
2014-12-24,715636357
2014-12-26,716563347
2014-12-29,716099852
2014-12-30,749008000
2014-12-31,729500870
2015-01-02,717877210
2015-01-05,663943430
2015-01-06,618843631
2015-01-07,613729221
2015-01-08,654644503
2015-01-09,643020843
2015-01-12,616053953
2015-01-13,587227277
2015-01-14,590946848
2015-01-15,553286192
2015-01-16,550031567
2015-01-20,531433712
2015-01-21,529573926
2015-01-22,538872854
2015-01-23,542127479
2015-01-26,557935656
2015-01-27,542592425
2015-01-28,544452210
2015-01-29,544452210
2015-01-30,506326607
2015-02-02,504466822
2015-02-03,524459516
2015-02-04,524924463
2015-02-05,535153283
2015-02-06,514695642
2015-02-09,508186393
2015-02-10,504001875
2015-02-11,489588538
2015-02-12,492843162
2015-02-13,501444670
2015-02-17,501677144
2015-02-18,504931768
2015-02-19,508186393
2015-02-20,508651339
2015-02-23,504001875
2015-02-24,502142090
2015-02-25,536548122
2015-02-26,501677144
2015-02-27,492843162
2015-03-02,512370910
2015-03-03,491913270
2015-03-04,481684449
2015-03-05,472385522
2015-03-06,447743363
2015-03-09,459367023
2015-03-10,447278417
2015-03-11,446813471
2015-03-12,452857774
2015-03-13,444023792
2015-03-16,447278417
2015-03-17,436584650
2015-03-18,430540347
2015-03-19,438909382
2015-03-20,438909382
2015-03-23,449138203
2015-03-24,459367023
2015-03-25,437049597
2015-03-26,444023792
2015-03-27,450997988
2015-03-30,465876272
2015-03-31,489819945
2015-04-01,503774929
2015-04-02,507496258
2015-04-06,515869249
2015-04-07,507496258
2015-04-08,517032164
2015-04-09,524242239
2015-04-10,526568070
2015-04-13,541453386
2015-04-14,544709549
2015-04-15,576340847
2015-04-16,567967856
2015-04-17,560525198
2015-04-20,465166140
2015-04-21,461444810
2015-04-22,450280823
2015-04-23,448885325
2015-04-24,457258315
2015-04-27,440512334
2015-04-28,438651670
2015-04-29,435860673
2015-04-30,441442666
2015-05-01,433534842
2015-05-04,432604510
2015-05-05,437721337
2015-05-06,433069676
2015-05-07,465166140
2015-05-08,474004296
2015-05-11,474934628
2015-05-12,479586290
2015-05-13,496332271
2015-05-14,483772785
2015-05-15,477725625
2015-05-18,464700973
2015-05-19,463770641
2015-05-20,463072892
2015-05-21,465631306
2015-05-22,464235807
2015-05-26,461909977
2015-05-27,457723481
2015-05-28,455862817
2015-05-29,435395507
2015-06-01,365620586
2015-06-02,353526266
