,DFS
2007-06-14,13843809537
2007-06-15,14002712394
2007-06-18,14412007633
2007-06-19,14301257157
2007-06-20,14354224776
2007-06-21,15028358110
2007-06-22,15264304777
2007-06-25,15071695253
2007-06-26,14643139062
2007-06-27,14243474299
2007-06-28,14204952395
2007-06-29,13723428585
2007-07-02,13241904775
2007-07-03,12842240012
2007-07-05,12485912393
2007-07-06,12346270488
2007-07-09,12298118107
2007-07-10,11989942869
2007-07-11,12139215250
2007-07-12,12683337155
2007-07-13,13078186679
2007-07-16,12924099060
2007-07-17,12760380965
2007-07-18,12692967631
2007-07-19,12861500965
2007-07-20,12664076203
2007-07-23,12577401917
2007-07-24,12038095250
2007-07-25,11604723821
2007-07-26,11855116202
2007-07-27,11233950487
2007-07-30,11349516201
2007-07-31,11099123820
2007-08-01,11017264772
2007-08-02,11253211439
2007-08-03,10588708581
2007-08-06,10665752391
2007-08-07,11017264772
2007-08-08,11696213344
2007-08-09,10670567629
2007-08-10,10044586676
2007-08-13,10641676201
2007-08-14,10574262867
2007-08-15,10429805724
2007-08-16,11002819058
2007-08-17,11161721915
2007-08-20,11291733344
2007-08-21,11397668582
2007-08-22,11426560011
2007-08-23,11412114297
2007-08-24,11551756201
2007-08-27,11474712392
2007-08-28,10935405725
2007-08-29,11233950487
2007-08-30,10959481915
2007-08-31,10999768685
2007-09-04,11137622312
2007-09-05,10719307859
2007-09-06,10590961379
2007-09-07,10034793299
2007-09-10,9773346766
2007-09-11,9797114633
2007-09-12,9982503993
2007-09-13,10144125486
2007-09-14,10110850472
2007-09-17,10134618339
2007-09-18,10976000818
2007-09-19,11128115165
2007-09-20,10771597165
2007-09-21,10648004259
2007-09-24,10581454232
2007-09-25,10324761272
2007-09-26,10101343326
2007-09-27,9825636073
2007-09-28,9887432526
2007-10-01,10253457672
2007-10-02,10158386206
2007-10-03,10148879059
2007-10-04,10467368472
2007-10-05,10804872179
2007-10-08,10766843592
2007-10-09,10947479378
2007-10-10,10766843592
2007-10-11,10472122045
2007-10-12,10519657779
2007-10-15,10163139779
2007-10-16,9949228979
2007-10-17,9877925379
2007-10-18,9759086046
2007-10-19,9412075193
2007-10-22,9355032313
2007-10-23,9226685833
2007-10-24,8741821353
2007-10-25,8347274767
2007-10-26,8998514313
2007-10-29,9264714420
2007-10-30,9573696686
2007-10-31,9174396526
2007-11-01,8803617807
2007-11-02,8641996313
