,DHI
2000-01-03,985706681
2000-01-04,947898753
2000-01-05,961401585
2000-01-06,910090826
2000-01-07,945198187
2000-01-10,961401585
2000-01-11,901989127
2000-01-12,893887428
2000-01-13,901989127
2000-01-14,945198187
2000-01-18,896587995
2000-01-19,874983465
2000-01-20,874983465
2000-01-21,864181200
2000-01-24,864181200
2000-01-25,818271573
2000-01-26,831774405
2000-01-27,842576670
2000-01-28,829073838
2000-01-31,864181200
2000-02-01,850678368
2000-02-02,864181200
2000-02-03,907390260
2000-02-04,901989127
2000-02-07,915491958
2000-02-08,920893091
2000-02-09,926294223
2000-02-10,920893091
2000-02-11,896587995
2000-02-14,926294223
2000-02-15,926294223
2000-02-16,869582332
2000-02-17,883085163
2000-02-18,883085163
2000-02-22,874983465
2000-02-23,850678368
2000-02-24,831774405
2000-02-25,837175537
2000-02-28,842576670
2000-02-29,837175537
2000-03-01,896587995
2000-03-02,896587995
2000-03-03,901989127
2000-03-06,883085163
2000-03-07,842576670
2000-03-08,850678368
2000-03-09,888486296
2000-03-10,861480633
2000-03-13,861480633
2000-03-14,837175537
2000-03-15,896587995
2000-03-16,1023514608
2000-03-17,993808380
2000-03-20,1004610645
2000-03-21,993808380
2000-03-22,977604982
2000-03-23,1012712343
2000-03-24,999209512
2000-03-27,985706681
2000-03-28,966802717
2000-03-29,947898753
2000-03-30,993808380
2000-03-31,807815998
2000-04-03,819035665
2000-04-04,803328132
2000-04-05,803328132
2000-04-06,825767465
2000-04-07,839231065
2000-04-10,814547798
2000-04-11,812303865
2000-04-12,830255332
2000-04-13,845962865
2000-04-14,780888798
2000-04-17,756205532
2000-04-18,787620598
2000-04-19,787620598
2000-04-20,753961598
2000-04-24,792108465
2000-04-25,807815998
2000-04-26,814547798
2000-04-27,819035665
2000-04-28,798840265
2000-05-01,803328132
2000-05-02,812303865
2000-05-03,792108465
2000-05-04,814547798
2000-05-05,866158265
2000-05-08,850450732
2000-05-09,877377932
2000-05-10,825767465
2000-05-11,854938598
2000-05-12,884109732
2000-05-15,877377932
2000-05-16,888597598
2000-05-17,857182532
2000-05-18,825767465
2000-05-19,798840265
2000-05-22,792108465
2000-05-23,785376665
2000-05-24,803328132
2000-05-25,812303865
2000-05-26,812303865
2000-05-30,819035665
2000-05-31,807815998
2000-06-01,812303865
2000-06-02,868402198
2000-06-05,845962865
2000-06-06,854938598
2000-06-07,845962865
2000-06-08,841474998
2000-06-09,850450732
2000-06-12,819035665
2000-06-13,834743198
2000-06-14,839231065
2000-06-15,823523532
2000-06-16,850450732
2000-06-19,850450732
2000-06-20,825767465
2000-06-21,834743198
2000-06-22,819035665
2000-06-23,812303865
2000-06-26,825767465
2000-06-27,854938598
2000-06-28,845962865
2000-06-29,866158265
2000-06-30,839139652
2000-07-03,881769741
2000-07-05,910937697
2000-07-06,926643519
2000-07-07,919912453
2000-07-10,924399830
2000-07-11,888500808
2000-07-12,910937697
2000-07-13,881769741
2000-07-14,872794985
2000-07-17,888500808
2000-07-18,895231875
2000-07-19,919912453
2000-07-20,937861964
2000-07-21,946836720
2000-07-24,924399830
2000-07-25,919912453
2000-07-26,962542542
2000-07-27,973760986
2000-07-28,946836720
2000-07-31,958055164
2000-08-01,980492053
2000-08-02,980492053
2000-08-03,1000685253
2000-08-04,1016391076
2000-08-07,1124088143
2000-08-08,1186911433
2000-08-09,1135306588
2000-08-10,1112869699
2000-08-11,1173449299
2000-08-14,1159987166
2000-08-15,1119600766
2000-08-16,1119600766
2000-08-17,1117357077
2000-08-18,1090432810
2000-08-21,1108382321
2000-08-22,1090432810
2000-08-23,1076970676
2000-08-24,1054533787
2000-08-25,1050046409
2000-08-28,1119600766
2000-08-29,1173449299
2000-08-30,1198129877
2000-08-31,1213835700
2000-09-01,1220566767
2000-09-05,1209348322
2000-09-06,1229541522
2000-09-07,1263196856
2000-09-08,1258709478
2000-09-11,1278902678
2000-09-12,1225054144
2000-09-13,1231785211
2000-09-14,1263196856
2000-09-15,1195886189
2000-09-18,1133062899
2000-09-19,1108382321
2000-09-20,1112869699
2000-09-21,1108382321
2000-09-22,1070239610
2000-09-25,1128575521
2000-09-26,1085945432
2000-09-27,1085945432
2000-09-28,1137550277
2000-09-29,1157743477
2000-10-02,1124088143
2000-10-03,1171205611
2000-10-04,1220566767
2000-10-05,1195886189
2000-10-06,1200373566
2000-10-09,1229541522
2000-10-10,1209348322
2000-10-11,1175692988
2000-10-12,1115113388
2000-10-13,1162230855
2000-10-16,1153256099
2000-10-17,1133062899
2000-10-18,1081458054
2000-10-19,1112869699
2000-10-20,1081458054
2000-10-23,1090432810
2000-10-24,1142037655
2000-10-25,1124088143
2000-10-26,1146525033
