,DRI
2000-01-03,1978711500
2000-01-04,1965303000
2000-01-05,2036176500
2000-01-06,2015106000
2000-01-07,1986373499
2000-01-10,2001697499
2000-01-11,2080233000
2000-01-12,2007444000
2000-01-13,2130035999
2000-01-14,2158768500
2000-01-18,2130035999
2000-01-19,2093641500
2000-01-20,2015106000
2000-01-21,2007444000
2000-01-24,1957641000
2000-01-25,1900176000
2000-01-26,1894429500
2000-01-27,1886767500
2000-01-28,1800570000
2000-01-31,1815894000
2000-02-01,1758429000
2000-02-02,1808232000
2000-02-03,1850373000
2000-02-04,1915500000
2000-02-07,1836964500
2000-02-08,1873358999
2000-02-09,1808232000
2000-02-10,1815894000
2000-02-11,1779499499
2000-02-14,1729696499
2000-02-15,1758429000
2000-02-16,1693302000
2000-02-17,1687555500
2000-02-18,1651160999
2000-02-22,1643499000
2000-02-23,1614766500
2000-02-24,1564963500
2000-02-25,1551555000
2000-02-28,1488810960
2000-02-29,1453714920
2000-03-01,1501741080
2000-03-02,1481422320
2000-03-03,1496199600
2000-03-06,1496199600
2000-03-07,1392758640
2000-03-08,1385370000
2000-03-09,1413077400
2000-03-10,1426007520
2000-03-13,1413077400
2000-03-14,1413077400
2000-03-15,1496199600
2000-03-16,1571933160
2000-03-17,1536837120
2000-03-20,1571933160
2000-03-21,1605182040
2000-03-22,1584863280
2000-03-23,1619959320
2000-03-24,1667985480
2000-03-27,1680915600
2000-03-28,1819452600
2000-03-29,1895186160
2000-03-30,1943212320
2000-03-31,1963531080
2000-04-03,1957989600
2000-04-04,2011557240
2000-04-05,2061430560
2000-04-06,1998627120
2000-04-07,1985697000
2000-04-10,2039264639
2000-04-11,2046653280
2000-04-12,2074360680
2000-04-13,1991238480
2000-04-14,1908116280
2000-04-17,1935823680
2000-04-18,1922893560
2000-04-19,1970919720
2000-04-20,2094679440
2000-04-24,2081749320
2000-04-25,2122386840
2000-04-26,2122386840
2000-04-27,2054041919
2000-04-28,2039264639
2000-05-01,2011557240
2000-05-02,1985697000
2000-05-03,1895186160
2000-05-04,1902574800
2000-05-05,1998627120
2000-05-08,1950600960
2000-05-09,1985697000
2000-05-10,1991238480
2000-05-11,2054041919
2000-05-12,2046653280
2000-05-15,2033723160
2000-05-16,2109456720
2000-05-17,2061430560
2000-05-18,2061430560
2000-05-19,2018945880
2000-05-22,2018945880
2000-05-23,2066972040
2000-05-24,2114998199
2000-05-25,2046653280
2000-05-26,2081749320
2000-05-30,1999928040
2000-05-31,1870488759
2000-06-01,1850434786
2000-06-02,1843142433
2000-06-05,1823088460
2000-06-06,1823088460
2000-06-07,1830380813
2000-06-08,1830380813
2000-06-09,1803034486
2000-06-12,1803034486
2000-06-13,1803034486
2000-06-14,1788449779
2000-06-15,1830380813
2000-06-16,1843142433
2000-06-19,1775688160
2000-06-20,1720995506
2000-06-21,1706410798
2000-06-22,1741049479
2000-06-23,1808503752
2000-06-26,1788449779
2000-06-27,1808503752
2000-06-28,1720995506
2000-06-29,1761103452
2000-06-30,1768395806
2000-07-03,1788449779
2000-07-05,1782980513
2000-07-06,1843142433
2000-07-07,1897835086
2000-07-10,1863196406
2000-07-11,1925181413
2000-07-12,1917889059
2000-07-13,1883250379
2000-07-14,1877781113
2000-07-17,1890542733
2000-07-18,1850434786
2000-07-19,1850434786
2000-07-20,1863196406
2000-07-21,1857727140
2000-07-24,1843142433
2000-07-25,1843142433
2000-07-26,1992635686
2000-07-27,1945235386
2000-07-28,1877781113
2000-07-31,1775688160
2000-08-01,1830380813
2000-08-02,1815796106
2000-08-03,1808503752
2000-08-04,1905127440
2000-08-07,1883250379
2000-08-08,1863196406
2000-08-09,1843142433
2000-08-10,1830380813
2000-08-11,1830380813
2000-08-14,1843142433
2000-08-15,1823088460
2000-08-16,1843142433
2000-08-17,1857727140
2000-08-18,1857727140
2000-08-21,1897835086
2000-08-22,1897835086
2000-08-23,1830380813
2000-08-24,1890542733
2000-08-25,1965289359
2000-08-28,1883256000
2000-08-29,1883256000
2000-08-30,1877864999
2000-08-31,1897632000
2000-09-01,1924587000
2000-09-05,1897632000
2000-09-06,1917399000
2000-09-07,1863488999
2000-09-08,1856301000
2000-09-11,1856301000
2000-09-12,1850910000
2000-09-13,1877864999
2000-09-14,1836534000
2000-09-15,1917399000
2000-09-18,1850910000
2000-09-19,1856301000
2000-09-20,1991076000
2000-09-21,2158197000
2000-09-22,2179761000
2000-09-25,2185152000
2000-09-26,2204919000
2000-09-27,2199528000
2000-09-28,2253438000
2000-09-29,2231874000
2000-10-02,2253438000
2000-10-03,2246250000
2000-10-04,2258829000
2000-10-05,2312739000
2000-10-06,2280393000
2000-10-09,2258829000
2000-10-10,2280393000
2000-10-11,2292972000
2000-10-12,2199528000
2000-10-13,2246250000
2000-10-16,2327115000
2000-10-17,2246250000
2000-10-18,2266017000
2000-10-19,2231874000
2000-10-20,2305551000
2000-10-23,2400792000
2000-10-24,2379228000
2000-10-25,2319927000
2000-10-26,2253438000
2000-10-27,2406183000
2000-10-30,2400792000
2000-10-31,2413371000
2000-11-01,2413371000
2000-11-02,2400792000
2000-11-03,2567913000
2000-11-06,2521191000
2000-11-07,2467281000
2000-11-08,2447514000
2000-11-09,2440326000
2000-11-10,2467281000
2000-11-13,2540958000
2000-11-14,2521191000
2000-11-15,2548146000
2000-11-16,2567913000
2000-11-17,2634402000
2000-11-20,2715267000
2000-11-21,2761989000
2000-11-22,2788944000
2000-11-24,2776365000
2000-11-27,2796132000
2000-11-28,2788944000
2000-11-29,2796132000
2000-11-30,2828478000
2000-12-01,2850042000
2000-12-04,2855433000
2000-12-05,2788944000
2000-12-06,2754801000
2000-12-07,2754801000
2000-12-08,2729643000
2000-12-11,2668545000
2000-12-12,2681124000
2000-12-13,2688312000
2000-12-14,2681124000
2000-12-15,2654169000
2000-12-18,2749410000
2000-12-19,2641590000
2000-12-20,2487048000
2000-12-21,2521191000
2000-12-22,2400792000
2000-12-26,2266017000
2000-12-27,2413371000
2000-12-28,2467281000
2000-12-29,2454702000
2001-01-02,2427747000
2001-01-03,2447514000
2001-01-04,2427747000
2001-01-05,2413371000
2001-01-08,2406183000
2001-01-09,2366649000
2001-01-10,2266017000
2001-01-11,2212107000
2001-01-12,2172573000
2001-01-16,2199528000
2001-01-17,2185152000
2001-01-18,2179761000
2001-01-19,2185152000
2001-01-22,2199528000
2001-01-23,2246250000
2001-01-24,2239062000
2001-01-25,2266017000
2001-01-26,2226483000
2001-01-29,2251641000
2001-01-30,2289378000
2001-01-31,2318130000
2001-02-01,2255235000
2001-02-02,2143821000
2001-02-05,2113272000
2001-02-06,2239062000
2001-02-07,2402589000
2001-02-08,2312739000
2001-02-09,2372040000
2001-02-12,2393604000
2001-02-13,2346882000
2001-02-14,2332506000
2001-02-15,2363055000
2001-02-16,2363055000
2001-02-20,2341491000
2001-02-21,2280393000
2001-02-22,2233671000
2001-02-23,2253438000
2001-02-26,2216832000
2001-02-27,2236262400
2001-02-28,2291020800
2001-03-01,2291020800
2001-03-02,2296320000
2001-03-05,2238028800
2001-03-06,2238028800
2001-03-07,2425267200
2001-03-08,2467660800
2001-03-09,2458828800
2001-03-12,2476492800
2001-03-13,2439398400
2001-03-14,2412902400
2001-03-15,2441164800
2001-03-16,2457062400
2001-03-19,2504755200
2001-03-20,2442931200
2001-03-21,2427033600
2001-03-22,2430566400
2001-03-23,2455296000
2001-03-26,2513587200
2001-03-27,2552448000
2001-03-28,2527718400
2001-03-29,2527718400
2001-03-30,2504755200
2001-04-02,2531251200
2001-04-03,2471193600
2001-04-04,2499456000
2001-04-05,2541849600
2001-04-06,2518886400
2001-04-09,2661964800
2001-04-10,2679628800
2001-04-11,2639001600
2001-04-12,2631936000
2001-04-16,2690227200
2001-04-17,2773248000
2001-04-18,2782080000
2001-04-19,2744985600
2001-04-20,2760883200
2001-04-23,2782080000
2001-04-24,2752051200
2001-04-25,2838604800
2001-04-26,2820940800
2001-04-27,2858035200
2001-04-30,2879232000
2001-05-01,2858035200
2001-05-02,2805043200
2001-05-03,2744985600
2001-05-04,2882764800
2001-05-07,2928691199
2001-05-08,2965785600
2001-05-09,3052339200
2001-05-10,2967552000
2001-05-11,2928691199
2001-05-14,2889830400
2001-05-15,2967552000
2001-05-16,2997580800
2001-05-17,3052339200
2001-05-18,3031142400
2001-05-21,3057638400
2001-05-22,3085900800
2001-05-23,3025843200
2001-05-24,3011712000
2001-05-25,3047040000
2001-05-29,2993964017
2001-05-30,3016845577
2001-05-31,2932359820
2001-06-01,2890116941
2001-06-04,2897157421
2001-06-05,2890116941
2001-06-06,2775709145
2001-06-07,2692983508
2001-06-08,2673622188
2001-06-11,2691223388
2001-06-12,2689463268
2001-06-13,2694743628
2001-06-14,2634899550
2001-06-15,2608497751
2001-06-18,2624338830
2001-06-19,2640179910
2001-06-20,2712344827
2001-06-21,2740506746
2001-06-22,2668341829
2001-06-25,2663061469
2001-06-26,2768668665
2001-06-27,2847874062
2001-06-28,3046767616
2001-06-29,2932359820
2001-07-02,2985163418
2001-07-03,3013325337
2001-07-05,3022125936
2001-07-06,2949961019
2001-07-09,3030926536
2001-07-10,3009805097
2001-07-11,3080209895
2001-07-12,3143574212
2001-07-13,3104851574
2001-07-16,3221019490
2001-07-17,3361829085
2001-07-18,3250941529
2001-07-19,3256221889
2001-07-20,3323106446
2001-07-23,3345988005
2001-07-24,3219259370
2001-07-25,3226299850
2001-07-26,3203418290
2001-07-27,3050287856
2001-07-30,3141814092
2001-07-31,3141814092
2001-08-01,3148854572
2001-08-02,3120692653
2001-08-03,3173496251
2001-08-06,3136533733
2001-08-07,2832032983
2001-08-08,2891877061
2001-08-09,2949961019
2001-08-10,2921799100
2001-08-13,2891877061
2001-08-14,2884836581
2001-08-15,2868995502
2001-08-16,2949961019
2001-08-17,2911238380
2001-08-20,2957001499
2001-08-21,2964041978
2001-08-22,2932359820
2001-08-23,2967562218
2001-08-24,3001004497
2001-08-27,2950368000
2001-08-28,2918832000
2001-08-29,2957376000
2001-08-30,3006432000
2001-08-31,2992415999
2001-09-04,3016944000
2001-09-05,3015192000
2001-09-06,2897808000
2001-09-07,2811960000
2001-09-10,2808456000
2001-09-17,2601720000
2001-09-18,2622744000
2001-09-19,2510616000
2001-09-20,2592960000
2001-09-21,2647272000
2001-09-24,2750640000
2001-09-25,2720856000
2001-09-26,2727864000
2001-09-27,2713848000
2001-09-28,2745384000
2001-10-01,2668296000
2001-10-02,2696328000
2001-10-03,2960879999
2001-10-04,3066000000
2001-10-05,3120312000
2001-10-08,3064247999
2001-10-09,2999424000
2001-10-10,3090528000
2001-10-11,3137832000
2001-10-12,3148344000
2001-10-15,3148344000
2001-10-16,3172872000
2001-10-17,3092279999
2001-10-18,3127320000
2001-10-19,3157104000
2001-10-22,3153600000
2001-10-23,3183384000
2001-10-24,3151847999
2001-10-25,3188640000
2001-10-26,3260472000
2001-10-29,3239447999
2001-10-30,3158856000
2001-10-31,3348072000
2001-11-01,3286752000
2001-11-02,3309528000
2001-11-05,3309528000
2001-11-06,3353328000
2001-11-07,3346320000
2001-11-08,3325296000
2001-11-09,3272736000
2001-11-12,3283247999
2001-11-13,3283247999
2001-11-14,3309528000
2001-11-15,3325296000
2001-11-16,3216672000
2001-11-19,3248208000
2001-11-20,3242952000
2001-11-21,3227184000
2001-11-23,3216672000
2001-11-26,3213918000
2001-11-27,3175407000
2001-11-28,3182409000
2001-11-29,3189411000
2001-11-30,3212167500
2001-12-03,3243676500
2001-12-04,3366211500
2001-12-05,3544762500
2001-12-06,3490497000
2001-12-07,3515003999
2001-12-10,3560517000
2001-12-11,3613032000
2001-12-12,3509752500
2001-12-13,3578022000
2001-12-14,3800335500
2001-12-17,3767076000
2001-12-18,3772327500
2001-12-19,3733816499
2001-12-20,3670798500
2001-12-21,3725064000
2001-12-24,3733816499
2001-12-26,3758323500
2001-12-27,3761824499
2001-12-28,3775828500
2001-12-31,3698806500
2002-01-02,3655044000
2002-01-03,3765325500
2002-01-04,3985888500
2002-01-07,3887860500
2002-01-08,3886110000
2002-01-09,3898363500
2002-01-10,3908866499
2002-01-11,3919369500
2002-01-14,3882609000
2002-01-15,3910617000
2002-01-16,3880858500
2002-01-17,3985888500
2002-01-18,3973635000
2002-01-22,4050657000
2002-01-23,4075164000
2002-01-24,4034902500
2002-01-25,3924621000
2002-01-28,3919369500
2002-01-29,3884359500
2002-01-30,4122427500
2002-01-31,4304479500
2002-02-01,4174942500
2002-02-04,4180194000
2002-02-05,4225707000
2002-02-06,4138182000
2002-02-07,4178443500
2002-02-08,4197699000
2002-02-11,4313232000
2002-02-12,4244962500
2002-02-13,4241461500
2002-02-14,4330737000
2002-02-15,4286974499
2002-02-19,4299228000
2002-02-20,4367497500
2002-02-21,4400757000
2002-02-22,4444519500
2002-02-25,4688006000
2002-02-26,4627880000
2002-02-27,4626058000
2002-02-28,4598728000
2002-03-01,4647922000
2002-03-04,4737200000
2002-03-05,4675252000
2002-03-06,4786394000
2002-03-07,4606016000
2002-03-08,4438392000
2002-03-11,4219752000
2002-03-12,4068525999
2002-03-13,4090390000
2002-03-14,4181490000
2002-03-15,4241616000
2002-03-18,4290810000
2002-03-19,4270768000
2002-03-20,4279877999
2002-03-21,4150516000
2002-03-22,4114075999
2002-03-25,4028442000
2002-03-26,4185134000
2002-03-27,4318140000
2002-03-28,4414706000
2002-04-01,4236150000
2002-04-02,4157804000
2002-04-03,4059416000
2002-04-04,4163270000
2002-04-05,4267124000
2002-04-08,4294454000
2002-04-09,4347292000
2002-04-10,4370978000
2002-04-11,4329072000
2002-04-12,4350936000
2002-04-15,4340004000
2002-04-16,4285344000
2002-04-17,4232506000
2002-04-18,4223396000
2002-04-19,4219752000
2002-04-22,4287166000
2002-04-23,4381910000
2002-04-24,4380088000
2002-04-25,4432926000
2002-04-26,4321784000
2002-04-29,4288988000
2002-04-30,4340004000
2002-05-01,4210642000
2002-05-02,4287166000
2002-05-03,4155982000
2002-05-06,4134118000
2002-05-07,4228862000
2002-05-08,4130474000
2002-05-09,4079458000
2002-05-10,4024798000
2002-05-13,4055772000
2002-05-14,4063060000
2002-05-15,4070348000
2002-05-16,4012044000
2002-05-17,4112254000
2002-05-20,4086746000
2002-05-21,4137762000
2002-05-22,4104966000
2002-05-23,4108610000
2002-05-24,4083102000
2002-05-28,3770052000
2002-05-29,3835260000
2002-05-30,3836976000
2002-05-31,3861000000
2002-06-03,3759756000
2002-06-04,3742596000
2002-06-05,3852420000
2002-06-06,3871296000
2002-06-07,3922776000
2002-06-10,3938220000
2002-06-11,3982836000
2002-06-12,3970824000
2002-06-13,3963960000
2002-06-14,3934788000
2002-06-17,4032600000
2002-06-18,4128696000
2002-06-19,4209348000
2002-06-20,4138992000
2002-06-21,3861000000
2002-06-24,3694548000
2002-06-25,3600168000
2002-06-26,3545256000
2002-06-27,3804372000
2002-06-28,3795792000
2002-07-01,3612180000
2002-07-02,3526380000
2002-07-03,3337620000
2002-07-05,3560700000
2002-07-08,3468036000
2002-07-09,3329039999
2002-07-10,3401112000
2002-07-11,3346200000
2002-07-12,3226080000
2002-07-15,3181464000
2002-07-16,3253536000
2002-07-17,3238092000
2002-07-18,3265548000
2002-07-19,3188327999
2002-07-22,3044183999
2002-07-23,3150576000
2002-07-24,3387383999
2002-07-25,3519516000
2002-07-26,3401112000
2002-07-29,3546972000
2002-07-30,3548688000
2002-07-31,3567564000
2002-08-01,3461172000
2002-08-02,3303300000
2002-08-05,3301583999
2002-08-06,3315312000
2002-08-07,3315312000
2002-08-08,3401112000
2002-08-09,3447444000
2002-08-12,3476616000
2002-08-13,3365076000
2002-08-14,3421704000
2002-08-15,3615612000
2002-08-16,3583008000
2002-08-19,3742596000
2002-08-20,3591588000
2002-08-21,3646500000
2002-08-22,3703127999
2002-08-23,3811236000
2002-08-26,3826451000
2002-08-27,3886265999
2002-08-28,3937536000
2002-08-29,4014440999
2002-08-30,3922155000
2002-09-03,3723911000
2002-09-04,3824742000
2002-09-05,3747837000
2002-09-06,3809361000
2002-09-09,3833287000
2002-09-10,3703403000
2002-09-11,3681186000
2002-09-12,3556429000
2002-09-13,3590609000
2002-09-16,3595736000
2002-09-17,3465852000
2002-09-18,3604281000
2002-09-19,3688021999
2002-09-20,3578646000
2002-09-23,3517121999
2002-09-24,3527376000
2002-09-25,3790562000
2002-09-26,3896520000
2002-09-27,3764927000
2002-09-30,3710239000
2002-10-01,3693149000
2002-10-02,3539339000
2002-10-03,3517121999
2002-10-04,3438508000
2002-10-07,3378693000
2002-10-08,3537630000
2002-10-09,3418000000
2002-10-10,3358184999
