,DVA
2000-01-03,528962576
2000-01-04,519345000
2000-01-05,476066250
2000-01-06,461640000
2000-01-07,509727423
2000-01-10,519345000
2000-01-11,514536326
2000-01-12,509727423
2000-01-13,533771250
2000-01-14,553006173
2000-01-18,553006173
2000-01-19,375082500
2000-01-20,408743673
2000-01-21,442405076
2000-01-24,384700076
2000-01-25,379891173
2000-01-26,379891173
2000-01-27,365464923
2000-01-28,351038673
2000-01-31,355847576
2000-02-01,351038673
2000-02-02,360656250
2000-02-03,351038673
2000-02-04,336612423
2000-02-07,336612423
2000-02-08,336612423
2000-02-09,326995076
2000-02-10,307759923
2000-02-11,312568826
2000-02-14,288525000
2000-02-15,298142576
2000-02-16,298142576
2000-02-17,302951250
2000-02-18,293333673
2000-02-22,293333673
2000-02-23,298142576
2000-02-24,298142576
2000-02-25,269290076
2000-02-28,240437576
2000-02-29,230820000
2000-03-01,221202423
2000-03-02,240437576
2000-03-03,230820000
2000-03-06,269290076
2000-03-07,269290076
2000-03-08,264481173
2000-03-09,254863826
2000-03-10,240437576
2000-03-13,221202423
2000-03-14,230820000
2000-03-15,206776173
2000-03-16,221202423
2000-03-17,221202423
2000-03-20,206776173
2000-03-21,197158826
2000-03-22,197158826
2000-03-23,197158826
2000-03-24,230820000
2000-03-27,201967500
2000-03-28,201967500
2000-03-29,206776173
2000-03-30,226011326
2000-03-31,254763325
2000-04-03,244572714
2000-04-04,249667897
2000-04-05,249667897
2000-04-06,254763325
2000-04-07,259858508
2000-04-10,285334914
2000-04-11,361763887
2000-04-12,285334914
2000-04-13,270049119
2000-04-14,219096308
2000-04-17,224191736
2000-04-18,244572714
2000-04-19,254763325
2000-04-20,239477530
2000-04-24,234382102
2000-04-25,224191736
2000-04-26,229286919
2000-04-27,219096308
2000-04-28,234382102
2000-05-01,244572714
2000-05-02,239477530
2000-05-03,234382102
2000-05-04,229286919
2000-05-05,239477530
2000-05-08,224191736
2000-05-09,214001124
2000-05-10,224191736
2000-05-11,336287481
2000-05-12,336287481
2000-05-15,351573276
2000-05-16,356668459
2000-05-17,346478093
2000-05-18,351573276
2000-05-19,351573276
2000-05-22,326096870
2000-05-23,295525281
2000-05-24,300620709
2000-05-25,295525281
2000-05-26,315906503
2000-05-30,336287481
2000-05-31,321001687
2000-06-01,321001687
2000-06-02,326096870
2000-06-05,326096870
2000-06-06,341382665
2000-06-07,356668459
2000-06-08,326096870
2000-06-09,321001687
2000-06-12,315906503
2000-06-13,346478093
2000-06-14,412716454
2000-06-15,443288044
2000-06-16,433097432
2000-06-19,478954816
2000-06-20,453478655
2000-06-21,438192860
2000-06-22,453478655
2000-06-23,443288044
2000-06-26,438192860
2000-06-27,473859633
2000-06-28,468764450
2000-06-29,463669022
2000-06-30,483000000
2000-07-03,493062580
2000-07-05,513187500
2000-07-06,543375000
2000-07-07,553437580
2000-07-10,603750000
2000-07-11,558468750
2000-07-12,583625080
2000-07-13,598718830
2000-07-14,598718830
2000-07-17,603750000
2000-07-18,603750000
2000-07-19,593687419
2000-07-20,603750000
2000-07-21,578593669
2000-07-24,543375000
2000-07-25,518218669
2000-07-26,513187500
2000-07-27,498093750
2000-07-28,513187500
2000-07-31,613812580
2000-08-01,603750000
2000-08-02,608781169
2000-08-03,593687419
2000-08-04,603750000
2000-08-07,578593669
2000-08-08,578593669
2000-08-09,558468750
2000-08-10,528281250
2000-08-11,538343830
2000-08-14,528281250
2000-08-15,503124919
2000-08-16,528281250
2000-08-17,528281250
2000-08-18,513187500
2000-08-21,533312419
2000-08-22,513187500
2000-08-23,503124919
2000-08-24,498093750
2000-08-25,493062580
2000-08-28,508156330
2000-08-29,518218669
2000-08-30,548406169
2000-08-31,563499919
2000-09-01,543375000
2000-09-05,548406169
2000-09-06,518218669
2000-09-07,528281250
2000-09-08,528281250
2000-09-11,528281250
2000-09-12,523250080
2000-09-13,558468750
2000-09-14,568531330
2000-09-15,578593669
2000-09-18,548406169
2000-09-19,553437580
2000-09-20,548406169
2000-09-21,528281250
2000-09-22,523250080
2000-09-25,528281250
2000-09-26,508156330
2000-09-27,508156330
2000-09-28,553437580
2000-09-29,603750000
2000-10-02,672485585
2000-10-03,687886016
2000-10-04,682752375
2000-10-05,785422000
2000-10-06,841890330
2000-10-09,847023725
2000-10-10,893225019
2000-10-11,841890330
2000-10-12,816222862
2000-10-13,811089467
2000-10-16,811089467
2000-10-17,816222862
2000-10-18,882957983
2000-10-19,862424157
2000-10-20,877824588
2000-10-23,877824588
2000-10-24,888091624
2000-10-25,893225019
2000-10-26,903492056
2000-10-27,934292918
2000-10-30,913758846
2000-10-31,924025882
2000-11-01,877824588
2000-11-02,903492056
2000-11-03,939426313
2000-11-06,913758846
2000-11-07,965093781
2000-11-08,980494213
2000-11-09,985627608
2000-11-10,949693350
2000-11-13,898358414
2000-11-14,954826745
2000-11-15,949693350
2000-11-16,929159277
2000-11-17,939426313
2000-11-20,898358414
2000-11-21,903492056
2000-11-22,872691193
2000-11-24,913758846
2000-11-27,898358414
2000-11-28,898358414
2000-11-29,903492056
2000-11-30,867557551
2000-12-01,908625451
2000-12-04,903492056
2000-12-05,929159277
2000-12-06,1001028039
2000-12-07,1067763159
2000-12-08,1072896801
2000-12-11,1144765316
2000-12-12,1134498526
2000-12-13,1129364885
2000-12-14,1124231490
2000-12-15,1067763159
2000-12-18,1149898958
2000-12-19,1267968767
2000-12-20,1242301546
2000-12-21,1237167904
2000-12-22,1309036666
2000-12-26,1344970924
2000-12-27,1350104566
2000-12-28,1437373512
2000-12-29,1406572650
2001-01-02,1325088098
2001-01-03,1453987629
2001-01-04,1376647861
2001-01-05,1386959912
2001-01-08,1386959912
2001-01-09,1433363773
2001-01-10,1464299680
2001-01-11,1510703540
2001-01-12,1484923536
2001-01-16,1536483298
2001-01-17,1526171494
2001-01-18,1381803763
2001-01-19,1325088098
2001-01-22,1381803763
2001-01-23,1397271717
2001-01-24,1417895819
2001-01-25,1407583768
2001-01-26,1428207624
2001-01-29,1545970474
2001-01-30,1502247643
2001-01-31,1612792034
2001-02-01,1605367416
2001-02-02,1546795350
2001-02-05,1278684238
2001-02-06,1336431182
2001-02-07,1340556052
2001-02-08,1311682456
2001-02-09,1241561150
2001-02-12,1204438061
2001-02-13,1270434498
2001-02-14,1243210900
2001-02-15,1247335770
2001-02-16,1303432964
2001-02-20,1286933731
2001-02-21,1261360130
2001-02-22,1314982204
2001-02-23,1315807326
2001-02-26,1395003248
2001-02-27,1440375829
2001-02-28,1450275320
2001-03-01,1458524812
2001-03-02,1427176592
2001-03-05,1425526594
2001-03-06,1419751974
2001-03-07,1402427866
2001-03-08,1403252741
2001-03-09,1385928633
2001-03-12,1361179908
2001-03-13,1376029143
2001-03-14,1376854018
2001-03-15,1385103758
2001-03-16,1319107074
2001-03-19,1299308094
2001-03-20,1307557586
2001-03-21,1319931949
2001-03-22,1270434498
2001-03-23,1322406822
2001-03-26,1356230162
2001-03-27,1352930415
2001-03-28,1335606307
2001-03-29,1381803763
2001-03-30,1400777868
2001-04-02,1413939200
