,DYN
2020-09-17,1075601503
2020-09-18,1017095982
2020-09-21,990093434
2020-09-22,1032847468
2020-09-23,1001344495
2020-09-24,992793688
2020-09-25,990093434
2020-09-28,967591310
2020-09-29,900084940
2020-09-30,909730993
2020-10-01,879541802
2020-10-02,858364310
2020-10-05,852506706
2020-10-06,848902026
2020-10-07,844396177
2020-10-08,855660801
2020-10-09,839890328
2020-10-12,855210216
2020-10-13,857463140
2020-10-14,796634173
2020-10-15,773203757
2020-10-16,784918965
2020-10-19,772753172
2020-10-20,757433284
2020-10-21,770049662
2020-10-22,767796737
2020-10-23,770500247
2020-10-26,792578909
2020-10-27,818262251
2020-10-28,777259021
2020-10-29,885399407
2020-10-30,931809655
2020-11-02,950734223
2020-11-03,1078700346
2020-11-04,957943582
2020-11-05,959295337
2020-11-06,909730993
2020-11-09,900719295
2020-11-10,865573669
2020-11-11,912434503
2020-11-12,898466370
2020-11-13,870079519
2020-11-16,847099687
2020-11-17,856111386
2020-11-18,853858461
2020-11-19,869628934
2020-11-20,874134783
2020-11-23,854759631
2020-11-24,881344142
2020-11-25,883597067
2020-11-27,896664030
2020-11-30,908379239
2020-12-01,980923414
2020-12-02,927303806
2020-12-03,935864920
2020-12-04,943975449
2020-12-07,933161410
2020-12-08,938117845
2020-12-09,908379239
2020-12-10,878190048
2020-12-11,866024254
2020-12-14,910632163
2020-12-15,921446202
2020-12-16,914236843
2020-12-17,911983918
2020-12-18,953437733
2020-12-21,948931883
2020-12-22,973263470
2020-12-23,1058874609
2020-12-24,1015167869
2020-12-28,1055720514
2020-12-29,1002100906
2020-12-30,996243302
2020-12-31,1038922437
2021-01-04,940472167
2021-01-05,933546018
2021-01-06,1059700885
2021-01-07,1148751380
2021-01-08,1342188843
2021-01-11,1330810169
2021-01-12,1421839563
2021-01-13,1449544162
2021-01-14,1437176037
2021-01-15,1415408139
2021-01-19,1432723513
2021-01-20,1411450339
2021-01-21,1050795836
2021-01-22,999344439
2021-01-25,985492140
2021-01-26,926125143
2021-01-27,910293944
2021-01-28,924640968
2021-01-29,956303367
2021-02-01,939482718
2021-02-02,1006270588
2021-02-03,1008744213
2021-02-04,1026554312
2021-02-05,1013691463
2021-02-08,1004786414
2021-02-09,964218966
2021-02-10,926125143
2021-02-11,930577668
2021-02-12,920683169
2021-02-16,914251744
2021-02-17,921177894
2021-02-18,957292816
2021-02-19,929588218
2021-02-22,973618740
2021-02-23,948882492
2021-02-24,1000828614
2021-02-25,956798091
2021-02-26,913757019
2021-03-01,876157921
2021-03-02,879126271
2021-03-03,825201249
2021-03-04,776718202
2021-03-05,771770953
2021-03-08,791559952
2021-03-09,773749853
2021-03-10,754455579
2021-03-11,810359500
2021-03-12,833116849
2021-03-15,829653774
2021-03-16,822727625
2021-03-17,819759275
2021-03-18,797001926
2021-03-19,782160177
2021-03-22,782160177
2021-03-23,751981954
2021-03-24,692614958
2021-03-25,726256255
2021-03-26,727740430
2021-03-29,723287906
2021-03-30,753466129
2021-03-31,795388424
2021-04-01,816387088
2021-04-05,880407406
2021-04-06,842507378
2021-04-07,841995215
2021-04-08,857872254
2021-04-09,857872254
2021-04-12,855311441
2021-04-13,865554692
2021-04-14,878870918
2021-04-15,897820932
2021-04-16,893723632
2021-04-19,915746621
2021-04-20,887577681
2021-04-21,882968218
2021-04-22,877846593
