,EBAY
2000-01-03,57694366080
2000-01-04,52258826880
2000-01-05,55753102080
2000-01-06,55131897600
2000-01-07,55054247040
2000-01-10,58082618880
2000-01-11,56840209920
2000-01-12,53268284160
2000-01-13,56296656000
2000-01-14,54665994240
2000-01-18,56995511040
2000-01-19,58703823360
2000-01-20,63285206400
2000-01-21,61499243520
2000-01-24,55675451520
2000-01-25,56141354880
2000-01-26,62741652480
2000-01-27,62896953600
2000-01-28,60256834560
2000-01-31,61266291840
2000-02-01,61654544640
2000-02-02,61654544640
2000-02-03,67400686080
2000-02-04,68643095040
2000-02-07,69264299520
2000-02-08,69341950080
2000-02-09,67012433280
2000-02-10,66313578239
2000-02-11,62664001920
2000-02-14,62974604159
2000-02-15,60645087360
2000-02-16,57461414400
2000-02-17,59325027840
2000-02-18,56063704320
2000-02-22,54976596480
2000-02-23,63285206400
2000-02-24,67012433280
2000-02-25,61576894080
2000-02-28,59247377280
2000-02-29,58548522240
2000-03-01,60955689600
2000-03-02,61343942400
2000-03-03,61110990720
2000-03-06,66002976000
2000-03-07,66546529920
2000-03-08,75165742080
2000-03-09,74544537600
2000-03-10,78970619520
2000-03-13,85648567680
2000-03-14,86192121600
2000-03-15,77417608320
2000-03-16,89686396800
2000-03-17,89453445120
2000-03-20,80135377920
2000-03-21,87589831680
2000-03-22,95044285440
2000-03-23,91317058560
2000-03-24,99548017920
2000-03-27,97995006720
2000-03-28,91394709120
2000-03-29,81300136320
2000-03-30,84639110400
2000-03-31,37014516480
2000-04-03,30139249920
2000-04-04,35135809920
2000-04-05,34895975040
2000-04-06,38253663360
2000-04-07,38053800960
2000-04-10,32737461119
2000-04-11,32697488640
2000-04-12,30139249920
2000-04-13,29179910400
2000-04-14,29339800320
2000-04-17,30139249920
2000-04-18,34256415360
2000-04-19,31618231680
2000-04-20,31578259200
2000-04-24,29819470080
2000-04-25,32297763840
2000-04-26,31378396800
2000-04-27,34056552960
2000-04-28,33456965759
2000-05-01,32737461119
2000-05-02,30139249920
2000-05-03,29459717760
2000-05-04,28780185600
2000-05-05,28180598400
2000-05-08,27021396480
2000-05-09,25502442240
2000-05-10,23343928320
2000-05-11,24742965120
2000-05-12,25502442240
2000-05-15,26821534080
2000-05-16,28380460800
2000-05-17,26941451520
2000-05-18,26102029440
2000-05-19,24862882560
2000-05-22,28620295680
2000-05-23,24383212800
2000-05-24,27341176320
2000-05-25,25462469760
2000-05-26,26062056960
2000-05-30,28180598400
2000-05-31,26301891840
2000-06-01,28340488320
2000-06-02,32457653759
2000-06-05,31738149120
2000-06-06,30219194880
2000-06-07,31818094080
2000-06-08,30139249920
2000-06-09,30778809600
2000-06-12,28100653440
2000-06-13,28580323200
2000-06-14,26381836800
2000-06-15,26941451520
2000-06-16,25702304640
2000-06-19,25182662400
2000-06-20,26221946880
2000-06-21,25982112000
2000-06-22,24463157760
2000-06-23,22664396160
2000-06-26,22064808960
2000-06-27,22064808960
2000-06-28,21864946560
2000-06-29,21745029120
2000-06-30,5841124440
2000-07-03,5687679840
2000-07-05,5442168480
2000-07-06,5493316680
2000-07-07,5350101720
2000-07-10,5176197840
2000-07-11,4726093680
2000-07-12,5667220560
2000-07-13,5749057680
2000-07-14,6587888160
2000-07-17,6475362120
2000-07-18,6188932200
2000-07-19,6117324720
2000-07-20,6567428880
2000-07-21,6321917520
2000-07-24,5933191200
2000-07-25,6055946880
2000-07-26,5667220560
2000-07-27,5350101720
2000-07-28,5043212520
2000-07-31,5380790640
2000-08-01,5227346040
2000-08-02,5258034960
2000-08-03,5380790640
2000-08-04,5462627760
2000-08-07,5380790640
2000-08-08,5411479560
2000-08-09,5370561000
2000-08-10,5258034960
2000-08-11,5217116400
2000-08-14,5186427480
2000-08-15,5585383440
2000-08-16,6188932200
2000-08-17,6792480960
2000-08-18,5922961560
2000-08-21,6045717240
2000-08-22,6107095080
2000-08-23,6219621120
2000-08-24,6608347440
2000-08-25,6690184560
2000-08-28,6772021680
2000-08-29,6577658520
2000-08-30,6567428880
2000-08-31,6669725280
2000-09-01,6772021680
2000-09-05,7263044400
2000-09-06,7068681240
2000-09-07,7170977640
2000-09-08,7078910880
2000-09-11,6966384840
2000-09-12,6690184560
2000-09-13,6731103120
2000-09-14,7365340800
2000-09-15,7263044400
2000-09-18,7109599800
2000-09-19,7068681240
2000-09-20,8245089840
2000-09-21,7662000360
2000-09-22,7733607840
