,EC
2008-09-18,37993929039
2008-09-19,41831699649
2008-09-22,41371167175
2008-09-23,38300950687
2008-09-24,37533396565
2008-09-25,39513686200
2008-09-26,39145260222
2008-09-29,36105745898
2008-09-30,36842597856
2008-10-01,48668196377
2008-10-02,46948114592
2008-10-03,49578827910
2008-10-06,45308977833
2008-10-07,43103225897
2008-10-08,38044161825
2008-10-09,40472512580
2008-10-10,36425261322
2008-10-13,42030704314
2008-10-14,40533221348
2008-10-15,37942980543
2008-10-16,37275184086
2008-10-17,37437074136
2008-10-20,39541644790
2008-10-21,37942980543
2008-10-22,35413448507
2008-10-23,35251558457
2008-10-24,31872103656
2008-10-27,30435329460
2008-10-28,32357773807
2008-10-29,34543289487
2008-10-30,34401635693
2008-10-31,34300454411
2008-11-03,33895729285
2008-11-04,36829986447
2008-11-05,33895729285
2008-11-06,34381399436
2008-11-07,35332503482
2008-11-10,33369586622
2008-11-11,34462344461
2008-11-12,34401635693
2008-11-13,34603998255
2008-11-14,35615811070
2008-11-17,35818173633
2008-11-18,34340926924
2008-11-19,32378010064
2008-11-20,33875493029
2008-11-21,30759109560
2008-11-24,35393212251
2008-11-25,31730449862
2008-11-26,36627623884
2008-11-28,35555102301
2008-12-01,33976674310
2008-12-02,34603998255
2008-12-03,35190849688
2008-12-04,34421871949
2008-12-05,34907542100
2008-12-08,36182426246
2008-12-09,35534866045
2008-12-10,35372975994
2008-12-11,36829986447
2008-12-12,36425261322
2008-12-15,37639436699
2008-12-16,38651249513
2008-12-17,38145343106
2008-12-18,36425261322
2008-12-19,43507951023
2008-12-22,38853612076
2008-12-23,38752430795
2008-12-24,36627623884
2008-12-26,37234711573
2008-12-29,36101481221
2008-12-30,37437074136
2008-12-31,37174002804
2009-01-02,37234711573
2009-01-05,38448886951
2009-01-06,39055974639
2009-01-07,37639436699
2009-01-08,37841799262
2009-01-09,37093057779
2009-01-12,37133530292
2009-01-13,37315656598
2009-01-14,36425261322
2009-01-15,35656283582
2009-01-16,39460699765
2009-01-20,35433684763
2009-01-21,36728805166
2009-01-22,35413448507
2009-01-23,35939591171
2009-01-26,35716992351
2009-01-27,35413448507
2009-01-28,35656283582
2009-01-29,34340926924
2009-01-30,34017146823
2009-02-02,33349350365
2009-02-03,33551712928
2009-02-04,33895729285
2009-02-05,35413448507
2009-02-06,34401635693
2009-02-09,35312267226
2009-02-10,34725415793
2009-02-11,33693366722
2009-02-12,33895729285
2009-02-13,34624234512
2009-02-17,33875493029
2009-02-18,33045806521
2009-02-19,33126751546
2009-02-20,31912576169
2009-02-23,30981708379
2009-02-24,32479191345
2009-02-25,31487614787
2009-02-26,33066042777
2009-02-27,32074466219
2009-03-02,32883916471
2009-03-03,32337537551
2009-03-04,34158800617
2009-03-05,31689977350
2009-03-06,32378010064
2009-03-09,32762498933
2009-03-10,33754075491
2009-03-11,33592185441
2009-03-12,34846833331
2009-03-13,34664707024
2009-03-16,34401635693
2009-03-17,35797937377
2009-03-18,36384788809
2009-03-19,37416837880
2009-03-20,37072821523
2009-03-23,37841799262
2009-03-24,36850222704
2009-03-25,35008723381
2009-03-26,36101481221
2009-03-27,34624234512
2009-03-30,34239745642
2009-03-31,33389822878
2009-04-01,34888528125
2009-04-02,35596821909
2009-04-03,36224167833
2009-04-06,35920613354
2009-04-07,36345589624
2009-04-08,36345589624
2009-04-09,36871750721
2009-04-13,36224167833
2009-04-14,36406300520
2009-04-15,36406300520
2009-04-16,36871750721
2009-04-17,36628907138
2009-04-20,35414689222
2009-04-21,35475400118
2009-04-22,37438385749
2009-04-23,36770565895
2009-04-24,37903835950
2009-04-27,37094357339
2009-04-28,36102746041
2009-04-29,37114594305
2009-04-30,36446774451
2009-05-01,38247864360
2009-05-04,38753788492
2009-05-05,39138290832
2009-05-06,38996632075
2009-05-07,40575115366
2009-05-08,42477390101
2009-05-11,41040565567
2009-05-12,41829807213
2009-05-13,40554878401
2009-05-14,41425067907
2009-05-15,41445304872
2009-05-18,41951229004
2009-05-19,42760707615
2009-05-20,43428527469
2009-05-21,42355968310
2009-05-22,43590423191
2009-05-26,43266631747
2009-05-27,42963077268
2009-05-28,44845115038
2009-05-29,45108195586
2009-06-01,47233076940
2009-06-02,48062792516
2009-06-03,46079569919
2009-06-04,48568716648
