,EFX
2000-01-03,2997062460
2000-01-04,2896624710
2000-01-05,2863145460
2000-01-06,2829666210
2000-01-07,2963583210
2000-01-10,2938138980
2000-01-11,3021167520
2000-01-12,2887250520
2000-01-13,2719854270
2000-01-14,2845736250
2000-01-18,2820292020
2000-01-19,2837701230
2000-01-20,2770742730
2000-01-21,2737263480
2000-01-24,2662269960
2000-01-25,2845736250
2000-01-26,2845736250
2000-01-27,2871180480
2000-01-28,2887250520
2000-01-31,2879215500
2000-02-01,2812257000
2000-02-02,2879215500
2000-02-03,2912694750
2000-02-04,2896624710
2000-02-07,2853771270
2000-02-08,2954209020
2000-02-09,2879215500
2000-02-10,2938138980
2000-02-11,2971618230
2000-02-14,2946174000
2000-02-15,2938138980
2000-02-16,2912694750
2000-02-17,2912694750
2000-02-18,2853771270
2000-02-22,2837701230
2000-02-23,2912694750
2000-02-24,2938138980
2000-02-25,2863145460
2000-02-28,2837701230
2000-02-29,2837701230
2000-03-01,2820292020
2000-03-02,2829666210
2000-03-03,2812257000
2000-03-06,2820292020
2000-03-07,2786812770
2000-03-08,2804221980
2000-03-09,2871180480
2000-03-10,2954209020
2000-03-13,2946174000
2000-03-14,2887250520
2000-03-15,2971618230
2000-03-16,3255522270
2000-03-17,3214008000
2000-03-20,3046611750
2000-03-21,3064020960
2000-03-22,3097500210
2000-03-23,3214008000
2000-03-24,3247487250
2000-03-27,3314445750
2000-03-28,3339889980
2000-03-29,3247487250
2000-03-30,3306410730
2000-03-31,3385748007
2000-04-03,3486314780
2000-04-04,3452792522
2000-04-05,3478269438
2000-04-06,3628449151
2000-04-07,3796060439
2000-04-10,3712925240
2000-04-11,3762538181
2000-04-12,3838968928
2000-04-13,3628449151
2000-04-14,3545313953
2000-04-17,3478269438
2000-04-18,3419270265
2000-04-19,3310658150
2000-04-20,3427315606
2000-04-24,3393793349
2000-04-25,3545313953
2000-04-26,3369657323
2000-04-27,3318703492
2000-04-28,3269090551
2000-05-01,3352225750
2000-05-02,3318703492
2000-05-03,3302612808
2000-05-04,3336135066
2000-05-05,3360271091
2000-05-08,3344180408
2000-05-09,3285181235
2000-05-10,3192659804
2000-05-11,3235568293
2000-05-12,3269090551
2000-05-15,3326748834
2000-05-16,3326748834
2000-05-17,3302612808
2000-05-18,3352225750
2000-05-19,3336135066
2000-05-22,3302612808
2000-05-23,3444747180
2000-05-24,3460837864
2000-05-25,3503746353
2000-05-26,3612358468
2000-05-30,3661971409
2000-05-31,3712925240
2000-06-01,3704879898
2000-06-02,3762538181
2000-06-05,3762538181
2000-06-06,3720970582
2000-06-07,3754492840
2000-06-08,3738402156
2000-06-09,3738402156
2000-06-12,3620403810
2000-06-13,3628449151
2000-06-14,3604313126
2000-06-15,3570790868
2000-06-16,3511791695
2000-06-19,3470224096
2000-06-20,3511791695
2000-06-21,3494360121
2000-06-22,3460837864
2000-06-23,3519837037
2000-06-26,3470224096
2000-06-27,3519837037
2000-06-28,3598949565
2000-06-29,3620403810
2000-06-30,3526819537
2000-07-03,3611463206
2000-07-05,3526819537
2000-07-06,3493230780
2000-07-07,3544285691
2000-07-10,3451580720
2000-07-11,3467703324
2000-07-12,3518758235
2000-07-13,3477108176
2000-07-14,3560408295
2000-07-17,3481138827
2000-07-18,3384403205
2000-07-19,3417991963
2000-07-20,3400525809
2000-07-21,3451580720
2000-07-24,3409930661
2000-07-25,3409930661
2000-07-26,3216459418
2000-07-27,3190931962
2000-07-28,3131815749
2000-07-31,3174809358
2000-08-01,3291698235
2000-08-02,3241986873
2000-08-03,3258109477
2000-08-04,3376341903
2000-08-07,3325286992
2000-08-08,3325286992
2000-08-09,3325286992
2000-08-10,3384403205
2000-08-11,3376341903
2000-08-14,3451580720
2000-08-15,3434114566
2000-08-16,3417991963
2000-08-17,3376341903
2000-08-18,3409930661
2000-08-21,3384403205
2000-08-22,3358875750
2000-08-23,3366937051
2000-08-24,3358875750
2000-08-25,3333348294
2000-08-28,3366937051
2000-08-29,3376341903
2000-08-30,3384403205
2000-08-31,3417991963
2000-09-01,3366937051
2000-09-05,3384403205
2000-09-06,3426053265
2000-09-07,3325286992
2000-09-08,3510696933
2000-09-11,3510696933
2000-09-12,3560408295
2000-09-13,3560408295
2000-09-14,3534880839
2000-09-15,3451580720
2000-09-18,3366937051
2000-09-19,3384403205
2000-09-20,3317225690
2000-09-21,3342753146
2000-09-22,3426053265
2000-09-25,3409930661
2000-09-26,3392464507
2000-09-27,3518758235
2000-09-28,3653113265
2000-09-29,3619524508
2000-10-02,3609473127
2000-10-03,4048993085
2000-10-04,4065221514
2000-10-05,4166649197
2000-10-06,3947565402
2000-10-09,3896175377
2000-10-10,3846137720
2000-10-11,3896175377
2000-10-12,3888061162
2000-10-13,3955679617
2000-10-16,3973260415
2000-10-17,3896175377
2000-10-18,3862366149
2000-10-19,4166649197
2000-10-20,4176115780
2000-10-23,4184229995
2000-10-24,4209925008
2000-10-25,4226153437
2000-10-26,4301886107
2000-10-27,4353276132
2000-10-30,4530436485
2000-10-31,4665673395
2000-11-01,4733291850
2000-11-02,4784681875
2000-11-03,4691368407
2000-11-06,4623749952
2000-11-07,4623749952
2000-11-08,4733291850
2000-11-09,4707596837
2000-11-10,4589940725
2000-11-13,4564245712
2000-11-14,4606169154
2000-11-15,4691368407
2000-11-16,4725177635
2000-11-17,4725177635
2000-11-20,4649444965
2000-11-21,4649444965
2000-11-22,4538550699
2000-11-24,4572359927
2000-11-27,4564245712
2000-11-28,4522322270
2000-11-29,4522322270
2000-11-30,4496627257
2000-12-01,4496627257
2000-12-04,4488513042
2000-12-05,4530436485
2000-12-06,4277543463
2000-12-07,4470932244
2000-12-08,4429008802
2000-12-11,4369504562
2000-12-12,4277543463
2000-12-13,3939451188
2000-12-14,3879946947
2000-12-15,3888061162
2000-12-18,3786633480
2000-12-19,3702786595
2000-12-20,3643282355
2000-12-21,3659510784
2000-12-22,3702786595
2000-12-26,3804214278
2000-12-27,3896175377
2000-12-28,3921870390
2000-12-29,3879946947
2001-01-02,3808000000
2001-01-03,3935840000
2001-01-04,3893680000
2001-01-05,3859680000
2001-01-08,3799840000
2001-01-09,3876000000
2001-01-10,3901840000
2001-01-11,3859680000
2001-01-12,3910000000
2001-01-16,3952160000
2001-01-17,4003840000
2001-01-18,3910000000
2001-01-19,3918160000
2001-01-22,3901840000
2001-01-23,4131680000
2001-01-24,4173840000
2001-01-25,4046000000
2001-01-26,3952160000
2001-01-29,3953520000
2001-01-30,4002480000
2001-01-31,4032400000
2001-02-01,4210560000
2001-02-02,4184720000
2001-02-05,4250000000
2001-02-06,4222800000
2001-02-07,4371040000
2001-02-08,4371040000
2001-02-09,4485280000
2001-02-12,4394160000
2001-02-13,4398240000
2001-02-14,4407760000
2001-02-15,4379200000
2001-02-16,4379200000
