,ELV
2001-10-30,4208061858
2001-10-31,4308890724
2001-11-01,4339756703
2001-11-02,4413835054
2001-11-05,4413835054
2001-11-06,4533183507
2001-11-07,4450874229
2001-11-08,4393257734
2001-11-09,4321237116
2001-11-12,4409719590
2001-11-13,4399430930
2001-11-14,4728668044
2001-11-15,4810977322
2001-11-16,4815092786
2001-11-19,4887113405
2001-11-20,5020865982
2001-11-21,5041443302
2001-11-23,5059962889
2001-11-26,4996173198
2001-11-27,5000288662
2001-11-28,5037327838
2001-11-29,5144329900
2001-11-30,5232812374
2001-12-03,5278082477
2001-12-04,5298659797
2001-12-05,5027039178
2001-12-06,4990000003
2001-12-07,5000288662
2001-12-10,4965307219
2001-12-11,4959134023
2001-12-12,4924152580
2001-12-13,4948845363
2001-12-14,4938556704
2001-12-17,5068193817
2001-12-18,5072309281
2001-12-19,4938556704
2001-12-20,4825381446
2001-12-21,4708090724
2001-12-24,4691628868
2001-12-26,4759534023
2001-12-27,4825381446
2001-12-28,4990000003
2001-12-31,5114488500
2002-01-02,5042162400
2002-01-03,5007032580
2002-01-04,4945038780
2002-01-07,4858247460
2002-01-08,4897510200
2002-01-09,4918174800
2002-01-10,5176482300
2002-01-11,5321134500
2002-01-14,5362463700
2002-01-15,5238476100
2002-01-16,5269473000
2002-01-17,5197146900
2002-01-18,5267406540
2002-01-22,5347998480
2002-01-23,5399659980
2002-01-24,5455454400
2002-01-25,5567043240
2002-01-28,5554644480
2002-01-29,5496783600
2002-01-30,5426523960
2002-01-31,5496783600
2002-02-01,5490584220
2002-02-04,5393460600
2002-02-05,5604239520
2002-02-06,5837749500
2002-02-07,5951404800
2002-02-08,5961737100
2002-02-11,5947271880
2002-02-12,5879078700
2002-02-13,5792287380
2002-02-14,5829483660
2002-02-15,5796420300
2002-02-19,5618704740
2002-02-20,5579442000
2002-02-21,5740625880
2002-02-22,5823284280
2002-02-25,5895610380
2002-02-26,6019597980
2002-02-27,5990667540
2002-02-28,6003066300
2002-03-01,5998933380
2002-03-04,5734426500
2002-03-05,5645568720
2002-03-06,5823284280
2002-03-07,5812951980
2002-03-08,5812951980
2002-03-11,5848081800
2002-03-12,5837749500
2002-03-13,5843948880
2002-03-14,5837749500
2002-03-15,5879078700
2002-03-18,6023730900
2002-03-19,5827417200
2002-03-20,5827417200
2002-03-21,5920407900
2002-03-22,5868746400
2002-03-25,5848081800
2002-03-26,5784021540
2002-03-27,5992734000
2002-03-28,5949338340
2002-04-01,6007001934
2002-04-02,6186407760
2002-04-03,6120419410
2002-04-04,6264768924
2002-04-05,6384372808
2002-04-08,6328695138
2002-04-09,6275079604
2002-04-10,6310135915
2002-04-11,6273017468
2002-04-12,6252396109
2002-04-15,6285390284
2002-04-16,6415304847
2002-04-17,6664823293
2002-04-18,7038069894
2002-04-19,7048380574
2002-04-22,6945273778
2002-04-23,6800924264
2002-04-24,6986516496
2002-04-25,7341203875
2002-04-26,7289650477
2002-04-29,6871036885
2002-04-30,7031883487
2002-05-01,7295836884
2002-05-02,7330893195
2002-05-03,7409254360
2002-05-06,7165922322
2002-05-07,6970019409
2002-05-08,7062815526
2002-05-09,7025697079
2002-05-10,7027759215
2002-05-13,6805048536
2002-05-14,6697817468
2002-05-15,6642139798
2002-05-16,6945273778
2002-05-17,7207165040
2002-05-20,6856601934
2002-05-21,6945273778
2002-05-22,6774116497
2002-05-23,6792675720
2002-05-24,6924652419
2002-05-28,6856601934
2002-05-29,6990640768
2002-05-30,7295836884
2002-05-31,7310271836
2002-06-03,7246345622
2002-06-04,7145300962
2002-06-05,7423689312
2002-06-06,7264904846
2002-06-07,7413378632
