,EP
2000-01-03,6395781.6
2000-01-04,6395781.6
2000-01-05,6395781.6
2000-01-06,6395781.6
2000-01-07,6395781.6
2000-01-10,6395781.6
2000-01-11,6395781.6
2000-01-12,6395781.6
2000-01-13,6395781.6
2000-01-14,6395781.6
2000-01-18,6395781.6
2000-01-19,7106424.0
2000-01-20,7106424.0
2000-01-21,7547614.49
2000-01-24,8883030.0
2000-01-25,7547614.49
2000-01-26,6212198.98
2000-01-27,7106424.0
2000-01-28,6650428.46
2000-01-31,6650428.46
2000-02-01,8883030.0
2000-02-02,7106424.0
2000-02-03,7106424.0
2000-02-04,7106424.0
2000-02-07,7106424.0
2000-02-08,7106424.0
2000-02-09,7106424.0
2000-02-10,7106424.0
2000-02-11,6212198.98
2000-02-14,6212198.98
2000-02-15,6650428.46
2000-02-16,6650428.46
2000-02-17,7547614.49
2000-02-18,7547614.49
2000-02-22,7106424.0
2000-02-23,6212198.98
2000-02-24,6212198.98
2000-02-25,7547614.49
2000-02-28,7547614.49
2000-02-29,7547614.49
2000-03-01,7547614.49
2000-03-02,7547614.49
2000-03-03,6212198.98
2000-03-06,6212198.98
2000-03-07,5329818.0
2000-03-08,8427034.46
2000-03-09,8427034.46
2000-03-10,5771008.49
2000-03-13,5771008.49
2000-03-14,5771008.49
2000-03-15,6212198.98
2000-03-16,6212198.98
2000-03-17,6212198.98
2000-03-20,6212198.98
2000-03-21,6212198.98
2000-03-22,5771008.49
2000-03-23,5771008.49
2000-03-24,5771008.49
2000-03-27,7988804.98
2000-03-28,7988804.98
2000-03-29,7988804.98
2000-03-30,7106424.0
2000-03-31,7439760.0
2000-04-03,7439760.0
2000-04-04,7439760.0
2000-04-05,7439760.0
2000-04-06,7439760.0
2000-04-07,7439760.0
2000-04-10,7439760.0
2000-04-11,7439760.0
2000-04-12,6041705.1
2000-04-13,6041705.1
2000-04-14,6962375.4
2000-04-17,6503590.2
2000-04-18,6503590.2
2000-04-19,6503590.2
2000-04-20,6503590.2
2000-04-24,5102435.4
2000-04-25,5102435.4
2000-04-26,5102435.4
2000-04-27,5102435.4
2000-04-28,4181765.1
2000-05-01,4181765.1
2000-05-02,4181765.1
2000-05-03,4181765.1
2000-05-04,4181765.1
2000-05-05,4181765.1
2000-05-08,6041705.1
2000-05-09,4643650.2
2000-05-10,4643650.2
2000-05-11,4643650.2
2000-05-12,4643650.2
2000-05-15,4643650.2
2000-05-16,4643650.2
2000-05-17,4643650.2
2000-05-18,4643650.2
2000-05-19,5579820.0
2000-05-22,5579820.0
2000-05-23,5579820.0
2000-05-24,5579820.0
2000-05-25,4643650.2
2000-05-26,4643650.2
2000-05-30,4643650.2
2000-05-31,4643650.2
2000-06-01,4643650.2
2000-06-02,4643650.2
2000-06-05,5579820.0
2000-06-06,5579820.0
2000-06-07,5579820.0
2000-06-08,5579820.0
2000-06-09,5579820.0
2000-06-12,5579820.0
2000-06-13,4463856.0
2000-06-14,4463856.0
2000-06-15,4463856.0
2000-06-16,4463856.0
2000-06-19,4463856.0
2000-06-20,4181765.1
2000-06-21,5102435.4
2000-06-22,5102435.4
2000-06-23,5102435.4
2000-06-26,5102435.4
2000-06-27,5102435.4
2000-06-28,3242495.4
2000-06-29,4612651.2
2000-06-30,5579820.0
2000-07-03,5579820.0
2000-07-05,5207832.0
2000-07-06,5207832.0
2000-07-07,5207832.0
2000-07-10,5102435.4
2000-07-11,5102435.4
2000-07-12,5579820.0
2000-07-13,5579820.0
2000-07-14,7439760.0
2000-07-17,7588555.2
2000-07-18,7439760.0
2000-07-19,7737350.4
2000-07-20,7901645.1
2000-07-21,7901645.1
2000-07-24,7588555.2
2000-07-25,7588555.2
2000-07-26,7290964.8
2000-07-27,7901645.1
2000-07-28,7901645.1
2000-07-31,7901645.1
2000-08-01,7290964.8
2000-08-02,7439760.0
2000-08-03,8363530.2
2000-08-04,8363530.2
2000-08-07,8363530.2
2000-08-08,8332531.2
2000-08-09,8822315.4
2000-08-10,8822315.4
2000-08-11,9761585.1
2000-08-14,12083410.0
2000-08-15,12083410.0
2000-08-16,9761585.1
2000-08-17,9761585.1
2000-08-18,9761585.1
2000-08-21,9761585.1
2000-08-22,9761585.1
2000-08-23,8363530.2
2000-08-24,8363530.2
2000-08-25,9299700.0
2000-08-28,9299700.0
2000-08-29,8363530.2
2000-08-30,8363530.2
2000-08-31,8363530.2
2000-09-01,8363530.2
2000-09-05,9076507.2
2000-09-06,8363530.2
2000-09-07,8363530.2
2000-09-08,8363530.2
2000-09-11,10223470.0
2000-09-12,13019580.0
2000-09-13,11159640.0
2000-09-14,11159640.0
2000-09-15,12083410.0
2000-09-18,12542195.0
2000-09-19,12083410.0
2000-09-20,11159640.0
2000-09-21,10415664.0
2000-09-22,9761585.1
2000-09-25,9299700.0
2000-09-26,9761585.1
2000-09-27,9671688.0
2000-09-28,11159640.0
2000-09-29,12542195.0
2000-10-02,13489161.0
2000-10-03,12002220.0
2000-10-04,12498978.0
2000-10-05,12995737.0
2000-10-06,12995737.0
2000-10-09,10995367.0
2000-10-10,10995367.0
2000-10-11,10995367.0
2000-10-12,11202072.0
2000-10-13,11202072.0
2000-10-16,11202072.0
2000-10-17,11202072.0
2000-10-18,11202072.0
2000-10-19,12002220.0
2000-10-20,12002220.0
2000-10-23,12002220.0
2000-10-24,10001850.0
2000-10-25,10001850.0
2000-10-26,12002220.0
2000-10-27,12002220.0
2000-10-30,12002220.0
2000-10-31,12002220.0
2000-11-01,12498978.0
2000-11-02,11488791.0
2000-11-03,11488791.0
2000-11-06,12498978.0
2000-11-07,12995737.0
2000-11-08,12802368.0
2000-11-09,12802368.0
2000-11-10,12802368.0
2000-11-13,12802368.0
2000-11-14,12002220.0
2000-11-15,12002220.0
2000-11-16,12002220.0
2000-11-17,14402664.0
2000-11-20,11488791.0
2000-11-21,11488791.0
2000-11-22,11488791.0
2000-11-24,11488791.0
2000-11-27,11682160.0
2000-11-28,11488791.0
2000-11-29,11682160.0
2000-11-30,12002220.0
2000-12-01,12002220.0
2000-12-04,12002220.0
2000-12-05,13489161.0
2000-12-06,12802368.0
2000-12-07,14002590.0
2000-12-08,12995737.0
2000-12-11,14402664.0
2000-12-12,14402664.0
2000-12-13,14402664.0
2000-12-14,14002590.0
2000-12-15,13489161.0
2000-12-18,12002220.0
2000-12-19,12002220.0
2000-12-20,12995737.0
2000-12-21,11488791.0
2000-12-22,12995737.0
2000-12-26,12995737.0
2000-12-27,12995737.0
2000-12-28,12995737.0
2000-12-29,12995737.0
2001-01-02,12995737.0
2001-01-03,11202072.0
2001-01-04,11202072.0
2001-01-05,10995367.0
2001-01-08,10995367.0
2001-01-09,11202072.0
2001-01-10,11202072.0
2001-01-11,12002220.0
2001-01-12,12002220.0
2001-01-16,16499718.0
2001-01-17,32005920.0
2001-01-18,25604736.0
2001-01-19,22997587.0
2001-01-22,20500458.0
2001-01-23,23491011.0
2001-01-24,22997587.0
2001-01-25,20997217.0
2001-01-26,24004440.0
2001-01-29,24501198.0
2001-01-30,23844410.0
