,EQR
2000-01-03,5390519640
2000-01-04,5352180240
2000-01-05,5464642480
2000-01-06,5518317640
2000-01-07,5623112000
2000-01-10,5664007360
2000-01-11,5630779880
2000-01-12,5607776240
2000-01-13,5543877240
2000-01-14,5446750760
2000-01-18,5400743480
2000-01-19,5423747120
2000-01-20,5390519640
2000-01-21,5446750760
2000-01-24,5382851760
2000-01-25,5375183880
2000-01-26,5382851760
2000-01-27,5400743480
2000-01-28,5352180240
2000-01-31,5303617000
2000-02-01,5367516000
2000-02-02,5359848120
2000-02-03,5326620640
2000-02-04,5336844480
2000-02-07,5318952760
2000-02-08,5352180240
2000-02-09,5326620640
2000-02-10,5232050120
2000-02-11,5175819000
2000-02-14,5127255760
2000-02-15,5134923640
2000-02-16,5096584240
2000-02-17,5063356760
2000-02-18,5071024640
2000-02-22,5063356760
2000-02-23,5081248480
2000-02-24,5048021000
2000-02-25,5048021000
2000-02-28,5025017360
2000-02-29,5104252120
2000-03-01,5111920000
2000-03-02,5119587880
2000-03-03,5119587880
2000-03-06,5119587880
2000-03-07,5127255760
2000-03-08,5025017360
2000-03-09,5032685240
2000-03-10,5032685240
2000-03-13,5007125640
2000-03-14,4991789880
2000-03-15,5025017360
2000-03-16,5017349480
2000-03-17,5071024640
2000-03-20,5048021000
2000-03-21,5111920000
2000-03-22,5104252120
2000-03-23,5134923640
2000-03-24,5160483240
2000-03-27,5088916360
2000-03-28,5096584240
2000-03-29,5134923640
2000-03-30,5168151120
2000-03-31,4844020440
2000-04-03,4889832480
2000-04-04,4928411040
2000-04-05,4981456560
2000-04-06,4995923520
2000-04-07,5077902960
2000-04-10,5169527040
2000-04-11,5162293560
2000-04-12,5229806040
2000-04-13,5290085040
2000-04-14,5282851560
2000-04-17,5275618080
2000-04-18,5350364040
2000-04-19,5350364040
2000-04-20,5326252440
2000-04-24,5403409560
2000-04-25,5396176080
2000-04-26,5439576960
2000-04-27,5456455080
2000-04-28,5485389000
2000-05-01,5531201040
2000-05-02,5591480040
2000-05-03,5545668000
2000-05-04,5584246560
2000-05-05,5584246560
2000-05-08,5591480040
2000-05-09,5613180480
2000-05-10,5577013080
2000-05-11,5545668000
2000-05-12,5507089440
2000-05-15,5538434520
2000-05-16,5538434520
2000-05-17,5538434520
2000-05-18,5567368440
2000-05-19,5538434520
2000-05-22,5531201040
2000-05-23,5516734080
2000-05-24,5425110000
2000-05-25,5396176080
2000-05-26,5372064480
2000-05-30,5357597520
2000-05-31,5379297960
2000-06-01,5372064480
2000-06-02,5372064480
2000-06-05,5417876520
2000-06-06,5463688560
2000-06-07,5577013080
2000-06-08,5591480040
2000-06-09,5613180480
2000-06-12,5613180480
2000-06-13,5644525560
2000-06-14,5808484440
2000-06-15,5712038040
2000-06-16,5651759040
2000-06-19,5591480040
2000-06-20,5697571080
2000-06-21,5644525560
2000-06-22,5666226000
2000-06-23,5666226000
2000-06-26,5644525560
2000-06-27,5704804560
2000-06-28,5704804560
2000-06-29,5704804560
2000-06-30,6044952000
2000-07-03,6160594560
2000-07-05,6323545440
2000-07-06,6315660720
2000-07-07,6407649120
2000-07-10,6381366720
2000-07-11,6407649120
2000-07-12,6357712560
2000-07-13,6341943120
2000-07-14,6265724160
2000-07-17,6226300560
2000-07-18,6226300560
2000-07-19,6218415840
2000-07-20,6218415840
2000-07-21,6341943120
2000-07-24,6373482000
2000-07-25,6431303280
2000-07-26,6489124560
2000-07-27,6562715280
2000-07-28,6539061120
2000-07-31,6554830560
2000-08-01,6702012000
2000-08-02,6725666160
2000-08-03,6620536560
2000-08-04,6554830560
2000-08-07,6489124560
2000-08-08,6594254160
2000-08-09,6586369440
2000-08-10,6628421280
2000-08-11,6670473120
2000-08-14,6678357840
2000-08-15,6686242560
2000-08-16,6686242560
2000-08-17,6694127280
2000-08-18,6670473120
2000-08-21,6652075440
2000-08-22,6604767120
2000-08-23,6454957440
2000-08-24,6357712560
2000-08-25,6381366720
2000-08-28,6349827840
2000-08-29,6144825120
2000-08-30,6307776000
2000-08-31,6307776000
2000-09-01,6292006560
2000-09-05,6341943120
2000-09-06,6341943120
2000-09-07,6447072720
2000-09-08,6636306000
