,ETR
2000-01-03,5974363236
2000-01-04,5988559742
2000-01-05,6241730779
2000-01-06,6123426556
2000-01-07,6123426556
2000-01-10,6092667458
2000-01-11,6137623063
2000-01-12,6106863965
2000-01-13,5988559742
2000-01-14,5974363236
2000-01-18,5811103409
2000-01-19,5737754791
2000-01-20,5664406173
2000-01-21,5723558284
2000-01-24,5441994235
2000-01-25,5264537901
2000-01-26,5250341394
2000-01-27,5441994235
2000-01-28,5591057555
2000-01-31,5901014618
2000-02-01,6033515347
2000-02-02,5901014618
2000-02-03,6019318840
2000-02-04,5901014618
2000-02-07,5827666000
2000-02-08,5827666000
2000-02-09,5650209666
2000-02-10,5531905444
2000-02-11,5472753332
2000-02-14,5560298457
2000-02-15,5397038630
2000-02-16,5295296999
2000-02-17,5191189283
2000-02-18,5072885060
2000-02-22,5117840665
2000-02-23,5042125962
2000-02-24,4822080109
2000-02-25,4791321011
2000-02-28,4940384331
2000-02-29,4791321011
2000-03-01,4822080109
2000-03-02,4836276615
2000-03-03,4822080109
2000-03-06,3948994947
2000-03-07,4095692182
2000-03-08,4095692182
2000-03-09,4213996405
2000-03-10,4244755503
2000-03-13,4318104121
2000-03-14,4154844294
2000-03-15,4348863219
2000-03-16,4585471664
2000-03-17,4613864677
2000-03-20,4717972393
2000-03-21,4703775886
2000-03-22,4554712566
2000-03-23,4658820282
2000-03-24,4703775886
2000-03-27,4732168900
2000-03-28,4732168900
2000-03-29,4822080109
2000-03-30,4658820282
2000-03-31,4604717773
2000-04-03,4591033620
2000-04-04,4718752389
2000-04-05,4933137466
2000-04-06,4718752389
2000-04-07,4675419235
2000-04-10,4819102851
2000-04-11,5003838928
2000-04-12,5088224543
2000-04-13,5373311082
2000-04-14,5231908159
2000-04-17,5288925466
2000-04-18,5245592313
2000-04-19,5188575005
2000-04-20,5316293774
2000-04-24,5658397621
2000-04-25,5788397082
2000-04-26,6187518237
2000-04-27,5886466852
2000-04-28,5802081236
2000-05-01,5886466852
2000-05-02,5788397082
2000-05-03,5788397082
2000-05-04,5916115852
2000-05-05,5886466852
2000-05-08,6100851929
2000-05-09,6114536083
2000-05-10,6285588006
2000-05-11,6271903852
2000-05-12,6100851929
2000-05-15,6043834621
2000-05-16,6057518775
2000-05-17,5859098544
2000-05-18,6000501467
2000-05-19,6144185083
2000-05-22,6228570698
2000-05-23,6258219698
2000-05-24,6399622621
2000-05-25,6385938468
2000-05-26,6456639929
2000-05-30,6513657237
2000-05-31,6671025006
2000-06-01,6499973083
2000-06-02,6684709160
2000-06-05,6486288929
2000-06-06,6614007699
2000-06-07,6842076930
2000-06-08,6741726468
