,F
2000-01-03,54678906360
2000-01-04,52860065400
2000-01-05,53049528000
2000-01-06,53125313040
2000-01-07,57028242600
2000-01-10,55986198300
2000-01-11,54489443760
2000-01-12,56061983340
2000-01-13,55398864240
2000-01-14,54034733520
2000-01-18,56649317400
2000-01-19,55796735700
2000-01-20,54167357340
2000-01-21,52670602800
2000-01-24,53371614420
2000-01-25,52329570120
2000-01-26,50112857700
2000-01-27,52140107520
2000-01-28,51154902000
2000-01-31,51950644920
2000-02-01,52007483700
2000-02-02,50775976800
2000-02-03,50908600620
2000-02-04,50188642740
2000-02-07,50056018920
2000-02-08,50245481520
2000-02-09,49260276000
2000-02-10,49070813400
2000-02-11,48161392920
2000-02-14,49146598440
2000-02-15,48426640560
2000-02-16,48350855520
2000-02-17,47896145280
2000-02-18,45281561400
2000-02-22,46001519280
2000-02-23,44902636200
2000-02-24,44372140920
2000-02-25,44826851160
2000-02-28,44561603520
2000-02-29,43462720440
2000-03-01,43860591900
2000-03-02,43197472800
2000-03-03,44561603520
2000-03-06,43784806860
2000-03-07,42932225160
2000-03-08,44447925960
2000-03-09,43462720440
2000-03-10,42875386380
2000-03-13,44447925960
2000-03-14,42022804680
2000-03-15,46001519280
2000-03-16,45736271640
2000-03-17,46588853340
2000-03-20,45679432860
2000-03-21,47839306500
2000-03-22,45868895460
2000-03-23,46456229520
2000-03-24,46588853340
2000-03-27,46134143100
2000-03-28,46456229520
2000-03-29,46797262200
2000-03-30,48672941940
2000-03-31,47932152600
2000-04-03,49030124500
2000-04-04,51188207200
2000-04-05,51453234900
2000-04-06,52096873600
2000-04-07,50468846300
2000-04-10,53270567700
2000-04-11,54179234100
2000-04-12,55939775250
2000-04-13,56791650000
2000-04-14,53592387050
2000-04-17,59536579750
2000-04-18,57643524750
2000-04-19,57378497050
2000-04-20,57511010900
2000-04-24,57700316400
2000-04-25,57378497050
2000-04-26,57378497050
2000-04-27,57511010900
2000-04-28,57113469350
2000-05-01,56394108450
2000-05-02,55561164250
2000-05-03,55087900500
2000-05-04,54898595000
2000-05-05,55163622700
2000-05-08,55882983600
2000-05-09,55352928200
2000-05-10,54501053450
2000-05-11,55220414350
2000-05-12,55674747550
2000-05-15,54633567300
2000-05-16,55485442050
2000-05-17,54633567300
2000-05-18,55939775250
2000-05-19,55750469750
2000-05-22,53459873200
2000-05-23,53592387050
2000-05-24,54179234100
2000-05-25,52873026150
2000-05-26,50279540800
2000-05-30,51188207200
2000-05-31,50658151800
2000-06-01,51642540400
2000-06-02,50468846300
2000-06-05,53081262200
2000-06-06,52153665250
2000-06-07,51566818200
2000-06-08,51112485000
2000-06-09,51775054250
2000-06-12,52096873600
2000-06-13,52096873600
2000-06-14,50336332450
2000-06-15,47988944250
2000-06-16,46947764000
2000-06-19,46493430800
2000-06-20,44657167450
2000-06-21,45584764400
2000-06-22,45584764400
2000-06-23,46360916950
2000-06-26,44732889650
2000-06-27,44732889650
2000-06-28,45584764400
2000-06-29,46928833450
2000-06-30,40647850000
2000-07-03,41538310000
2000-07-05,42296850000
2000-07-06,43780950000
2000-07-07,43714990000
2000-07-10,44193200000
2000-07-11,45083660000
2000-07-12,45545380000
2000-07-13,45545380000
2000-07-14,44902270000
2000-07-17,43830420000
2000-07-18,44490020000
2000-07-19,44951740000
2000-07-20,44786840000
2000-07-21,44786840000
2000-07-24,44077770000
2000-07-25,44720880000
2000-07-26,44193200000
2000-07-27,44308630000
2000-07-28,43599560000
2000-07-31,44011810000
2000-08-01,44325120000
2000-08-02,44011810000
2000-08-03,48233250000
2000-08-04,48035370000
2000-08-07,48134310000
2000-08-08,48645500000
2000-08-09,48447620000
2000-08-10,48035370000
2000-08-11,48035370000
2000-08-14,47919940000
2000-08-15,46897560000
2000-08-16,46386370000
2000-08-17,44621940000
2000-08-18,45759750000
2000-08-21,45347500000
2000-08-22,45347500000
2000-08-23,45248560000
2000-08-24,46073060000
2000-08-25,45248560000
2000-08-28,43088370000
2000-08-29,41950560000
2000-08-30,42874000000
2000-08-31,39889310000
2000-09-01,41225000000
2000-09-05,43500620000
2000-09-06,42874000000
2000-09-07,42874000000
2000-09-08,42874000000
2000-09-11,42775060000
2000-09-12,41323940000
2000-09-13,41538310000
2000-09-14,42362810000
2000-09-15,42560690000
2000-09-18,42676120000
2000-09-19,42461750000
2000-09-20,41323940000
2000-09-21,40911690000
2000-09-22,42049500000
2000-09-25,41851620000
2000-09-26,40202620000
2000-09-27,41027120000
2000-09-28,41323940000
2000-09-29,41736190000
2000-10-02,42972940000
2000-10-03,42263870000
2000-10-04,43500620000
2000-10-05,42775060000
2000-10-06,41736190000
2000-10-09,42676120000
2000-10-10,41439370000
2000-10-11,39790370000
2000-10-12,38553620000
2000-10-13,41851620000
2000-10-16,40614870000
2000-10-17,40301560000
2000-10-18,41323940000
2000-10-19,42263870000
2000-10-20,41323940000
2000-10-23,41538310000
2000-10-24,42560690000
2000-10-25,41439370000
2000-10-26,41439370000
2000-10-27,42148440000
2000-10-30,43698500000
2000-10-31,43088370000
2000-11-01,42560690000
2000-11-02,42972940000
2000-11-03,41736190000
2000-11-06,43599560000
2000-11-07,41225000000
2000-11-08,40911690000
2000-11-09,41950560000
2000-11-10,41323940000
2000-11-13,41736190000
2000-11-14,41736190000
2000-11-15,43286250000
2000-11-16,41225000000
2000-11-17,41126060000
2000-11-20,38751500000
2000-11-21,40202620000
2000-11-22,39262690000
2000-11-24,39674940000
2000-11-27,40499440000
2000-11-28,39790370000
2000-11-29,40301560000
2000-11-30,37514750000
2000-12-01,39889310000
2000-12-04,39262690000
2000-12-05,40812750000
2000-12-06,39378120000
2000-12-07,39576000000
2000-12-08,39790370000
2000-12-11,39378120000
2000-12-12,38965870000
2000-12-13,38965870000
2000-12-14,38339250000
2000-12-15,37102500000
2000-12-18,38751500000
2000-12-19,38850440000
2000-12-20,36492370000
2000-12-21,39889310000
2000-12-22,37613690000
2000-12-26,39576000000
2000-12-27,38850440000
2000-12-28,39988250000
2000-12-29,38652560000
2001-01-02,44438680000
2001-01-03,45937640000
2001-01-04,49246320000
2001-01-05,47985000000
2001-01-08,46851640000
2001-01-09,48332320000
2001-01-10,47985000000
2001-01-11,49246320000
2001-01-12,48222640000
2001-01-16,49593640000
2001-01-17,49136640000
2001-01-18,49703320000
2001-01-19,48094680000
2001-01-22,49593640000
2001-01-23,49356000000
2001-01-24,50727000000
2001-01-25,51293680000
2001-01-26,51184000000
2001-01-29,51714120000
2001-01-30,51732400000
2001-01-31,51531320000
2001-02-01,51860360000
2001-02-02,51202280000
2001-02-05,52006600000
2001-02-06,52536720000
2001-02-07,49831280000
2001-02-08,51202280000
2001-02-09,49209760000
2001-02-12,50818400000
2001-02-13,51037760000
2001-02-14,50928080000
2001-02-15,51184000000
2001-02-16,50452800000
2001-02-20,50653880000
2001-02-21,50599040000
2001-02-22,50288280000
2001-02-23,51823800000
2001-02-26,52280800000
2001-02-27,51970040000
2001-02-28,50836680000
2001-03-01,51567880000
2001-03-02,51293680000
2001-03-05,51732400000
2001-03-06,53085120000
2001-03-07,53158240000
2001-03-08,55479800000
2001-03-09,55022800000
2001-03-12,55297000000
2001-03-13,54547520000
2001-03-14,52445320000
2001-03-15,52280800000
2001-03-16,51970040000
2001-03-19,54492680000
2001-03-20,52682960000
2001-03-21,51641000000
2001-03-22,50836680000
2001-03-23,51001200000
2001-03-26,52993720000
2001-03-27,51403360000
2001-03-28,51074320000
2001-03-29,52079720000
2001-03-30,51403360000
2001-04-02,52041590000
2001-04-03,49786030000
2001-04-04,51968830000
2001-04-05,51568650000
2001-04-06,50568200000
2001-04-09,52751000000
2001-04-10,52678240000
2001-04-11,51259420000
2001-04-12,52751000000
2001-04-16,53078420000
2001-04-17,52532720000
2001-04-18,55861490000
2001-04-19,55115700000
2001-04-20,54570000000
2001-04-23,54679140000
2001-04-24,53969730000
2001-04-25,52387200000
2001-04-26,53114800000
2001-04-27,53860590000
2001-04-30,53624120000
2001-05-01,51477700000
2001-05-02,53205750000
2001-05-03,52205300000
2001-05-04,52896520000
2001-05-07,51750550000
2001-05-08,51223040000
2001-05-09,51077520000
2001-05-10,51695980000
2001-05-11,50604580000
2001-05-14,50568200000
2001-05-15,50859240000
2001-05-16,51095710000
2001-05-17,50131640000
2001-05-18,49349470000
2001-05-21,48476350000
2001-05-22,47257620000
2001-05-23,46912010000
2001-05-24,46657350000
2001-05-25,45002060000
2001-05-29,45456810000
2001-05-30,44747400000
2001-05-31,44292650000
2001-06-01,44729210000
2001-06-04,44729210000
2001-06-05,44056180000
2001-06-06,44056180000
2001-06-07,43910660000
2001-06-08,43656000000
2001-06-11,45165770000
2001-06-12,44856540000
2001-06-13,44711020000
2001-06-14,44529120000
2001-06-15,43819710000
2001-06-18,45475000000
2001-06-19,45002060000
2001-06-20,44838350000
2001-06-21,47112100000
2001-06-22,45820610000
2001-06-25,45620520000
2001-06-26,45093010000
2001-06-27,44147130000
2001-06-28,45129390000
2001-06-29,44656450000
2001-07-02,45463080000
2001-07-03,45390600000
2001-07-05,45354360000
2001-07-06,43995360000
2001-07-09,44158440000
2001-07-10,44847000000
2001-07-11,45879840000
2001-07-12,45771120000
2001-07-13,46387200000
2001-07-16,45300000000
2001-07-17,46604640000
2001-07-18,45916080000
2001-07-19,46459680000
2001-07-20,46677120000
2001-07-23,46242240000
2001-07-24,45716760000
2001-07-25,46206000000
2001-07-26,45463080000
2001-07-27,45771120000
2001-07-30,45589920000
2001-07-31,46151640000
2001-08-01,45354360000
2001-08-02,45517440000
2001-08-03,45209400000
2001-08-06,44665800000
2001-08-07,44847000000
2001-08-08,44158440000
2001-08-09,44158440000
2001-08-10,44883240000
2001-08-13,43016880000
2001-08-14,41657880000
2001-08-15,40860600000
2001-08-16,42527640000
2001-08-17,39320400000
2001-08-20,36964800000
2001-08-21,36421200000
2001-08-22,36801720000
2001-08-23,36384960000
2001-08-24,36946680000
2001-08-27,36693000000
2001-08-28,36819840000
2001-08-29,36584280000
2001-08-30,35805120000
2001-08-31,36004440000
2001-09-04,36693000000
2001-09-05,36185640000
2001-09-06,35152800000
2001-09-07,33993120000
2001-09-10,35152800000
2001-09-17,29988600000
2001-09-18,30677160000
2001-09-19,29771160000
2001-09-20,28067880000
2001-09-21,27796080000
2001-09-24,29771160000
2001-09-25,29209440000
2001-09-26,29680560000
2001-09-27,30006719999
2001-09-28,31438200000
2001-10-01,31221639999
2001-10-02,32235800000
2001-10-03,32507450000
2001-10-04,31221639999
2001-10-05,32000370000
2001-10-08,31312190000
2001-10-09,31783050000
2001-10-10,32833430000
2001-10-11,32598000000
2001-10-12,32109030000
2001-10-15,32109030000
2001-10-16,32018480000
2001-10-17,31022430000
2001-10-18,30370470000
2001-10-19,29899610000
2001-10-22,29972050000
2001-10-23,30551570000
2001-10-24,29084659999
2001-10-25,29917720000
2001-10-26,30171260000
2001-10-29,29356310000
2001-10-30,29066550000
2001-10-31,29066550000
2001-11-01,29646070000
2001-11-02,29501190000
2001-11-05,29301980000
2001-11-06,29664180000
2001-11-07,29483080000
2001-11-08,30370470000
2001-11-09,29809060000
2001-11-12,29356310000
2001-11-13,29754730000
2001-11-14,29591740000
2001-11-15,30370470000
2001-11-16,30877550000
2001-11-19,31783050000
2001-11-20,31294080000
2001-11-21,31022430000
2001-11-23,32380680000
2001-11-26,33648379999
2001-11-27,33123190000
2001-11-28,32435010000
2001-11-29,33068860000
2001-11-30,34300340000
2001-12-03,32235800000
2001-12-04,32127139999
2001-12-05,30406690000
2001-12-06,31438960000
2001-12-07,31022430000
2001-12-10,30171260000
2001-12-11,30171260000
2001-12-12,30153149999
2001-12-13,29283870000
2001-12-14,29157100000
2001-12-17,27165000000
2001-12-18,27309880000
2001-12-19,27038230000
2001-12-20,27617750000
2001-12-21,27979950000
2001-12-24,27762630000
2001-12-26,27889400000
2001-12-27,28505140000
2001-12-28,28885450000
2001-12-31,28406040000
2002-01-02,29309539999
2002-01-03,30231110000
2002-01-04,30610580000
2002-01-07,29815500000
2002-01-08,29923919999
2002-01-09,29472169999
2002-01-10,27629030000
2002-01-11,28008500000
2002-01-14,27737450000
2002-01-15,27177280000
2002-01-16,27032720000
2002-01-17,26562900000
2002-01-18,26201500000
2002-01-22,26075010000
