,FCX
2000-01-03,3416821140
2000-01-04,3226460000
2000-01-05,3349065480
2000-01-06,3245818760
2000-01-07,3245818760
2000-01-10,3187742480
2000-01-11,3207101240
2000-01-12,3155477880
2000-01-13,3136119120
2000-01-14,3065137000
2000-01-18,3145798500
2000-01-19,3226460000
2000-01-20,3074816380
2000-01-21,2965116740
2000-01-24,2884455240
2000-01-25,2842511260
2000-01-26,2690867640
2000-01-27,2874775860
2000-01-28,2813473120
2000-01-31,2813473120
2000-02-01,2813473120
2000-02-02,2813473120
2000-02-03,2823152500
2000-02-04,2994154880
2000-02-07,2965116740
2000-02-08,2903814000
2000-02-09,2894134620
2000-02-10,2874775860
2000-02-11,2932852140
2000-02-14,2965116740
2000-02-15,2955437360
2000-02-16,2903814000
2000-02-17,2923172760
2000-02-18,2903814000
2000-02-22,2865096480
2000-02-23,2690867640
2000-02-24,2410165620
2000-02-25,2258522000
2000-02-28,2219804480
2000-02-29,2219804480
2000-03-01,2268201380
2000-03-02,2148822360
2000-03-03,2206898640
2000-03-06,2148822360
2000-03-07,2248842620
2000-03-08,2187539880
2000-03-09,2139142980
2000-03-10,2106878380
2000-03-13,2087519620
2000-03-14,2035896259
2000-03-15,2148822360
2000-03-16,2219804480
2000-03-17,2126237140
2000-03-20,2219804480
2000-03-21,2239163240
2000-03-22,2035896259
2000-03-23,2219804480
2000-03-24,2187539880
2000-03-27,2177860500
2000-03-28,2206898640
2000-03-29,1997178740
2000-03-30,1964914140
2000-03-31,1910050740
2000-04-03,1919553479
2000-04-04,1900548000
2000-04-05,1941726540
2000-04-06,1929056220
2000-04-07,1732666260
2000-04-10,1830861240
2000-04-11,1691487720
2000-04-12,1761174479
2000-04-13,1802353020
2000-04-14,1732666260
2000-04-17,1672482240
2000-04-18,1583790000
2000-04-19,1643974020
2000-04-20,1583790000
2000-04-24,1583790000
2000-04-25,1593292740
2000-04-26,1555281780
2000-04-27,1583790000
2000-04-28,1523605979
2000-05-01,1574287260
2000-05-02,1691487720
2000-05-03,1653476760
2000-05-04,1960732020
2000-05-05,1811855760
2000-05-08,1783347540
2000-05-09,1751671740
2000-05-10,1723163520
2000-05-11,1643974020
2000-05-12,1681984979
2000-05-15,1723163520
2000-05-16,1821358500
2000-05-17,1792850280
2000-05-18,1742169000
2000-05-19,1681984979
2000-05-22,1612298220
2000-05-23,1593292740
2000-05-24,1574287260
2000-05-25,1564784520
2000-05-26,1504600500
2000-05-30,1514103240
2000-05-31,1453919220
2000-06-01,1425411000
2000-06-02,1485595020
2000-06-05,1504600500
2000-06-06,1485595020
2000-06-07,1453919220
2000-06-08,1434913740
2000-06-09,1406405520
2000-06-12,1396902780
2000-06-13,1415908260
2000-06-14,1485595020
2000-06-15,1485595020
2000-06-16,1533108720
2000-06-19,1533108720
2000-06-20,1434913740
2000-06-21,1495097760
2000-06-22,1523605979
2000-06-23,1533108720
2000-06-26,1523605979
2000-06-27,1523605979
2000-06-28,1476092280
2000-06-29,1425411000
2000-06-30,1389814880
2000-07-03,1464858880
2000-07-05,1398820160
2000-07-06,1407825440
2000-07-07,1359797280
2000-07-10,1398820160
2000-07-11,1407825440
2000-07-12,1368802560
2000-07-13,1332781440
2000-07-14,1302763840
2000-07-17,1302763840
2000-07-18,1293758560
2000-07-19,1248732160
2000-07-20,1266742720
2000-07-21,1248732160
2000-07-24,1227719840
2000-07-25,1248732160
2000-07-26,1239726880
2000-07-27,1239726880
2000-07-28,1323776160
2000-07-31,1350792000
2000-08-01,1350792000
2000-08-02,1359797280
2000-08-03,1314770880
2000-08-04,1323776160
2000-08-07,1302763840
2000-08-08,1314770880
2000-08-09,1302763840
2000-08-10,1275748000
2000-08-11,1323776160
2000-08-14,1359797280
2000-08-15,1368802560
2000-08-16,1389814880
2000-08-17,1359797280
2000-08-18,1323776160
2000-08-21,1302763840
2000-08-22,1314770880
2000-08-23,1332781440
2000-08-24,1407825440
2000-08-25,1407825440
2000-08-28,1359797280
2000-08-29,1332781440
2000-08-30,1332781440
2000-08-31,1473864160
2000-09-01,1452851840
2000-09-05,1464858880
2000-09-06,1491874720
2000-09-07,1443846560
2000-09-08,1482869440
2000-09-11,1500880000
2000-09-12,1527895840
2000-09-13,1575924000
2000-09-14,1500880000
2000-09-15,1491874720
2000-09-18,1425836000
2000-09-19,1368802560
2000-09-20,1302763840
2000-09-21,1341786720
2000-09-22,1350792000
2000-09-25,1341786720
2000-09-26,1302763840
2000-09-27,1350792000
2000-09-28,1314770880
2000-09-29,1323776160
2000-10-02,1286519640
2000-10-03,1286519640
2000-10-04,1286519640
2000-10-05,1260616560
2000-10-06,1223201000
2000-10-09,1269250920
2000-10-10,1231835360
2000-10-11,1223201000
2000-10-12,1249104080
2000-10-13,1223201000
2000-10-16,1159882360
2000-10-17,1142613640
2000-10-18,1159882360
2000-10-19,1159882360
2000-10-20,1151248000
2000-10-23,1125344920
2000-10-24,1125344920
2000-10-25,1116710560
2000-10-26,1116710560
2000-10-27,1116710560
2000-10-30,1159882360
2000-10-31,1142613640
2000-11-01,1079295000
2000-11-02,1096563720
2000-11-03,1079295000
2000-11-06,1070660640
2000-11-07,1070660640
2000-11-08,1096563720
2000-11-09,1079295000
2000-11-10,1053391920
2000-11-13,1024610720
2000-11-14,1015976360
2000-11-15,1024610720
2000-11-16,998707640
2000-11-17,972804560
2000-11-20,1015976360
2000-11-21,1015976360
2000-11-22,1044757560
2000-11-24,1062026280
2000-11-27,1096563720
2000-11-28,1116710560
2000-11-29,1125344920
2000-11-30,1159882360
2000-12-01,1205932280
2000-12-04,1295154000
2000-12-05,1260616560
2000-12-06,1269250920
2000-12-07,1277885280
2000-12-08,1269250920
2000-12-11,1197297920
2000-12-12,1188663560
2000-12-13,1133979280
2000-12-14,1168516720
2000-12-15,1151248000
2000-12-18,1188663560
2000-12-19,1168516720
2000-12-20,1197297920
2000-12-21,1269250920
2000-12-22,1277885280
2000-12-26,1286519640
2000-12-27,1260616560
2000-12-28,1312422720
2000-12-29,1231835360
2001-01-02,1197297920
2001-01-03,1269250920
2001-01-04,1197297920
2001-01-05,1197297920
2001-01-08,1249104080
2001-01-09,1240469720
2001-01-10,1260616560
2001-01-11,1269250920
2001-01-12,1286519640
2001-01-16,1295154000
2001-01-17,1303788360
2001-01-18,1528281720
2001-01-19,1565697280
2001-01-22,1709603280
2001-01-23,1709603280
2001-01-24,1663553360
2001-01-25,1654919000
2001-01-26,1600234720
2001-01-29,1614625320
2001-01-30,1646284640
2001-01-31,1683700200
2001-02-01,1804581239
2001-02-02,1839118680
2001-02-05,1847753040
2001-02-06,1821849960
2001-02-07,1844874920
2001-02-08,1844874920
2001-02-09,1856387400
2001-02-12,1833362440
2001-02-13,1810337480
2001-02-14,1775800040
2001-02-15,1816093720
2001-02-16,1793068760
2001-02-20,1729750120
2001-02-21,1770043800
2001-02-22,1922584160
2001-02-23,1893802960
2001-02-26,2029074600
2001-02-27,2014684000
2001-02-28,2023318360
2001-03-01,2020440239
2001-03-02,2020440239
2001-03-05,2095271360
2001-03-06,2054977680
2001-03-07,2052099560
2001-03-08,2080880760
2001-03-09,2066490160
2001-03-12,1968634080
2001-03-13,1893802960
2001-03-14,1844874920
2001-03-15,1836240560
2001-03-16,1793068760
2001-03-19,1821849960
2001-03-20,1821849960
2001-03-21,1821849960
2001-03-22,1787312520
2001-03-23,1804581239
2001-03-26,1816093720
2001-03-27,1873656120
2001-03-28,1790190640
2001-03-29,1836240560
2001-03-30,1879412360
2001-04-02,1828215800
2001-04-03,1799425000
2001-04-04,1943379000
2001-04-05,1957774400
2001-04-06,1888676480
2001-04-09,1957774400
2001-04-10,1972169800
2001-04-11,1983686120
2001-04-12,2009597840
2001-04-16,2041267720
2001-04-17,2049904960
2001-04-18,2015356000
2001-04-19,2000960600
2001-04-20,2000960600
2001-04-23,2000960600
2001-04-24,2015356000
2001-04-25,2012476920
2001-04-26,2064300360
2001-04-27,2052784040
2001-04-30,2038388640
2001-05-01,2078695760
2001-05-02,2072937600
2001-05-03,2015356000
2001-05-04,2015356000
2001-05-07,2000960600
2001-05-08,2012476920
2001-05-09,2035509560
2001-05-10,2087333000
2001-05-11,2070058520
2001-05-14,2087333000
2001-05-15,2087333000
2001-05-16,2219770680
2001-05-17,2254319640
2001-05-18,2332054800
2001-05-21,2444338920
2001-05-22,2369482840
2001-05-23,2300384920
2001-05-24,2311901240
2001-05-25,2329175720
2001-05-29,2300384920
2001-05-30,2257198720
2001-05-31,2257198720
2001-06-01,2300384920
2001-06-04,2343571120
2001-06-05,2360845600
2001-06-06,2251440560
2001-06-07,2216891600
2001-06-08,2297505840
2001-06-11,2205375280
2001-06-12,2185221720
2001-06-13,2156430920
2001-06-14,2113244720
2001-06-15,2159310000
2001-06-18,2156430920
2001-06-19,2110365640
2001-06-20,2015356000
2001-06-21,1972169800
2001-06-22,1888676480
2001-06-25,1862764760
2001-06-26,1839732120
2001-06-27,1793666840
2001-06-28,1756238800
2001-06-29,1592131240
2001-07-02,1543390560
2001-07-03,1543390560
2001-07-05,1500198660
2001-07-06,1497319200
2001-07-09,1543390560
2001-07-10,1661448419
2001-07-11,1713278700
2001-07-12,1713278700
2001-07-13,1713278700
2001-07-16,1681604640
2001-07-17,1765108980
2001-07-18,1811180340
2001-07-19,1837095480
2001-07-20,1822698180
2001-07-23,1730555460
2001-07-24,1713278700
2001-07-25,1701760860
2001-07-26,1684484100
2001-07-27,1742073300
2001-07-30,1511716500
2001-07-31,1549149480
2001-08-01,1583703000
2001-08-02,1569305700
2001-08-03,1572185160
2001-08-06,1580823540
2001-08-07,1580823540
2001-08-08,1580823540
2001-08-09,1598100300
2001-08-10,1572185160
2001-08-13,1586582460
2001-08-14,1603859220
2001-08-15,1612497600
2001-08-16,1624015440
2001-08-17,1698881400
2001-08-20,1707519780
2001-08-21,1730555460
2001-08-22,1696001940
2001-08-23,1739193840
2001-08-24,1802541960
2001-08-27,1776626820
2001-08-28,1785265200
2001-08-29,1785265200
2001-08-30,1762229520
2001-08-31,1782385740
2001-09-04,1736314380
2001-09-05,1765108980
2001-09-06,1730555460
2001-09-07,1739193840
2001-09-10,1724796540
2001-09-17,1629774360
2001-09-18,1655689500
2001-09-19,1675845720
2001-09-20,1701760860
2001-09-21,1721917080
2001-09-24,1652810040
2001-09-25,1540511100
2001-09-26,1546270020
2001-09-27,1520354880
2001-09-28,1583703000
2001-10-01,1517507039
2001-10-02,1529025120
2001-10-03,1529025120
2001-10-04,1480073280
2001-10-05,1505988960
2001-10-08,1422482880
2001-10-09,1393687680
2001-10-10,1431121440
2001-10-11,1367772000
2001-10-12,1439760000
2001-10-15,1442639520
2001-10-16,1552061280
2001-10-17,1480073280
2001-10-18,1462796160
2001-10-19,1439760000
2001-10-22,1442639520
2001-10-23,1511748000
2001-10-24,1549181760
2001-10-25,1563579360
2001-10-26,1526145600
2001-10-29,1459916640
2001-10-30,1471434720
2001-10-31,1598133600
2001-11-01,1603892640
2001-11-02,1598133600
2001-11-05,1595254080
2001-11-06,1612531200
2001-11-07,1626928800
2001-11-08,1661483039
2001-11-09,1730591520
2001-11-12,1696037280
2001-11-13,1626928800
2001-11-14,1744989120
2001-11-15,1716193920
2001-11-16,1664362560
2001-11-19,1698916800
2001-11-20,1675880640
2001-11-21,1701796320
2001-11-23,1673001120
2001-11-26,1701796320
2001-11-27,1776663840
2001-11-28,1831374720
2001-11-29,1808338560
2001-11-30,1923519360
2001-12-03,1917760320
2001-12-04,1986868800
2001-12-05,2024302560
2001-12-06,2007025440
2001-12-07,1986868800
2001-12-10,1886085600
2001-12-11,1871688000
2001-12-12,1871688000
2001-12-13,1796820480
2001-12-14,1837133760
2001-12-17,1759386720
2001-12-18,1888965120
2001-12-19,1811218080
2001-12-20,1894724160
2001-12-21,1799700000
2001-12-24,1831374720
2001-12-26,1865928960
2001-12-27,1871688000
2001-12-28,1865928960
2001-12-31,1931047200
2002-01-02,1913754240
2002-01-03,1899343440
2002-01-04,1910872080
2002-01-07,1982926080
2002-01-08,1925282880
2002-01-09,1997336880
2002-01-10,1959868800
2002-01-11,1974279600
2002-01-14,1951222319
2002-01-15,1980043920
2002-01-16,1939693680
2002-01-17,1945458000
2002-01-18,1959868800
2002-01-22,1965633120
2002-01-23,2008865520
2002-01-24,2040569280
2002-01-25,2132798400
2002-01-28,2080919520
2002-01-29,2170266480
2002-01-30,2170266480
2002-01-31,2242320480
2002-02-01,2285552880
2002-02-04,2236556160
2002-02-05,2233674000
2002-02-06,2222145360
2002-02-07,2207734560
2002-02-08,2242320480
2002-02-11,2233674000
2002-02-12,2213498880
2002-02-13,2299963680
2002-02-14,2230791840
2002-02-15,2262495600
2002-02-19,2150091360
2002-02-20,2080919520
2002-02-21,2060744400
2002-02-22,2014629840
2002-02-25,2046333600
2002-02-26,2080919520
2002-02-27,2118387600
2002-02-28,2112623280
2002-03-01,2225027520
2002-03-04,2285552880
2002-03-05,2190441600
2002-03-06,2253849120
2002-03-07,2227909680
2002-03-08,2204852400
2002-03-11,2227909680
2002-03-12,2274024240
2002-03-13,2236556160
2002-03-14,2219263200
2002-03-15,2196205920
2002-03-18,2233674000
2002-03-19,2320138800
2002-03-20,2374899840
2002-03-21,2325903120
2002-03-22,2331667440
2002-03-25,2334549600
2002-03-26,2372017680
2002-03-27,2550711600
2002-03-28,2539182960
2002-04-01,2598776080
2002-04-02,2569836480
2002-04-03,2480123720
2002-04-04,2497487480
2002-04-05,2480123720
2002-04-08,2517745200
2002-04-09,2543790839
2002-04-10,2569836480
2002-04-11,2526427080
2002-04-12,2540896880
2002-04-15,2520639160
2002-04-16,2549578760
2002-04-17,2665337160
2002-04-18,2647973400
2002-04-19,2636397560
2002-04-22,2650867360
2002-04-23,2636397560
2002-04-24,2552472720
2002-04-25,2506169360
2002-04-26,2619033800
2002-04-29,2662443200
2002-04-30,2569836480
2002-05-01,2578518360
2002-05-02,2546684800
2002-05-03,2587200240
2002-05-06,2561154600
2002-05-07,2558260640
2002-05-08,2610351920
2002-05-09,2630609640
2002-05-10,2650867360
2002-05-13,2714534480
2002-05-14,2598776080
2002-05-15,2642185480
2002-05-16,2639291520
2002-05-17,2691382800
2002-05-20,2763731800
2002-05-21,2833186839
2002-05-22,2859232480
2002-05-23,2928687520
2002-05-24,2902641880
2002-05-28,3009718400
2002-05-29,2873702280
2002-05-30,2769519720
2002-05-31,2859232480
2002-06-03,2917111680
2002-06-04,2879490200
2002-06-05,2908429800
2002-06-06,2870808320
2002-06-07,2769519720
2002-06-10,2691382800
2002-06-11,2676913000
2002-06-12,2668231120
2002-06-13,2627715680
2002-06-14,2720322400
2002-06-17,2665337160
2002-06-18,2694276760
2002-06-19,2731898240
2002-06-20,2786883480
2002-06-21,2786883480
2002-06-24,2775307640
2002-06-25,2757943880
2002-06-26,2734792200
2002-06-27,2676913000
2002-06-28,2584306280
2002-07-01,2639968680
2002-07-02,2471891640
2002-07-03,2408138280
2002-07-05,2477687400
2002-07-08,2532747120
2002-07-09,2639968680
2002-07-10,2613887760
2002-07-11,2573317440
2002-07-12,2497972560
2002-07-15,2515359840
2002-07-16,2408138280
2002-07-17,2355976440
2002-07-18,2329895519
2002-07-19,2280631560
2002-07-22,2115452400
2002-07-23,1877826240
2002-07-24,2011128720
2002-07-25,2109656640
2002-07-26,2100963000
2002-07-29,2222673960
2002-07-30,2254550640
2002-07-31,2213980320
2002-08-01,2158920600
2002-08-02,2129941800
2002-08-05,2037209640
2002-08-06,2115452400
2002-08-07,2182103640
2002-08-08,2205286680
2002-08-09,2347282800
2002-08-12,2298018840
2002-08-13,2257448520
2002-08-14,2277733680
2002-08-15,2347282800
2002-08-16,2303814600
2002-08-19,2260346400
2002-08-20,2289325200
2002-08-21,2324099760
2002-08-22,2411036160
2002-08-23,2338589160
2002-08-26,2419729800
2002-08-27,2489278920
