,FDS
2000-01-03,1259377065
2000-01-04,1163716065
2000-01-05,1163716065
2000-01-06,1130234715
2000-01-07,1124016750
2000-01-10,1022616090
2000-01-11,1069011675
2000-01-12,1031225579
2000-01-13,1054184220
2000-01-14,1094361840
2000-01-18,1125929970
2000-01-19,1179021825
2000-01-20,1187631315
2000-01-21,1176630300
2000-01-24,1178065215
2000-01-25,1152715050
2000-01-26,1125929970
2000-01-27,1124016750
2000-01-28,1091970315
2000-01-31,1068055064
2000-02-01,1072359810
2000-02-02,1057054050
2000-02-03,1072359810
2000-02-04,1030268970
2000-02-07,994396095
2000-02-08,964741185
2000-02-09,950870340
2000-02-10,950870340
2000-02-11,960436439
2000-02-14,903039840
2000-02-15,882951030
2000-02-16,886777470
2000-02-17,888690689
2000-02-18,908779500
2000-02-22,908779500
2000-02-23,903039840
2000-02-24,884864250
2000-02-25,879124590
2000-02-28,930781530
2000-02-29,976821719
2000-03-01,1011360735
2000-03-02,1040062170
2000-03-03,1037629844
2000-03-06,983145765
2000-03-07,946660890
2000-03-08,938390985
2000-03-09,952498469
2000-03-10,999199110
2000-03-13,1074114720
2000-03-14,1045899750
2000-03-15,1003577295
2000-03-16,1096492110
2000-03-17,1070223000
2000-03-20,1009414875
2000-03-21,940336844
2000-03-22,875637000
2000-03-23,871745280
2000-03-24,879528719
2000-03-27,847422030
2000-03-28,847422030
2000-03-29,839152125
2000-03-30,814828875
2000-03-31,877582860
2000-04-03,859583655
2000-04-04,851313750
2000-04-05,875637000
2000-04-06,916013594
2000-04-07,948606750
2000-04-10,914067735
2000-04-11,885852765
2000-04-12,883906905
2000-04-13,912121875
2000-04-14,894122670
2000-04-17,932553405
2000-04-18,956876655
2000-04-19,942769170
2000-04-20,972930000
2000-04-24,972930000
2000-04-25,956876655
2000-04-26,956876655
2000-04-27,970984140
2000-04-28,932553405
2000-05-01,962714235
2000-05-02,960768375
2000-05-03,958822515
2000-05-04,972930000
2000-05-05,988983344
2000-05-08,970984140
2000-05-09,960768375
2000-05-10,981199905
2000-05-11,940336844
2000-05-12,938390985
2000-05-15,899960250
2000-05-16,855205469
2000-05-17,861529515
2000-05-18,776398140
2000-05-19,727751640
2000-05-22,701482530
2000-05-23,723859920
2000-05-24,780289860
2000-05-25,772506420
2000-05-26,788559765
2000-05-30,823098780
2000-05-31,846798645
2000-06-01,887733000
2000-06-02,894144405
2000-06-05,916337729
2000-06-06,949381125
2000-06-07,947408385
2000-06-08,933106020
2000-06-09,943462905
2000-06-12,953326604
2000-06-13,916337729
2000-06-14,898089885
2000-06-15,928667354
2000-06-16,902035365
2000-06-19,908446770
2000-06-20,906474030
2000-06-21,902035365
2000-06-22,896117145
2000-06-23,885760260
2000-06-26,900062625
2000-06-27,920776395
2000-06-28,990315479
2000-06-29,986370000
2000-06-30,928667354
2000-07-03,937051500
2000-07-05,928667354
2000-07-06,982424520
2000-07-07,998699625
2000-07-10,1025331615
2000-07-11,1099309365
2000-07-12,1136298240
2000-07-13,1125941355
2000-07-14,1132352760
2000-07-17,1134325500
2000-07-18,1123968615
2000-07-19,1093391145
2000-07-20,1107693510
2000-07-21,1060347750
2000-07-24,1064293229
2000-07-25,1079088780
2000-07-26,1101282105
2000-07-27,1037661240
2000-07-28,1007083770
2000-07-31,1072677375
2000-08-01,1074650115
2000-08-02,1088952480
2000-08-03,1085007000
2000-08-04,1118050395
2000-08-07,1125941355
2000-08-08,1116077655
2000-08-09,1086979740
2000-08-10,1128407280
2000-08-11,1101282105
2000-08-14,1120023135
2000-08-15,1109666250
2000-08-16,1123968615
2000-08-17,1169341635
2000-08-18,1130380020
2000-08-21,1140736905
2000-08-22,1113611730
2000-08-23,1132352760
2000-08-24,1113611730
2000-08-25,1128407280
2000-08-28,1105720770
2000-08-29,1091418405
2000-08-30,1107693510
2000-08-31,1123968615
2000-09-01,1130380020
2000-09-05,1103748030
2000-09-06,1107693510
2000-09-07,1134325500
2000-09-08,1101282105
2000-09-11,1134325500
2000-09-12,1195973625
2000-09-13,1229017020
2000-09-14,1241346645
2000-09-15,1243319385
2000-09-18,1224578355
2000-09-19,1264033155
2000-09-20,1248744420
2000-09-21,1236907980
2000-09-22,1286226480
2000-09-25,1208303250
2000-09-26,1232962500
2000-09-27,1183644000
