,FE
2000-01-03,4960389540
2000-01-04,4960389540
2000-01-05,5144773920
2000-01-06,5158265460
2000-01-07,5185248540
2000-01-10,5200988670
2000-01-11,5257203420
2000-01-12,5270694960
2000-01-13,5257203420
2000-01-14,5227971750
2000-01-18,5144773920
2000-01-19,5129033790
2000-01-20,5115542250
2000-01-21,5171757000
2000-01-24,5200988670
2000-01-25,5129033790
2000-01-26,5200988670
2000-01-27,5200988670
2000-01-28,5102050710
2000-01-31,5115542250
2000-02-01,5158265460
2000-02-02,5144773920
2000-02-03,5144773920
2000-02-04,5016604290
2000-02-07,4946898000
2000-02-08,4976129670
2000-02-09,5016604290
2000-02-10,4946898000
2000-02-11,4877191710
2000-02-14,4863700170
2000-02-15,4863700170
2000-02-16,4863700170
2000-02-17,4722039000
2000-02-18,4596117960
2000-02-22,4510671540
2000-02-23,4526411670
2000-02-24,4398242040
2000-02-25,4272321000
2000-02-28,4315044210
2000-02-29,4159891500
2000-03-01,4272321000
2000-03-02,4258829460
2000-03-03,4315044210
2000-03-06,4159891500
2000-03-07,4090185210
2000-03-08,4090185210
2000-03-09,4159891500
2000-03-10,4117168289
2000-03-13,4090185210
2000-03-14,4132908420
2000-03-15,4285812539
2000-03-16,4526411670
2000-03-17,4384750500
2000-03-20,4398242040
2000-03-21,4454456790
2000-03-22,4384750500
2000-03-23,4384750500
2000-03-24,4483688460
2000-03-27,4510671540
2000-03-28,4454456790
2000-03-29,4526411670
2000-03-30,4623101040
2000-03-31,4611671460
2000-04-03,4707794520
2000-04-04,4792740480
2000-04-05,4917924000
2000-04-06,4891098960
2000-04-07,4835213460
2000-04-10,4875451020
2000-04-11,4973809500
2000-04-12,5141466000
2000-04-13,5449953960
2000-04-14,5407480980
2000-04-17,5546077020
2000-04-18,5631022980
2000-04-19,5519251980
2000-04-20,5463366480
2000-04-24,5756206500
2000-04-25,5854564980
2000-04-26,5979748500
2000-04-27,5769619020
2000-04-28,5686908480
2000-05-01,5644435500
2000-05-02,5601962520
2000-05-03,5476779000
2000-05-04,5449953960
2000-05-05,5351595480
2000-05-08,5463366480
2000-05-09,5449953960
2000-05-10,5449953960
2000-05-11,5490191520
2000-05-12,5394068460
2000-05-15,5519251980
2000-05-16,5490191520
2000-05-17,5309122500
2000-05-18,5463366480
2000-05-19,5532664500
2000-05-22,5617610460
2000-05-23,5561724960
2000-05-24,5601962520
2000-05-25,5588550000
2000-05-26,5657848020
2000-05-30,5601962520
2000-05-31,5617610460
2000-06-01,5617610460
2000-06-02,5519251980
2000-06-05,5322535020
2000-06-06,5434306020
2000-06-07,5476779000
2000-06-08,5476779000
2000-06-09,5532664500
2000-06-12,5575137480
2000-06-13,5644435500
2000-06-14,5519251980
2000-06-15,5644435500
2000-06-16,5657848020
2000-06-19,5588550000
2000-06-20,5561724960
2000-06-21,5532664500
2000-06-22,5505839460
2000-06-23,5463366480
2000-06-26,5588550000
2000-06-27,5449953960
2000-06-28,5601962520
2000-06-29,5420893500
2000-06-30,5186759480
2000-07-03,5337614760
2000-07-05,5297682480
2000-07-06,5324304000
2000-07-07,5393076260
2000-07-10,5421916240
2000-07-11,5503999260
2000-07-12,5448537760
2000-07-13,5393076260
2000-07-14,5353143980
2000-07-17,5393076260
2000-07-18,5448537760
2000-07-19,5643762240
2000-07-20,5614922260
2000-07-21,5601611500
2000-07-24,5559460760
2000-07-25,5588300740
2000-07-26,5519528480
2000-07-27,5588300740
2000-07-28,5574989980
2000-07-31,5657073000
2000-08-01,5963220480
2000-08-02,5963220480
2000-08-03,5976531240
2000-08-04,5976531240
2000-08-07,5630451480
2000-08-08,5614922260
2000-08-09,5601611500
2000-08-10,5574989980
2000-08-11,5670383760
2000-08-14,5643762240
2000-08-15,5670383760
2000-08-16,5588300740
2000-08-17,5519528480
2000-08-18,5435227000
2000-08-21,5310993240
2000-08-22,5268842500
2000-08-23,5297682480
2000-08-24,5200070240
2000-08-25,5131297980
2000-08-28,5255531740
2000-08-29,5268842500
2000-08-30,5310993240
2000-08-31,5490688500
2000-09-01,5532839240
2000-09-05,5657073000
2000-09-06,5670383760
2000-09-07,5699223740
2000-09-08,5865608240
2000-09-11,5947691260
2000-09-12,5947691260
2000-09-13,6100765000
2000-09-14,6045303500
2000-09-15,6087454240
2000-09-18,6058614260
2000-09-19,5852297480
2000-09-20,5741374480
2000-09-21,5754685240
2000-09-22,5852297480
2000-09-25,5754685240
2000-09-26,5878919000
2000-09-27,5947691260
2000-09-28,5989842000
2000-09-29,5976531240
2000-10-02,6105157110
2000-10-03,5817571500
2000-10-04,5666095110
2000-10-05,5543157750
2000-10-06,5543157750
2000-10-09,5529985890
2000-10-10,5666095110
2000-10-11,5666095110
2000-10-12,5584868640
2000-10-13,5626579530
2000-10-16,5694634140
2000-10-17,5611212360
2000-10-18,5488275000
2000-10-19,5556329610
2000-10-20,5584868640
2000-10-23,5584868640
2000-10-24,5626579530
2000-10-25,5516814030
2000-10-26,5407048530
2000-10-27,5529985890
2000-10-30,5694634140
2000-10-31,5681462280
2000-11-01,5720977860
2000-11-02,5681462280
2000-11-03,5516814030
2000-11-06,5584868640
2000-11-07,5543157750
2000-11-08,5598040500
2000-11-09,5720977860
2000-11-10,5736345030
2000-11-13,5791227780
2000-11-14,5775860610
2000-11-15,5859282390
2000-11-16,6065641530
2000-11-17,6133696140
2000-11-20,6120524280
2000-11-21,6091985250
2000-11-22,6091985250
2000-11-24,6120524280
2000-11-27,6214922610
2000-11-28,6269805360
2000-11-29,6449820780
2000-11-30,6476164500
2000-12-01,6559586280
2000-12-04,6669351780
2000-12-05,6653984610
2000-12-06,6614469030
2000-12-07,6614469030
2000-12-08,6599101860
2000-12-11,6517875390
2000-12-12,6627640890
2000-12-13,6834000030
2000-12-14,6708867360
2000-12-15,6559586280
2000-12-18,6599101860
2000-12-19,6627640890
2000-12-20,6682523640
2000-12-21,6805461000
2000-12-22,6818632860
2000-12-26,6998648280
2000-12-27,6998648280
2000-12-28,6970109250
2000-12-29,6928398360
2001-01-02,6680617410
2001-01-03,6543210000
2001-01-04,6174609170
2001-01-05,6135349910
2001-01-08,6135349910
2001-01-09,6093909580
2001-01-10,6039382830
2001-01-11,5725308750
2001-01-12,5862716160
2001-01-16,5725308750
2001-01-17,5629341670
2001-01-18,5888889000
2001-01-19,6026296410
2001-01-22,6257489830
2001-01-23,6216049500
2001-01-24,6120082420
2001-01-25,6106996000
2001-01-26,6065555670
2001-01-29,6148436330
2001-01-30,6130987770
2001-01-31,6074279950
2001-02-01,6096090650
2001-02-02,6061193530
2001-02-05,6063374600
2001-02-06,5971769660
2001-02-07,5954321100
2001-02-08,6106996000
2001-02-09,6106996000
2001-02-12,6128806700
2001-02-13,6098271720
2001-02-14,6091728510
2001-02-15,6041563900
2001-02-16,6106996000
2001-02-20,6065555670
2001-02-21,6113539210
2001-02-22,6109177070
2001-02-23,5991399290
2001-02-26,6069917810
2001-02-27,6102633860
2001-02-28,6144074190
2001-03-01,6100452790
2001-03-02,6074279950
2001-03-05,6104814930
2001-03-06,6048107110
2001-03-07,6117901350
2001-03-08,6139712050
2001-03-09,6096090650
2001-03-12,6063374600
2001-03-13,6024115340
2001-03-14,5882345790
2001-03-15,5978312870
2001-03-16,5915061840
2001-03-19,5858354020
2001-03-20,5832181180
2001-03-21,5836543320
2001-03-22,5646790230
2001-03-23,5670782000
2001-03-26,5886707930
2001-03-27,5943415750
2001-03-28,5930329330
2001-03-29,6000123570
2001-03-30,6089547440
2001-04-02,6114416000
2001-04-03,6112232280
2001-04-04,6070741600
2001-04-05,6114416000
2001-04-06,5983392800
2001-04-09,6081660200
2001-04-10,6223602000
2001-04-11,6090395080
2001-04-12,6112232280
2001-04-16,6214867120
2001-04-17,6289113600
2001-04-18,6197397360
2001-04-19,6230153160
2001-04-20,6129702040
2001-04-23,6247622920
2001-04-24,6426687960
2001-04-25,6452892600
2001-04-26,6444157720
2001-04-27,6553343720
2001-04-30,6616671600
2001-05-01,6583915800
2001-05-02,6551160000
2001-05-03,6433239120
2001-05-04,6542425120
2001-05-07,6507485600
2001-05-08,6415769360
2001-05-09,6389564720
2001-05-10,6400483320
2001-05-11,6490015840
2001-05-14,6540241400
2001-05-15,6474729800
2001-05-16,6505301880
2001-05-17,6450708880
2001-05-18,6413585640
2001-05-21,6420136800
2001-05-22,6426687960
2001-05-23,6522771640
2001-05-24,6551160000
2001-05-25,6605753000
2001-05-29,6605753000
2001-05-30,6636325080
2001-05-31,6693101800
2001-06-01,6719306440
2001-06-04,6780450600
2001-06-05,6717122720
2001-06-06,6594834400
2001-06-07,6385197280
2001-06-08,6520587920
2001-06-11,6682183200
2001-06-12,6771715720
2001-06-13,6771715720
2001-06-14,6612304160
2001-06-15,6730225040
2001-06-18,6800104080
2001-06-19,6909290080
2001-06-20,6966066800
2001-06-21,6900555200
2001-06-22,6874350560
2001-06-25,6749878520
2001-06-26,6861248240
2001-06-27,6931127280
2001-06-28,7016292360
2001-06-29,7022843519
2001-07-02,7093375300
2001-07-03,7158953500
2001-07-05,7104305000
2001-07-06,7082445600
2001-07-09,7167697260
2001-07-10,7104305000
2001-07-11,6995008000
2001-07-12,6918500100
2001-07-13,6772042120
2001-07-16,6809203100
2001-07-17,6807017160
2001-07-18,6815760920
2001-07-19,6831062500
2001-07-20,6813574980
2001-07-23,6721765500
2001-07-24,6601538800
2001-07-25,6592795040
2001-07-26,6623398200
2001-07-27,6605910680
2001-07-30,6647443540
2001-07-31,6632141960
2001-08-01,6699906100
2001-08-02,6706463920
2001-08-03,6741438960
2001-08-06,6570935640
2001-08-07,6601538800
2001-08-08,6505357440
2001-08-09,6546890300
2001-08-10,6649629480
2001-08-13,6577493460
2001-08-14,6566563760
2001-08-15,6529402780
2001-08-16,6579679400
2001-08-17,6590609100
2001-08-20,6713021740
2001-08-21,6671488880
2001-08-22,6667117000
2001-08-23,6688976400
2001-08-24,6719579560
2001-08-27,6885711000
2001-08-28,7016867400
2001-08-29,7071515900
2001-08-30,7141465980
2001-08-31,7189556660
2001-09-04,7244205160
2001-09-05,7217973880
2001-09-06,7226717640
2001-09-07,7246391100
2001-09-10,7172069140
2001-09-17,7102119060
2001-09-18,7060586199
2001-09-19,7268250500
2001-09-20,7530563300
2001-09-21,7333828699
2001-09-24,7322899000
2001-09-25,7443125699
2001-09-26,7421266300
2001-09-27,7565538340
2001-09-28,7858454300
2001-10-01,9436664120
2001-10-02,9643306400
2001-10-03,9770470880
2001-10-04,9722784200
2001-10-05,9722784200
2001-10-08,9585022680
2001-10-09,9367783360
2001-10-10,9325395200
2001-10-11,9206178500
2001-10-12,9155842560
2001-10-15,9259163700
2001-10-16,9439313380
2001-10-17,9500246360
2001-10-18,9407522260
2001-10-19,9614164540
2001-10-22,9659201960
2001-10-23,9537336000
2001-10-24,9431365600
2001-10-25,9351887800
2001-10-26,9206178500
2001-10-29,9081663280
2001-10-30,9007484000
2001-10-31,9129349960
2001-11-01,9272410000
2001-11-02,9322745940
2001-11-05,9577074900
2001-11-06,9463156720
2001-11-07,9145245520
2001-11-08,9174387380
2001-11-09,9259163700
2001-11-12,9275059260
2001-11-13,9298902600
2001-11-14,9187633680
2001-11-15,9179685900
2001-11-16,9126700700
2001-11-19,9002185480
2001-11-20,9219424800
2001-11-21,9134648480
2001-11-23,9126700700
2001-11-26,9134648480
2001-11-27,9047222900
2001-11-28,8885618040
2001-11-29,8912110640
2001-11-30,8949200280
2001-12-03,9023379560
2001-12-04,9298902600
2001-12-05,9145245520
2001-12-06,8978342140
2001-12-07,9060469200
2001-12-10,9041924380
2001-12-11,8938603240
2001-12-12,8922707680
2001-12-13,9036625860
2001-12-14,9079014020
2001-12-17,9047222900
2001-12-18,9113454400
2001-12-19,9343940020
2001-12-20,9277708520
2001-12-21,9275059260
2001-12-24,9259163700
2001-12-26,9267111480
2001-12-27,9235320360
2001-12-28,9314798160
2001-12-31,10241829180
2002-01-02,10282819920
2002-01-03,10247685000
2002-01-04,10168631430
2002-01-07,10230117540
2002-01-08,10057370850
2002-01-09,10151063970
2002-01-10,10083722040
2002-01-11,10133496510
2002-01-14,10218405900
2002-01-15,10306243200
2002-01-16,10317954840
2002-01-17,10464350340
2002-01-18,10555115550
2002-01-22,10549259730
2002-01-23,10642952850
2002-01-24,10631241210
2002-01-25,10610745840
2002-01-28,10675159860
2002-01-29,10631241210
2002-01-30,10540476000
2002-01-31,10891825200
2002-02-01,11126058000
2002-02-04,11213895300
2002-02-05,11184616200
2002-02-06,11187544110
2002-02-07,11313444240
2002-02-08,11111418450
2002-02-11,10821555360
2002-02-12,10803987900
2002-02-13,10976734590
2002-02-14,10973806680
2002-02-15,10973806680
2002-02-19,10847906550
2002-02-20,10713222690
2002-02-21,10508268990
2002-02-22,10490701530
2002-02-25,10555115550
2002-02-26,10666376130
2002-02-27,10806915809
2002-02-28,10716150600
2002-03-01,10833267000
2002-03-04,11073355620
2002-03-05,11126058000
2002-03-06,11257813950
2002-03-07,11243174400
2002-03-08,11184616200
2002-03-11,11316372150
2002-03-12,10830339090
2002-03-13,10607817930
2002-03-14,10467278250
2002-03-15,10437999150
2002-03-18,10262324550
2002-03-19,9442509750
2002-03-20,9325393350
2002-03-21,9869984610
2002-03-22,9837777600
2002-03-25,9846561330
2002-03-26,10013452200
2002-03-27,10031019660
2002-03-28,10124712780
2002-04-01,10067298000
2002-04-02,9891450000
2002-04-03,9970581600
2002-04-04,9909034800
2002-04-05,9730256000
2002-04-08,9756633200
2002-04-09,9774218000
2002-04-10,9961789200
2002-04-11,9601300800
2002-04-12,9680432400
2002-04-15,9525100000
2002-04-16,9668709200
2002-04-17,9645262799
2002-04-18,9495792000
2002-04-19,9656986000
2002-04-22,9627678000
2002-04-23,9554408000
2002-04-24,9774218000
