,FICO
2000-01-03,773209658
2000-01-04,740229136
2000-01-05,732900142
2000-01-06,712745359
2000-01-07,727403396
2000-01-10,755803273
2000-01-11,771377410
2000-01-12,753054876
2000-01-13,754887124
2000-01-14,769545161
2000-01-18,780538652
2000-01-19,801609584
2000-01-20,793364392
2000-01-21,753971024
2000-01-24,761300018
2000-01-25,736564639
2000-01-26,717326005
2000-01-27,717326005
2000-01-28,701751868
2000-01-31,670603643
2000-02-01,687093880
2000-02-02,688009980
2000-02-03,686177731
2000-02-04,666939097
2000-02-07,670603643
2000-02-08,682513234
2000-02-09,668771395
2000-02-10,673351992
2000-02-11,674268140
2000-02-14,675184240
2000-02-15,666022997
2000-02-16,666939097
2000-02-17,666939097
2000-02-18,655029506
2000-02-22,666939097
2000-02-23,672435892
2000-02-24,682513234
2000-02-25,682513234
2000-02-28,683429383
2000-02-29,715493756
2000-03-01,741145236
2000-03-02,738396887
2000-03-03,756719373
2000-03-06,764048367
2000-03-07,757635521
2000-03-08,752138776
2000-03-09,731983993
2000-03-10,685261631
2000-03-13,578991119
2000-03-14,611055493
2000-03-15,590900710
2000-03-16,619300636
2000-03-17,611055493
2000-03-20,605558747
2000-03-21,606474847
2000-03-22,600062002
2000-03-23,592732959
2000-03-24,606474847
2000-03-27,598229753
2000-03-28,580823368
2000-03-29,574410474
2000-03-30,578991119
2000-03-31,557389773
2000-04-03,546636235
2000-04-04,526921505
2000-04-05,530506001
2000-04-06,556493625
2000-04-07,536778894
2000-04-10,531402101
2000-04-11,540363391
2000-04-12,541259491
2000-04-13,552909128
2000-04-14,541259491
2000-04-17,544843987
2000-04-18,545740135
2000-04-19,548428483
2000-04-20,558285873
2000-04-24,548428483
2000-04-25,569935510
2000-04-26,616534012
2000-04-27,630871998
2000-04-28,606676623
2000-05-01,618326260
2000-05-02,606676623
2000-05-03,612053367
2000-05-04,605780523
2000-05-05,616534012
2000-05-08,609365019
2000-05-09,590546389
2000-05-10,602195978
2000-05-11,609365019
2000-05-12,606676623
2000-05-15,609365019
2000-05-16,603988226
2000-05-17,601299878
2000-05-18,596819233
2000-05-19,606676623
2000-05-22,596819233
2000-05-23,605780523
2000-05-24,608468871
2000-05-25,604884375
2000-05-26,595026985
2000-05-30,601299878
2000-05-31,603988226
2000-06-01,607572771
2000-06-02,598611482
2000-06-05,612949516
2000-06-06,611157267
2000-06-07,621014608
2000-06-08,621910757
2000-06-09,621014608
2000-06-12,611157267
2000-06-13,610261119
2000-06-14,608468871
2000-06-15,603988226
2000-06-16,612053367
2000-06-19,612949516
2000-06-20,613845616
2000-06-21,612949516
2000-06-22,608468871
2000-06-23,611157267
2000-06-26,620118508
2000-06-27,619222360
2000-06-28,643417735
2000-06-29,648794480
2000-06-30,639055998
2000-07-03,637240500
2000-07-05,654487757
2000-07-06,658118753
2000-07-07,659026478
2000-07-10,668104018
2000-07-11,659026478
2000-07-12,689889996
2000-07-13,695336490
2000-07-14,684443501
2000-07-17,694428766
2000-07-18,708952751
2000-07-19,700782985
2000-07-20,704413981
2000-07-21,710768250
2000-07-24,679904731
2000-07-25,687166773
2000-07-26,725292235
2000-07-27,714399246
2000-07-28,678997007
2000-07-31,723476737
2000-08-01,720753514
2000-08-02,708952751
2000-08-03,702598483
2000-08-04,711676023
2000-08-07,723476737
2000-08-08,712583748
2000-08-09,709860476
2000-08-10,703506257
2000-08-11,706229480
2000-08-14,704413981
2000-08-15,698059762
2000-08-16,707137253
2000-08-17,710768250
2000-08-18,708044978
2000-08-21,704413981
2000-08-22,704413981
2000-08-23,688074498
2000-08-24,700782985
2000-08-25,701690759
2000-08-28,667196244
2000-08-29,657210980
2000-08-30,667196244
2000-08-31,667196244
2000-09-01,665380746
2000-09-05,655395481
2000-09-06,667196244
2000-09-07,667196244
2000-09-08,639055998
2000-09-11,622716514
2000-09-12,608192480
2000-09-13,580960007
2000-09-14,605469257
2000-09-15,612731250
2000-09-18,611823476
2000-09-19,614546748
2000-09-20,625439737
2000-09-21,614546748
2000-09-22,609100253
2000-09-25,595483992
2000-09-26,594576268
2000-09-27,595483992
2000-09-28,609100253
2000-09-29,619993242
2000-10-02,585901853
2000-10-03,581360007
2000-10-04,582268356
2000-10-05,578634860
2000-10-06,585901853
2000-10-09,583176755
2000-10-10,567734371
2000-10-11,570459518
2000-10-12,571367867
2000-10-13,577726510
2000-10-16,594077244
2000-10-17,582268356
2000-10-18,583176755
2000-10-19,583176755
2000-10-20,611336376
2000-10-23,604977733
2000-10-24,587718601
2000-10-25,566826021
2000-10-26,565917623
2000-10-27,557742231
2000-10-30,559558980
2000-10-31,595893992
2000-11-01,615878271
2000-11-02,621328516
2000-11-03,634045753
2000-11-06,621328516
2000-11-07,616786621
2000-11-08,615878271
2000-11-09,609519628
2000-11-10,594077244
2000-11-13,609519628
2000-11-14,595893992
2000-11-15,617695019
2000-11-16,621328516
2000-11-17,620420117
2000-11-20,606794481
2000-11-21,613153125
2000-11-22,610427978
2000-11-24,613153125
2000-11-27,617695019
2000-11-28,608611230
2000-11-29,623145264
2000-11-30,607702880
2000-12-01,612244726
2000-12-04,609519628
2000-12-05,632229005
2000-12-06,649488137
2000-12-07,648579739
2000-12-08,649488137
2000-12-11,644037893
2000-12-12,620420117
2000-12-13,634954103
2000-12-14,624962012
2000-12-15,634954103
2000-12-18,632229005
2000-12-19,624962012
2000-12-20,609519628
2000-12-21,621328516
2000-12-22,652213235
2000-12-26,681281255
2000-12-27,699448737
2000-12-28,717616268
2000-12-29,741233994
2001-01-02,700196228
2001-01-03,731615332
2001-01-04,687628616
2001-01-05,666981799
2001-01-08,684037869
2001-01-09,684037869
2001-01-10,689423989
2001-01-11,683140207
2001-01-12,688526326
2001-01-16,698400855
2001-01-17,693014735
2001-01-18,684037869
2001-01-19,686730953
2001-01-22,674163292
2001-01-23,678651750
2001-01-24,679549460
2001-01-25,675061003
2001-01-26,789964937
2001-01-29,861780059
2001-01-30,854598469
2001-01-31,847417025
2001-02-01,835495731
2001-02-02,826016178
2001-02-05,838081055
2001-02-06,861780059
2001-02-07,919519265
2001-02-08,907023444
2001-02-09,871546827
2001-02-12,877579314
2001-02-13,898405633
2001-02-14,914061354
2001-02-15,898405633
2001-02-16,900703791
2001-02-20,887633394
2001-02-21,887202450
2001-02-22,864652549
2001-02-23,866088916
2001-02-26,854598469
2001-02-27,875281157
2001-02-28,887633394
2001-03-01,873988616
2001-03-02,866088916
2001-03-05,862067322
2001-03-06,886915187
2001-03-07,890506030
2001-03-08,844544389
2001-03-09,867956129
2001-03-12,847417025
2001-03-13,840235435
2001-03-14,836070258
2001-03-15,841671801
2001-03-16,827308864
2001-03-19,826159761
2001-03-20,836070258
2001-03-21,795566577
2001-03-22,803609860
2001-03-23,829750508
2001-03-26,840953642
2001-03-27,859625582
2001-03-28,862498169
2001-03-29,861349066
2001-03-30,840379115
2001-04-02,848239998
2001-04-03,830095010
2001-04-04,844256958
2001-04-05,884382352
2001-04-06,871105585
2001-04-09,879219236
2001-04-10,873318412
2001-04-11,862991933
2001-04-12,868007676
2001-04-16,860484161
2001-04-17,871843144
2001-04-18,879956796
2001-04-19,908723207
2001-04-20,890283176
2001-04-23,894266216
2001-04-24,899871996
2001-04-25,930851235
2001-04-26,956667209
2001-04-27,997972728
2001-04-30,1024083895
2001-05-01,1048867266
2001-05-02,1057718377
2001-05-03,1090172785
2001-05-04,1090910444
2001-05-07,1077486056
2001-05-08,1090320356
2001-05-09,1080584064
2001-05-10,1088845188
2001-05-11,1098286387
2001-05-14,1091352960
2001-05-15,1060373721
2001-05-16,1076895968
2001-05-17,1073355543
2001-05-18,1076895968
2001-05-21,1089582648
2001-05-22,1094893484
2001-05-23,1090172785
2001-05-24,1112595806
2001-05-25,1130003235
2001-05-29,1139592005
2001-05-30,1130593222
2001-05-31,1106399939
2001-06-01,1115988859
2001-06-04,1172783972
2001-06-05,1168358416
2001-06-06,1158400766
2001-06-07,1158400766
2001-06-08,1153975211
2001-06-11,1146230438
2001-06-12,1171677583
2001-06-13,1184511834
2001-06-14,1159064689
2001-06-15,1209295205
2001-06-18,1186060788
2001-06-19,1175881980
2001-06-20,1166145588
2001-06-21,1203320595
2001-06-22,1180971310
2001-06-25,1225006107
2001-06-26,1241380733
2001-06-27,1273245153
2001-06-28,1344497257
2001-06-29,1367952932
2001-07-02,1378207771
2001-07-03,1376409938
2001-07-05,1449444067
2001-07-06,1426971938
2001-07-09,1427196736
2001-07-10,1425174206
2001-07-11,1455062061
2001-07-12,1488994725
2001-07-13,1491241953
2001-07-16,1566523108
2001-07-17,1527871240
2001-07-18,1484275622
2001-07-19,1437084388
2001-07-20,1432140537
2001-07-23,1424275315
2001-07-24,1415736000
2001-07-25,1447196839
2001-07-26,1470792355
2001-07-27,1327420972
2001-07-30,1408769719
2001-07-31,1402252833
2001-08-01,1403151623
2001-08-02,1382027932
2001-08-03,1382027932
2001-08-06,1355061549
2001-08-07,1364275108
2001-08-08,1355511045
2001-08-09,1337084028
2001-08-10,1334612051
2001-08-13,1324724450
2001-08-14,1342477274
2001-08-15,1344050308
2001-08-16,1364275108
2001-08-17,1358657114
2001-08-20,1393039274
2001-08-21,1409443913
2001-08-22,1415736000
2001-08-23,1439106818
2001-08-24,1422477583
2001-08-27,1393263971
2001-08-28,1393263971
2001-08-29,1377533577
2001-08-30,1355511045
2001-08-31,1370791994
2001-09-04,1333937858
2001-09-05,1289892743
2001-09-06,1253937549
2001-09-07,1196634067
2001-09-10,1190791274
2001-09-17,1176633914
2001-09-18,1148993286
2001-09-19,1131465160
2001-09-20,1075509914
2001-09-21,1006970342
2001-09-24,1077532394
2001-09-25,1059330074
2001-09-26,1043824377
2001-09-27,1042476141
2001-09-28,1061352604
2001-10-01,1053720407
2001-10-02,921065078
2001-10-03,861119534
2001-10-04,925851642
2001-10-05,900323471
2001-10-08,861575348
2001-10-09,1072410695
2001-10-10,1139649937
2001-10-11,1180221471
2001-10-12,1130304921
2001-10-15,1140105905
2001-10-16,1143068955
2001-10-17,1139877947
2001-10-18,1111158818
2001-10-19,1133723837
2001-10-22,1130077014
2001-10-23,1142613141
2001-10-24,1176574699
2001-10-25,1173155784
2001-10-26,1092924344
2001-10-29,1108195665
2001-10-30,1111158818
2001-10-31,1083807132
2001-11-01,1099762278
2001-11-02,1099762278
2001-11-05,1120503834
2001-11-06,1120275927
2001-11-07,1141473451
2001-11-08,1276408005
2001-11-09,1267518701
2001-11-12,1291223461
2001-11-13,1321994062
2001-11-14,1303759588
2001-11-15,1328148121
2001-11-16,1324273288
2001-11-19,1324273288
2001-11-20,1311737161
2001-11-21,1282789971
2001-11-23,1319486775
2001-11-26,1309457832
2001-11-27,1317435405
2001-11-28,1292363151
2001-11-29,1315384086
2001-11-30,1347978048
2001-12-03,1355271745
2001-12-04,1356183528
2001-12-05,1432084167
2001-12-06,1423422872
2001-12-07,1462170893
2001-12-10,1442796882
2001-12-11,1447355437
2001-12-12,1438238225
2001-12-13,1394019868
2001-12-14,1417724577
2001-12-17,1447355437
2001-12-18,1454193422
2001-12-19,1453737505
2001-12-20,1433679774
2001-12-21,1443708665
2001-12-24,1438922050
2001-12-26,1429121117
2001-12-27,1461031356
2001-12-28,1481545005
2001-12-31,1450783373
2002-01-02,1426150932
2002-01-03,1098331938
2002-01-04,1151740653
2002-01-07,1144143653
2002-01-08,1134244681
2002-01-09,1113065407
2002-01-10,1127568533
2002-01-11,1105007930
2002-01-14,1103856944
2002-01-15,1111453943
2002-01-16,1100634067
2002-01-17,1104777847
2002-01-18,1099713216
2002-01-22,1097641274
2002-01-23,1129179998
2002-01-24,1171078275
2002-01-25,1144143653
2002-01-28,1139539500
2002-01-29,1179135596
2002-01-30,1283420813
2002-01-31,1314729246
2002-02-01,1346728500
2002-02-04,1343735810
2002-02-05,1372051657
2002-02-06,1370900567
2002-02-07,1381260069
2002-02-08,1389317338
2002-02-11,1412568554
2002-02-12,1418093559
2002-02-13,1414640444
2002-02-14,1397144472
2002-02-15,1420625875
2002-02-19,1377346372
2002-02-20,1366986974
2002-02-21,1361231781
2002-02-22,1379878688
2002-02-25,1401748678
2002-02-26,1388166248
2002-02-27,1403820568
2002-02-28,1412338315
2002-03-01,1457229282
2002-03-04,1471502377
2002-03-05,1488998349
2002-03-06,1475415866
2002-03-07,1468739823
2002-03-08,1507415068
2002-03-11,1490609813
2002-03-12,1486926407
2002-03-13,1471041900
2002-03-14,1484854569
2002-03-15,1507875494
2002-03-18,1503271340
2002-03-19,1490609813
2002-03-20,1473344028
2002-03-21,1471041900
2002-03-22,1471041900
2002-03-25,1458150186
2002-03-26,1456078244
2002-03-27,1452625025
2002-03-28,1459301120
2002-04-01,1421161472
2002-04-02,1401432565
2002-04-03,1371614807
2002-04-04,1357266507
2002-04-05,1393137434
2002-04-08,1415780967
2002-04-09,1411745487
2002-04-10,1425196952
2002-04-11,1421385744
2002-04-12,1440442138
2002-04-15,1406140659
2002-04-16,1422506750
2002-04-17,1421385744
2002-04-18,1434388969
2002-04-19,1424076098
2002-04-22,1410176139
2002-04-23,1400759901
2002-04-24,1434388969
2002-04-25,1479675932
2002-04-26,1436855050
2002-04-29,1289111638
2002-04-30,1249653623
2002-05-01,1250998749
2002-05-02,1300321394
2002-05-03,1329242217
2002-05-06,1311531000
2002-05-07,1263329360
2002-05-08,1291353600
2002-05-09,1280143894
2002-05-10,1275211730
2002-05-13,1295837472
2002-05-14,1336192322
2002-05-15,1346280972
2002-05-16,1313772860
2002-05-17,1333950361
2002-05-20,1319377789
2002-05-21,1303011698
2002-05-22,1297182598
2002-05-23,1340227802
2002-05-24,1309737380
2002-05-28,1332829355
2002-05-29,1305701900
2002-05-30,1322740605
2002-05-31,1313772860
2002-06-03,1293595510
2002-06-04,1317584270
2002-06-05,1328569704
2002-06-06,1284627816
2002-06-07,1302787527
2002-06-10,1252680182
2002-06-11,1230148836
2002-06-12,1211316512
2002-06-13,1177014932
2002-06-14,1219051317
2002-06-17,1243264146
2002-06-18,1233511703
2002-06-19,1220396393
2002-06-20,1197192433
2002-06-21,1192148033
2002-06-24,1203918216
2002-06-25,1165244850
2002-06-26,1148766623
2002-06-27,1115810270
2002-06-28,1105385263
2002-07-01,1580103000
2002-07-02,1520410245
2002-07-03,1642805399
2002-07-05,1670896245
2002-07-08,1623242370
2002-07-09,1557530175
2002-07-10,1521413384
2002-07-11,1529940899
2002-07-12,1605183899
2002-07-15,1576591634
2002-07-16,1585620870
2002-07-17,1586624009
2002-07-18,1478775810
2002-07-19,1555022100
2002-07-22,1554018810
2002-07-23,1506364860
2002-07-24,1611203490
2002-07-25,1637789249
2002-07-26,1658355795
2002-07-29,1766203994
2002-07-30,1803323925
2002-07-31,1788275249
2002-08-01,1717546980
2002-08-02,1641300690
2002-08-05,1534957200
2002-08-06,1568064120
2002-08-07,1606688834
2002-08-08,1719553334
2002-08-09,1775233079
2002-08-12,1821883814
2002-08-13,1867531260
2002-08-14,1906155899
2002-08-15,1885589504
2002-08-16,1906155899
2002-08-19,1855994100
2002-08-20,1861010250
2002-08-21,1867029690
2002-08-22,1976382749
2002-08-23,1905654480
2002-08-26,1865524754
2002-08-27,1810848300
2002-08-28,1780751100
2002-08-29,1780751100
2002-08-30,1778242874
2002-09-03,1733598795
2002-09-04,1806333569
2002-09-05,1755168480
2002-09-06,1810848300
2002-09-09,1820880675
2002-09-10,1880573430
2002-09-11,1791786690
2002-09-12,1758178125
2002-09-13,1785265605
2002-09-16,1756171620
2002-09-17,1755669899
2002-09-18,1726074495
2002-09-19,1709019314
2002-09-20,1705508100
2002-09-23,1666883310
2002-09-24,1610200200
2002-09-25,1618727639
2002-09-26,1645313625
2002-09-27,1640297324
2002-09-30,1640297324
2002-10-01,1657854074
2002-10-02,1634779605
2002-10-03,1597659750
2002-10-04,1527934545
2002-10-07,1512384300
2002-10-08,1515393944
2002-10-09,1517400600
2002-10-10,1504860000
2002-10-11,1494827625
2002-10-14,1537465199
2002-10-15,1621737434
2002-10-16,1585119300
2002-10-17,1720055055
2002-10-18,1707514454
2002-10-21,1774229939
2002-10-22,1725572699
2002-10-23,1788776894
2002-10-24,1756171620
2002-10-25,1807336860
2002-10-28,1811349870
2002-10-29,1783760745
2002-10-30,1805832000
2002-10-31,1929732165
2002-11-01,1986415200
2002-11-04,1932741809
2002-11-05,1928728874
2002-11-06,1954813140
2002-11-07,1926722445
2002-11-08,1907660834
2002-11-11,1877062065
2002-11-12,1871544194
2002-11-13,1894618740
2002-11-14,1923712800
2002-11-15,1954813140
2002-11-18,1959327795
2002-11-19,1986916920
2002-11-20,2008988175
2002-11-21,2096771625
2002-11-22,2101286129
2002-11-25,2182047000
