,FISV
2000-01-03,4669563406
2000-01-04,4353356750
2000-01-05,4654856120
2000-01-06,4507783257
2000-01-07,4676917049
2000-01-10,4662209763
2000-01-11,4184222958
2000-01-12,4368064037
2000-01-13,4654856120
2000-01-14,4463661398
2000-01-18,4412185896
2000-01-19,4515136900
2000-01-20,4507783257
2000-01-21,4375417680
2000-01-24,4169515671
2000-01-25,4375417680
2000-01-26,4294527605
2000-01-27,4265113032
2000-01-28,4015089165
2000-01-31,4162162028
2000-02-01,4213637530
2000-02-02,4456307754
2000-02-03,4419539539
2000-02-04,4279820319
2000-02-07,4294527605
2000-02-08,4426893182
2000-02-09,4287173962
2000-02-10,4434246825
2000-02-11,4169515671
2000-02-14,4162162028
2000-02-15,4051857381
2000-02-16,3919491804
2000-02-17,3706236152
2000-02-18,3345907637
2000-02-22,3426797712
2000-02-23,3478273214
2000-02-24,3434151355
2000-02-25,3448858642
2000-02-28,3294432135
2000-02-29,3338553994
2000-03-01,3367968567
2000-03-02,3257663919
2000-03-03,3360614924
2000-03-06,3257663919
2000-03-07,3309139422
2000-03-08,3544456003
2000-03-09,3934199090
2000-03-10,4184222958
2000-03-13,3904784517
2000-03-14,3934199090
2000-03-15,3985674592
2000-03-16,4125393812
2000-03-17,3926845447
2000-03-20,4044503738
2000-03-21,4353356750
2000-03-22,4353356750
2000-03-23,4419539539
2000-03-24,4434246825
2000-03-27,4544551472
2000-03-28,4463661398
2000-03-29,4456307754
2000-03-30,4382771323
2000-03-31,4559258759
2000-04-03,4656439260
2000-04-04,4582644660
2000-04-05,4272707340
2000-04-06,4530988440
2000-04-07,4545747360
2000-04-10,4435055460
2000-04-11,4398158160
2000-04-12,4641680340
2000-04-13,4590024120
2000-04-14,4198912740
2000-04-17,4398158160
2000-04-18,4420296540
2000-04-19,4353881400
2000-04-20,4567885740
2000-04-24,4567885740
2000-04-25,5165622000
2000-04-26,5239416600
2000-04-27,5660045820
2000-04-28,5652666360
2000-05-01,5689563660
2000-05-02,5549353920
2000-05-03,5261554980
2000-05-04,5541974460
2000-05-05,5667425280
2000-05-08,5387005800
2000-05-09,5460800400
2000-05-10,5173001460
2000-05-11,5364867420
2000-05-12,5401764720
2000-05-15,5541974460
2000-05-16,5637907440
2000-05-17,5519836080
2000-05-18,5173001460
2000-05-19,5003273880
2000-05-22,5150863080
2000-05-23,4840925760
2000-05-24,5505077160
2000-05-25,5143483620
2000-05-26,5232037140
2000-05-30,5689563660
2000-05-31,5748599340
2000-06-01,5859291240
2000-06-02,5829773400
2000-06-05,5881429620
2000-06-06,5637907440
2000-06-07,6006880440
2000-06-08,5837152860
2000-06-09,5844532320
2000-06-12,5652666360
2000-06-13,5896188540
2000-06-14,5696943120
2000-06-15,6036398280
2000-06-16,5947844760
2000-06-19,6073295580
2000-06-20,5955224220
2000-06-21,5770737720
2000-06-22,5578871760
2000-06-23,5327970120
2000-06-26,5468179860
2000-06-27,5379626340
2000-06-28,5711702040
2000-06-29,5645286900
2000-06-30,5320590660
2000-07-03,5547123960
2000-07-05,5280506520
2000-07-06,5717462880
2000-07-07,5650808520
2000-07-10,5598966240
2000-07-11,5910019920
2000-07-12,5806335360
2000-07-13,5554530000
2000-07-14,5732274960
2000-07-17,5747087040
2000-07-18,5680432680
2000-07-19,5924832000
2000-07-20,6080358840
2000-07-21,6021110520
2000-07-24,5924832000
2000-07-25,6480285000
2000-07-26,6421036680
2000-07-27,6369194400
2000-07-28,6184043400
2000-07-31,6887617200
2000-08-01,6650623920
2000-08-02,6835774920
2000-08-03,6806150760
2000-08-04,6798744720
2000-08-07,6643217880
2000-08-08,6458066880
2000-08-09,6309946080
2000-08-10,6443254799
2000-08-11,6591375600
2000-08-14,6835774920
2000-08-15,6539533320
2000-08-16,6591375600
2000-08-17,6746902440
2000-08-18,6665436000
2000-08-21,6783932640
2000-08-22,6658029960
2000-08-23,6480285000
2000-08-24,6450660840
2000-08-25,6228479640
2000-08-28,6324758159
2000-08-29,6472878960
2000-08-30,6687654120
2000-08-31,6687654120
2000-09-01,6620999760
2000-09-05,6658029960
2000-09-06,6598781640
2000-09-07,6791338680
2000-09-08,6650623920
2000-09-11,6643217880
2000-09-12,6717278280
2000-09-13,6872805120
2000-09-14,6776526600
2000-09-15,6902429280
2000-09-18,6709872240
2000-09-19,6746902440
2000-09-20,6798744720
2000-09-21,7080174240
2000-09-22,7472694360
2000-09-25,7480100400
2000-09-26,7294949400
2000-09-27,7539348720
2000-09-28,7665251400
2000-09-29,7391227920
2000-10-02,7178234400
2000-10-03,6962961600
2000-10-04,7022347200
2000-10-05,7490008800
2000-10-06,7148541600
2000-10-09,7519701600
2000-10-10,7163388000
2000-10-11,7022347200
2000-10-12,6829343999
2000-10-13,7148541600
2000-10-16,7118848800
2000-10-17,7029770400
2000-10-18,7089156000
2000-10-19,7467739200
2000-10-20,7541971200
2000-10-23,7155964800
2000-10-24,5760403200
2000-10-25,6020215200
2000-10-26,6250334400
2000-10-27,6064754400
2000-10-30,6220641600
