,FITB
2000-01-03,21602895690
2000-01-04,20698523715
2000-01-05,20387790780
2000-01-06,21102012750
2000-01-07,20967516405
2000-01-10,20415617610
2000-01-11,19808065155
2000-01-12,19692120030
2000-01-13,20253294435
2000-01-14,20522287125
2000-01-18,20095609065
2000-01-19,19112394405
2000-01-20,18551220000
2000-01-21,18588322440
2000-01-24,17846273640
2000-01-25,18727456590
2000-01-26,19539072465
2000-01-27,19770962715
2000-01-28,19460229780
2000-01-31,20522287125
2000-02-01,19924010280
2000-02-02,19325733435
2000-02-03,20234743215
2000-02-04,19246890750
2000-02-07,19130945625
2000-02-08,19149496845
2000-02-09,18727456590
2000-02-10,18630062685
2000-02-11,18560495610
2000-02-14,17934391935
2000-02-15,18166282185
2000-02-16,18310054140
2000-02-17,17739604125
2000-02-18,17141327280
2000-02-22,16830594345
2000-02-23,16348262625
2000-02-24,16213766280
2000-02-25,15499544310
2000-02-28,16311160185
2000-02-29,16097821155
2000-03-01,15480993090
2000-03-02,15286205280
2000-03-03,15207362595
2000-03-06,14456038185
2000-03-07,14261250375
2000-03-08,13913415000
2000-03-09,14613723555
2000-03-10,14182407690
2000-03-13,14224147935
2000-03-14,14975472345
2000-03-15,16385365065
2000-03-16,18221935845
2000-03-17,18630062685
2000-03-20,17586556560
2000-03-21,18453826095
2000-03-22,18630062685
2000-03-23,19497332220
2000-03-24,19613277345
2000-03-27,19228339530
2000-03-28,19631828565
2000-03-29,19344284655
2000-03-30,19015000500
2000-03-31,29278620000
2000-04-03,31195672500
2000-04-04,30254574000
2000-04-05,29397128700
2000-04-06,29954816700
2000-04-07,28846411800
2000-04-10,29892076800
2000-04-11,29892076800
2000-04-12,29892076800
2000-04-13,29425013100
2000-04-14,27452191800
2000-04-17,28783671900
2000-04-18,30205776300
2000-04-19,29278620000
2000-04-20,29571406200
2000-04-24,30010585499
2000-04-25,31599996300
2000-04-26,30442793700
2000-04-27,29480781900
2000-04-28,29334388800
2000-05-01,29369244300
2000-05-02,29452897500
2000-05-03,28351463700
2000-05-04,27305798700
2000-05-05,27480076200
2000-05-08,28323579300
2000-05-09,28874296200
2000-05-10,28727903100
2000-05-11,29857221300
2000-05-12,30728608800
2000-05-15,31077163800
2000-05-16,30791348700
2000-05-17,30442793700
2000-05-18,31112019300
2000-05-19,30526446900
2000-05-22,31342065600
2000-05-23,31112019300
2000-05-24,31460574300
2000-05-25,31314181200
2000-05-26,31662736200
2000-05-30,31864898100
2000-05-31,31599996300
2000-06-01,32534123700
2000-06-02,33259118100
2000-06-05,32562008100
2000-06-06,32534123700
2000-06-07,32966331900
2000-06-08,31948551300
2000-06-09,31195672500
2000-06-12,31572111900
2000-06-13,31488458700
2000-06-14,31342065600
2000-06-15,29773568100
2000-06-16,27912284400
2000-06-19,29564435099
2000-06-20,28811556300
2000-06-21,28232955000
2000-06-22,28755787500
2000-06-23,28609394400
2000-06-26,29160111300
2000-06-27,29773568100
2000-06-28,29801452500
2000-06-29,29160111300
2000-06-30,19570506620
2000-07-03,20169177560
2000-07-05,20596136680
2000-07-06,21097349560
2000-07-07,21849168880
2000-07-10,21329392560
2000-07-11,21060222680
2000-07-12,21060222680
2000-07-13,20828179680
2000-07-14,21542872120
2000-07-17,20712158180
2000-07-18,20099564660
2000-07-19,20043874340
2000-07-20,20535805500
2000-07-21,19955698000
2000-07-24,19723655000
2000-07-25,19635478660
2000-07-26,19143547500
2000-07-27,19811831340
2000-07-28,19667964680
2000-07-31,19171392660
2000-08-01,19491612000
2000-08-02,19347745340
2000-08-03,20187741000
2000-08-04,20795693660
2000-08-07,20828179680
2000-08-08,20535805500
2000-08-09,20480115180
2000-08-10,21176244180
2000-08-11,21412928040
2000-08-14,21259779660
2000-08-15,20944201180
2000-08-16,20712158180
2000-08-17,20911715160
2000-08-18,20623981840
2000-08-21,20303762500
2000-08-22,20795693660
2000-08-23,20623981840
2000-08-24,20712158180
2000-08-25,20651827000
2000-08-28,20828179680
2000-08-29,20303762500
2000-08-30,20596136680
2000-08-31,21436132340
2000-09-01,21088067840
2000-09-05,21231934500
2000-09-06,21872373180
2000-09-07,22071930160
2000-09-08,22624192500
2000-09-11,22944411840
2000-09-12,22916566680
2000-09-13,22684523680
2000-09-14,22596347340
2000-09-15,22132261340
2000-09-18,21524308680
2000-09-19,22248282840
2000-09-20,22071930160
2000-09-21,22071930160
2000-09-22,22508171000
2000-09-25,22828390340
2000-09-26,23464188160
2000-09-27,24596558000
2000-09-28,24684734340
2000-09-29,25004953680
2000-10-02,26658574080
2000-10-03,26309335118
2000-10-04,26542161093
2000-10-05,26719108833
2000-10-06,26048570027
2000-10-09,25522383324
2000-10-10,24600392465
2000-10-11,24358253452
2000-10-12,22877480254
2000-10-13,24591079426
2000-10-16,25145205246
2000-10-17,24535201192
2000-10-18,24213901348
2000-10-19,24912379271
2000-10-20,24241840464
2000-10-23,23776188515
2000-10-24,23953136256
2000-10-25,23925197139
2000-10-26,23720310282
2000-10-27,24274436101
2000-10-30,24213901348
2000-10-31,23925197139
2000-11-01,23953136256
2000-11-02,24213901348
2000-11-03,24185962231
2000-11-06,24125427477
2000-11-07,23864662386
