,FMCC
2000-01-03,30938135500
2000-01-04,30416706250
2000-01-05,30416706250
2000-01-06,31894089125
2000-01-07,33023852500
2000-01-10,32198256187
2000-01-11,31937541562
2000-01-12,32502423250
2000-01-13,34327425625
2000-01-14,35066117062
2000-01-18,33719091500
2000-01-19,32676233000
2000-01-20,31828910468
2000-01-21,31459564750
2000-01-24,31111945250
2000-01-25,30851230625
2000-01-26,32111351312
2000-01-27,34544687812
2000-01-28,34761950000
2000-01-31,34892307312
2000-02-01,34240520750
2000-02-02,33892901250
2000-02-03,34848854875
2000-02-04,34153615875
2000-02-07,32719685437
2000-02-08,33023852500
2000-02-09,31633374500
2000-02-10,30286348937
2000-02-11,30373253812
2000-02-14,29808372125
2000-02-15,30590516000
2000-02-16,30025634312
2000-02-17,29764919687
2000-02-18,28417894125
2000-02-22,29982181875
2000-02-23,29330395312
2000-02-24,28244084375
2000-02-25,27983369750
2000-02-28,29113133125
2000-02-29,29026228250
2000-03-01,28808966062
2000-03-02,27853012437
2000-03-03,28722061187
2000-03-06,27809560000
2000-03-07,26201819812
2000-03-08,27201225875
2000-03-09,26419082000
2000-03-10,26201819812
2000-03-13,27027416125
2000-03-14,26549439312
2000-03-15,29678014812
2000-03-16,33023852500
2000-03-17,33719091500
2000-03-20,31720279375
2000-03-21,32850042750
2000-03-22,32285161062
2000-03-23,32676233000
2000-03-24,32763137875
2000-03-27,32111351312
2000-03-28,31633374500
2000-03-29,31459564750
2000-03-30,30199444062
2000-03-31,30720873312
2000-04-03,32326707000
2000-04-04,31674958875
2000-04-05,31979108000
2000-04-06,33369504000
2000-04-07,32674306000
2000-04-10,32283257125
2000-04-11,32674306000
2000-04-12,35455098000
2000-04-13,34933699500
2000-04-14,32804655625
2000-04-17,32717755875
2000-04-18,33369504000
2000-04-19,32848105500
2000-04-20,33065354875
2000-04-24,34716450125
2000-04-25,35411648125
2000-04-26,34759900000
2000-04-27,33586753375
2000-04-28,31935658125
2000-05-01,31370809750
2000-05-02,30805961375
2000-05-03,30414912500
2000-05-04,29545915000
2000-05-05,29545915000
2000-05-08,29980413750
2000-05-09,30241113000
2000-05-10,30371462625
2000-05-11,31457709500
2000-05-12,31088385562
2000-05-15,32543956375
2000-05-16,32500506500
2000-05-17,32413606750
2000-05-18,32804655625
2000-05-19,32022557875
2000-05-22,31805308500
2000-05-23,29850064125
2000-05-24,31501159375
2000-05-25,31370809750
2000-05-26,30936311000
2000-05-30,31240460125
2000-05-31,30936311000
2000-06-01,31283910000
2000-06-02,33499853625
2000-06-05,32413606750
2000-06-06,31457709500
2000-06-07,31761858625
2000-06-08,31197010250
2000-06-09,30675611750
2000-06-12,30545262125
2000-06-13,30110763375
2000-06-14,30675611750
2000-06-15,29980413750
2000-06-16,28720367375
2000-06-19,28329318500
2000-06-20,27894819750
2000-06-21,28720367375
2000-06-22,28807267125
2000-06-23,29067966375
2000-06-26,28981066625
2000-06-27,29285215750
2000-06-28,28785542187
2000-06-29,28459668125
2000-06-30,28155519000
2000-07-03,28396484437
2000-07-05,28396484437
2000-07-06,29520241812
2000-07-07,30038899062
2000-07-10,29693127562
2000-07-11,29952456187
2000-07-12,28915141687
2000-07-13,28871920250
2000-07-14,28915141687
2000-07-17,28353263000
2000-07-18,27921048625
2000-07-19,27315948500
2000-07-20,28569370187
2000-07-21,28223598687
2000-07-24,29174470312
2000-07-25,29304134625
2000-07-26,27748162875
2000-07-27,28050712937
2000-07-28,27618498562
