,FOSL
2000-01-03,732296911
2000-01-04,704285546
2000-01-05,778315575
2000-01-06,720292020
2000-01-07,786318812
2000-01-10,719291606
2000-01-11,647262404
2000-01-12,636257926
2000-01-13,670271772
2000-01-14,666270118
2000-01-18,687278659
2000-01-19,670271772
2000-01-20,654265227
2000-01-21,636257926
2000-01-24,622252280
2000-01-25,626253863
2000-01-26,616249871
2000-01-27,588238507
2000-01-28,588238507
2000-01-31,622252280
2000-02-01,589238920
2000-02-02,512207650
2000-02-03,580235270
2000-02-04,568230379
2000-02-07,578234443
2000-02-08,568230379
2000-02-09,524212541
2000-02-10,624253108
2000-02-11,600243325
2000-02-14,654265227
2000-02-15,632256344
2000-02-16,576233616
2000-02-17,606245807
2000-02-18,584236852
2000-02-22,656266054
2000-02-23,660267709
2000-02-24,690279828
2000-02-25,712288783
2000-02-28,732296911
2000-02-29,726294429
2000-03-01,721292433
2000-03-02,718291192
2000-03-03,726294429
2000-03-06,704285546
2000-03-07,624253108
2000-03-08,648262818
2000-03-09,716290365
2000-03-10,636257926
2000-03-13,646261990
2000-03-14,628254690
2000-03-15,668270945
2000-03-16,734297666
2000-03-17,762309030
2000-03-20,748303384
2000-03-21,760308275
2000-03-22,778315575
2000-03-23,784317985
2000-03-24,792321222
2000-03-27,800324458
2000-03-28,756306621
2000-03-29,798323631
2000-03-30,788319567
2000-03-31,750304211
2000-04-03,792641546
2000-04-04,762541282
2000-04-05,770568024
2000-04-06,784614804
2000-04-07,802674991
2000-04-10,758527875
2000-04-11,801671640
2000-04-12,770568024
2000-04-13,720400796
2000-04-14,670233641
2000-04-17,710367350
2000-04-18,722407500
2000-04-19,738460983
2000-04-20,720400796
2000-04-24,714380758
2000-04-25,708360719
2000-04-26,702340608
2000-04-27,678260383
2000-04-28,666220233
2000-05-01,656186788
2000-05-02,624079820
2000-05-03,614046375
2000-05-04,620066413
2000-05-05,636119969
2000-05-08,662206899
2000-05-09,602006225
2000-05-10,547825663
2000-05-11,571905961
2000-05-12,573912592
2000-05-15,632106562
2000-05-16,642140008
2000-05-17,636119969
2000-05-18,622073116
2000-05-19,636119969
2000-05-22,618059782
2000-05-23,646153342
2000-05-24,638126600
2000-05-25,618059782
2000-05-26,622073116
2000-05-30,650166750
2000-05-31,646153342
2000-06-01,624079820
2000-06-02,648160046
2000-06-05,640133304
2000-06-06,670233641
2000-06-07,634113266
2000-06-08,646153342
2000-06-09,646153342
2000-06-12,597992891
2000-06-13,646153342
2000-06-14,597992891
2000-06-15,630099858
2000-06-16,610032967
2000-06-19,595986187
2000-06-20,573912592
2000-06-21,547825663
2000-06-22,545819032
2000-06-23,559865812
2000-06-26,565885850
2000-06-27,561872516
2000-06-28,606019633
2000-06-29,616053078
2000-06-30,624079820
2000-07-03,604283133
2000-07-05,566265304
2000-07-06,636298100
2000-07-07,628294358
2000-07-10,624292524
2000-07-11,604283133
2000-07-12,608284967
2000-07-13,604283133
2000-07-14,588275649
2000-07-17,606284086
2000-07-18,590276530
2000-07-19,576270000
2000-07-20,578270953
2000-07-21,548256866
2000-07-24,562263469
2000-07-25,544255032
2000-07-26,560262516
2000-07-27,562263469
2000-07-28,548256866
2000-07-31,584273741
2000-08-01,550257820
2000-08-02,546255913
2000-08-03,572268092
2000-08-04,588275649
2000-08-07,584273741
2000-08-08,640300008
2000-08-09,640300008
2000-08-10,616288782
2000-08-11,628294358
2000-08-14,604283133
2000-08-15,586274695
2000-08-16,584273741
2000-08-17,584273741
2000-08-18,586274695
2000-08-21,592277483
2000-08-22,578270953
2000-08-23,578270953
2000-08-24,576270000
2000-08-25,552258774
2000-08-28,558261562
2000-08-29,558261562
2000-08-30,560262516
2000-08-31,558261562
2000-09-01,552258774
2000-09-05,542254078
2000-09-06,540253125
2000-09-07,542254078
2000-09-08,520243733
2000-09-11,506237203
2000-09-12,516241899
2000-09-13,524245641
2000-09-14,546255913
2000-09-15,534750538
2000-09-18,536251217
2000-09-19,384179975
2000-09-20,388181883
2000-09-21,408191274
2000-09-22,404189366
2000-09-25,426199711
2000-09-26,452211891
2000-09-27,436204407
2000-09-28,432202500
2000-09-29,426199711
2000-10-02,385379935
2000-10-03,381564330
2000-10-04,379656493
2000-10-05,373932983
2000-10-06,370117378
2000-10-09,375840820
2000-10-10,360578263
2000-10-11,362486100
2000-10-12,362486100
2000-10-13,360578263
2000-10-16,364393937
2000-10-17,351039148
2000-10-18,354854821
2000-10-19,356762589
2000-10-20,385379935
2000-10-23,358670426
2000-10-24,345315706
2000-10-25,341500033
2000-10-26,341500033
2000-10-27,335776591
2000-10-30,341500033
2000-10-31,398734724
2000-11-01,429259837
2000-11-02,427352000
2000-11-03,429259837
2000-11-06,391103376
2000-11-07,410181607
2000-11-08,427352000
2000-11-09,452153672
2000-11-10,484586691
2000-11-13,471231902
2000-11-14,471231902
2000-11-15,455969346
2000-11-16,454061509
2000-11-17,459784950
