,FOXA
2019-02-26,31584060000
2019-02-27,31304609999
2019-02-28,31317030000
2019-03-01,31428810000
2019-03-04,31447440000
2019-03-05,31391550000
2019-03-06,31447440000
2019-03-07,31416390000
2019-03-08,31329450000
2019-03-11,31379130000
2019-03-12,23598000000
2019-03-13,24684750000
2019-03-14,25243650000
2019-03-15,25895700000
2019-03-18,25895700000
2019-03-19,25051140000
2019-03-20,23983020000
2019-03-21,24852420000
2019-03-22,24045120000
2019-03-25,23250240000
2019-03-26,23312340000
2019-03-27,22927320000
2019-03-28,22604400000
2019-03-29,22796910000
2019-04-01,22883850000
2019-04-02,22529880000
2019-04-03,22405680000
2019-04-04,22827960000
2019-04-05,23399280000
2019-04-08,23268870000
2019-04-09,23169510000
2019-04-10,22654079999
2019-04-11,23032890000
2019-04-12,23306130000
2019-04-15,23306130000
2019-04-16,23442750000
2019-04-17,24119640000
2019-04-18,23871240000
2019-04-22,23411700000
2019-04-23,23647680000
2019-04-24,23573160000
2019-04-25,23691150000
2019-04-26,23896079999
2019-04-29,24343200000
2019-04-30,24212790000
2019-05-01,24467400000
2019-05-02,23150880000
2019-05-03,23268870000
2019-05-06,23548320000
2019-05-07,23138460000
2019-05-08,23237820000
2019-05-09,23908500000
2019-05-10,23927130000
2019-05-13,23579370000
2019-05-14,23529690000
2019-05-15,23417910000
2019-05-16,22815540000
2019-05-17,23175720000
2019-05-20,23063940000
2019-05-21,23405490000
2019-05-22,23051520000
2019-05-23,22921109999
2019-05-24,22927320000
2019-05-28,22753440000
2019-05-29,22225590000
2019-05-30,21871620000
2019-05-31,21877829999
2019-06-03,21263040000
2019-06-04,21412079999
2019-06-05,21337560000
2019-06-06,21188520000
2019-06-07,21120210000
2019-06-10,21132630000
2019-06-11,21225780000
2019-06-12,21766050000
2019-06-13,21915090000
2019-06-14,21884040000
2019-06-17,22436730000
2019-06-18,22473990000
2019-06-19,22349790000
2019-06-20,22095180000
2019-06-21,22467780000
2019-06-24,22231800000
2019-06-25,21946140000
2019-06-26,22026870000
2019-06-27,22349790000
2019-06-28,22753440000
2019-07-01,22342240000
2019-07-02,22758980000
2019-07-03,22609700000
2019-07-05,22765200000
2019-07-08,22472860000
2019-07-09,22404440000
2019-07-10,22479080000
2019-07-11,22572380000
2019-07-12,22989120000
2019-07-15,23020220000
2019-07-16,22821180000
2019-07-17,22497740000
2019-07-18,22734100000
2019-07-19,22659460000
2019-07-22,22454200000
2019-07-23,22528840000
2019-07-24,22765200000
2019-07-25,23119740000
2019-07-26,23144620000
2019-07-29,23331220000
2019-07-30,23524040000
2019-07-31,23213040000
2019-08-01,22945580000
2019-08-02,22783860000
2019-08-05,22423100000
2019-08-06,22671900000
2019-08-07,23038880000
2019-08-08,21850860000
2019-08-09,22018800000
2019-08-12,21738900000
2019-08-13,21807320000
2019-08-14,20955180000
2019-08-15,20370500000
2019-08-16,20519780000
2019-08-19,21067140000
2019-08-20,20892980000
2019-08-21,20781019999
2019-08-22,20557100000
2019-08-23,19748500000
2019-08-26,19953760000
2019-08-27,19860460000
2019-08-28,19773380000
2019-08-29,20364280000
2019-08-30,20631740000
2019-09-03,20382940000
2019-09-04,20874320000
2019-09-05,21303500000
2019-09-06,21291059999
2019-09-09,21334600000
2019-09-10,21334600000
2019-09-11,21148000000
2019-09-12,21017380000
2019-09-13,21042260000
2019-09-16,20899200000
2019-09-17,20438920000
2019-09-18,20302080000
2019-09-19,19928880000
2019-09-20,20071940000
2019-09-23,20071940000
2019-09-24,19648980000
2019-09-25,19910220000
2019-09-26,19561900000
2019-09-27,19555680000
2019-09-30,19460180000
2019-10-01,19275080000
2019-10-02,18769140000
2019-10-03,18793820000
2019-10-04,18861690000
2019-10-07,18880200000
2019-10-08,18547020000
2019-10-09,18651910000
2019-10-10,18830840000
2019-10-11,19410820000
2019-10-14,19367630000
2019-10-15,19558900000
2019-10-16,19737830000
2019-10-17,19731660000
2019-10-18,19873570000
2019-10-21,20200580000
2019-10-22,20638650000
2019-10-23,20509080000
2019-10-24,19929100000
2019-10-25,19996969999
2019-10-28,20354830000
2019-10-29,20262280000
2019-10-30,19793360000
2019-10-31,19768680000
2019-11-01,19984630000
2019-11-04,20083350000
2019-11-05,20262280000
2019-11-06,20422700000
2019-11-07,21557980000
2019-11-08,21681380000
2019-11-11,21588830000
2019-11-12,21280330000
2019-11-13,21138420000
2019-11-14,21113740000
2019-11-15,21144590000
2019-11-18,21712230000
2019-11-19,22372420000
2019-11-20,22144130000
2019-11-21,22026900000
2019-11-22,22002219999
2019-11-25,22014560000
2019-11-26,22168810000
2019-11-27,22076260000
2019-11-29,22063920000
2019-12-02,21965200000
2019-12-03,21712230000
2019-12-04,21903500000
2019-12-05,21903500000
2019-12-06,21854140000
2019-12-09,21977540000
2019-12-10,22094770000
2019-12-11,22310719999
2019-12-12,22736450000
2019-12-13,22687090000
2019-12-16,22711770000
2019-12-17,22927719999
2019-12-18,22785810000
2019-12-19,22829000000
2019-12-20,22933890000
2019-12-23,23112820000
2019-12-24,23014100000
