,FRT
2000-01-03,741941640
2000-01-04,739575000
2000-01-05,737208360
2000-01-06,759297000
2000-01-07,798741000
2000-01-10,803868720
2000-01-11,774285720
2000-01-12,788880000
2000-01-13,786513360
2000-01-14,779019000
2000-01-18,788880000
2000-01-19,794007720
2000-01-20,796374360
2000-01-21,796374360
2000-01-24,788880000
2000-01-25,788880000
2000-01-26,788880000
2000-01-27,791246640
2000-01-28,791246640
2000-01-31,786513360
2000-02-01,791246640
2000-02-02,776652360
2000-02-03,779019000
2000-02-04,766791360
2000-02-07,756930360
2000-02-08,754563720
2000-02-09,754563720
2000-02-10,761663640
2000-02-11,739575000
2000-02-14,709992000
2000-02-15,709992000
2000-02-16,705258720
2000-02-17,712358640
2000-02-18,717486360
2000-02-22,729714000
2000-02-23,734841720
2000-02-24,719853000
2000-02-25,724980720
2000-02-28,734841720
2000-02-29,759297000
2000-03-01,754563720
2000-03-02,749436000
2000-03-03,751802640
2000-03-06,756930360
2000-03-07,739575000
2000-03-08,749436000
2000-03-09,744702720
2000-03-10,739575000
2000-03-13,739575000
2000-03-14,744702720
2000-03-15,739575000
2000-03-16,749436000
2000-03-17,756930360
2000-03-20,761663640
2000-03-21,776652360
2000-03-22,749436000
2000-03-23,741941640
2000-03-24,732080640
2000-03-27,741941640
2000-03-28,744702720
2000-03-29,749436000
2000-03-30,754563720
2000-03-31,745385310
2000-04-03,738437130
2000-04-04,748087380
2000-04-05,762369750
2000-04-06,783986310
2000-04-07,810621000
2000-04-10,798654690
2000-04-11,796338630
2000-04-12,812937060
2000-04-13,812937060
2000-04-14,798654690
2000-04-17,793636560
2000-04-18,783986310
2000-04-19,781670250
2000-04-20,786688380
2000-04-24,783986310
2000-04-25,796338630
2000-04-26,810621000
2000-04-27,822587310
2000-04-28,820271250
2000-05-01,834939630
2000-05-02,849222000
2000-05-03,851538060
2000-05-04,851538060
2000-05-05,849222000
2000-05-08,841887810
2000-05-09,841887810
2000-05-10,829921500
2000-05-11,839571750
2000-05-12,841887810
2000-05-15,846905940
2000-05-16,841887810
2000-05-17,832237560
2000-05-18,861188310
2000-05-19,849222000
2000-05-22,851538060
2000-05-23,839571750
2000-05-24,854240130
2000-05-25,844589880
2000-05-26,851538060
2000-05-30,851538060
2000-05-31,846905940
2000-06-01,846905940
2000-06-02,849222000
2000-06-05,834939630
2000-06-06,839571750
2000-06-07,846905940
2000-06-08,839571750
2000-06-09,844589880
2000-06-12,832237560
2000-06-13,841887810
2000-06-14,841887810
2000-06-15,834939630
2000-06-16,825289380
2000-06-19,820271250
2000-06-20,820271250
2000-06-21,820271250
2000-06-22,796338630
2000-06-23,800970750
2000-06-26,798654690
2000-06-27,800970750
2000-06-28,805988880
2000-06-29,803286810
2000-06-30,774673900
2000-07-03,807951600
2000-07-05,819947050
2000-07-06,836972850
2000-07-07,834264200
2000-07-10,836972850
2000-07-11,827299100
2000-07-12,836972850
2000-07-13,831942500
2000-07-14,819947050
2000-07-17,817625350
2000-07-18,814916700
2000-07-19,812595000
2000-07-20,819947050
2000-07-21,810273300
2000-07-24,810273300
2000-07-25,810273300
2000-07-26,810273300
2000-07-27,810273300
2000-07-28,814916700
2000-07-31,827299100
2000-08-01,836972850
2000-08-02,834264200
2000-08-03,829620800
2000-08-04,812595000
2000-08-07,800599550
2000-08-08,807951600
2000-08-09,812595000
2000-08-10,812595000
2000-08-11,812595000
2000-08-14,812595000
2000-08-15,802921250
2000-08-16,810273300
2000-08-17,812595000
2000-08-18,810273300
2000-08-21,807951600
2000-08-22,807951600
2000-08-23,802921250
2000-08-24,795569200
2000-08-25,793247500
2000-08-28,781252050
2000-08-29,778930350
2000-08-30,790925800
2000-08-31,773900000
2000-09-01,783573750
2000-09-05,778930350
2000-09-06,776221700
2000-09-07,783573750
2000-09-08,793247500
2000-09-11,807951600
2000-09-12,802921250
2000-09-13,805242950
2000-09-14,810273300
2000-09-15,802921250
2000-09-18,785895450
2000-09-19,795569200
2000-09-20,783573750
2000-09-21,776221700
2000-09-22,781252050
2000-09-25,769256600
2000-09-26,773900000
2000-09-27,771578300
2000-09-28,747200450
2000-09-29,740235350
2000-10-02,741249240
2000-10-03,741249240
2000-10-04,743574120
2000-10-05,765273000
2000-10-06,760623240
2000-10-09,770310240
2000-10-10,760623240
2000-10-11,765273000
2000-10-12,760623240
2000-10-13,765273000
2000-10-16,762948120
2000-10-17,755586000
2000-10-18,755586000
2000-10-19,753261120
2000-10-20,753261120
2000-10-23,753261120
2000-10-24,753261120
2000-10-25,741249240
2000-10-26,736212000
2000-10-27,748223880
2000-10-30,750936240
2000-10-31,745899000
2000-11-01,741249240
2000-11-02,736212000
2000-11-03,733887120
2000-11-06,743574120
2000-11-07,738536880
2000-11-08,750936240
2000-11-09,753261120
2000-11-10,748223880
2000-11-13,745899000
2000-11-14,748223880
2000-11-15,750936240
2000-11-16,741249240
2000-11-17,745899000
2000-11-20,745899000
2000-11-21,743574120
2000-11-22,745899000
2000-11-24,755586000
2000-11-27,750936240
2000-11-28,745899000
2000-11-29,750936240
2000-11-30,745899000
2000-12-01,748223880
2000-12-04,743574120
2000-12-05,748223880
2000-12-06,743574120
2000-12-07,745899000
2000-12-08,760623240
2000-12-11,762948120
2000-12-12,755586000
2000-12-13,748223880
2000-12-14,741249240
2000-12-15,760623240
2000-12-18,755586000
2000-12-19,757910880
2000-12-20,765273000
2000-12-21,757910880
2000-12-22,745899000
2000-12-26,750936240
2000-12-27,767597880
2000-12-28,745899000
2000-12-29,736212000
2001-01-02,739947320
2001-01-03,757029000
2001-01-04,762075860
2001-01-05,754699680
2001-01-08,752370360
2001-01-09,757029000
2001-01-10,762075860
2001-01-11,762075860
2001-01-12,762075860
2001-01-16,764405180
2001-01-17,757029000
2001-01-18,754699680
2001-01-19,766734500
2001-01-22,764405180
2001-01-23,764405180
2001-01-24,762075860
2001-01-25,754699680
2001-01-26,754699680
2001-01-29,760911200
2001-01-30,770228480
2001-01-31,765569840
2001-02-01,770616700
2001-02-02,761687640
2001-02-05,763240520
2001-02-06,749264600
2001-02-07,755864340
2001-02-08,753146800
2001-02-09,755087900
2001-02-12,757029000
2001-02-13,753535020
2001-02-14,755087900
2001-02-15,756252560
2001-02-16,756252560
2001-02-20,755087900
2001-02-21,755476120
2001-02-22,757029000
2001-02-23,764016960
2001-02-26,766734500
2001-02-27,765569840
2001-02-28,768675600
2001-03-01,771004920
2001-03-02,772557800
2001-03-05,772557800
2001-03-06,777992880
2001-03-07,784204400
2001-03-08,782651520
2001-03-09,778381100
2001-03-12,777604660
2001-03-13,780322200
2001-03-14,772946020
2001-03-15,764793400
2001-03-16,759746540
2001-03-19,773722460
2001-03-20,771393140
2001-03-21,757029000
2001-03-22,747711720
2001-03-23,748099940
2001-03-26,763628740
2001-03-27,762852300
2001-03-28,768675600
2001-03-29,753535020
2001-03-30,759358320
2001-04-02,769934000
2001-04-03,752781040
2001-04-04,750052159
2001-04-05,764086400
2001-04-06,758628640
2001-04-09,760188000
2001-04-10,762916880
2001-04-11,750442000
2001-04-12,743814719
2001-04-16,739916320
2001-04-17,751611520
2001-04-18,760188000
2001-04-19,760967680
2001-04-20,764086400
2001-04-23,750831840
2001-04-24,746933440
2001-04-25,745374080
2001-04-26,750442000
2001-04-27,751221680
2001-04-30,760188000
2001-05-01,767205120
2001-05-02,764086400
2001-05-03,762137200
2001-05-04,768764480
2001-05-07,764476240
2001-05-08,757848960
2001-05-09,760967680
2001-05-10,758628640
2001-05-11,759408320
2001-05-14,764086400
2001-05-15,767205120
2001-05-16,769934000
2001-05-17,773832400
2001-05-18,785917440
2001-05-21,793324400
2001-05-22,794104080
2001-05-23,806968800
2001-05-24,806578960
2001-05-25,803850080
2001-05-29,825291280
2001-05-30,814765600
2001-05-31,812816400
2001-06-01,817494480
2001-06-04,828410000
2001-06-05,822562400
2001-06-06,830359200
2001-06-07,833867760
2001-06-08,824511600
2001-06-11,837766159
2001-06-12,838156000
2001-06-13,840495040
2001-06-14,837766159
2001-06-15,836206800
2001-06-18,836206800
2001-06-19,828410000
2001-06-20,828410000
2001-06-21,818274159
2001-06-22,803850080
2001-06-25,806968800
2001-06-26,800341520
2001-06-27,803070400
2001-06-28,808918000
2001-06-29,808528159
2001-07-02,818417600
2001-07-03,822745770
2001-07-05,822745770
2001-07-06,822352300
2001-07-09,818417600
2001-07-10,814482900
2001-07-11,810548200
2001-07-12,824319650
2001-07-13,826287000
2001-07-16,830221700
2001-07-17,834156400
2001-07-18,836517220
2001-07-19,840058450
2001-07-20,841238860
2001-07-23,838091100
2001-07-24,836123750
2001-07-25,830221700
2001-07-26,833762930
2001-07-27,836910690
2001-07-30,836123750
2001-07-31,845960500
2001-08-01,859338480
2001-08-02,861699300
2001-08-03,864847060
2001-08-06,865634000
2001-08-07,867601350
2001-08-08,873503400
2001-08-09,884520560
2001-08-10,896324660
2001-08-13,901439770
2001-08-14,904587529
2001-08-15,909702640
2001-08-16,915998160
2001-08-17,910096110
2001-08-20,919145920
2001-08-21,930556550
2001-08-22,932917370
2001-08-23,930950020
2001-08-24,929376140
2001-08-27,928982670
2001-08-28,928982670
2001-08-29,913637340
2001-08-30,906948350
2001-08-31,895144250
2001-09-04,900259360
2001-09-05,904981000
2001-09-06,896718130
2001-09-07,875470750
2001-09-10,869568700
2001-09-17,836123750
2001-09-18,816056779
2001-09-19,818417600
2001-09-20,804646150
2001-09-21,799531040
2001-09-24,807006970
2001-09-25,835336810
2001-09-26,835336810
2001-09-27,845960500
2001-09-28,865634000
2001-10-01,882221550
2001-10-02,883011010
2001-10-03,844722200
2001-10-04,846695850
2001-10-05,869195460
2001-10-08,869590190
2001-10-09,858537750
2001-10-10,880247900
2001-10-11,868011269
2001-10-12,869590190
2001-10-15,884984660
2001-10-16,876695330
2001-10-17,862485050
2001-10-18,851827339
2001-10-19,860906130
2001-10-22,844722200
2001-10-23,835643410
2001-10-24,830511920
2001-10-25,849458960
2001-10-26,837617060
2001-10-29,846695850
2001-10-30,849458960
2001-10-31,861300860
2001-11-01,875116410
2001-11-02,881826820
2001-11-05,886563580
2001-11-06,911036839
2001-11-07,898800210
2001-11-08,891300339
2001-11-09,888537230
2001-11-12,888142500
2001-11-13,901958050
2001-11-14,905510620
2001-11-15,907089540
2001-11-16,917747250
2001-11-19,924062930
2001-11-20,920510360
2001-11-21,920510360
2001-11-23,928010230
2001-11-26,892089800
2001-11-27,873142760
2001-11-28,875905870
2001-11-29,878274250
2001-11-30,883011010
2001-12-03,876300600
2001-12-04,903931700
2001-12-05,908668460
2001-12-06,909063190
2001-12-07,909852650
2001-12-10,899984400
2001-12-11,903931700
2001-12-12,895642370
2001-12-13,884195200
