,GILD
2000-01-03,2497228800
2000-01-04,2383718400
2000-01-05,2369529600
2000-01-06,2525606400
2000-01-07,2908703999
2000-01-10,3291801600
2000-01-11,2993836800
2000-01-12,2965459200
2000-01-13,3121536000
2000-01-14,3050592000
2000-01-18,3036403200
2000-01-19,2781004800
2000-01-20,2781004800
2000-01-21,2766816000
2000-01-24,2454662400
2000-01-25,2511417600
2000-01-26,2397907200
2000-01-27,2199264000
2000-01-28,2170886400
2000-01-31,2071564800
2000-02-01,2043187200
2000-02-02,2043187200
2000-02-03,2000620800
2000-02-04,2071564800
2000-02-07,2412096000
2000-02-08,2624928000
2000-02-09,2440473600
2000-02-10,2454662400
2000-02-11,2483040000
2000-02-14,2667494400
2000-02-15,2809382400
2000-02-16,2837760000
2000-02-17,3305990400
2000-02-18,3419500800
2000-02-22,3320179200
2000-02-23,3362745600
2000-02-24,3249235200
2000-02-25,3206668799
2000-02-28,3149913600
2000-02-29,3391123200
2000-03-01,3547200000
2000-03-02,3462067200
2000-03-03,3547200000
2000-03-06,3646521600
2000-03-07,3405312000
2000-03-08,3277612800
2000-03-09,3178291200
2000-03-10,3178291200
2000-03-13,3008025600
2000-03-14,3008025600
2000-03-15,2837760000
2000-03-16,2937081600
2000-03-17,2823571200
2000-03-20,2539795200
2000-03-21,2525606400
2000-03-22,2837760000
2000-03-23,3093158400
2000-03-24,3121536000
2000-03-27,3093158400
2000-03-28,3121536000
2000-03-29,2951270400
2000-03-30,2610739200
2000-03-31,2825285760
2000-04-03,2682594560
2000-04-04,2639787200
2000-04-05,2782478400
2000-04-06,2939438720
2000-04-07,2825285760
2000-04-10,2768209280
2000-04-11,2782478400
2000-04-12,2596979840
2000-04-13,2711132800
2000-04-14,2468557760
2000-04-17,2268790080
2000-04-18,2440019520
2000-04-19,2325866560
2000-04-20,2283059200
2000-04-24,2197444480
2000-04-25,2140368000
2000-04-26,2054753280
2000-04-27,1940600320
2000-04-28,2411481280
2000-05-01,2482826880
2000-05-02,2554172480
2000-05-03,2397212160
2000-05-04,2811016640
2000-05-05,3082129920
2000-05-08,2996515200
2000-05-09,2896631359
2000-05-10,2768209280
2000-05-11,2768209280
2000-05-12,2768209280
2000-05-15,2868093119
2000-05-16,3039322560
2000-05-17,2925169599
2000-05-18,2796747520
2000-05-19,2668325440
2000-05-22,2668325440
2000-05-23,2696863680
2000-05-24,2896631359
2000-05-25,2753940160
2000-05-26,2368673920
2000-05-30,2497096000
2000-05-31,2440019520
2000-06-01,2525634240
2000-06-02,2782478400
2000-06-05,2682594560
2000-06-06,2768209280
2000-06-07,2939438720
2000-06-08,2682594560
2000-06-09,2967976960
2000-06-12,2654056320
2000-06-13,2811016640
2000-06-14,2796747520
2000-06-15,2868093119
2000-06-16,2925169599
2000-06-19,3139206400
2000-06-20,3338974080
2000-06-21,3210552000
2000-06-22,2839554880
2000-06-23,3096399040
2000-06-26,3039322560
2000-06-27,3010784320
2000-06-28,3210552000
2000-06-29,3153475520
2000-06-30,3274162560
2000-07-03,3215168640
2000-07-05,3274162560
2000-07-06,3377401920
2000-07-07,3701868479
2000-07-10,3657623040
2000-07-11,3819856320
2000-07-12,4114825920
2000-07-13,3790359360
2000-07-14,3716616960
2000-07-17,3805107840
2000-07-18,3701868479
2000-07-19,3451144320
2000-07-20,3347904960
2000-07-21,3465892800
2000-07-24,3215168640
2000-07-25,3170923200
2000-07-26,3200420160
2000-07-27,3097180800
2000-07-28,3229917120
2000-07-31,3421647360
2000-08-01,4011586560
2000-08-02,3878850240
2000-08-03,4188568320
2000-08-04,4011586560
2000-08-07,4114825920
2000-08-08,4173819840
2000-08-09,4100077439
2000-08-10,3996838080
2000-08-11,3982089600
2000-08-14,3996838080
2000-08-15,3893598720
2000-08-16,3952592640
2000-08-17,4159071360
2000-08-18,4144322880
2000-08-21,4380298560
2000-08-22,4837501440
2000-08-23,4631022720
2000-08-24,4719513600
2000-08-25,4749010560
2000-08-28,4513034880
2000-08-29,4572028800
2000-08-30,4808004480
2000-08-31,4984986240
2000-09-01,4837501440
2000-09-05,4527783360
2000-09-06,4188568320
2000-09-07,4601525760
2000-09-08,4704765120
2000-09-11,4527783360
2000-09-12,4380298560
2000-09-13,4468789440
2000-09-14,4690016640
2000-09-15,4763759040
2000-09-18,4291807680
2000-09-19,4513034880
2000-09-20,4498286400
2000-09-21,4734262080
2000-09-22,5043980160
2000-09-25,5353698240
2000-09-26,4911243840
2000-09-27,4925992320
2000-09-28,5338949760
2000-09-29,5058728640
2000-10-02,4793256000
2000-10-03,4749010560
2000-10-04,4513034880
2000-10-05,4572028800
2000-10-06,4262310720
2000-10-09,4144322880
2000-10-10,4365550080
2000-10-11,4321304640
2000-10-12,4144322880
2000-10-13,4424544000
2000-10-16,4557280320
2000-10-17,4601525760
2000-10-18,4232813760
2000-10-19,4218065280
2000-10-20,4085328960
2000-10-23,4468789440
2000-10-24,3952592640
2000-10-25,4232813760
2000-10-26,4188568320
2000-10-27,3790359360
2000-10-30,3908347200
2000-10-31,3967341120
2000-11-01,3908347200
2000-11-02,4055832000
2000-11-03,4055832000
2000-11-06,4321304640
2000-11-07,4336053120
2000-11-08,4159071360
2000-11-09,4129574399
2000-11-10,4159071360
2000-11-13,3628126080
2000-11-14,3569132160
2000-11-15,3598629120
2000-11-16,3510138240
2000-11-17,3244665600
2000-11-20,2979192960
2000-11-21,3156174720
2000-11-22,3347904960
2000-11-24,3229917120
2000-11-27,3392150399
2000-11-28,3480641280
2000-11-29,3746113920
2000-11-30,3746113920
2000-12-01,4055832000
2000-12-04,3775610880
2000-12-05,4041083520
2000-12-06,3996838080
2000-12-07,3996838080
2000-12-08,4483537920
2000-12-11,4232813760
2000-12-12,3893598720
2000-12-13,3687120000
2000-12-14,3583880640
2000-12-15,3554383680
2000-12-18,3746113920
2000-12-19,3687120000
2000-12-20,3569132160
2000-12-21,3244665600
2000-12-22,3377401920
2000-12-26,3790359360
2000-12-27,3672371520
2000-12-28,3746113920
2000-12-29,3819856320
2001-01-02,3502234879
2001-01-03,3638097440
2001-01-04,3094647199
2001-01-05,2762538720
2001-01-08,2566292800
2001-01-09,2551196960
2001-01-10,2641772000
2001-01-11,2687059520
2001-01-12,2807826240
2001-01-16,3079551360
2001-01-17,2792730400
2001-01-18,2792730400
2001-01-19,2807826240
2001-01-22,2913497120
2001-01-23,3245605600
2001-01-24,3079551360
2001-01-25,3094647199
2001-01-26,3034263839
2001-01-29,3260701440
2001-01-30,3185222240
2001-01-31,3200318080
2001-02-01,3049359680
2001-02-02,2973880480
2001-02-05,2913497120
2001-02-06,3109743040
2001-02-07,3064455519
2001-02-08,2883305440
2001-02-09,2973880480
2001-02-12,3290893120
2001-02-13,3185222240
2001-02-14,3139934720
2001-02-15,3139934720
2001-02-16,3290893120
2001-02-20,3305988960
2001-02-21,3124838879
2001-02-22,2988976320
2001-02-23,3260701440
2001-02-26,3441851519
2001-02-27,3396564000
2001-02-28,3532426560
2001-03-01,3321084800
2001-03-02,3381468160
2001-03-05,3170126400
2001-03-06,3305988960
2001-03-07,3155030560
2001-03-08,3185222240
2001-03-09,3170126400
2001-03-12,2792730400
2001-03-13,2928592960
2001-03-14,3124838879
2001-03-15,3079551360
2001-03-16,2853113760
2001-03-19,3230509760
2001-03-20,3094647199
2001-03-21,2717251200
2001-03-22,2747442880
2001-03-23,2807826240
2001-03-26,3034263839
2001-03-27,3019168000
2001-03-28,3019168000
2001-03-29,3034263839
2001-03-30,3064455519
2001-04-02,2896446240
2001-04-03,2790293760
2001-04-04,2759964480
2001-04-05,3017763360
2001-04-06,3048092639
2001-04-09,3199739040
2001-04-10,3442373280
2001-04-11,3381714720
2001-04-12,3654678240
2001-04-16,3578855040
2001-04-17,3715336800
2001-04-18,3882147840
2001-04-19,3988300320
2001-04-20,3836653919
2001-04-23,3639513600
2001-04-24,3487867199
2001-04-25,3715336800
2001-04-26,3957971040
2001-04-27,4321922400
2001-04-30,4640379840
2001-05-01,4746532320
2001-05-02,4685873760
2001-05-03,4534227360
2001-05-04,4792026240
2001-05-07,4852684800
2001-05-08,4746532320
2001-05-09,4701038400
2001-05-10,4594885920
2001-05-11,4625215200
2001-05-14,4549392000
2001-05-15,4412910240
2001-05-16,5004331200
2001-05-17,5489599680
2001-05-18,5110483680
2001-05-21,5671575360
2001-05-22,5489599680
2001-05-23,5019495840
2001-05-24,5155977600
2001-05-25,5155977600
2001-05-29,5004331200
2001-05-30,4822355520
2001-05-31,4898178720
2001-06-01,5277294720
2001-06-04,5474435040
2001-06-05,5428941120
2001-06-06,5171142240
2001-06-07,5095319040
2001-06-08,4928508000
2001-06-11,4701038400
2001-06-12,4746532320
2001-06-13,4776861600
2001-06-14,4655544480
2001-06-15,4883014080
2001-06-18,4852684800
2001-06-19,4928508000
2001-06-20,5444105760
2001-06-21,5459270400
2001-06-22,5792892480
2001-06-25,5459270400
2001-06-26,5489599680
2001-06-27,5641246080
2001-06-28,5686740000
2001-06-29,5519928960
2001-07-02,5489625600
2001-07-03,5550621440
2001-07-05,5428629760
2001-07-06,5306638080
2001-07-09,5352384960
2001-07-10,5199895360
2001-07-11,5047405760
2001-07-12,5093152640
2001-07-13,5398131840
2001-07-16,4711928640
2001-07-17,4971160960
2001-07-18,5184646400
2001-07-19,5047405760
2001-07-20,5154148480
2001-07-23,5047405760
2001-07-24,4757675520
2001-07-25,4849169280
2001-07-26,5215144320
2001-07-27,5154148480
2001-07-30,4864418240
2001-07-31,4894916160
2001-08-01,4849169280
2001-08-02,4742426560
2001-08-03,5016907840
2001-08-06,4910165120
2001-08-07,4849169280
2001-08-08,4605185920
2001-08-09,4574688000
2001-08-10,4574688000
2001-08-13,4833920320
2001-08-14,4864418240
2001-08-15,4955912000
2001-08-16,4955912000
2001-08-17,4711928640
2001-08-20,4864418240
2001-08-21,4925414080
2001-08-22,5245642240
2001-08-23,5611617280
2001-08-24,5764106880
2001-08-27,5886098560
2001-08-28,5825102720
2001-08-29,5870849600
2001-08-30,5886098560
2001-08-31,5779355840
2001-09-04,5779355840
2001-09-05,5687862080
2001-09-06,5748857920
2001-09-07,5611617280
2001-09-10,5520123520
2001-09-17,5047405760
2001-09-18,4681430720
2001-09-19,4788173440
2001-09-20,4864418240
2001-09-21,4544190080
2001-09-24,4620434880
2001-09-25,4986409920
2001-09-26,5169397440
2001-09-27,5413380800
2001-09-28,5352384960
2001-10-01,5398131840
2001-10-02,5398131840
2001-10-03,5398131840
2001-10-04,5581119360
2001-10-05,5428629760
2001-10-08,5428629760
2001-10-09,5611617280
2001-10-10,5992841280
2001-10-11,6008090240
2001-10-12,5916596480
2001-10-15,6114832960
2001-10-16,5992841280
2001-10-17,5703111040
2001-10-18,5992841280
2001-10-19,6191077759
2001-10-22,6450310080
2001-10-23,6297820480
2001-10-24,6541803840
2001-10-25,6557052800
2001-10-26,6450310080
2001-10-29,6252073599
2001-10-30,6160579840
2001-10-31,5992841280
2001-11-01,6023339200
2001-11-02,5962343360
2001-11-05,6236824640
2001-11-06,6236824640
2001-11-07,6358816320
2001-11-08,6313069439
2001-11-09,6114832960
2001-11-12,6069086080
2001-11-13,6450310080
2001-11-14,6419812160
2001-11-15,6419812160
2001-11-16,6511305919
2001-11-19,6679044480
2001-11-20,6480808000
2001-11-21,6557052800
2001-11-23,6602799680
2001-11-26,6801036160
2001-11-27,6862032000
2001-11-28,6602799680
2001-11-29,6801036160
2001-11-30,6877280960
2001-12-03,6648546560
2001-12-04,6587550720
2001-12-05,6450310080
2001-12-06,6526554880
2001-12-07,6526554880
2001-12-10,6221575680
2001-12-11,6130081919
2001-12-12,6160579840
2001-12-13,6328318400
2001-12-14,6313069439
2001-12-17,6557052800
2001-12-18,6526554880
2001-12-19,6404563200
2001-12-20,6175828800
2001-12-21,6236824640
2001-12-24,6358816320
2001-12-26,6374065280
2001-12-27,6206326720
2001-12-28,6358816320
2001-12-31,6372144000
2002-01-02,5953536000
2002-01-03,5674464000
2002-01-04,5953536000
2002-01-07,5969040000
2002-01-08,6186096000
2002-01-09,6372144000
2002-01-10,6573696000
2002-01-11,6697728000
2002-01-14,6651216000
2002-01-15,6682223999
2002-01-16,6697728000
2002-01-17,6806255999
2002-01-18,6372144000
2002-01-22,6496176000
2002-01-23,6651216000
2002-01-24,6527184000
2002-01-25,6558192000
2002-01-28,6573696000
2002-01-29,6372144000
2002-01-30,6496176000
2002-01-31,6341136000
2002-02-01,6759744000
2002-02-04,6372144000
2002-02-05,6434160000
2002-02-06,6046560000
2002-02-07,6139584000
2002-02-08,6480672000
2002-02-11,6558192000
2002-02-12,6620207999
2002-02-13,6527184000
2002-02-14,6341136000
2002-02-15,6372144000
2002-02-19,6248112000
2002-02-20,6496176000
2002-02-21,6496176000
2002-02-22,6449664000
2002-02-25,6542688000
2002-02-26,6682223999
2002-02-27,6728736000
2002-02-28,6821760000
2002-03-01,7147344000
2002-03-04,7209360000
2002-03-05,7069823999
2002-03-06,7100832000
2002-03-07,6945792000
2002-03-08,6992304000
2002-03-11,6992304000
2002-03-12,6930288000
2002-03-13,7069823999
2002-03-14,6930288000
2002-03-15,6976800000
2002-03-18,7240368000
2002-03-19,7472928000
2002-03-20,7240368000
2002-03-21,7457423999
2002-03-22,7224864000
2002-03-25,7023312000
2002-03-26,7085328000
2002-03-27,7240368000
2002-03-28,6976800000
2002-04-01,7119692159
2002-04-02,7041625360
2002-04-03,6901105120
2002-04-04,6807424960
2002-04-05,6713744800
2002-04-08,6791811599
2002-04-09,6573224560
2002-04-10,6979171920
2002-04-11,6932331840
2002-04-12,6963558560
2002-04-15,7026012000
2002-04-16,7119692159
2002-04-17,6901105120
2002-04-18,6916718480
2002-04-19,6885491760
2002-04-22,6651291360
2002-04-23,6573224560
2002-04-24,6682518080
2002-04-25,6245344000
2002-04-26,5667649680
2002-04-29,5683263040
2002-04-30,6073597040
2002-05-01,6463931039
2002-05-02,6417090960
2002-05-03,6245344000
2002-05-06,5823783280
2002-05-07,6011143600
2002-05-08,6791811599
2002-05-09,6635678000
2002-05-10,6354637520
2002-05-13,6744971520
2002-05-14,7338279200
2002-05-15,7260212400
2002-05-16,7057238719
2002-05-17,7213372320
2002-05-20,7088465440
2002-05-21,6916718480
2002-05-22,6885491760
2002-05-23,7416346000
2002-05-24,7228985680
2002-05-28,7400732640
2002-05-29,6901105120
2002-05-30,7182145599
2002-05-31,6963558560
2002-06-03,6698131440
2002-06-04,6698131440
2002-06-05,6682518080
2002-06-06,6245344000
2002-06-07,6245344000
2002-06-10,6417090960
2002-06-11,5948690160
2002-06-12,5933076800
2002-06-13,6120437120
2002-06-14,6432704320
2002-06-17,6994785280
2002-06-18,6932331840
2002-06-19,6807424960
2002-06-20,6401477599
2002-06-21,6089210400
2002-06-24,6463931039
2002-06-25,6276570719
2002-06-26,6385864240
2002-06-27,6339024159
2002-06-28,6417090960
2002-07-01,5946964800
2002-07-02,5476228800
2002-07-03,5742979200
2002-07-05,6056803200
2002-07-08,5978347200
2002-07-09,5805744000
2002-07-10,5209478400
2002-07-11,5601758400
2002-07-12,5680214400
2002-07-15,5774361600
2002-07-16,6182332800
2002-07-17,6762907199
2002-07-18,6449083200
2002-07-19,6229406400
2002-07-22,6009729600
2002-07-23,5695905600
2002-07-24,5962656000
2002-07-25,5695905600
2002-07-26,5523302400
2002-07-29,5680214400
2002-07-30,5790052800
2002-07-31,5978347200
2002-08-01,5852817600
2002-08-02,5664523200
2002-08-05,6056803200
2002-08-06,6056803200
2002-08-07,6245097600
2002-08-08,6747216000
2002-08-09,6668760000
2002-08-12,6794289600
2002-08-13,6449083200
2002-08-14,6951201600
2002-08-15,6825671999
2002-08-16,6809980800
2002-08-19,6778598400
2002-08-20,6872745600
2002-08-21,7076731200
2002-08-22,7265025600
2002-08-23,7170878400
2002-08-26,7108113600
2002-08-27,6511848000
2002-08-28,6402009600
2002-08-29,6668760000
2002-08-30,6292171200
2002-09-03,5978347200
2002-09-04,6135259200
2002-09-05,5884200000
2002-09-06,6323553600
2002-09-09,6402009600
2002-09-10,6496156799
2002-09-11,6402009600
2002-09-12,6041112000
2002-09-13,6276480000
2002-09-16,6307862399
2002-09-17,6276480000
2002-09-18,6668760000
2002-09-19,6449083200
2002-09-20,6590304000
2002-09-23,6480465600
2002-09-24,6496156799
2002-09-25,6731524800
2002-09-26,6637377600
2002-09-27,6590304000
2002-09-30,6574612800
2002-10-01,6825671999
2002-10-02,6464774400
2002-10-03,6276480000
2002-10-04,6056803200
2002-10-07,6276480000
2002-10-08,6245097600
2002-10-09,6433391999
2002-10-10,6731524800
2002-10-11,6590304000
2002-10-14,6919819200
2002-10-15,6668760000
2002-10-16,6684451200
2002-10-17,6825671999
2002-10-18,6715833600
2002-10-21,6778598400
2002-10-22,6888436799
2002-10-23,6762907199
2002-10-24,6370627199
2002-10-25,6715833600
2002-10-28,6653068800
2002-10-29,6637377600
2002-10-30,6794289600
2002-10-31,6809980800
2002-11-01,7155187199
2002-11-04,7170878400
2002-11-05,7170878400
2002-11-06,7516084800
2002-11-07,7327790400
2002-11-08,6998275200
2002-11-11,6998275200
2002-11-12,7029657600
2002-11-13,6998275200
2002-11-14,7374864000
2002-11-15,7092422399
2002-11-18,7013966400
2002-11-19,6966892800
2002-11-20,7108113600
2002-11-21,7437628800
2002-11-22,7735761600
2002-11-25,7782835200
2002-11-26,7217951999
2002-11-27,7641614400
2002-11-29,7735761600
2002-12-02,7484702399
2002-12-03,7233643200
2002-12-04,7374864000
2002-12-05,7594540800
2002-12-06,7672996799
2002-12-09,7516084800
2002-12-10,7374864000
2002-12-11,7343481600
2002-12-12,7327790400
2002-12-13,6998275200
2002-12-16,7139496000
2002-12-17,7076731200
2002-12-18,7045348800
2002-12-19,6998275200
2002-12-20,7013966400
2002-12-23,7155187199
2002-12-24,7076731200
2002-12-26,6951201600
2002-12-27,6778598400
2002-12-30,6668760000
2002-12-31,6743152000
2003-01-02,6917680640
2003-01-03,7044610560
2003-01-06,7235005439
2003-01-07,7219139200
2003-01-08,6885948160
2003-01-09,7108075520
2003-01-10,7346069120
2003-01-13,7472999040
2003-01-14,7520597760
