,GIS
2000-01-03,10352258830
2000-01-04,10165894124
2000-01-05,10105776477
2000-01-06,10087741183
2000-01-07,10105776477
2000-01-10,9901376477
2000-01-11,10033635300
2000-01-12,10015600006
2000-01-13,10051670595
2000-01-14,9823223536
2000-01-18,9919411771
2000-01-19,9823223536
2000-01-20,9654894124
2000-01-21,9468529418
2000-01-24,9372341182
2000-01-25,9071752947
2000-01-26,9318235300
2000-01-27,9131870594
2000-01-28,9095800006
2000-01-31,9372341182
2000-02-01,9095800006
2000-02-02,9053717653
2000-02-03,9204011771
2000-02-04,9131870594
2000-02-07,9185976476
2000-02-08,9264129418
2000-02-09,9167941182
2000-02-10,9035682359
2000-02-11,9149905888
2000-02-14,9318235300
2000-02-15,9751082359
2000-02-16,9636858830
2000-02-17,9733047065
2000-02-18,9636858830
2000-02-22,10051670595
2000-02-23,10051670595
2000-02-24,9955482359
2000-02-25,9919411771
2000-02-28,9497134557
2000-02-29,9497134557
2000-03-01,9566330437
2000-03-02,9278014270
2000-03-03,9335677503
2000-03-06,9156921479
2000-03-07,8937801192
2000-03-08,9047361336
2000-03-09,9099258246
2000-03-10,9047361336
2000-03-13,8937801192
2000-03-14,8828241048
2000-03-15,9445237647
2000-03-16,10142962772
2000-03-17,9946907778
2000-03-20,10039168952
2000-03-21,10021869982
2000-03-22,9998804688
2000-03-23,10073766892
2000-03-24,9877711898
2000-03-27,9837347635
2000-03-28,9895010868
2000-03-29,10039168952
2000-03-30,10344784089
2000-03-31,10431278940
2000-04-03,10327485119
2000-04-04,10667698197
2000-04-05,10523540113
2000-04-06,10396681000
2000-04-07,10200626006
2000-04-10,10108364832
2000-04-11,10269821886
2000-04-12,10523540113
2000-04-13,10684997167
2000-04-14,10431278940
2000-04-17,10575437023
2000-04-18,10413979970
2000-04-19,10396681000
2000-04-20,10431278940
2000-04-24,10615801287
2000-04-25,10956014365
2000-04-26,10886818484
2000-04-27,10702296137
2000-04-28,10488942173
2000-05-01,10506241143
2000-05-02,10454344233
2000-05-03,10921416424
2000-05-04,10973313335
2000-05-05,10973313335
2000-05-08,11007911275
2000-05-09,11030976568
2000-05-10,11030976568
2000-05-11,11082873478
2000-05-12,11082873478
2000-05-15,11100172448
2000-05-16,11152069358
2000-05-17,11261629502
2000-05-18,11209732592
2000-05-19,11480749789
2000-05-22,11423086556
2000-05-23,11423086556
2000-05-24,11549945670
2000-05-25,11480749789
2000-05-26,11820962867
2000-05-30,11523894000
2000-05-31,11257216000
2000-06-01,11240194000
2000-06-02,11223172000
2000-06-05,10996212000
2000-06-06,11279912000
2000-06-07,11348000000
2000-06-08,11189128000
2000-06-09,11047278000
2000-06-12,11240194000
2000-06-13,11348000000
2000-06-14,11399066000
2000-06-15,11348000000
2000-06-16,10973516000
2000-06-19,10956494000
2000-06-20,10831666000
2000-06-21,10729534000
2000-06-22,10763578000
2000-06-23,10746556000
2000-06-26,10871384000
2000-06-27,10956494000
2000-06-28,10956494000
2000-06-29,10956494000
2000-06-30,10854362000
2000-07-03,10831666000
2000-07-05,10973516000
2000-07-06,10854362000
2000-07-07,10763578000
2000-07-10,10496900000
2000-07-11,10445834000
2000-07-12,10428812000
2000-07-13,10496900000
2000-07-14,10303984000
2000-07-17,9537994000
2000-07-18,9895456000
2000-07-19,9929500000
2000-07-20,10003262000
2000-07-21,10020284000
