,GNRC
2010-02-11,302451982
2010-02-12,315879040
2010-02-16,313759166
2010-02-17,313287289
2010-02-18,306927668
2010-02-19,311639292
2010-02-22,308343300
2010-02-23,307871423
2010-02-24,307399545
2010-02-25,310931476
2010-02-26,316350917
2010-03-01,312111170
2010-03-02,311639292
2010-03-03,309519419
2010-03-04,312111170
2010-03-05,308579239
2010-03-08,317527036
2010-03-09,319882848
2010-03-10,323890231
2010-03-11,329542036
2010-03-12,333309906
2010-03-15,353096584
2010-03-16,361107776
2010-03-17,362755772
2010-03-18,362519834
2010-03-19,362755772
2010-03-22,355924274
2010-03-23,356868029
2010-03-24,357572270
2010-03-25,353804400
2010-03-26,347444780
2010-03-29,339669527
2010-03-30,333073967
2010-03-31,619378046
2010-04-01,632199566
2010-04-05,636621011
2010-04-06,653857267
2010-04-07,658721528
2010-04-08,679943123
2010-04-09,676850124
2010-04-12,673757125
2010-04-13,672871494
2010-04-14,673314310
2010-04-15,676407309
2010-04-16,675964493
2010-04-19,674193231
2010-04-20,671543048
2010-04-21,676850124
2010-04-22,680828754
2010-04-23,678614677
2010-04-26,673314310
2010-04-27,672428679
2010-04-28,672428679
2010-04-29,674193231
2010-04-30,667121603
2010-05-03,671100233
2010-05-04,654742898
2010-05-05,649435822
2010-05-06,623356676
2010-05-07,597713636
2010-05-10,603020712
2010-05-11,624242307
2010-05-12,624242307
2010-05-13,608763894
2010-05-14,595942374
2010-05-17,579585040
2010-05-18,570748859
2010-05-19,573841857
2010-05-20,532284298
2010-05-21,522555777
2010-05-24,499126814
2010-05-25,479676481
2010-05-26,480998218
2010-05-27,486748110
2010-05-28,485862479
2010-06-01,470833591
2010-06-02,527420038
2010-06-03,573399042
2010-06-04,549527264
2010-06-07,552620262
2010-06-08,564556152
2010-06-09,556598892
2010-06-10,567649150
2010-06-11,580027855
2010-06-14,592406560
2010-06-15,612299708
2010-06-16,598599267
2010-06-17,604342449
2010-06-18,610092340
2010-06-21,614956601
2010-06-22,610977971
2010-06-23,611420787
2010-06-24,613185339
2010-06-25,669778496
2010-06-28,672428679
2010-06-29,658721528
2010-06-30,619389096
2010-07-01,631325199
2010-07-02,630882375
2010-07-06,609217578
2010-07-07,645032594
2010-07-08,660504574
2010-07-09,663597628
2010-07-12,650333055
2010-07-13,653868933
2010-07-14,654311756
2010-07-15,649890232
2010-07-16,635746723
2010-07-19,633532606
2010-07-20,645468708
2010-07-21,637511307
2010-07-22,659618927
2010-07-23,666247858
2010-07-26,665805035
2010-07-27,662711981
2010-07-28,643261301
2010-07-29,650775879
2010-07-30,652989995
2010-08-02,666247858
2010-08-03,664483274
2010-08-04,666690682
2010-08-05,658290457
2010-08-06,639725423
2010-08-09,636632369
2010-08-10,613196279
2010-08-11,579595380
2010-08-12,575173856
2010-08-13,564123400
2010-08-16,587552781
2010-08-17,594188422
2010-08-18,574294919
2010-08-19,548651421
2010-08-20,556165999
2010-08-23,541579666
2010-08-24,537158142
2010-08-25,536272495
2010-08-26,530522501
2010-08-27,553072945
2010-08-30,530079678
2010-08-31,535829672
2010-09-01,569430571
2010-09-02,575616679
2010-09-03,578716443
2010-09-07,584902551
2010-09-08,603910408
2010-09-09,607452994
2010-09-10,590652545
2010-09-13,620710857
2010-09-14,613196279
2010-09-15,590652545
2010-09-16,587552781
2010-09-17,581366673
2010-09-20,586231021
2010-09-21,574294919
2010-09-22,547765774
2010-09-23,543344250
2010-09-24,585788197
2010-09-27,583574081
2010-09-28,575173856
2010-09-29,601703000
2010-09-30,603794849
2010-10-01,621059950
2010-10-04,619729798
2010-10-05,631681011
2010-10-06,643632223
2010-10-07,615746061
2010-10-08,625043688
2010-10-11,642302071
2010-10-12,635664748
2010-10-13,632567778
2010-10-14,614415909
2010-10-15,597594192
2010-10-18,609102020
2010-10-19,606891819
2010-10-20,613085758
2010-10-21,609988788
2010-10-22,609102020
2010-10-25,615302677
2010-10-26,610875556
2010-10-27,606005051
2010-10-28,596707424
2010-10-29,598924344
2010-11-01,577232121
2010-11-02,580329091
2010-11-03,580772475
2010-11-04,619729798
2010-11-05,621496616
2010-11-08,630350859
2010-11-09,616189445
2010-11-10,618843031
2010-11-11,630794243
2010-11-12,629464091
2010-11-15,652486465
2010-11-16,650269546
2010-11-17,642302071
2010-11-18,645405758
2010-11-19,663107525
2010-11-22,676388889
2010-11-23,676832273
2010-11-24,698081112
2010-11-26,697194344
2010-11-29,697637728
2010-11-30,657800354
2010-12-01,696307576
2010-12-02,702064849
2010-12-03,701621465
2010-12-06,701178081
2010-12-07,699411263
2010-12-08,701621465
2010-12-09,702951617
2010-12-10,702508233
2010-12-13,697194344
2010-12-14,700291313
2010-12-15,700291313
2010-12-16,703395001
2010-12-17,713129293
2010-12-20,716226263
2010-12-21,726854041
2010-12-22,730837778
2010-12-23,722870304
2010-12-27,722870304
2010-12-28,721096768
2010-12-29,719329950
2010-12-30,714459445
2010-12-31,715024341
2011-01-03,713252701
2011-01-04,707501583
2011-01-05,715460540
2011-01-06,724748226
2011-01-07,729613524
2011-01-10,738901210
2011-01-11,744645618
2011-01-12,739787030
2011-01-13,746860167
2011-01-14,751282555
2011-01-18,751282555
2011-01-19,726962775
2011-01-20,718560909
2011-01-21,718560909
2011-01-24,720325838
2011-01-25,723862406
2011-01-26,730942254
2011-01-27,734478822
2011-01-28,693798219
2011-01-31,658862024
2011-02-01,693355309
2011-02-02,711044862
2011-02-03,726519866
2011-02-04,700428446
2011-02-07,708830313
2011-02-08,675222847
2011-02-09,664170232
2011-02-10,660190753
2011-02-11,677437396
2011-02-14,695120238
2011-02-15,703079195
2011-02-16,703965015
2011-02-17,718560909
2011-02-18,770294127
2011-02-22,795499726
2011-02-23,750839645
2011-02-24,780910543
2011-02-25,822476966
2011-02-28,810531820
2011-03-01,788869500
2011-03-02,792406068
2011-03-03,801250844
2011-03-04,795499726
2011-03-07,797714276
2011-03-08,823356075
2011-03-09,809652711
2011-03-10,793291888
2011-03-11,818933686
2011-03-14,816282938
2011-03-15,810974730
2011-03-16,819819506
2011-03-17,810095621
2011-03-18,843253466
2011-03-21,853426972
2011-03-22,847239655
2011-03-23,842817267
2011-03-24,830435922
2011-03-25,827335553
2011-03-28,835294510
2011-03-29,887034438
2011-03-30,892778845
2011-03-31,897568082
2011-04-01,893586977
2011-04-04,892264417
2011-04-05,883859115
2011-04-06,876339995
2011-04-07,868371071
2011-04-08,874567631
2011-04-11,873681449
2011-04-12,868814162
2011-04-13,873681449
2011-04-14,903764643
2011-04-15,895359341
2011-04-18,896245523
2011-04-19,901992279
2011-04-20,906859566
2011-04-21,910840671
2011-04-25,904650825
2011-04-26,911283762
2011-04-27,903764643
2011-04-28,913935595
2011-04-29,921018337
2011-05-02,912613035
2011-05-03,904207734
2011-05-04,842275697
2011-05-05,827230744
2011-05-06,821040897
2011-05-09,832984213
2011-05-10,838294592
2011-05-11,823249638
2011-05-12,825465093
2011-05-13,803344111
2011-05-16,785210948
2011-05-17,786533507
2011-05-18,813078686
2011-05-19,819268533
2011-05-20,811749413
2011-05-23,796268082
2011-05-24,793616250
2011-05-25,817059791
2011-05-26,794938809
2011-05-27,800692279
2011-05-31,814407959
2011-06-01,776805646
2011-06-02,785654039
2011-06-03,763089966
2011-06-06,780786751
2011-06-07,796711173
2011-06-08,791843886
2011-06-09,778128205
2011-06-10,794938809
2011-06-13,791843886
2011-06-14,802457929
2011-06-15,794052627
2011-06-16,795824991
2011-06-17,790071522
2011-06-20,798040446
2011-06-21,820154715
2011-06-22,824578911
2011-06-23,843161879
2011-06-24,830775472
2011-06-27,851567181
2011-06-28,854219013
2011-06-29,853332831
2011-06-30,858200119
2011-07-01,867934694
2011-07-05,863510497
2011-07-06,863067406
2011-07-07,864833057
2011-07-08,871472708
2011-07-11,852889740
2011-07-12,853775922
2011-07-13,876339995
2011-07-14,859086301
2011-07-15,874124540
2011-07-18,852003558
2011-07-19,878548737
2011-07-20,887397130
2011-07-21,913499217
2011-07-22,903321552
2011-07-25,900669719
2011-07-26,857313937
2011-07-27,829889290
2011-07-28,829446199
2011-07-29,820597806
2011-08-01,822813261
2011-08-02,807325216
2011-08-03,814407959
2011-08-04,767957253
2011-08-05,821040897
2011-08-08,739203333
2011-08-09,798476824
2011-08-10,754241573
2011-08-11,798919915
2011-08-12,818825442
2011-08-15,861295042
2011-08-16,849351726
2011-08-17,824135820
2011-08-18,765741798
2011-08-19,730798031
2011-08-22,758665769
2011-08-23,829889290
2011-08-24,850680999
2011-08-25,860408860
2011-08-26,898454264
2011-08-29,906859566
2011-08-30,896688614
2011-08-31,911726853
2011-09-01,896688614
2011-09-02,855984664
2011-09-06,848022453
2011-09-07,859529392
2011-09-08,844927529
2011-09-09,827230744
2011-09-12,825908184
2011-09-13,831654940
2011-09-14,824135820
2011-09-15,832098031
2011-09-16,822813261
2011-09-19,820597806
2011-09-20,814407959
2011-09-21,765741798
2011-09-22,695847551
2011-09-23,688771522
2011-09-26,822370170
2011-09-27,808654489
2011-09-28,781666220
2011-09-29,804673384
2011-09-30,832204202
2011-10-03,823797827
2011-10-04,866715994
2011-10-05,875565516
2011-10-06,924674319
2011-10-07,888839799
2011-10-10,945025534
2011-10-11,925117467
2011-10-12,918920116
2011-10-13,916711092
2011-10-14,948564000
2011-10-17,914938502
2011-10-18,939271330
2011-10-19,931751251
2011-10-20,929099080
2011-10-21,943252944
2011-10-24,964047306
2011-10-25,920249558
2011-10-26,945911829
2011-10-27,981303202
2011-10-28,977764736
2011-10-31,1011390233
2011-11-01,1027759835
2011-11-02,1058283299
2011-11-03,1094124534
2011-11-04,1066253240
2011-11-07,1067575969
2011-11-08,1113589454
2011-11-09,1101201466
2011-11-10,1104296784
2011-11-11,1114475749
2011-11-14,1090142921
2011-11-15,1081736547
2011-11-16,1051206367
2011-11-17,1044572583
2011-11-18,1057403719
2011-11-21,1050763220
