,GP
2015-02-10,19562208
2015-02-11,19562208
2015-02-12,19562208
2015-02-13,19562208
2015-02-17,19562208
2015-02-18,19562208
2015-02-19,16105432
2015-02-20,16105432
2015-02-23,16105432
2015-02-24,16105432
2015-02-25,15948306
2015-02-26,15948306
2015-02-27,15241238
2015-03-02,15241238
2015-03-03,15241238
2015-03-04,14769860
2015-03-05,14769860
2015-03-06,14769860
2015-03-09,14769860
2015-03-10,14769860
2015-03-11,14769860
2015-03-12,14306337
2015-03-13,14306337
2015-03-16,14306337
2015-03-17,14306337
2015-03-18,14306337
2015-03-19,14306337
2015-03-20,14306337
2015-03-23,14306337
2015-03-24,14306337
2015-03-25,14306337
2015-03-26,14306337
2015-03-27,14306337
2015-03-30,14306337
2015-03-31,14306337
2015-04-01,14079888
2015-04-02,14079888
2015-04-06,14079888
2015-04-07,14079888
2015-04-08,14079888
2015-04-09,14079888
2015-04-10,14079888
2015-04-13,14079888
2015-04-14,14079888
2015-04-15,14079888
2015-04-16,14079888
2015-04-17,14079888
2015-04-20,14079888
2015-04-21,12216487
2015-04-22,12216487
2015-04-23,12216487
2015-04-24,12216487
2015-04-27,14304115
2015-04-28,14458754
2015-04-29,14458754
2015-04-30,14458754
2015-05-01,14458754
2015-05-04,14458754
2015-05-05,14458754
2015-05-06,14458754
2015-05-07,14458754
2015-05-08,14458754
2015-05-11,14458754
2015-05-12,14458754
2015-05-13,14458754
2015-05-14,14458754
2015-05-15,13144322
2015-05-18,13144322
2015-05-19,13144322
2015-05-20,13144322
2015-05-21,13144322
2015-05-22,13144322
2015-05-26,13144322
2015-05-27,13144322
2015-05-28,15889166
2015-05-29,15889166
2015-06-01,15889166
2015-06-02,15889166
2015-06-03,15889166
2015-06-04,15927825
2015-06-05,15927825
2015-06-08,15927825
2015-06-09,15927825
2015-06-10,15927825
2015-06-11,15927825
2015-06-12,15927825
2015-06-15,15927825
2015-06-16,15927825
2015-06-17,15927825
2015-06-18,15927825
2015-06-19,15927825
2015-06-22,15927825
2015-06-23,15927825
2015-06-24,15927825
2015-06-25,15927825
2015-06-26,15927825
2015-06-29,15927825
2015-06-30,15927825
2015-07-01,15927825
2015-07-02,15927825
2015-07-06,15927825
2015-07-07,15927825
2015-07-08,15927825
2015-07-09,15927825
2015-07-10,15927825
2015-07-13,15927825
2015-07-14,15927825
2015-07-15,15927825
2015-07-16,15927825
2015-07-17,15927825
2015-07-20,15927825
2015-07-21,15927825
2015-07-22,15927825
2015-07-23,15927825
2015-07-24,16701021
2015-07-27,16701021
2015-07-28,16701021
2015-07-29,16701021
2015-07-30,16701021
2015-07-31,16701021
2015-08-03,16701021
2015-08-04,16701021
2015-08-05,14845352
2015-08-06,14845352
2015-08-07,14845352
2015-08-10,14845352
2015-08-11,14845352
2015-08-12,14845352
2015-08-13,14845352
2015-08-14,14381434
2015-08-17,14381434
2015-08-18,14381434
2015-08-19,14381434
2015-08-20,14381434
2015-08-21,14381434
2015-08-24,14381434
2015-08-25,14381434
2015-08-26,14381434
2015-08-27,13298961
2015-08-28,13917517
2015-08-31,13917517
2015-09-01,13917517
2015-09-02,13917517
2015-09-03,13917517
2015-09-04,13917517
2015-09-08,13917517
2015-09-09,13917517
2015-09-10,13917517
2015-09-11,13917517
2015-09-14,13917517
2015-09-15,13917517
2015-09-16,13917517
2015-09-17,13917517
2015-09-18,14149476
2015-09-21,14149476
2015-09-22,14149476
2015-09-23,11752570
2015-09-24,14164940
2015-09-25,14134012
2015-09-28,14134012
2015-09-29,14134012
2015-09-30,12371126
2015-10-01,12536905
2015-10-02,12536905
2015-10-05,12536905
2015-10-06,12536905
2015-10-07,12536905
2015-10-08,12536905
2015-10-09,15671132
2015-10-12,15671132
2015-10-13,15671132
2015-10-14,14652508
2015-10-15,14809220
2015-10-16,14809220
2015-10-19,14809220
2015-10-20,15671132
2015-10-21,15671132
2015-10-22,16297977
2015-10-23,16211786
2015-10-26,16235293
2015-10-27,15827843
2015-10-28,20450827
2015-10-29,22425390
2015-10-30,25073811
2015-11-02,24713375
2015-11-03,23036564
2015-11-04,23114920
2015-11-05,22480239
2015-11-06,22566430
2015-11-09,22566430
2015-11-10,22566430
2015-11-11,22245172
2015-11-12,22245172
2015-11-13,22245172
2015-11-16,22245172
2015-11-17,22245172
2015-11-18,22245172
2015-11-19,19588915
2015-11-20,19588915
2015-11-23,20372472
2015-11-24,20685894
2015-11-25,20685894
2015-11-27,21054166
2015-11-30,21085508
2015-12-01,21156028
