,HCA
2011-03-10,13779146040
2011-03-11,13823566240
2011-03-14,13730283820
2011-03-15,13921290680
2011-03-16,13881312500
2011-03-17,14174485820
2011-03-18,14685318120
2011-03-21,14325514500
2011-03-22,14156717740
2011-03-23,14516521360
2011-03-24,14520963379
2011-03-25,14636455900
2011-03-28,14676434080
2011-03-29,15054005780
2011-03-30,15209476480
2011-03-31,18240925590
2011-04-01,18170913180
2011-04-04,18133214190
2011-04-05,18321709140
2011-04-06,17933948100
2011-04-07,18127828620
2011-04-08,17863935690
2011-04-11,17298450840
2011-04-12,16980702210
2011-04-13,17266137420
2011-04-14,17309221980
2011-04-15,17223052860
2011-04-18,17276908560
2011-04-19,17093799180
2011-04-20,17045329050
2011-04-21,16910689800
2011-04-25,16910689800
2011-04-26,17233824000
2011-04-27,17583886050
2011-04-28,17540801490
2011-04-29,17664669600
2011-05-02,18009346080
2011-05-03,17562343770
2011-05-04,18068587350
2011-05-05,18494047380
2011-05-06,18445577250
2011-05-09,18574830930
2011-05-10,18628686630
2011-05-11,18601758780
2011-05-12,18585602070
2011-05-13,18634072200
2011-05-16,18445577250
2011-05-17,18601758780
2011-05-18,18887193990
2011-05-19,18876422850
2011-05-20,18650228910
2011-05-23,18531746370
2011-05-24,18574830930
2011-05-25,18677156760
2011-05-26,18757940310
2011-05-27,18709470180
2011-05-31,18790253730
2011-06-01,18725626890
2011-06-02,18504818520
2011-06-03,18386335980
2011-06-06,18170913180
2011-06-07,18590987640
2011-06-08,18720241320
2011-06-09,18978748680
2011-06-10,18257082300
2011-06-13,18122443050
2011-06-14,18063201780
2011-06-15,17853164550
2011-06-16,18240925590
2011-06-17,18628686630
2011-06-20,18434806110
2011-06-21,18257082300
2011-06-22,17998574940
2011-06-23,17885477970
2011-06-24,17368463250
2011-06-27,17492331360
2011-06-28,17637741750
2011-06-29,17643127320
2011-06-30,16777761000
2011-07-01,16808266020
2011-07-05,16864191890
2011-07-06,17281093830
2011-07-07,17433618930
2011-07-08,17199747110
2011-07-11,16808266020
2011-07-12,16676077599
2011-07-13,16899781080
2011-07-14,16889612740
2011-07-15,16889612740
2011-07-18,16569310030
2011-07-19,16793013510
2011-07-20,16904865250
2011-07-21,17504797310
2011-07-22,17596312370
2011-07-25,14220423490
2011-07-26,14256012680
2011-07-27,13915373290
2011-07-28,13839110740
2011-07-29,13564565560
2011-08-01,12679919980
2011-08-02,12527394880
2011-08-03,12588404920
2011-08-04,11642749300
2011-08-05,11180089830
2011-08-08,9248105230
2011-08-09,9329451950
2011-08-10,9446387860
2011-08-11,9898878990
2011-08-12,10788608740
2011-08-15,11480055860
2011-08-16,11068238090
2011-08-17,10671672830
2011-08-18,10148003320
2011-08-19,9797195590
2011-08-22,9690428020
2011-08-23,9954804860
2011-08-24,10188676680
2011-08-25,9690428020
2011-08-26,9914131500
2011-08-29,10158171660
