,HCP
2021-12-09,11382308226
2021-12-10,11450449759
2021-12-13,11489196905
2021-12-14,11224647424
2021-12-15,11346233297
2021-12-16,10956089618
2021-12-17,10807781575
2021-12-20,10688867920
2021-12-21,11352913839
2021-12-22,11473163603
2021-12-23,12000926457
2021-12-27,13040418862
2021-12-28,12449858909
2021-12-29,12002262565
2021-12-30,12097126268
2021-12-31,12163931692
2022-01-03,11224647424
2022-01-04,10532543226
2022-01-05,9725533698
2022-01-06,10388243509
2022-01-07,9589250632
2022-01-10,9452967566
2022-01-11,9855136222
2022-01-12,9656056057
2022-01-13,8947918557
2022-01-14,8910507519
2022-01-18,8617899760
2022-01-19,8368047472
2022-01-20,8413475161
2022-01-21,7873687331
2022-01-24,8294561505
2022-01-25,7416738227
2022-01-26,7733395940
2022-01-27,7836276293
2022-01-28,8418819595
2022-01-31,12145893155
2022-02-01,13126492452
2022-02-02,12568502181
2022-02-03,10967710418
2022-02-04,11871471710
2022-02-07,12861218389
2022-02-08,13904019880
2022-02-09,14264426711
2022-02-10,14026594792
2022-02-11,12720348713
2022-02-14,12467880984
2022-02-15,12760597192
2022-02-16,12085520437
2022-02-17,10704265831
2022-02-18,9954180548
2022-02-22,9820628778
2022-02-23,8944309630
2022-02-24,9787698205
2022-02-25,9312034367
2022-02-28,9218731075
2022-03-01,8964433870
2022-03-02,9019318159
2022-03-03,8230813873
2022-03-04,7685629936
2022-03-07,6858706648
2022-03-08,7127639664
2022-03-09,7729537367
2022-03-10,6904443556
2022-03-11,6139722462
2022-03-14,5936650593
2022-03-15,6181800417
2022-03-16,7530124450
2022-03-17,8086285246
2022-03-18,8561949083
2022-03-21,8861983197
2022-03-22,9213242646
2022-03-23,9273615364
2022-03-24,9934056309
2022-03-25,9385213419
2022-03-28,9714519153
2022-03-29,10420697004
2022-03-30,10120662891
2022-03-31,9879172020
2022-04-01,9879172020
2022-04-04,10614621492
2022-04-05,10636575208
2022-04-06,9851729875
2022-04-07,9813310873
2022-04-08,9304716461
2022-04-11,9842582494
