,HMA
2003-09-10,528568826
2003-09-11,526403546
2003-09-12,522072987
2003-09-15,521832400
2003-09-16,529771759
2003-09-17,522554160
2003-09-18,524478853
2003-09-19,527606479
2003-09-22,509562482
2003-09-23,520629467
2003-09-24,518464187
2003-09-25,512449521
2003-09-26,509081309
2003-09-29,520388880
2003-09-30,524719440
2003-10-01,529290586
2003-10-02,534342905
2003-10-03,541319917
2003-10-06,543004023
2003-10-07,543485197
2003-10-08,547815756
2003-10-09,546131650
2003-10-10,555273942
2003-10-13,559363914
2003-10-14,563453887
2003-10-15,543966370
2003-10-16,546372236
2003-10-17,543725783
2003-10-20,541801090
2003-10-21,534583491
2003-10-22,512208935
2003-10-23,505231923
2003-10-24,522554160
2003-10-27,526644133
2003-10-28,532177625
2003-10-29,537711118
2003-10-30,528809412
2003-10-31,532899385
2003-11-03,530493519
2003-11-04,529531172
2003-11-05,531937038
2003-11-06,536508184
2003-11-07,538914051
2003-11-10,536267598
2003-11-11,536027011
2003-11-12,540357570
2003-11-13,553349249
2003-11-14,559363914
2003-11-17,567784446
2003-11-18,582219644
2003-11-19,583422577
2003-11-20,581497884
2003-11-21,583422577
2003-11-24,591843109
2003-11-25,602669508
2003-11-26,614458253
2003-11-28,618307639
2003-12-01,626728171
2003-12-02,628893450
2003-12-03,632502250
2003-12-04,629855797
2003-12-05,625765824
2003-12-08,556236288
2003-12-09,562972714
2003-12-10,566581513
2003-12-11,571633832
2003-12-12,565619167
2003-12-15,561769781
2003-12-16,561048021
2003-12-17,555755115
2003-12-18,565378580
2003-12-19,559363914
2003-12-22,568987379
2003-12-23,572836766
2003-12-24,574280285
2003-12-26,577648498
2003-12-29,585106684
2003-12-30,584625510
2003-12-31,577407912
2004-01-02,579813778
2004-01-05,566340927
2004-01-06,575483218
2004-01-07,572355592
2004-01-08,581016711
2004-01-09,577167325
2004-01-12,577167325
2004-01-13,571874419
2004-01-14,584384924
2004-01-15,592324283
2004-01-16,603872441
2004-01-20,609405933
2004-01-21,601707161
