,HPE
2015-10-19,16763043612
2015-10-20,17076697234
2015-10-21,16693342807
2015-10-22,17163823241
2015-10-23,17216098844
2015-10-26,16623642002
2015-10-27,15926633951
2015-10-28,16484240391
2015-10-29,16153161568
2015-10-30,14898547077
2015-11-02,14827620000
2015-11-03,14686740000
2015-11-04,13982340000
2015-11-05,13594920000
2015-11-06,14739569999
2015-11-09,14528250000
2015-11-10,14739569999
2015-11-11,14440199999
2015-11-12,14017560000
2015-11-13,13700580000
2015-11-16,13700580000
2015-11-17,13524480000
2015-11-18,13964730000
2015-11-19,14105610000
2015-11-20,14545860000
2015-11-23,14176050000
2015-11-24,14017560000
2015-11-25,14457810000
2015-11-27,14686740000
2015-11-30,15215040000
2015-12-01,15972270000
2015-12-02,15303090000
2015-12-03,14968500000
2015-12-04,15567240000
2015-12-07,15813780000
2015-12-08,15532020000
2015-12-09,15197430000
2015-12-10,15056550000
2015-12-11,14510640000
2015-12-14,14774790000
2015-12-15,14898060000
2015-12-16,15038939999
2015-12-17,14651520000
2015-12-18,14493030000
2015-12-21,14352150000
2015-12-22,14387370000
2015-12-23,15250260000
2015-12-24,15373530000
2015-12-28,15584850000
2015-12-29,15549630000
2015-12-30,15637680000
2015-12-31,15549630000
2016-01-04,15479189999
2016-01-05,15373530000
2016-01-06,15144600000
2016-01-07,14035170000
2016-01-08,13859070000
2016-01-11,13577310000
2016-01-12,13577310000
2016-01-13,13049010000
2016-01-14,13295550000
2016-01-15,12837690000
2016-01-19,12608760000
2016-01-20,12344610000
2016-01-21,12696810000
2016-01-22,13665360000
2016-01-25,13647750000
2016-01-26,13911900000
2016-01-27,13700580000
2016-01-28,13506870000
2016-01-29,14088000000
2016-02-01,13817250000
2016-02-02,13489500000
2016-02-03,13403250000
2016-02-04,13886250000
2016-02-05,13230750000
2016-02-08,12540750000
2016-02-09,12747750000
2016-02-10,12885750000
2016-02-11,12437250000
2016-02-12,12316500000
2016-02-16,12368250000
2016-02-17,13058250000
2016-02-18,13558500000
2016-02-19,13696500000
2016-02-22,13834500000
2016-02-23,13127250000
2016-02-24,13558500000
2016-02-25,13713750000
2016-02-26,13472250000
2016-02-29,13299750000
2016-03-01,13317000000
2016-03-02,13938000000
2016-03-03,13627500000
2016-03-04,15473250000
2016-03-07,16007999999
2016-03-08,15266250000
2016-03-09,15525000000
2016-03-10,15939000000
2016-03-11,16370250000
2016-03-14,16456499999
2016-03-15,16818750000
2016-03-16,17232750000
2016-03-17,17198250000
2016-03-18,17370750000
2016-03-21,17750250000
2016-03-22,17560500000
2016-03-23,17508750000
2016-03-24,17612250000
2016-03-28,17560500000
2016-03-29,17698500000
2016-03-30,17940000000
2016-03-31,17767500000
2016-04-01,18440250000
2016-04-04,18078000000
2016-04-05,17646750000
2016-04-06,18009000000
2016-04-07,17784750000
2016-04-08,17940000000
2016-04-11,17767500000
2016-04-12,17284500000
2016-04-13,17543250000
2016-04-14,17301750000
2016-04-15,17439750000
2016-04-18,17474250000
2016-04-19,17284500000
2016-04-20,17439750000
2016-04-21,17508750000
2016-04-22,17526000000
2016-04-25,17250000000
2016-04-26,17405250000
2016-04-27,17353500000
2016-04-28,17077500000
2016-04-29,16698000000
2016-05-02,16019929999
2016-05-03,15566060000
2016-05-04,15566060000
2016-05-05,15364340000
2016-05-06,15414770000
2016-05-09,15498820000
2016-05-10,15515630000
2016-05-11,15650110000
2016-05-12,15532440000
2016-05-13,15397960000
2016-05-16,15582870000
2016-05-17,15448390000
2016-05-18,15313909999
2016-05-19,15414770000
2016-05-20,15498820000
2016-05-23,15700540000
2016-05-24,15868640000
2016-05-25,16944480000
2016-05-26,16994909999
2016-05-27,17835410000
2016-05-31,18037130000
2016-06-01,17869030000
2016-06-02,18070750000
2016-06-03,17919460000
2016-06-06,18457380000
2016-06-07,18709530000
2016-06-08,18894440000
2016-06-09,19096160000
2016-06-10,18675910000
2016-06-13,18171610000
2016-06-14,17885840000
2016-06-15,18373330000
2016-06-16,18222040000
2016-06-17,18507810000
2016-06-20,18928060000
2016-06-21,19297880000
2016-06-22,18759960000
2016-06-23,19197020000
2016-06-24,17734550000
2016-06-27,16810000000
2016-06-28,16994909999
2016-06-29,17364730000
2016-06-30,17852220000
2016-07-01,18053940000
2016-07-05,17784980000
2016-07-06,17969890000
2016-07-07,18037130000
2016-07-08,18591860000
2016-07-11,18894440000
2016-07-12,19230640000
2016-07-13,19045730000
2016-07-14,19533220000
2016-07-15,19314690000
2016-07-18,19331500000
2016-07-19,19331500000
2016-07-20,19600460000
2016-07-21,19297880000
2016-07-22,19583650000
2016-07-25,19734940000
2016-07-26,19970280000
2016-07-27,19886230000
2016-07-28,19835800000
2016-07-29,20541820000
2016-08-01,20482000000
2016-08-02,20181040000
2016-08-03,20900000000
2016-08-04,21150800000
2016-08-05,21284560000
2016-08-08,21033760000
2016-08-09,21083920000
2016-08-10,20933440000
2016-08-11,21167520000
2016-08-12,21267840000
2016-08-15,21384880000
2016-08-16,21451760000
2016-08-17,21033760000
2016-08-18,21234400000
2016-08-19,21251120000
2016-08-22,21318000000
2016-08-23,21301280000
2016-08-24,21067200000
2016-08-25,21217680000
2016-08-26,21167520000
2016-08-29,21217680000
2016-08-30,20966880000
2016-08-31,20866560000
2016-09-01,21535360000
2016-09-02,21585520000
2016-09-06,21234400000
2016-09-07,21468480000
2016-09-08,20766240000
2016-09-09,20331520000
2016-09-12,20682640000
2016-09-13,20565600000
2016-09-14,20749520000
2016-09-15,21501920000
2016-09-16,21635680000
2016-09-19,22036960000
2016-09-20,21986800000
2016-09-21,22471680000
2016-09-22,22588720000
2016-09-23,22321200000
2016-09-26,22137280000
2016-09-27,22271040000
2016-09-28,22388080000
2016-09-29,22254320000
2016-09-30,22103840000
2016-10-03,22003520000
2016-10-04,21752720000
2016-10-05,22154000000
2016-10-06,22036960000
2016-10-07,21702560000
2016-10-10,21869760000
2016-10-11,21351440000
2016-10-12,21368160000
2016-10-13,21150800000
2016-10-14,20916720000
2016-10-17,20665920000
2016-10-18,20866560000
2016-10-19,21117360000
2016-10-20,21251120000
2016-10-21,21017040000
2016-10-24,21067200000
2016-10-25,20983600000
2016-10-26,21184240000
2016-10-27,21568800000
2016-10-28,21535360000
2016-10-31,21797140000
2016-11-01,21413270000
2016-11-02,21363200000
2016-11-03,21146230000
2016-11-04,21379890000
2016-11-07,22414670000
2016-11-08,22548190000
2016-11-09,22531500000
2016-11-10,22381290000
2016-11-11,22614950000
2016-11-14,22648330000
2016-11-15,22698400000
2016-11-16,22815230000
2016-11-17,22881990000
2016-11-18,22614950000
2016-11-21,22431360000
2016-11-22,22181010000
2016-11-23,22848610000
2016-11-25,22514810000
2016-11-28,22631640000
2016-11-29,23032200000
2016-11-30,23082270000
2016-12-01,22665020000
2016-12-02,23132340000
2016-12-05,23482830000
2016-12-06,23232480000
2016-12-07,23933460000
2016-12-08,23900080000
2016-12-09,23766560000
2016-12-12,23182410000
2016-12-13,23215790000
2016-12-14,23199100000
2016-12-15,23015510000
2016-12-16,22781850000
2016-12-19,23015510000
2016-12-20,23115650000
2016-12-21,23165720000
2016-12-22,23048890000
2016-12-23,23098960000
2016-12-27,23032200000
2016-12-28,22598260000
2016-12-29,22631640000
2016-12-30,22448050000
2017-01-03,22498120000
2017-01-04,22748470000
2017-01-05,22848610000
2017-01-06,22397980000
2017-01-09,21880590000
2017-01-10,22264460000
2017-01-11,22080870000
2017-01-12,22064180000
2017-01-13,22247770000
2017-01-17,22014110000
2017-01-18,22164320000
2017-01-19,22080870000
2017-01-20,22197700000
2017-01-23,21897280000
2017-01-24,22197700000
2017-01-25,22281150000
2017-01-26,21947350000
2017-01-27,21863900000
2017-01-30,21480030000
2017-01-31,21724275861
2017-02-01,21641862068
2017-02-02,21740758619
2017-02-03,22515448274
2017-02-06,22548413792
2017-02-07,22696758619
2017-02-08,22630827585
2017-02-09,23059379309
2017-02-10,22976965516
2017-02-13,23108827585
2017-02-14,23125310343
2017-02-15,23356068964
2017-02-16,23306620688
2017-02-17,23372551723
2017-02-21,23619793102
2017-02-22,23735172412
2017-02-23,23619793102
2017-02-24,21987999999
2017-02-27,21361655171
2017-02-28,21856137930
2017-03-01,22202275861
2017-03-02,21987999999
2017-03-03,22070413792
2017-03-06,22103379309
